map_0331#44	このセーブデータでは聖域のステルスパズルを省略しますか？
map_0332#54	なぜ、と私は自問しました。アルセウスがそれほど偉大なら、なぜ私をこんな風に作ったのだろうか、と。
map_0332#55	なぜ私は苦しまねばならないのか。なぜ私は仕えねばならないのか。
map_0332#56	結局のところ、その答えを私に示してくれたのはソラリスでした。
map_0332#57	失格の従者である私は、彼に近づこうとはしませんでした。私たちの父親同士は親しかったものの、私の父は私が育つあいだ、若君に会わせようとはしませんでした。
map_0332#58	私たちが初めて出会ったのは、私がすでにみじめな大人になってからのことでした。
map_0332#59	もちろん、ソラリスは私のことを知っていました。
map_0332#60	私の一族が血統によって彼の一族に仕えるべき身であることを知っていましたし、周囲から彼の前に出るには不適格だとみなされていたあの盲目の男のことも耳にしていたのです。
map_0332#61	そして、彼はいつものように、それに反抗しました。
map_0332#62	彼は私に手を差し伸べてくれました。
map_0332#63	私は忠誠の誓いと共に、その手を取りました。
map_0332#64	それは、本来私に与えられるはずのない機会でした。
map_0332#65	だからこそ、私は主のために価値ある存在になろうと、できる限り自分を追い込みました。
map_0332#66	しかし私たち二人は、共に主なき、法なき男でした。
map_0332#67	彼には自らの内なるものと戦う以外に仕えるべき目的がなく、私たちはそこに共通点を見出したのです。
map_0332#68	それでも、アルセウスはいずれ私たちのもとへと届くことになります。
map_0332#69	何年ものあいだ、ソラリスは問い続けていました。「そもそも、あの隕石は何から守られる必要があるんだ？」と。
map_0332#70	それはすでに、四つのクリスタルのカギによって封じられていたのです。
map_0332#71	そもそも、古い岩なんぞを汚したい者などいるだろうか、と。
map_0332#72	だがこれは、彼が苦い形で学ぶことになった教訓でした。両親が、まさにそのカギを狙う襲撃者の手にかかって、共に命を落としたのです。
map_0332#73	若君は二人を救うには遅すぎましたが、仇を討つには間に合いました。
map_0332#74	彼はカギを奪った男を、その腕がもはやカギを握っていられぬほど打ちのめし、
map_0332#75	その口がもはや秘密を守れぬほどまで、痛めつけたのです。
map_0332#76	「なぜだ？！」ソラリスは何度も何度も叫びました。
map_0332#77	襲撃者は、彼自身信じてもいなかった噂――隕石の中に封じられ、何年も眠り続ける大いなる力についての噂――を語りました。
map_0332#78	それが真実かどうかはともかく、その盗人はそれを信じ、それゆえに手を伸ばしたのです。
map_0332#79	「なぜだ？！」ソラリスは叫び続けました。
map_0332#80	彼はそう言い続け、夜明けまで、もはや魂が宿っていないとうに死んだ男の体を、ずっと打ち続けていました。
map_0332#81	もはや彼は、自分以外の誰かに問うていたのではありませんでした。
map_0332#82	なぜ両親の言葉に耳を貸さなかったのか。
map_0332#83	なぜ彼らが危険にさらされていることに気づかなかったのか。
map_0332#84	なぜ彼らを救えなかったのか。
map_0332#85	そして、自らが両親の死を招いたのだと信じたその時、
map_0332#86	彼は初めて、自らの生涯の目的に向かって歩み出したのです。
map_0332#87	主は、信仰なき者を罰し給う。
map_0332#88	これが、ソラリスの物語から学ぶべきことです。
map_0332#89	私自身の目覚めは、それから何年も後に訪れました。
map_0332#90	私の主が主の道を歩まれた時、当然、私もまたそうしなければなりませんでした。
map_0332#91	私は友としての彼にはついていきましたが、信仰に関しては、私の奉仕は中途半端なものでした。
map_0332#92	ソラリスはそれに気づき、ある日、そのことで私に向き合いました。
map_0332#93	話し合いの末、彼は本来自らの命に懸けて守るべきエメラルドのカギを、私の信仰と引き換えに差し出したのです。
map_0332#94	彼は、私に単に仕えてほしいのではなく、自らの重荷を共に分かち合ってほしいと望んでいたのです。
map_0332#95	私はそれを受け入れ、主に、そして友に、あらん限りの信頼を置く決意をしました。
map_0332#96	翌朝、目覚めた時、カギをまだ胸にしっかりと握りしめたまま、私はそれまで経験したことのない現象に襲われました。
map_0332#97	光、まばゆい色彩、ぼやけた形――ふだん手探りで慣れ親しんでいたはずの輪郭さえ、ほとんど認識できないほどでした。
map_0332#98	視力です。
map_0332#99	主の顔を初めて見た時の感覚を言い表す言葉はありません。
map_0332#100	自分自身の顔を見た時の感覚も、同じです。
map_0332#101	ついに「金色」や「光」といった言葉の意味を、本当に理解できるようになった時の感覚も。
map_0332#102	それまでは、ただの夢に過ぎませんでした。しかし私は、主が――そして主への私の信頼が――それを現実にしてくださったのだと知りました。
map_0332#103	主は、真の信仰を持つ者に報い給う。
map_0332#104	あれから、もう何年も経ちました。
map_0332#105	私は、我が娘のため、そして彼の息子のため、絶えず悲しみと不安に襲われています。
map_0332#106	私の友が受けたような罰を、彼らが受けることは望みません。
map_0332#107	二人が背を向けてしまった主のあらゆる祝福が、二人にありますように。
map_0332#108	そして、皆さん一人ひとりのことも、私は案じています。
map_0332#109	もっとも、先ほど述べた異端者たちほどではありませんが。
map_0332#110	この街の惨めな状態は、間違いなく主から離れたことの結果でしょう。
map_0332#111	それゆえ、皆さんにお願いいたします。
map_0332#112	どうか、アルセウスを信じてください。
map_0332#113	どうか、他の人々もアルセウスを信じるよう導いてください。
map_0332#114	主の光のもと、われら皆が明るい未来を見られますように。
map_0332#115	ありがとうございました。」
map_0332#116	\PNはフィールド効果解説29を手に入れた！
map_0332#117	ホーリーフィールドの情報が閲覧可能になった！
map_0332#118	ルナ: またお会いできて何よりです、\PN。
map_0332#119	わたしも、ここで何が起きているのか確かめに来ていたのです。
map_0332#120	長らく色褪せた記憶ゆえに認めたくはないのですが、この場所には、別の意味でまだ恩義があります。
map_0332#121	完全に崩れ去るのを見たくはありません。静寂だけで十分ですから。
map_0332#122	それでも、この扉はわたしには閉ざされているようです。
map_0332#123	この先にどんな不思議が残っていようと、それはわたしが立ち入るべきものではありません。
map_0332#124	これは、わたしにとってかなり新鮮な感覚です。
map_0332#125	ですが、あなたがここにいる――それこそが、ある問いへの答えなのでしょう。
map_0332#126	ためらうことなく、ぶれることなく、これまでと変わらず自らの役目を果たされることを願っています。
map_0332#127	ルナ: 今回わたしが同行できない理由は、じきに二人とも知ることになると思います。
map_0332#128	ルナ: それでは。
map_0332#129	事は自ずと解決したようですね。
map_0332#130	心のいたずらか、時のいたずらか、あの先で何が起きたのか、わたしにも幾らか心当たりがあります。
map_0332#131	あなたが中に入られてからそう経たぬうちに、ある記憶がわたしのもとに蘇ってきました。
map_0332#132	それが以前からわたしのものだったのかどうか、自分でも定かではありません。
map_0332#133	タカ: あ、\PN？
map_0332#134	ここから物音が聞こえた気がしたけど、君だけなら――
map_0332#135	あ……あ。
map_0332#136	えっと、やあ、ルナ。
map_0332#137	ルナ: ごきげんよう、若様。
map_0332#138	何かお手伝いできることでも？
map_0332#139	タカ: いや、あの。別に、そんな必要は……
map_0332#140	ただ……その、確かめてみようとしただけで……
map_0332#141	えっと、ここに「アノマリー」とかいうのが出たって聞いたから。
map_0332#142	何か手伝えることがないか、片付けを手伝おうかと思って。
map_0332#143	自分にできることを、とか、まあそんな感じで……
map_0332#144	ルナ: なるほど。
map_0332#145	ご立派な心がけですが、若様、見たところ、その件はすでに\PNによってすっかり解決されているようですよ。
map_0332#146	タカ: だよね……
map_0332#147	ええと、じゃあ。
map_0332#148	僕はもう……行くよ。
map_0332#149	ルナ: 若様。
map_0332#150	タカ: お願いだから……その呼び方、やめてくれよ。
map_0332#151	あれはもう、全部終わったことなんだ。
map_0332#152	今こそ終わりにしたいんだよ。
map_0332#153	君はもう、君自身の人間なんだから。
map_0332#154	ただの――ただの一人の女の子として。
map_0332#155	それらしく振る舞ってくれないか？
map_0332#156	ルナ: ……承知しました。
map_0332#158	タカ: ……えっと、まあ、そんな感じで。
map_0332#159	僕は……もう行くよ。
map_0332#160	あの、ごめんね、\PN。また……そのうち会おう？
map_0332#161	ルナ: 今のは、わたしの過ちでした。
map_0332#162	一瞬、わたしは過去に生きてしまっていました。
map_0332#163	結局、彼はわたしを望んではいなかったのですね。
map_0332#164	だからこそ、新しいご主人様を見つけなければならなかったのです。
map_0332#165	他者のために生きること――それが、わたしの育てられ方そのものなのです。
map_0332#166	それが、わたしにとって最も筋の通ったことのように思えます。
map_0332#167	もっと多くの人がそれを受け入れる気になれば、わたしたちの多くが救われるように思います。
map_0332#168	役割そのものも、奉仕そのものも。
map_0332#169	どちらも、担うにたやすい重荷ではありません。
map_0332#170	では、わたしはこれで失礼いたします。
map_0332#171	あなたに多くのことを目撃させてしまったことは心苦しく思いますが、いつもこの地方のために尽くしてくださって感謝しています。
map_0332#172	またお会いしましょう。
map_0332#173	これは、原因と結果の満ち引きについて、わたしたちに何かを示唆しているのかもしれません。
map_0332#174	ですが今は、嘆きに心を奪われすぎて、それを解き明かす余裕がありません……
map_0332#175	まず、もし先ほどわたしが察したものを本当に誰かに見られねばならなかったのなら、それがあなたであってほしかったかどうかは分かりません。
map_0332#176	もちろん、悪気があるわけではありません――むしろ、褒め言葉に近いくらいです。
map_0332#177	わたしたちの多くには、誇れない過去があるものですから。
map_0332#178	そして二つ目――より差し迫った話ですが……
map_0332#179	やはり、ここはずいぶんと寂しい場所ですね。
map_0332#180	わたしが自らの務めを果たせなかったという事実が、なおのこと寂しさを募らせます。
map_0332#181	彼の命に従いながらも、わたしは何もしないことで、守ると誓った血筋そのものに破滅を招いてしまいました。
map_0332#182	わたしを破滅させたものには、多くの因縁があります。
map_0332#183	そしてそれは、わたしの残りの日々すべてにわたって、良心に重くのしかかり続けるでしょう。
map_0332#184	他の場所での奉仕が、この完全に失敗した従者に、せめて目的と生きる意味を与えてくれることを祈ります。
map_0332#185	そして、もしそうでなかったとしても、
map_0332#186	彼が悔いを残さぬほどに、彼の最後の命令に応え続けられますように。
map_0332#187	「行け」と彼は言いました。
map_0332#188	「お前を幸せにすることを、何でもしに行くがいい」
map_0332#189	「それは命令ですか？」とわたしは尋ねました。
map_0332#190	彼はそうだと答えました。
map_0332#191	寛大な命令ではありましたが、それは寛大さから生まれたものではなかったと思います。
map_0332#192	むしろ、絶望から生まれたものでした。
map_0332#193	彼はおそらく、自分には得られなかったものを、わたしに与えたかったのでしょう。
map_0332#194	ですが今の彼なら――もし血筋の争いを生き延びてここにいたなら、どうだったでしょうか？
map_0332#195	？？？: ――確かめてやル。
map_0332#196	ルナ: 失礼、何か……おっしゃいましたか？
map_0332#197	？？？: 俺ハ――確かめたイんダ！
map_0332#198	タカ: 出タいんダ。
map_0332#199	ルナ: 若様……？
map_0332#200	タカ: 僕ハ――生きテる。
map_0332#201	生きテるっテ感じガする。
map_0332#202	ルナ: それは本当に……
map_0332#203	タカ: このミジめナ廊下ノ淀んダ空気ガ、こンなニ心地イいと感じタコとハなイ。
map_0332#204	全部焼キ払っテしまいタい。
map_0332#205	僕たちノ歴史ハ、もウ終わっタんダ。
map_0332#206	このロう獄モ、一緒ニ道連レにしヨう。
map_0332#207	ルナ: あなたは、この悪しきエネルギーに憑かれているのですね。
map_0332#208	タカ: 悪クなイぜ。
map_0332#209	ルナ: 新世界の本質、それが凶悪な創造主によって汚されたもの。
map_0332#210	それに包まれた者の、最も破壊的な側面を引き出さずにはおかないものです。
map_0332#211	タカ: 破壊的、だト？
map_0332#212	いヤ――最高ノ気分ダぜ。
map_0332#213	コレを手放シたクなイ。
map_0332#214	生マれテ初メテダ――燃エるヨうな欲望ってヤツハ。
map_0332#215	ルナ。
map_0332#216	今デも、まダ僕ノ側ニいテくれルカ？
map_0332#217	黒く染マっタ本質ナんカ知っタこっちゃネえ。
map_0332#218	僕ハ、滅ンだ王国ノ王子ダ。
map_0332#219	僕をご主人様ニ、シてくれルカ？
map_0332#220	ルナ: あなたの心は疫病に変えられ、あなたの魂は安らいでいません。
map_0332#221	本来ならば、こんな状態のあなたの衝動と無謀な振る舞いを、あえて助長するべきではないのでしょう。
map_0332#222	……ですが、白状しますと、一瞬の迷いもなくそうしてしまうでしょう。
map_0332#223	あなたに何度追い払われようとも、
map_0332#224	わたしの命は、いつもあなたのものです。
map_0332#225	タカ: いイ子ダ。
map_0332#226	じゃア、ヴァーディグナイトの在庫ヲ探シてくレ。
map_0332#227	マず、このミジめナ場所カラ、僕たち自身ヲ清メよウじゃなイか。
map_0332#228	ここニハ覚エておク価値なンて何モなイ。
map_0332#229	ルナ: 申し上げておかねばなりませんが、わたしたちは今もジャスパーワードの地下におります。
map_0332#230	支持構造が崩れれば、苦しむのは市民たちです。
map_0332#231	タカ: そンなこトで父上ハ止マらなカっタ。
map_0332#232	なンで今、僕たチが躊躇うんダ？
map_0332#233	タカ: いヤ、君ノ言うトおりダ。
map_0332#234	それハ行きすギだ――このオーラのせイだ。
map_0332#235	\PN。僕を、ここカラ連レ出シてくレ。
map_0332#236	出タいんダ！
map_0332#238	ルナ: 若様？
map_0332#239	タカ: ……あれ、本当に人をおかしくするんだな。
map_0332#240	ルナ: またご自分に戻られたようですね。
map_0332#241	タカ: ジェットコースターから放り出されて、そのまま車体に轢かれたみたいな気分だよ。
map_0332#242	あれがただの、とてつもなく長い悪夢だったって言ってくれよ。
map_0332#243	ルナ: 夢ではありませんでした。
map_0332#244	わたしたちにとっては、あなたはかなり長い間、いなくなっていたのです。
map_0332#245	ご無事なお姿を見て、とても安心しました、若様。
map_0332#246	タカ: だから、その呼び方は……
map_0332#247	待って、
map_0332#248	待って、僕、何か変なこと言ってなかったよな？
map_0332#249	ルナ: あなたは、わたしがまだお仕えするかとお尋ねになり、わたしは喜んでお応えしました。
map_0332#250	タカ: うわ、マジであんな喋り方してたのか。
map_0332#251	虚無に送り返してくれ。
map_0332#252	ルナ: 若様、そんな。
map_0332#253	嫌ではありませんでしたよ。
map_0332#254	目に炎を宿しているあなたの方がいい、と言う人もきっといるはずです。
map_0332#255	タカ: 炎、か……
map_0332#256	ルナ: 失礼、何か？
map_0332#257	タカ: また、人を危険にさらすところだった……
map_0332#258	ルナ: ですが、そこから我に返られました。
map_0332#259	タカ: 僕は、父上のようにはならない。
map_0332#260	人々の安全が何よりも優先されるべきなんだ。
map_0332#262	まあ、こんな場所でなら、小さな火くらい構わないだろうけど。
map_0332#263	ルナ: 壁は隅々まで石造りです。排煙が人々に及ぶこともないでしょう。
map_0332#264	大規模な業火であっても、脅威にはならないはずです。
map_0332#265	廊下を油と灰で満たしましょうか？
map_0332#266	タカ: それと、僕たちの後ろで入口を封鎖してくれ。
map_0332#267	ルナ: それは、命令ということでよろしいですか？
map_0332#268	タカ: ……
map_0332#269	ああ、そうだ。
map_0332#270	僕たちの過去を燃やし、思い出を埋葬しよう。
map_0332#271	そして先へ進んで、ようやく自分たち自身になるんだ。
map_0332#272	ルナ: 仰せのままに、若様。
map_0332#273	あなたが気概をすっかり失ってはいないと分かって、安心しました。
map_0332#274	\PN、外までご案内させてください。
map_0332#275	ほんの数瞬のきらめきの後には、もうここは安全ではなくなるでしょうから。
map_0332#276	ルナ: 過去は、あるべき姿のままに――繰り返されることなく、覚えられることなく。
map_0332#277	闇よ、それを連れ去り――決して手放さないでください。
map_0332#278	タカ: どんな「聖なる光」よりも、未来が明るくありますように。
map_0332#279	ルナ: あなたがそこに戻られたのですから、きっとそうなると思います。
map_0332#280	タカ: よし、でもさ、マジで？
map_0332#281	その呼び方、やめてくれよ。
map_0332#282	だいたい、僕の方が年上なんだから。
map_0332#283	ルナ: それは――
map_0332#284	タカ: ああ、それは命令だ。
map_0332#285	それが必要だっていうなら……まったく。
map_0332#286	……考えても仕方ありませんね。
map_0332#287	ただの嘆きです。
map_0332#288	あなたを煩わせるつもりはなかったのですが。
map_0332#289	ここでの用は済みましたので、すぐに戻ります。
map_0332#290	「人員名簿 第1巻」\n 読みますか？
map_0332#291	「コア
map_0332#292	イライアス・ヘイゼル――ピルクス
map_0332#293	ルーカ・ヘイゼル――アルニタク
map_0332#294	タウベ・アルカンタラ――もし機会さえあれば、ポラリス。
map_0332#295	フェニックス・アルカンタラ――ああ、だがなぜわざわざ？
map_0332#296	ミンタカ・アルカンタラ――いつか、その名にふさわしい者になれますように。」
map_0332#297	この本には、何枚かのばらばらの紙が挟み込まれている。
map_0332#298	読みますか？
map_0332#299	テーブルトークRPGのルールブックのようだ。
map_0332#300	「大混乱と隕石の魔法な珍道中！」と題されたノートの束がある。
map_0332#301	走り書きはまったく判読できないが、あちこちにキラキラの飾りが散りばめられている。
map_0332#302	以下のページは、それぞれ決まった書式に沿っている。
map_0332#303	「名前：チャッカ
map_0332#304	種族：翼あるもの
map_0332#305	属性：真なる中立
map_0332#306	レベル6 ドルイド」
map_0332#307	「名前：フィオンルメニ
map_0332#308	種族：半天使
map_0332#309	属性：中立にして善
map_0332#310	レベル6 クレリック」
map_0332#311	「名前：イヴェラーニャ・ロラセレー
map_0332#312	種族：ハイエルフ
map_0332#313	属性：秩序にして中立
map_0332#314	レベル6 ウィザード」
map_0332#315	「名前：ゾロ・フォン・ジルヒェンシュタイン
map_0332#316	種族：ヴァンパイア
map_0332#317	属性：混沌にして中立
map_0332#318	レベル5 ローグ」
map_0332#319	最後のページはしわくちゃで、クレヨンで書かれている。
map_0332#320	「名前：クランクスパークラー女王
map_0332#321	種族：オークだけどもっとデカい
map_0332#322	属性：混沌にしてドスケベ
map_0332#323	レベル69 おしりまじゅつし」
map_0332#324	はい
map_0332#325	いいえ
map_0333#0	カギがクリスタルに反応した！
map_0333#3	頑丈すぎて、壊すことも動かすこともできなそうだ……
map_0333#4	岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0333#5	爆破パウダーで開けてみますか？
map_0333#6	はい
map_0333#7	いいえ
map_0334#0	ベネット: ああ、そこに行っていたのですね。
map_0334#1	ルナを見つけるためにあなたの後をついていったのですが、途中で見失ってしまいました。
map_0334#2	ご心配なく、イライアスに頼まれたのではなく、自分の意志でここに来たのです。
map_0334#3	ルナに起きたことが間違っていたのは分かっています。ですが私たちは、本当に彼女のためを思ってのことだったのです。
map_0334#4	とにかく、そのことはもう水に流すことにしました。
map_0334#5	彼女を見つけて、謝罪するつもりです。
map_0334#6	それと――
map_0334#7	いえ、何でもありません。
map_0334#8	これはもうあなたには関わりのないことですので、私と彼女のことは放っておいていただけるとありがたいです。
map_0334#9	それでは。
map_0334#10	カギがクリスタルに反応した！
map_0336#0	カギがクリスタルに反応した！
map_0339#0	カギがクリスタルに反応した！
map_0340#0	クリスタルの光がゆがんだ！
map_0340#1	\PNはフィールド効果解説04を手に入れた！
map_0340#2	ダーククリスタルの洞窟の情報が閲覧可能になった！
map_0340#3	クリスタルの光がかすかに揺らめいている……
map_0341#0	カギがクリスタルに反応した！
