map_0000#1221	それだけじゃありません、なんとカイロスまで!
map_0000#1263	今日は、アメトリン山の山頂周辺でポケモンを探します!
map_0000#1264	代わりに、とても気になる話を聞いてしまいました!
map_0000#1265	アメトリンは雪をかぶった山頂と厳しい寒さで有名で、それに耐えられるポケモンはほとんどいません……
map_0000#1266	でも、ある報告によると、この氷の山頂に見慣れないポケモンが置き去りにされているそうです!
map_0000#1267	このポケモンは無事なのでしょうか?
map_0000#1268	この辺りのトレーナーの皆さん、無防備なまま置き去りにされたポケモンがいないか気をつけて、見つけたら安全を確保してあげてください!
map_0000#1269	今夜、アメトリンシティの大きな建物のそばを通りかかったとき、珍しいものを見つけて驚きました!
map_0000#1270	目の前の雪の中に、ひみつのコハクが半分埋まっていたんです!
map_0000#1271	残念ながら、そこへ子どもがやってきて、自分が落とした「宝物」だと言って持ち去ってしまいました。
map_0000#1272	でも、この辺りにはまだ他にもひみつのコハクが埋まっているかもしれません。
map_0000#1273	ご存じの方もいるかもしれませんが、アメトリンシティはその技術力の高さで、ちょっとした有名どころです。
map_0000#1274	この気候の中でも成り立つ数少ない産業のひとつなんです。
map_0000#1275	コンピューターを整理していると、時々奇妙なものが見つかります!
map_0000#1276	今日は、特定のポケモンの姿を実際に変えられる機械を見つけました!
map_0000#1277	動かすにはデータチップが必要ですが、持っていればいつでも自由に使えます!
map_0000#1278	今日はリボーンシティに戻ってきて、この地方に再び姿を見せるようになったポケモンたちを見て回っています!
map_0000#1279	言っておきますが、トレーナーの皆さん、戻ってきた野生生物の量と強さには、私もすっかり度肝を抜かれました。
map_0000#1280	つい先日の夜、ジャスパーワードを移動していたときのことです。信じられないかもしれませんが――
map_0000#1281	完全に進化しきった巨大なデンリュウが、静かな街並みをのっしのっしと歩き回りながら、光る尻尾を振り子のように揺らしていたんです。
map_0000#1282	こんなに穏やかな光景が、長い時を経てこの街に戻ってきたのを見るのは、本当に胸を打つ体験でした。
map_0000#1283	それだけではなく、こうした力強いポケモンたちが穏やかに戻ってきているという報告が、最近続々と届いています。
map_0000#1284	かつては、野生生物は汚染されたリボーンシティから逃げ出してしまったと考えられていました。
map_0000#1285	でも実際は、ただ戻ってこられる日を待っていただけだったのです。
map_0000#1286	リボーン・ポケモンウォッチでは、新しく浄化されたアズリン湖に、足先と釣り糸を浸してきました。
map_0000#1287	リボーンの水質浄化センターは、予想外の勢いで復活を遂げたようです。
map_0000#1288	かつて汚れきっていた水域から、あらゆる汚れを取り除くために、休みなく作業を続けています。
map_0000#1289	そしてそれに応えるように、ポケモンたちも戻ってきています。
map_0000#1290	かつての有毒な汚染の猛威をどうやって生き延びたのか、それは私たち人間にとって永遠の謎のままかもしれません。
map_0000#1291	でも、釣り人たちが再びこの湖でたくさんの種を見られるようになって喜んでいるのは、紛れもない事実です。
map_0000#1292	今朝、私たちのクルーの一人が、なんとシビビールを丸ごと釣り上げました!
map_0000#1293	映像をお見せしたかったのですが、残念ながらそのポケモンのでんき技のせいで、カメラの映像が焼き切れてしまいました。
map_0000#1294	それでも、この湖の底には、私たちの想像をはるかに超えるものが、まだまだ潜んでいるようです。
map_0000#1295	街の地下にある下水道で、珍しい個体を追いかけてきました!
map_0000#1296	最近再稼働した水質浄化センターを探索して生き物の気配を探していたところ、なんと超レアなヌメラに出くわしました!
map_0000#1297	もちろん、追いかけようとしたところ、そのポケモンはパイプのひとつに飛び込み、するりと奥の部屋へ逃げていってしまいました。
map_0000#1298	この紫色のポケモンを配管から引きずり出せる、他のトレーナーがいるかもしれません。
map_0000#1299	でも、私たちはハンターであって、配管工ではないので。
map_0000#1300	それに、あそこは今もまだ臭います。
map_0000#1301	ひどく。
map_0000#1302	今日は、トルマリン砂漠とその周辺を全力で探索しています!
map_0000#1303	砂漠そのものは、皆さんの予想どおり、かなり閑散としています――
map_0000#1304	でも、あえて人の通らない道に踏み込む覚悟のあるトレーナーには、何が待っているか分かりません。
map_0000#1305	しばらく探し続けて、とても奇妙な場所にたどり着きました。空が――
map_0000#1306	え?!
map_0000#1307	大丈夫ですか?!
map_0000#1308	ちょっと! ねえ、返事をして!
map_0000#1309	ちょっと待って――
map_0000#1310	視聴者の皆さん、映像が乱れてしまってすみません!
map_0000#1311	カメラマンが撮影していたところ、上の木から何かが落ちてきて、彼に直撃してしまったんです!
map_0000#1312	待ってください、ちょっと――
map_0000#1313	まったく、こんなものをどうやって持ち運んでいたんでしょうね――
map_0000#1314	ほら! 見てください!
map_0000#1315	テッシードです!
map_0000#1316	まさか、こんな場所の木の中にこんなポケモンが隠れていたなんて!
map_0000#1317	とにかく、クルーの一人が手当てを受けないといけないので、今日はここで失礼します!
map_0000#1318	たとえば、私たちのキャリアの中でも最大の発見をしたかもしれません。
map_0000#1319	今、私たちは砂の中にいるのですが、なんと、このリボーン地方の中で発見してしまいました――
map_0000#1320	本物の――
map_0000#1321	生きた――
map_0000#1322	伝説のポケモンを!
map_0000#1323	それどころか、この場所はそんなポケモンでいっぱいなんです!
map_0000#1324	それにしても、私たちはどうやってここに来たんでしょう……
map_0000#1325	以前も何度かこの場所を通ったはずなのに、そのときは何もなかったのに――
map_0000#1326	でも今は水が澄んでいて、この小さな子はとにかくかわいくて――
map_0000#1327	そういえば、以前は見えなかったのなら、もしかしてこの子の方から私たちを選んでくれたのでしょうか?
map_0000#1328	だとしたら、これを放送するのは失礼にあたるかもしれません……
map_0000#1329	うーん……すみません、トレーナーの皆さん、どうやらここは普通の方法ではたどり着けない場所のようです!
map_0000#1330	それでも――
map_0000#1331	実は昨夜、トルマリンの上にそびえるテクナイト尾根でキャンプをしていました!
map_0000#1332	そこで見たものは、驚き以上のものでした!
map_0000#1333	相棒に起こされて目を覚ますと、彼が今まで見た中で一番見事な流星群を撮影していたんです!
map_0000#1334	私たちは洞窟の中から安全に見守っていました。きらめく星々が空を彩りながら降り注ぎ、周りの山々に落ちていく様子を――
map_0000#1335	でも驚いたことに、その光は流れ星なんかじゃなくて――ポケモンだったんです!
map_0000#1336	そうです、メテノです。天から降りてきて、私たちに挨拶してくれました!
map_0000#1337	地面のあちこちにクレーターがあるところを見ると、この場所はもともとよく落ちてくる場所なのかもしれません!
map_0000#1338	それなのに、朝になるころには、もう全員いなくなっていました。
map_0000#1339	それでも、これで分かりましたね――こういうポケモンが欲しいなら、テクナイト尾根は夜に訪れる価値がある場所です!
map_0000#1340	今日は、カルネリア地方北東部、4番道路とアゲートシティ周辺を探索します!
map_0000#1341	この辺りにはどんなポケモンが住んでいるのでしょう? 見てみましょう!
map_0000#1342	そして案の定、ここにはすでに見る価値のあるものがありました……
map_0000#1343	ストライクです!
map_0000#1344	この人気の高いポケモンは、ここではめったに姿を現さないようですが、ご安心を、その美しさは健在です!
map_0000#1345	特にあのストライクは飛び去ってしまいましたが、どうやらもっと過ごしやすい場所を求めているようですね……
map_0000#1346	結局のところ、暖かい環境の方が好みなのかもしれません?
map_0000#1347	この道を進んでいたのですが……ご存じのとおり、この崖と滝続きのせいで、なかなか波乱含みの冒険になっています!
map_0000#1348	残念ながらちょっとした事故があり、機材の半分が川に流されてしまいました!
map_0000#1349	でも私たちは無事ですし、残りの半分にはむしろ良い仕事をしてもらいました――見てください、あそこ!
map_0000#1350	この寄り道のおかげで、まさにツタージャの巣のど真ん中にたどり着きました!
map_0000#1351	それに、ジャローダまでいます!
map_0000#1352	人の通らない道に外れると、何が見つかるか分かりませんね!
map_0000#1353	時には、ちょっとした失敗こそが必要なんです!
map_0000#1354	皆さん、聞いてください、たった今、人生で一番の恐怖を味わいました!
map_0000#1355	この霜に覆われた丘で、廃墟になった建物を見つけたので、中にポケモンがいないか見てみようと思ったのですが……
map_0000#1356	それには答えられません。だって、機械に襲われて、命からがら逃げ出すことになったんですから!
map_0000#1357	この赤い目の機械は、ちょっとした挑発だけで誰でも叩きのめそうとしているようでしたが、その裏に何かあるのでしょうか?
map_0000#1358	逃げる際に電源ケーブルを引っかけて閉じ込めてしまったので、真相は分からずじまいかもしれません――
map_0000#1359	でも、勇気あるトレーナーになら、何が待っているか分かりませんよ?!
map_0000#1360	狩りを楽しんでください、トレーナーの皆さん! そして、乱数があなたに味方しますように!
map_0000#1361	では、リボーンシティの現地天気予報です!
map_0000#1362	続いていた乾燥した日々を抜けて、この高い気温はこれから1、2日で落ち着く見込みです。
map_0000#1363	最近見られていたにわか雨は、今後1日ほどで収まっていくでしょう。
map_0000#1364	ここ数日続いていた強風とにわか雨は、まもなく弱まっていく見込みです。
map_0000#1365	この雨はまもなくやみ、東寄りの風が新しい空模様を運んでくるでしょう。
map_0000#1366	ここ数日、ようやく天候の変化が見られそうです!
map_0000#1367	このふぶきも、ここ数日でようやく落ち着いてくるかもしれません!
map_0000#1368	この晴天が荒れ模様の天気からの一息をくれていますが、この先も続くとは限りません。
map_0000#1369	このあとは暑い日が続き、強風と高い気温を伴うでしょう。
map_0000#1370	今後数日はにわか雨が続く見込みです。
map_0000#1371	ただし、今後数日は強風と弱い雨が入り込んでくるでしょう。
map_0000#1372	一方、寒気が入り込んできており、今後数日は低い気温が続きます。
map_0000#1373	一方、寒気が入り込んできており、今後数日は小雪や雨が続くでしょう。
map_0000#1374	とはいえ、この後は晴天が続く見込みです。この先数日、楽しみにしていてください!
map_0000#1375	ただし、すべてが順調というわけではなく、ふぶきがリボーンシティに向かってまっすぐ進んでいるようです!
map_0000#1376	この後、変わりやすい天気が続く見込みです。続報にご期待ください!
map_0000#1377	弱い雪から始まり、その後は不安定な天気が続く見込みです。続報にご期待ください!
map_0000#1378	今後数日の情報は随時お伝えします。
map_0000#1379	今後数日は気温が急上昇し、晴天、強風、そしてソーラービームもかすむほどの日差しが続くでしょう。
map_0000#1380	街全体で弱い雨から始まる見込みです。
map_0000#1381	でも心配はいりません、その雨もまもなく晴れ間と晴天の日々に取って代わられるでしょう!
map_0000#1382	今後数日は気温が下がり、雨模様と強風の境目に差しかかります。
map_0000#1383	今後数日は、にわか雨が降ったりやんだりを繰り返す見込みです!
map_0000#1384	今後数日は、雨続きになるかもしれません!
map_0000#1385	近づいている嵐は数日ほどで収まる見込みです。傘を用意して、しっかり備えてください!
map_0000#1386	リボーンでは現在降雪が見られますが、この程度の積雪は今週いっぱいは続かないでしょう。
map_0000#1387	今後数日で気温が上昇し始め、雪は雨に変わっていくでしょう。とはいえ、この大雨がやむ気配はまだありません!
map_0000#1388	現在、気温は記録的な低さですが、空は晴れています。お出かけの予定がある方は、しっかり防寒してください!
map_0000#1389	リボーンシティに、まさに雪の季節がやってきました! この降り方だと、まるでアメトリンにいるみたいですね!
map_0000#1390	積雪量はわずかですが、このふぶきは今後数日、一定して続く見込みです。
map_0000#1391	今後数日は東寄りの風が入り込み、雨をもたらすでしょう!
map_0000#1392	ただし、この嵐は長続きしないと見られ、まもなく晴天が戻ってくるでしょう。
map_0000#1393	今週は弱い雪から始まり、その後強風が入り込み、にわか雨が続く見込みです。
map_0000#1394	この荒れた天気の後には、希望の光もあります。もうすぐそこまで晴天が近づいています。
map_0000#1395	暖かくして、頑張ってください、リボーンシティ!
map_0000#1396	涼しくして、頑張ってください、リボーンシティ!
map_0000#1397	不安定な岩を揺らしたことで、粉薬がだめになってしまった!
map_0000#1398	アヤ: あたし、あんまり役に立たないのは分かってるけど、盾代わりに使うのはやめてほしいな。
map_0000#1399	アヤ: みんな、大丈夫だよね?
map_0000#1400	あ、あたしが聞いてたって言わないで。
map_0000#1401	アヤ: 一直線だって、そう言ってたよね。
map_0000#1402	すぐそこの角だって、そう言ってたし。
map_0000#1403	アヤ: ねえ。
map_0000#1404	あの、我慢してくれてありがと。
map_0000#1405	別に変な意味じゃないから! ただ、言うべきかなって思っただけ。
map_0000#1406	そして、今週のリボーンシティの天気予報です!
map_0000#1407	週末は晴天が続きますが、火曜日は気温が上昇する見込みです。
map_0000#1408	とはいえ、水曜日の強風が嵐を運んでくるため、これは長くは続きません。この嵐は数日ほど居座るでしょう。
map_0000#1409	週の半ばに嵐が上陸します。数日後には晴れますが、土曜日の昼ごろには強い日差しの危険があります。ただ、日曜日の強風でそれも吹き払われるでしょう!
map_0000#1410	雨がちな一週間になりそうです! 水曜日から大きな嵐がやってきます。木曜日は雷雨、その後もにわか雨が続き、土曜日の強風でようやく吹き払われるでしょう。
map_0000#1411	今週は暑い、暑い、暑い一週間になります! 一週間ずっと晴天が続きますが、街に停滞するその空気のせいで、週末にかけて気温が急上昇する見込みです。幸い、日曜日には強風が入り込んで空気を入れ替えてくれるので、その後は平常に戻るでしょう。
map_0000#1412	今週はにわか雨に注意です! 月曜日と金曜日には軽い嵐、火曜日には強風が予想されます!
map_0000#1413	リボーンは今週、かなり晴れ間の多い一週間になりそうです! 月曜日と木曜日は強風が吹きますが、それ以外はとても穏やかな一週間です!
map_0000#1414	なかなかの天気の変化が訪れます! 金曜日と土曜日は晴天、日曜日にはかなりの猛暑が入り込み、月曜日には強風、そしてそこから先はもう雨、雨、雨です! この激しい雷雨は2日ほど続き、木曜日にはおさまる見込みです。
map_0000#1415	気をつけて、リボーンシティ!
map_0000#1416	ここでは使えない。
map_0000#1417	\PNはマニーに申込書を見せた。
map_0000#1418	マニー: 何それ、それ何?
map_0000#1419	建設の仕事?
map_0000#1420	これって、俺たちが自分たちで街の復興を手伝ってたときと同じじゃないか、
map_0000#1421	でも、お金がもらえるのか?!
map_0000#1422	すごいな、俺にもできるぞ!
map_0000#1423	それ、最高じゃん! あの時と同じって感じだよな?
map_0000#1424	すぐに書き込むよ。ありがとな!
map_0000#1425	これは俺には難しすぎるよ、相棒!
map_0000#1426	こんな仕事、俺にはとても無理だ。
map_0000#1427	俺はいつも、次に何をすればいいか教えてもらわなきゃダメなんだ。街を立て直してたときもそうだったろ。
map_0000#1428	何かそういう感じの仕事、ないのか?
map_0000#1429	\PNはクリズに申込書を見せた。
map_0000#1430	クリズ: え? それって……
map_0000#1431	ザ・スパイスの求人票……
map_0000#1432	ラインコックの仕事?
map_0000#1433	それは……無理。ラインの料理の仕方なんて知らないし。
map_0000#1434	でも待てよ、他の料理ならできるぞ。毎日料理してるし!
map_0000#1435	だから、もしかしたら、もしかしたらだけど、美味しいラインの料理だって作れるようになるかもしれない!
map_0000#1436	よし! やってみる!
map_0000#1437	先に行っててくれ!
map_0000#1438	ただの求人票だろ?
map_0000#1439	前にも言ったけど、雇い主が欲しがるようなスキル、俺には何もないよ。
map_0000#1440	俺にできるのは料理と寝ることだけ。あとはマグマ団とつるむことくらい。
map_0000#1441	俺みたいな役立たずのことは気にしなくていいから。
map_0000#1442	\PNはデファクトに申込書を見せた。
map_0000#1443	デファクト: それで、今度は何を調達してきたんだ?
map_0000#1444	ベリル図書館の求人票……
map_0000#1445	いつからあそこに図書館なんてあったんだ?
map_0000#1446	これで、また一つ有益なことを学んだわけだな。
map_0000#1447	よかろう、承服しよう。なかなか興味をそそられる話だ。
map_0000#1448	訪ねてみるとしよう。またな。
map_0000#1449	何か別の、取るに足らない求人票か?
map_0000#1450	何とも陳腐なことだ。
map_0000#1451	そんなものから学べることなど、何もない。
map_0000#1452	私はむしろ、知識を貪り尽くせるような場所にいたいものだ。
map_0000#1453	\PNはブレークに申込書を見せた。
map_0000#1454	ブレーク: おや?
map_0000#1455	薬売りの仕事をしてほしいって?
map_0000#1456	メガニウムのために?
map_0000#1457	科学よりまじないを信じるような、何も知らない消費者たちに、効能の怪しい薬品を売りつけろと?
map_0000#1458	なるほど。
map_0000#1459	それなら、うってつけの人材を見つけたな。
map_0000#1460	一分だって無駄にしないよ。それじゃあね!
map_0000#1461	なんて興味深い!
map_0000#1462	ただの反故紙じゃないか!
map_0000#1463	インクがしみ込んでる!
map_0000#1464	私は、刷りたてのインクの匂いが大好きでね。
map_0000#1465	特に、嗅ぎすぎてふらふらしてくる感じがたまらない。あっという間に意識が飛ぶんだ!
map_0000#1466	最高だよ! 健康にはよくないかもしれないけどね!
map_0000#1467	健康が欲しいなら、カノコソウの根を試すといい。確実に意識を飛ばしてくれるし――おまけに体にもいいんだ!
map_0000#1468	唯一の難点は、北向きのスカタンクの南側みたいな匂いがすることだけどね!
map_0000#1469	\PNはピアースに申込書を見せた。
map_0000#1470	ピアース: ……
map_0000#1471	アポフィルビーチ、か。
map_0000#1472	街よりはましだな。
map_0000#1473	行くよ。
map_0000#1474	図書館、か。
map_0000#1475	静かなのは認めるよ。
map_0000#1476	でも、人はいつだって助けを求めてくる。
map_0000#1477	本の場所を聞いたり、おすすめを聞いたり……
map_0000#1478	そういうの、関わりたくない。
map_0000#1479	だから、やめとく。
map_0000#1480	うるさすぎる。
map_0000#1481	人が多すぎる。
map_0000#1482	やめとく。
map_0000#1483	\PNはダームに申込書を見せた。
map_0000#1484	ダーム: フン!
map_0000#1485	サーカスの仕事だと!?
map_0000#1486	俺には無縁だな。
map_0000#1487	とはいえ、大勢の前で見せつけるのは楽しいかもしれない……
map_0000#1488	ちょっと見せてみろ。
map_0000#1489	「応募条件: 腕相撲」だと?!
map_0000#1490	誰かとちょっと腕相撲するだけで仕事にありつけるのか?!
map_0000#1491	仕事なんかどうでもいい! これは俺個人へのチャレンジだ!
map_0000#1492	行ってくる!
map_0000#1493	こんな仕事、俺の力には見合わなすぎる!
map_0000#1494	俺は筋肉で人々を魅了するべきなんだ、注文を取ったり物を売ったりじゃなくてな!
map_0000#1495	それこそが力ってものだ!
map_0000#1496	驚きと興奮! 本物のショーだ!
map_0000#1497	そういうのを見つけてきたら、また話そう!
map_0000#1498	\PNはラジーに申込書を見せた。
map_0000#1499	ラジー: 何見つけたの? 何か面白いもの?!
map_0000#1500	え? 会社勤め? それ超つまんない……
map_0000#1501	あまいキッス菓子店の関連?!
map_0000#1502	ロックキャンディーとか売ってる? 子どものころ以来食べてないんだよね!
map_0000#1503	あ! レッドホッツはどう?!
map_0000#1504	おばあちゃんが、レッドホッツを砕いて混ぜたリンゴソースを作ってくれてね、あれ絶品だったんだ!
map_0000#1505	これ、めっちゃ楽しそう! あたし、やる!
map_0000#1506	うわ、サーカス?!
map_0000#1507	それ最高じゃん!
map_0000#1508	でもリボーンシティの外だし……
map_0000#1509	そんなところで働くなんて無理だよ。
map_0000#1510	他に何かない?
map_0000#1511	え? これ、全然面白くなさそう!
map_0000#1512	近くて、明るくて楽しいところ、何かないの?
map_0000#1513	美味しいご飯があったらなおいいな!
map_0000#1514	てか、仕事中に食べていいの?
map_0000#1515	\PNはニヒルに申込書を見せた。
map_0000#1516	ニヒル: どうでもいい。
map_0000#1517	ナイトクラブが求人出してる。
map_0000#1518	はいはい、分かったよ。お前の勝ちだ。
map_0000#1519	見に行ってやるよ。
map_0000#1520	それと、あー、
map_0000#1521	……ありがとな、たぶん。
map_0000#1522	聞いてなかったのか? どうでもいいって言っただろ。
map_0000#1523	この街には、俺に釣り合うほどイケてる仕事なんてない。
map_0000#1524	分かりきったことだろ?
map_0000#1525	俺くらい特別な人間が働くような場所は、そう多くない。
map_0000#1526	だからもう放っておいてくれ。聞いたか?
map_0000#1527	\PNはアーチャーに申込書を見せた。
map_0000#1528	アーチャー: ふむ……
map_0000#1529	シルフカンパニーは、経営管理の実務経験を最低2年求めている、か……
map_0000#1530	なるほど、アクア団もなかなか儲かる商売だったようだな。
map_0000#1531	ああ、その肩書きでは通らないか。では手早く、今は空になったこの組織をアクア・インコーポレイテッドと改名するとしよう。
map_0000#1532	それなら十分な資格になるだろうし、細かい部分は私が難なく取り繕える。
map_0000#1533	この仕事は私にぴったりだ、感謝する。
map_0000#1534	君は私たち全員にとって、真の友人だった。
map_0000#1535	これを最後の贈り物として受け取ってくれ。
map_0000#1536	マグマ団から解放したポケモンの一匹だ。
map_0000#1537	持たせている道具は、私からの個人的な選りすぐりだ。
map_0000#1538	アーチャー: さらばだ、\PN。
map_0000#1539	ああ、それと、君を職務経歴の照会先として記載しても構わないかな。
map_0000#1540	これが本当に最善なのか?
map_0000#1541	他の連中と比べれば、もう少しましなものが得られてもいいはずだが。
map_0000#1542	経歴もかなりきれいに保ってきたつもりだ、問題にはならないだろう。
map_0000#1543	もっと実入りのいいものは、なかったのか?
map_0000#1544	アーチャー: ん? もう他の者たちの分は片づけたのか?
map_0000#1545	今は彼らを最優先にすべきだ。
map_0000#1546	私自身もじきに職を探すことになるだろうが、彼ら全員の職が決まる前に、私が横取りするような真似はしたくない。
map_0000#1547	\PNはマクスウェルに申込書を見せた。
map_0000#1548	マクスウェル: よし、見てみよう!
map_0000#1549	ソリス? 聞いたことないな。
map_0000#1550	だが、あそこの仕事内容は、まさに俺が探してたようなやつだ。
map_0000#1551	いい仕事を見つけてきたな、\PN!
map_0000#1552	お前になら任せられると思ってたぜ!
map_0000#1553	ええと……社会福祉の実務経験2年、か?
map_0000#1554	マグマ団の活動だって、それなりに「社会的」だったと言えるだろ。問題ないな!
map_0000#1555	とにかく、俺たちにずっと付き合ってくれてありがとな。
map_0000#1556	お前が初めてこのしがない路地に現れたときは、こんな奴だとは思ってもみなかったよ。
map_0000#1557	でも今じゃ、お前の噂は俺の耳にも届いてる。
map_0000#1558	知ってる奴と結びつけるのに時間がかかったけどよ、みんなが言う「リボーンを救ってる奴」って、お前のことなんだろ?
map_0000#1559	しかも、名声なんてこれっぽっちも気にしちゃいないんだろ?
map_0000#1560	とんでもない奴だぜ。
map_0000#1561	これを持ってけ。
map_0000#1562	アクア団からの、最後の「ありがとう」の印だ。
map_0000#1563	あ、それと、そのアイテムはちょっとしたおまけで俺が付け足したやつだ。
map_0000#1564	マクスウェル: またな!
map_0000#1565	それと、お前の栄光を絶対に手放すんじゃねえぞ、相棒!
map_0000#1566	うーん……
map_0000#1567	せっかくここまでしてくれたのに、無礼なことは言いたくないんだけど……
map_0000#1568	でも、これのどこに栄光があるんだ?
map_0000#1569	ただの普通の仕事だっていうなら、そんなもので一体誰の人生を変えられるっていうんだ。
map_0000#1570	もちろん、直接誰かの力になれるような仕事が空くまで待つのはやぶさかじゃないけどな。
