map_0828#37	シェイド: そのような舞台に、恥はない。
map_0829#0	今回の対戦のフィールドは……
map_0829#1	\v[1]!
map_0829#2	\v[574]
map_0829#3	ミュウツー: ……ツー!!!!!
map_0829#4	アテンダント: あ、あの。
map_0829#5	何が起きたのか理解できませんが、もう二度とこの話はしないでおきましょう!
map_0829#6	ご参加ありがとうございました。パーティを回復させますね。
map_0829#7	次はバトル\v[776]です。準備はいいですか?\ch[564,0,続ける,休憩する,引退する]
map_0829#8	本当にチャレンジをやめますか?
map_0829#9	セーブして、また後で続けますか?
map_0829#10	セーブしました。
map_0829#11	はい
map_0829#12	いいえ
map_0830#0	コータスがあなたに煙を吹きかけてくる。
map_0830#1	インスペクター: よう、また来たな。
map_0830#2	こいつが必要か?
map_0830#3	インスペクター: よう。
map_0830#4	遠慮なく見ていってくれ。
map_0830#5	ここにあるものは全部、相棒のコータスの手を借りて手作りしたもんだ。
map_0830#6	普段は別の仕事があるんだが……
map_0830#7	犯罪が減ってるおかげで、仕事がちょっと少なくてな。
map_0830#8	男は自分にできることをするしかないからよ、小銭でも恵んでもらえるとありがたいぜ。
map_0830#9	インスペクター: また顔を見せてくれよ。
map_0831#0	鍵がかかっている。
map_0831#1	ルナ: こんにちは、\PN、ようこそ。
map_0831#2	前回別れたのも、ここからそう遠くない場所でしたわね、
map_0831#3	もっとも、あの時とは随分違って見えるけれど、そうではなくて?
map_0831#4	変化の潮流には、何ものも逆らえません、
map_0831#5	無そのものでさえも。
map_0831#6	あなたには、リンがこの新しい世界でわたくしたちの世界を上書きするのを防いでいただいたこと、永遠に恩義を感じておりますわ。
map_0831#7	けれど、わかっていただかなくては、
map_0831#8	この夢を現実にしてくれたことについて、わたくしはリンにも恩義があるのです。
map_0831#9	闇の美しさとは、その無限の可能性にこそある――いつもそう申しておりましたでしょう?
map_0831#10	手の届かぬ先に何があるかなど、決してわからないもの、
map_0831#11	それが恋人の温かな抱擁なのか、
map_0831#12	それとも悪魔の顎門なのか。
map_0831#13	ここには、その両方が存在いたします。
map_0831#14	これほど心地よい際はないと思いますの。
map_0831#15	これほど味わい深い喜びも……
map_0831#16	けれど、話が逸れましたわね。
map_0831#17	あなたがいらしたのは、楽しみのためではなく用件のためでしょう。
map_0831#18	ノエルとお母様……
map_0831#19	アンナ、ノエルとお母様……
map_0831#20	ご安心を、みな無事ですわ。
map_0831#21	眠ってはいますが、無事です。
map_0831#22	何しろ、最悪の悪夢でさえ、目覚めた世界よりは安全なのですから。
map_0831#23	とはいえ、そろそろ起きる頃合いではなくて?
map_0831#24	いつも通り、\PN、進む道はあなたが選ぶものです。
map_0831#25	ルナ: いつも通り、\PN、進む道はあなたが選ぶものです。
map_0831#26	ルナ: いつの日か、この芽生えたばかりの世界は、わたくしたちのどんな世界をも凌ぐ幻影と風景を生み出すことでしょう。
map_0831#27	けれど、筆を取ったばかりの画家のように、今この瞬間に生み出せるものはまだかなり限られていますの。
map_0831#28	時が経ち、経験と歴史とともに成長するにつれ、その創造物はますます複雑になっていくでしょう、
map_0831#29	山々を旋律に、瞬間を動機として、その一筆一筆が重なり合い、まるで美しいカノンを築き上げていくかのように。
map_0831#30	その頂点の演奏を聞くまで、わたくしがまだここにいられることをただ願うばかりですわ。
map_0831#31	今のところ、そのような壮大なものではなく、
map_0831#32	むしろ二つの歌が重なり合って、聞き手の耳を奪い合っているようなものです。
map_0831#33	わたくしたちの世界も、それと絡み合っているのがわかるはずですわ。
map_0831#34	特に、わたくしのご主人様の館に絡みついているようですの。
map_0831#35	あちらをご覧なさいな。
map_0831#36	ルナ: あそこからなら、まだわたくしたちの世界に足を踏み入れることができますわ。
map_0831#37	あの世界の断片が、この現実の裏や隙間に孤立して残っているのです。
map_0831#38	だからこそ、ご主人様の城を探索するはずだったただの旅が、それぞれこの領域に閉じ込められる結果になったのですわ。
map_0831#39	けれど、それらの断片が、目に見えるものと完全に一致するとは限りません。
map_0831#40	扉に鍵がかかっているなら、その向こうには何もないも同然なのです。
map_0831#41	そして今回は、まさにそれが真実ですわ。
map_0831#42	電球のないランプのように、わたくしたちが求めるものは、まだそこには存在していないのです。
map_0831#43	ルナ: ご安心を。
map_0831#44	これほど不安定な世界であれば、点と点をつなぐ方法が――いわば――きっとあるはずですわ。
map_0831#45	それぞれの扉の向こうにあるべきものを探し出して、あるべき場所へと収まるようにいたしましょう。
map_0831#46	ルナ: それぞれの扉の向こうにあるべきものを探し出して、あるべき場所へと収まるようにいたしましょう。
map_0831#47	ルナ: これで、わたくしたちの世界の両端が縫い合わされましたわ。
map_0831#48	そのために必要な針が、この場所に置き去りにされていたのも、意外なことではないでしょう。
map_0831#49	リンは、この新世界を自分の遊び場、いわばおもちゃ箱のようなものにするつもりだったのではと思いますの……
map_0831#50	世界同士を縫い合わせられるなんて、なんて危険なおもちゃなのかしら?
map_0831#51	まさに彼女の好みそのものでしょうね。
map_0831#52	とはいえ、これからは他の者たちもいますわ。
map_0831#53	その者たちに手が届くことを願いましょう。
map_0831#54	ルナ: 針は危険かもしれませんが、それを子供たちから取り上げるべきだとは思いませんの。
map_0831#55	何しろ、正しい扱い方を学べるのは、経験を通してだけですから。
map_0831#56	ルナ: ノエルをご覧になったのですね?
map_0831#57	ご心配なく。すぐに彼のところへつながるはずですわ。
map_0831#58	ルナ: どうやら、ここが最後の目的地のようですわね。
map_0831#59	ご安心を、他の方々は無事にこの場所から連れ出されていますわ。
map_0831#60	目の前の試練にだけ、集中いたしましょう。
map_0831#61	そのために、知っておいていただきたいことがございます。
map_0831#62	このクレセリアは、無数に広がるこの新世界の中で生み出されたもの、
map_0831#63	その結果、アノマリーの発生源となっています。
map_0831#64	そのアノマリーとは、クレセリアを包み込む渦巻くオーラのことですわ。
map_0831#65	惑星の重力が衛星を留めておくように、他のポケモンを引き寄せ、強化し、導く効果があるのです。
map_0831#66	アノマリーに立ち向かう際は、この「衛星」にも対処する心構えをしておいてくださいませ。
map_0831#67	アノマリーの発生源であるポケモン自身も、影響を受けます。
map_0831#68	例えば、アノマリーによって力が増していたり、生命力が回復していたりすることがあるでしょう。
map_0831#69	けれど、恐れる必要はありませんわ。
map_0831#70	アノマリーを倒せば消え去り、あとには発生源だけが残ります。
map_0831#71	その発生源はその後も元気なままかもしれませんが、力は大きく弱まっているはずです。
map_0831#72	その時点で、お望みなら捕らえることができますわ。
map_0831#73	ここまでで、わかりましたか?
map_0831#74	ルナ: 結構ですわ。
map_0831#75	ルナ: 混乱させてしまい、申し訳ありません。
map_0831#76	もっと簡単に言えば、これらの伝説のポケモンとの対決は、二段階のものだとお考えください。
map_0831#77	まず、アノマリーとそれに付き従うポケモンと戦います。まるでトレーナー戦のように。
map_0831#78	次に、野生の伝説のポケモンと直接向き合うのです。
map_0831#79	ですが、これ以上長話はやめておきましょう。
map_0831#80	何しろ、アンナが待っているようですから。
map_0831#81	ルナ: それに、待っているのは彼女だけではなさそうですわね。
map_0831#82	ルナ: 何しろ、クレセリアも待っているようですから。
map_0831#83	クレセリア: リイイイイイイイイイイイイ!
map_0831#84	クレス……?
map_0831#85	ルナ: お久しぶりですわね、いつものように。
map_0831#86	第二段階が、今始まります。
map_0831#87	エネルギーが払われ、防御が弱まっています。
map_0831#88	捕まえたいなら、今がその時ですわ。
map_0831#89	ルナ: 戻ってきますわね。
map_0831#90	もう一度、お願いできますか、\PN?
map_0831#91	クレセリア: クレス!!!
map_0831#92	ルナ: これで、終わりましたわね。
map_0831#93	予想通り、見事な手際でしたわ。
map_0831#94	けれど、もうここでやることは何もないようですわね。
map_0831#95	お城は元通りにはなりませんが、ご主人様もこの模様替えをそこまで気にはなさらないと思いますわ。
map_0831#96	一方で、この世界はあまりにも急速に発展してしまい、もうこの場所の近くには何もないのが心配ですわ。
map_0831#97	別の入口に頼る必要がありそうですが、それでもこの場所で彼を見つけられる可能性はまだございます。
map_0831#98	そのためには、いずれまた光の中へ戻らなくてはなりませんわね。
map_0831#99	ルナ: おかしなこと。
map_0831#100	彼女は、他の皆のようには目を覚まさないのですか?
map_0831#101	呼吸は確かにしていますけれど……
map_0831#102	けれど、彼女を眠らせていたのがクレセリアでなかったのなら、一体何だったのでしょう?
map_0831#103	まさか、ただ甘い夢を見ているだけ、ということはないでしょうね?
map_0831#104	いずれにせよ、彼女を無事な場所へ連れて行く責任は、わたくしが持ちますわ。
map_0831#105	何しろ、彼女にはいくつも借りがありますから。
map_0831#106	ああ、そういえば、星雲を探索していたときにこれを見つけましたの。
map_0831#107	あなたが戻ってきたのなら、これも何かの役に立つかもしれませんわね。
map_0831#108	ルナ: いつも通り、楽しいひとときでしたわ。
map_0831#109	ナイトクラブが、この場所を探索する拠点として使われていると聞きましたが?
map_0831#110	そちらまで、ご一緒しませんこと?
map_0831#111	ルナ: では、参りましょう。
map_0831#112	ルナ: よろしいでしょう。
map_0831#113	また、わたくしたちの運命が交わる時まで~
map_0831#114	はい
map_0831#115	いいえ
map_0832#0	鍵がかかっている。
map_0832#1	ラドマス: 本当に彼女を目覚めさせられると思っているのか?
map_0832#2	ノエル: いや、僕には目覚めさせられない。
map_0832#3	彼女は眠っているわけじゃない。
map_0832#4	ちょっと違うんだ。
map_0832#5	ゆめやみ症が何なのか、わかってる?
map_0832#6	ラドマス: ああ、望むほどには研究が進んでいないが、
map_0832#7	本質的には、現実を変える力を得た者たちの症候群だ……
map_0832#8	だが現実というものは本質的に恒常性を保とうとする――エネルギー保存の法則なんかもあってな――変化を起こすには、何かを犠牲にしなければならない。
map_0832#9	それは時に意識だったり、
map_0832#10	時に肉体だったり、
map_0832#11	時にはこの世界における存在そのものだったりする。
map_0832#12	アレルギーのようなものだ、という説もある、
map_0832#13	その人物そのものが刺激物となり、物理的な状況がその人物にアレルギー反応を起こすというわけだ。
map_0832#14	だからこそ、自身の健全さを保つために、強引にその人物を排除しようとする。
map_0832#15	ノエル: そうかもね。
map_0832#16	でも、「現実」なんていう恣意的な概念の話じゃないんだ。
map_0832#17	その人自身の話なんだよ。
map_0832#18	本を読む時間を減らして、その分彼女の話をもっと聞いてれば、わかったはずだよ。
map_0832#19	ラドマス: ……追いかけるのに必死になりすぎて、結局彼女を追い越して走り抜けてしまう、
map_0832#20	そう言いたいのか?
map_0832#21	ノエル: それか、まったく違う方向に走ってたか。
map_0832#22	アンナが必要としてたのは、安心できるって感覚だけだった。
map_0832#23	誰もそれを与えられなかったから、自分でそれを作ったんだ。
map_0832#24	いなくなった時にしか安心できない人もいる。
map_0832#25	アンナは眠っている時に安心できる。
map_0832#26	ラドマス: だが、リンはもう脅威ではないだろう……
map_0832#27	ノエル: もう出てきても安全だって、伝えてくる。
map_0832#28	アンナ: ……ノエル?
map_0832#29	お父さん……?
map_0832#30	アンナ: それと……\PN。
map_0832#31	お……おはよう?
map_0832#32	すごく……変な夢を見てた。
map_0832#33	あたしがリンだって夢を見て――
map_0832#34	それが……怖かった。
map_0832#35	ノエル: 大丈夫だよ、アンナ。
map_0832#36	もう全部終わったから。
map_0832#37	マシェード: シイイイイ?
map_0832#38	シイイイ!!!
map_0832#39	セラ: んん……
map_0832#40	セラ: そんなに飲んでなかったはずよね……?
map_0832#41	セラ: あら、あなたね……
map_0832#42	会うのは、あれ以来ね……
map_0832#43	ラブラドラのトーナメント以来、よね?
map_0832#44	てっきり、もう会えないものだと思ってたわ。
map_0832#45	セラ: それで、また会えて嬉しいわ、とか何とか言うべきなんでしょうけど……
map_0832#46	でも、一体どうしてここにいるの?
map_0832#47	セラ: ……
map_0832#48	訂正するわ――どうしてあたしがここにいるの?
map_0832#49	ここ、サーナイトの部屋よね?
map_0832#50	ええと……だったわよね?
map_0832#51	まさか、彼女がまた現れたなんてことは、ないでしょうね?
map_0832#52	念のため、ちょっと見てくるわ。
map_0832#53	セラ: 一体何なのよ?!
map_0832#54	まだ意識が飛んだままってことは、ないわよね?
map_0832#55	ルナ: お母様。
map_0832#56	セラ: 何よ?!
map_0832#57	ああ、ルナ、あなたなのね……
map_0832#58	もう、びっくりさせないでよ。
map_0832#59	何が起きてるのか、さっぱりわからないし、
map_0832#60	ここがどこなのかも……
map_0832#61	セラ: 待って、ルナ?!
map_0832#62	ルナ: 会いたかったですわ、お母様。
map_0832#63	セラ: あたし――
map_0832#64	セラ: ???????????
map_0832#65	ルナ: 慌てる必要はありませんわ、お母様。
map_0832#66	セラ: 慌てる必要はない?
map_0832#67	最後に見た時、あなたはブラックホールに嬉々として突っ込んでいったのよ!
map_0832#68	ルナ: あの、いささか性急な退場については、お詫びいたしますわ。
map_0832#69	けれど、一瞬たりとも後悔したことはございません。
map_0832#70	セラ: あなたの謝り方、うちの息子よりたちが悪いんじゃない。
map_0832#71	ルナ: ご一緒に。安全な場所へお連れいたしますわ。
map_0832#72	道すがら、すべてご説明いたします。
map_0832#73	いいわ、でも筋の通った説明をするって約束してくれないと、このテーブルから降りないわよ。
map_0832#74	「闇がどうの、無限がどうの」みたいなやつはナシだからね、わかった?
map_0832#75	ルナ: うーん……
map_0832#76	それは、少し難しいかもしれませんわね。
map_0832#77	セラ: 冗談よ、
map_0832#78	だいたいはね。
map_0832#79	セラ: ここから出してちょうだい。
map_0832#80	ルナ: 仰せのままに、お母様。
map_0832#81	ノエル: ……
map_0832#82	ノエル: \PN。
map_0832#83	君も一緒だと思ってた……
map_0832#85	ノエル: そっか。
map_0832#86	新世界がここと重なったんだ。
map_0832#87	その場所を探索してた時にそれが起きて、ここに閉じ込められたんだね。
map_0832#88	でも、どうでもいいことだけど。
map_0832#89	この場所が僕に関係あるわけでもないし。
map_0832#90	「父さん」の城も、これまでか。
map_0832#91	また消えるだろうって、予想しとくべきだったな。
map_0832#92	ノエル: 君がここに来たってことは、出口はまだあるはずだ。
map_0832#93	自分で見つけるよ。
map_0832#94	僕に時間を使わないでいい。
map_0832#95	ルナ: 準備のお手伝い、本当に感謝いたしますわ。
map_0832#96	お給仕の労を取っていただいたことで、あなた自身のお食事の楽しみが損なわれていなければよいのですが。
map_0832#97	頑張って働いた後の食事はより美味しく感じる、と言う人もいますものね。
map_0832#98	個人的には、それはささやかな要素の一つにすぎないと思いますの。
map_0832#99	わたくしにとって、食事が一番美味しく感じられるのは、誰かと分かち合える時ですわ。
map_0832#100	サーナイト: ルナ、あなた――
map_0832#101	まあ、なんてこと! とてもいい香りだこと!
map_0832#102	ルナ: すべて準備できましたわ。
map_0832#103	皆さんをお迎えしていただけますか、サーナイト?
map_0832#104	サーナイト: すぐに参りますわ!
map_0832#105	ルナ: ……ああ、ちゃんとしたテーブルクロスを用意すべきでしたわね。
map_0832#106	いえ、これでよいのかもしれません。
map_0832#107	色々あった後だからこそ、こんな夜を用意できることに、ただただ感謝していますの。
map_0832#108	ラドマス: ああ、この施設を存分に活用しているようだな。
map_0832#109	それが一番だろう。
map_0832#110	ルナ: これほど壮麗な広間があるのに、誰も満たす人がいないなんて、本当に惜しいことですもの。
map_0832#111	ラドマス: ところで、アンナは少し遅れるそうだ。
map_0832#112	サーナイト: 扉と扉の間に、あんな果てしなく口を開けた虚無がさりげなくあるのには、いつまでも慣れそうにありませんわ……
map_0832#113	もっと自由にテレポートを使うべきかもしれませんわね。
map_0832#114	ルナ: わたくし個人としては、それがちょうどいい魅力を添えていると思いますの。
map_0832#115	サーナイト: ええ、あなたなら言いそうだこと。
map_0832#116	ノエル: ……すごい量だね。
map_0832#117	ルナ: もしかすると、やりすぎてしまったのかもしれませんわね。
map_0832#118	けれど、皆さんに物足りない思いをさせたくはありませんでしたから。
map_0832#119	タカ: あ。
map_0832#120	えっと、俺、本当にここにいていいのかな?
map_0832#121	ルナ: もちろんですとも。
map_0832#122	どうぞ、お好きな席へ。
map_0832#123	タカ: ああ、ルナ。すごいことになってるな。
map_0832#124	ルナ: ご存じの通り、お仕えすることがわたくしの生きがいですもの~
map_0832#125	セラ: これ、本当に一人で全部やったの?
map_0832#126	あたしなんて、冷凍食品以外をテーブルに並べるだけでも一苦労だったのに……
map_0832#127	ルナ: もちろん、全部一人でやったわけではありませんわ。
map_0832#128	\PNがここのセッティングをしてくれましたし、
map_0832#129	料理にも、少し手伝っていただきましたの。
map_0832#131	セラ: あら。
map_0832#132	素敵ね……
map_0832#133	ラドマス: それで、今回はどんな機会にこれほどのことをしたんだ?
map_0832#134	ルナ: 特別な機会というわけではありませんわ。
map_0832#135	いいえ、むしろ何もないことこそが理由なのかもしれません。
map_0832#136	「機会」などというものの許しを待たずに、こうした時間へ手間と労力を捧げること――それこそが理想であり、必要なことだと思いますの。
map_0832#137	時は慌ただしく過ぎ、日を追うごとにそれは変わりません。
map_0832#138	優先すべきことに追われて、大切な人たちから離れてしまうのは容易いことです。
map_0832#139	責任が増え、時間が短くなっていく中で、誰かがいてくれるのが一番ではありませんこと、
map_0832#140	ただ進んでというだけでなく、喜びをもって、
map_0832#141	あなたを気にかけることに、心から喜びを見出してくれる誰かが。
map_0832#142	多くの人にとって、そういう存在は見過ごされがちですわ。
map_0832#143	けれど、互いにそれを見出し合える人たちもいます。
