map_0817#99	エレナ: たわ言なんかじゃないわね!
map_0818#33	ベネット: それも無理はないか。
map_0818#34	アポリシスっていうのは、幼虫が――
map_0818#35	ああ、まあ…
map_0818#36	要するに、君も成長してるってことだよ。
map_0818#37	君がどこまで高みに達するか、楽しみにしてる。
map_0818#38	ベネット: 相変わらずすごいね、\PN。
map_0818#39	僕もさらに研究を続けるよ。
map_0818#40	ローラ: 蝶とキンポウゲは、それほど大きくは違いません。
map_0818#41	誰もが、自分自身の成長への苦闘の中に美を見出さなければなりません。
map_0818#42	あなたが、ご自身の中にある美しさを見逃さないことを願っています。
map_0818#43	ベネット: 行く前に、もう一つだけ、\PN。
map_0818#44	ベネット: これは君に返すべきものだ。
map_0818#45	そもそも、君の手を離れるべきではなかったんだ。
map_0818#46	ローラ: 私からもです。
map_0818#47	対のうち片方だけでは、あなたのお役にはあまり立たないでしょう。
map_0818#48	私の手元でただの記念品としてあるより、本来の目的のためにあなたの手にある方がよいはずです。
map_0818#49	ベネット: とはいえ、もう無駄にできる時間はない。
map_0818#50	君の道は、まだ前にある。
map_0818#51	ローラ: 次回までに、新しい生け花を用意しておきましょうか…
map_0818#52	とはいえ、ここは飾り付けやすい場所です。
map_0818#53	何しろ、藤の花は数えようとしても、ほとんど不可能ですから。
map_0818#54	そこには、未来にあるのと同じだけの自由があります。
map_0818#55	ベネット: 全面的に応援してるよ、\PN。
map_0818#56	一つだけお願いがある:
map_0818#57	次のトレーナーにも、僕の分までしっかり打ちのめしておいてくれ。
map_0818#58	ローラ: またようこそ、\PN。
map_0818#59	こちらのお客様をご紹介いただけますか?
map_0818#60	フローラ: 自己紹介くらい自分でできるけど。
map_0818#61	フローラ・グレヴィレア。光栄だわ。
map_0818#62	特に、あんたの方がね。
map_0818#63	ローラ: ここに新たな訪問者をお迎えできるのは、いつも光栄です。
map_0818#64	今回はベネットは同席しません。
map_0818#65	私一人でも、お二人にとって受け入れられる挑戦であることを願っています。
map_0818#66	フローラ: 『受け入れられる』?
map_0818#67	最強の一人ってことになってるんじゃないの?
map_0818#68	それとも、さっきの子と同じくらい役立たず?
map_0818#69	ローラ: ヘザーは短い間にたくさんのことを経験してきました。
map_0818#70	まあ、おそらく私たち全員がそうなのでしょう。
map_0818#71	それでも、彼女はその年齢にもかかわらず、この場所を勝ち取り、守り続けています。
map_0818#72	私自身に関して言えば、自分の実力に特に自信がないわけではありません。
map_0818#73	むしろ、あなたの実力を軽んじて侮辱するようなことはしたくないのです。
map_0818#74	\PNは私たちのチャンピオンです。あなたもまた、ご自身なりに努力してここまで来られたのでしょう。
map_0818#75	あなたをここまで導いた強さを、拝見するのを楽しみにしています。
map_0818#76	フローラ: …チッ。
map_0818#77	全然面白くない答えね。
map_0818#78	でもいいわ。見せてもらいましょうか!
map_0818#79	フローラ: …\PN。
map_0818#80	ここまで来といて、フルパーティすら連れてきてないってどういうこと?
map_0818#81	あたしに負けてほしいわけ?
map_0818#82	(マジで、この馬鹿がどうやってチャンピオンになったわけ…)
map_0818#83	戻ってちゃんとポケモン連れてきなさいよ、あたしの我慢が切れる前にね!
map_0818#84	フローラ: ねえ、\PN?
map_0818#85	何やってるの?
map_0818#86	もしかして、ポケモンを選ぶ必要があるのを忘れちゃったとか?!
map_0818#88	フローラ: 無傷。このめちゃくちゃな会場でもね。
map_0818#89	ローラ: このバトルを特に「無傷」と評価できるかはわかりませんが……
