map_0882#30	都会の路地裏なんて、くさくなるだけだし。
map_0884#17	アゲートでの一件、リンに一発食らわせてやろうと、喜んでここまで来ましたのに。
map_0884#18	でも、ささやかな仕返しは、また別の日に持ち越しになりそうですわね。
map_0884#19	せめて誰か、ここで見つかればと思っていましたのに……
map_0884#20	サムソン: ここに来たばっかりのとき、黒髪の女の姿が見えた気がしたんだけどな、光のいたずらだったんだろうな。
map_0884#21	もうずいぶん長いこと探し回ってるが、何の収穫もねえ。
map_0884#22	お前が来たとき、ちょうどあきらめかけてたところだったんだ。
map_0884#23	シエル: よろしければ、この美しい宇宙の岩を眺めていってくださって構いませんけれど、期待はそれなりに抑えておいてくださいまし。
map_0884#24	サムソン: 本物のメテオは、まだどこかにあるはずだ。
map_0884#25	そのときのために、力は取っておいた方がいいだろうな。
map_0884#26	シエル: では、また今度。
map_0884#27	メテオが、守りのエネルギーで輝いている。
map_0884#28	デオキシスが、メテオのエネルギーと共鳴した！
map_0884#29	デオキシス: Xqwyggyqxxi～
map_0884#30	Xxxkwyqqqywygixi！！！
map_0884#31	デオキシス: Xyqwikyxyxyiwqwyx！！！
map_0884#32	メテオが、均衡のエネルギーで輝いている。
map_0884#33	メテオが、破壊のエネルギーで輝いている。
map_0884#34	メテオが、俊敏なエネルギーで輝いている。
map_0884#35	？？？: 昔々、宇宙をメテオの帯が駆け抜けていった。
map_0884#36	でもある日、その小さなメテオのひとつが、流れ星になった。
map_0884#37	そして、その姿は世界から永遠に消えてしまったけれど、その小さなメテオが何をしたか知っている？
map_0884#38	それは、ずっと幸せに暮らした――
map_0884#39	最後の瞬間にもたらした喜びと、触れた心と、生んだ笑顔の中で。
map_0884#40	そして、わたしの小さな流星のかけらにも、同じことが言えるみたい。
map_0884#41	わたしはずっと、あの子のことを見守っていた。
map_0884#42	彼の心の中に、今もまだいる。
map_0884#43	あのペンダントは、かつてわたしのものだった。
map_0884#44	それのおかげで、わたしは彼の故郷を救えるほど、明るく輝けた。
map_0884#45	そして、あの子と同じように、みんなそれのことを忘れてしまった。
map_0884#46	今は、それがあの子を、大切な人たちを救わせてくれている、
map_0884#47	そして、あの子もまた、消えかけている。
map_0884#48	そして、あの子もまた、薄れかけている。
map_0884#49	あなたも、その力に触れすぎてしまったのね。
map_0884#50	だって、あなたにはわたしが見えているもの。
map_0884#51	それを持ち歩いたことから、そして間違いなく、その源との戦いから。
map_0884#52	でも、わたしはとっくの昔に、手放されているべきだった。
map_0884#53	そういう運命の人も、いるものよ――
map_0884#54	明るく輝いて、周りのみんなの人生を照らして、来たときと同じくらい早く消えていく、夜空に溶けていく花火のような。
map_0884#55	最後は、派手に散らせてちょうだい。
map_0884#56	最後にひとつ、わたしの妄想に付き合ってくれるかしら？
map_0884#57	いずれ手放されるべきだったの。これでよかったのよ。
map_0884#58	ジーナ: ありがとう。
map_0884#59	ジーナ: あなたの進む道は、まだ隠されている。
map_0884#60	わたしの小さな流星のかけらは、もがいている。
map_0884#61	ドリームシックだけじゃなく、あの子が残していった穢れにも蝕まれている、
map_0884#62	自分の輝きを制御しようと、ますますもがいている。
map_0884#63	あの子はそれを隠そうとしている――
map_0884#64	今も、自分自身からさえも、みんなを救おうとしている、
map_0884#65	たとえそれが、自分自身の完全な消滅を意味するとしても。
map_0884#66	あの子に、わたしと同じ運命をたどってほしくない。
map_0884#67	でも、わたしの運命が、あの子を救えるかもしれない。
map_0884#68	守護者の子孫自身が使えないよう、わたしが封じた生き物――
map_0884#69	ビクスビジョンの奥深くで見つかるはずよ。
map_0884#70	あの子は怖がるようになった。
map_0884#71	最初よりも、ずっと怖がるようになった。
map_0884#72	あの子は隠れている。
map_0884#73	自分の穢れた生き物の力を使って、今では自分の創造物を人目につかないところに埋めている。
map_0884#74	それでも、あの子は作り続けている。
map_0884#75	きっと、あの生き物が見つけ出してくれるはず……
map_0884#76	わたしはずっと昔、それをビクスビジョンの奥深くに封じた。
map_0884#77	それが、あなたの鍵よ。
map_0884#78	終わったら、鍵を閉めておいてね。
map_0884#79	窓を閉めて、カーテンを引いて――
map_0884#80	そして、おやすみとささやいて。
map_0884#81	おやすみ、小さな流星のかけら。
map_0884#82	明日も、あなたを見守っているから。
map_0884#83	？？？: 準備ができたときに。
map_0884#84	あるいは、そうではないことを受け入れる覚悟ができたときに。
map_0884#85	リン: うわー、なんか微妙な展開だったね
map_0884#86	普通に歩いて入ってくるだけとか？？？
map_0884#87	しかもデオキシスが普通にそこにいるだけとか？？？？
map_0884#88	考えられる中で一番ベーシックなお使いクエストじゃん。
map_0884#89	それって誰のせい？？？
map_0884#90	まあとにかく、もっとデオキシスが欲しいなら、たぶん他にも遊べるゲームがあるんじゃない。
map_0884#91	興味ある？
map_0884#92	リン: オッケー、楽しんでね、つまずいてホウエンとかに落っこちないようにね！！！
map_0884#93	リン: …………待って。
map_0884#94	うまくいかなかった。
map_0884#95	えっとね
map_0884#96	本当はこうなるはずだったの
map_0884#97	あんたが「はい」って言って、あたしがRejuvenationのサイトに送るの
map_0884#98	そしたらあんたが「うわ、リンってマジすごい、親友になりたい」って言う
map_0884#99	なのに、うまくいかなかった！！！！！！
map_0884#100	だから、自分で探すしかないってわけ。
map_0884#101	リン: あと、もっとマシなパソコン買いな。
map_0884#102	リン: あんたの損だよ。
map_0884#103	アンナ: やあ、\PN～
map_0884#104	あの子の手がかり、つかめてきたと思うんだ～
map_0884#105	そして見つけたら、ついに本当に楽しくなるよ！
map_0884#106	はい
map_0884#107	いいえ
map_0885#0	「PULSE-05B」
map_0885#1	？？？: おや？
map_0885#2	まさか、ここまで本当に誰か来るとは思ってなかった。
map_0885#3	でも、まあいいか。
map_0885#4	僕はタカ。君の名前は？
map_0885#5	\PN？
map_0885#6	……やっぱりね。
map_0885#7	これを探してるんだよね？
map_0885#8	タカ: このモジャンボが、たくさんの被害を出したんだ。
map_0885#9	ジャスパーで起きた破壊は、全部こいつのせいだよ。
map_0885#10	こいつがつながってるPULSEのせいで、このモジャンボは命も、家も、それ以上のものも奪ってきた。
map_0885#11	タカ: でも、さ……
map_0885#12	きっと、こいつだってこんなこと、望んでなかったはずだ。
map_0885#13	変異して、姿を変えられて、めちゃくちゃにされて、
map_0885#14	これが、こいつに選ばれた人生ってだけなんだ。
map_0885#15	正直に言うと、僕はただ、こいつを解放してあげたい。
map_0885#16	こう伝えたい、「もう十分がんばったよ、
map_0885#17	これからは、好きにしていいんだよ」って。
map_0885#18	タカ: ……でも、残念ながら、それはできないんだ。
map_0885#19	だって、僕はチームメテオの一員だから。
map_0885#20	彼を取り囲め。
map_0885#21	彼女を取り囲め。
map_0885#22	彼らを取り囲め。
map_0885#23	タカ: ごめんね、こんなことになって。
map_0885#24	ちなみに、君を排除するのも命令のひとつだから、あんまり個人的に受け取らないでほしいな、いい？
map_0885#25	ヘザー: そうはさせないわ！
map_0885#26	ヘザー: あたしが来たからには、覚悟しといた方がいいわよ、痛い目に遭わせてやるから！
map_0885#27	タカ: ……ごめん、君は誰？
map_0885#28	ヘザー: 名前はヘザー、風の魔法乙女にして、みんなのヒーローよ！
map_0885#29	タカ: ……そ、そうなんだ……
map_0885#30	メテオ団員: 小娘一人に、何ができるってんだ！
map_0885#31	ヘザー: 賭ける？
map_0885#32	あんたたち三人まとめて、ぶちのめしてやるわ！
map_0885#33	メテオ団員: やれるもんならやってみろ！
map_0885#34	ヘザー: はいはい！ 警告はしたからね！
map_0885#35	メテオ団員: な、なんだこのガキ、ボーマンダ持ってんのか！？
map_0885#36	ヘザー: どうしたの？
map_0885#37	まさか、急に小さい女の子が怖くなったとか、そんなんじゃないでしょうね！？
map_0885#38	ねえ、\PN、こいつらマジでムカつくから、あたしがやっつけとくわ！
map_0885#39	モジャンボの方は、あんたに任せた！
map_0885#40	タカ: ……まあ、これでいいのかもね。
map_0885#41	君の実力、見せてもらうよ。
map_0885#43	タカ: そう、これで終わりか……
map_0885#44	残念だな。
map_0885#45	こんなこと言うべきじゃないかもしれないけど、ベリルワードにもう一体、モジャンボが残ってるんだ。
map_0885#46	あっちにも何かあったら、もっと残念なことになるだろうな。
map_0885#47	タカ: ……ああ、それとさ。
map_0885#48	ヘザー: \PN、ここ全体、崩れそうな気がする！
map_0885#49	早く、乗って！ ここから連れ出してあげる！
map_0885#50	ヘザー: ボーマンダ、離陸の時間よ！
map_0885#51	メテオ団員: 隊長、気づきましたか！？
map_0885#52	あの女――ルビーのゆびわをつけてましたよ！
map_0885#53	タカ: へえ、そうなんだ？
map_0885#54	まあ、いいや。
map_0885#55	撤収だ。ロドクラインに移動する予定だからね。
map_0885#56	地面の穴は、真下へと続いている。
map_0885#57	飛び降りますか？
map_0886#0	イヴ: ちょっと時間をちょうだい。
map_0886#1	シェイミを探してたとき、この古いタブレットで環境要因を測定してたの。
map_0886#2	少し調整すれば、これでここで何が起きてるのか、ある程度わかるはずよ……
map_0886#3	イヴ: 具体的には、両サイドの力を釣り合わせる必要があると思うわ……
map_0886#4	これを数値化する方法を考えてるところだから、ちょっと待ってて。
map_0886#5	イヴ: もう、なんなの――
map_0886#6	よりによってそれでクラッシュする理由なんて、文字通りひとつもないでしょ！
map_0886#7	さっき直したばっかりじゃ――
map_0886#9	イヴ: あら、もう戻ってきたのね。
map_0886#10	願わくは、これが最初のひと安心になるといいけど。
map_0886#11	これがどんな現象なのか、まだ全然わかってないの……
map_0886#12	色が失われたことと、突然現れた扉に加えて、今度は完全に実在するとは思えないポケモンまで出てきたし。
map_0886#13	ヘザーも、頂上の周りに何かバリアのようなものが見えるって言って、突破しに行ったわ。
map_0886#14	ノエル: これらのポケモンは戦っています。
map_0886#15	ノエル: 戦っています。
map_0886#16	はっきりと二つの側に分かれていますが、先へ進む道はありません。
map_0886#17	何かする必要がありますか？
map_0886#18	ノエル: 組み合わせを合わせる必要があるのかもしれません。
map_0886#19	明らかに一つだけ浮いているものがあります。
map_0886#20	私にはわかります。
map_0886#21	ノエル: あ。
map_0886#22	片方の側を全部倒すことはできないのかもしれません。
map_0886#23	ノエル: あのはしごが現れました。
map_0886#24	先に進んでいただけます。
map_0886#25	イヴ: わかった！
map_0886#26	イヴ: これらの幻影は本物のポケモンじゃなくて、このエリアの不安定なエネルギーが具現化したものよ。
map_0886#27	これまで何度も観測してきた、アノマリーとアンブラルのエネルギーに似たものだと思うわ。
map_0886#28	先へ進む道を開くには、対立する二つのエネルギーを安定させる必要があるの。
map_0886#29	つまり、両サイドを互いに釣り合わせないといけないってこと。
map_0886#30	……ここまでたどり着いたってことは、もうそのくらいは分かってるのかもしれないけど、
map_0886#31	でも、そのまま聞いてて、いい？
map_0886#32	データを引っ張ってきたから、両サイドを釣り合わせるためにどのポケモンと戦えばいいか、正確に教えられるはずよ。
map_0886#33	例えば、ここにはリーシャンとエーフィとグラエナがいるわね。
map_0886#34	アノマリー側の力は7、アンブラル側の力は5だって検出できる。
map_0886#35	さらに、それぞれのポケモンの力の値を、1から20までの素数として検出・表現できるの。
map_0886#36	ここでは、エーフィの力の値は3、リーシャンはそれぞれ2、グラエナは5ね。
map_0886#37	この情報を使えば、エネルギーを釣り合わせるためにどのポケモンと戦えばいいか、簡単に判断できるはずよ。
map_0886#38	イヴ: アノマリー側の力は7、アンブラル側の力は5。
map_0886#39	各ポケモンの力の値は、1から20までの素数として表現される。
map_0886#40	ここでは、エーフィの力の値は3、リーシャンはそれぞれ2、グラエナは5。
map_0886#41	イヴ: それじゃ、もう一つだけ言っておくわね。
map_0886#42	先へ進む道を開くにはエネルギーを釣り合わせる必要があるから、どちらか一方を全滅させるだけじゃダメなの。
map_0886#43	両サイドの実際の力の値は、互いに等しく、かつゼロより大きくないといけないわ。
map_0886#44	イヴ: 完璧！
map_0886#45	次はどうする？
map_0886#46	ノエル: ポケモンバトルなんて、所詮は力と数字の計算にすぎません。
map_0886#47	ノエル: リーシャンを一体倒すだけです。
map_0886#48	ノエル: これは簡単です。
map_0886#49	ノエル: この階をリセットしますか？
map_0886#50	ノエル: 彼女が来ます。
map_0886#51	イヴ: まだあるの？
map_0886#52	ちょっと待って、数字を出すから……
map_0886#53	イヴ: わかった。
map_0886#54	アノマリー側の力は再び7。アンブラル側の力は10よ。
map_0886#55	トゲチックの力の値は7で――
map_0886#56	イヴ: え？
map_0886#57	イヴ: 危なかった！
map_0886#58	なんで今になってこんなことが……？
map_0886#59	イヴ: ……ここにいるのは危険ね。
map_0886#60	ノエル、これを持って。
map_0886#61	ノエルはタブレットを受け取った！
map_0886#62	イヴ: それを使って先に進んで。
map_0886#63	外からできることをやるわ。
map_0886#64	ノエル: ……
map_0886#65	私たちだけですね。
map_0886#66	ノエル: ……これの使い方が分かりません。
map_0886#67	合計は見えますが、どの数字がどの種族に対応するかは分かりません。
map_0886#69	それでも、どんな組み合わせでも、可能性の数には限りがあります。
map_0886#70	必要なら力ずくでもできますが、それぞれの力の値が素数である以上、与えられた情報から導くのは簡単なはずです。
map_0886#71	光側は7。闇側は10。
map_0886#72	これは簡単です。
map_0886#73	あなたに従います。
map_0886#74	この部屋の合計を確認したいときや、過去のデータを見返したいとき、ポケモンを回復させたいときは、話しかけてください。
map_0886#75	このファイルでは、ロドクラインツリーのパズルをスキップしますか？
map_0886#76	別のセーブデータで、ロドクラインツリーのパズルクリアが検出されました。
map_0886#77	はい
map_0886#78	いいえ
map_0887#0	ゼロ: それでさ、これってどういう仕組みなんだ？
map_0887#1	問題を見つけるまで、ここら辺をうろつくだけか？
map_0887#2	正直、問題を起こす方じゃなくて探す方には、あんまり慣れてないんだけどな……
map_0887#3	ゼロ: ええと……見つけた、のか？
map_0887#4	リン: あ、あたしも一緒！
map_0887#5	受け取って！！！
map_0887#6	タカ: 君って、いつもこういうことしてるんだよね？
map_0887#7	何に出くわすか分からないのって……ちょっと怖いな。
map_0887#8	でも、君が一緒だと、なんとかなる気がするんだ。
map_0887#9	その――自分でも何が言いたいのか、よく分からないんだけど、ただ……
map_0887#10	僕がいない間に、君はいろいろやってきたんだね。
map_0887#11	こうして、すべての終わりに立ってみると、
map_0887#12	一人じゃないってだけで、本当によかったって思うよ。
map_0887#13	全部が終わった後、一人で立つなんて……
map_0887#14	父さんはもういなくて――それに……
map_0887#15	それは……たぶん、それでよかったんだと思う。
map_0887#16	君もようやくあの女に勝って、それで――
map_0887#17	タカ: え？ なにこれ！？
map_0887#18	アンナ: やあ、\PN！
map_0887#19	あなたと、羽の折れた男の子のために、素敵な冒険を用意したんだ！
map_0887#20	二人でもっと仲良くなれるよ！
map_0887#21	気に入ってくれるといいな！
map_0887#22	タカ: えっと……
map_0887#23	リン: はーい、なんだって？
map_0887#24	リン: 「えっとぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉ」
map_0887#25	うわマジで、キャラアークとやらが終わったはずなのに、いまだにマヒしたスラッグマ並みのカリスマ性じゃん。
map_0887#26	タカ: 僕は――
map_0887#27	いや、待って、僕は少なくとも今、マグカルゴにはなったから。
map_0887#28	リン: 願望乙。
map_0887#29	ゼロ: おい、なんだよこれ！？
map_0887#30	タカ: あの、これについて話し合えないかな？
map_0887#31	リン: ないね！
map_0887#32	アンナ: 二人とも、楽しんでね～
map_0887#33	リン: ……まあ、受け取れって言ったのはあたしだけど。
map_0887#34	受け取り下手なのは、あたしのせいじゃないし。
map_0887#35	とにかく、参加賞と一緒に楽しくやろうよ！
map_0887#36	言いたいこと、分かるでしょ？
map_0887#37	だってさ、あの残念な余りモンの下っ端と、本気で関わりたい人なんていないじゃん。
map_0887#38	テラに殺しかけさせといて、よくここに足踏み入れる度胸あったよね、笑
map_0887#39	あ、でも足りないのは度胸じゃなくて頭の方か。
map_0887#40	だからそもそも、イヴを迎えに行かなきゃいけなかったわけ？？
map_0887#41	雪の中に置いてきちゃえば？ あんなやつ、道端に10人は転がってるし。
map_0887#42	別に頑張ってないわけじゃないんだよ――ただ、本当にそれだけ無能ってだけ！
map_0887#43	でもそれって――
map_0887#44	でも少なくとも、なんか憎めない感じの役立たずではあるよね？
map_0887#45	セリフの半分は、みんなに同情してもらうために被害者ぶってるだけだし――
map_0887#46	まあ、ああいうタイプを直したがる人もいるんだろうね。
map_0887#47	「優しさと愛情さえ十分あれば、きっと良くなって、あたしのことも好きになってくれるかも <33333」
map_0887#48	それって結局、人を操るための別のやり方なんじゃない？
map_0887#49	#鬱 が #わかる ってなったとしても、それが何かオッケーなことみたいに自分に思い込ませて、ただ座ってるつもりなの？
map_0887#50	なんかこう――「そこまで惨めなのって病気だよね、お大事に～ xoxo」みたいな。
map_0887#51	まあとにかく、あたしが知らないわけないっての。
map_0887#52	あいつを連れ戻したのは、いた方が楽しくなるからだし！
map_0887#53	だから遊ぼ～
map_0887#54	ずっと、ずっと、遊び続けられるし――
map_0887#55	あ、あそこで目を覚ましたみたい。
map_0887#56	独り言はこのくらいにして、続きに戻るね？
map_0887#57	行こう！！！
map_0887#58	ゼロ: なんだこりゃ……
map_0887#59	ゼロ: どうやってあそこまで戻ればいいんだ？
map_0887#60	つーか、さっきのは一体なんだったんだ――
map_0887#61	いや、これが自分で選んだ仕事ってやつなんだろうな。
map_0887#62	それでも、今までの人生でやってきたことよりはマシだ。
map_0887#63	ゼロ: この先で道がつながってると思う。
map_0887#64	何かガラクタが邪魔してるみたいだけど、たぶんこの先で合流できるはずだ。
map_0887#65	お前についていく。
map_0887#66	タカ: 僕は大丈夫。
map_0887#67	平気だから――
map_0887#68	気にしないで。
map_0887#69	タカ: ……でも、しばらくはあそこに戻れそうにないね。
map_0887#70	こういう冒険では、いつも最初に出会うポケモンにやられちゃうんだって、言ってほしいな。
map_0887#71	タカ: 信じてはいないけど、そう言おうとしてくれるの、優しいね。
map_0887#72	タカ: じゃあ、僕だけなんだ？
map_0887#73	それも、まあ当然か。
map_0887#74	タカ: このまま進めば、つながりそうだね。
map_0887#75	障害物と向き合うことになるかもしれないけど……
map_0887#76	それが人生ってやつなのかな。
map_0887#77	できるだけ、君のそばにいるようにするから、いい？
map_0887#78	君となら、きっと何でも乗り越えられる。
map_0887#79	（このエリアでは、Aキーでキャラクターを切り替えられます。）
