map_0414#67	リン: 先生がお呼びよ。
map_0414#118	セラ: よかった、来たのね。
map_0414#119	セラ: 正直、彼女に本気で勝てる見込みなんてないって、みんな分かってる。
map_0414#120	でも、あそこのPULSEブロスターが動いてる限り、勝ち目なんてない。
map_0414#121	時間は稼ぐから、本格的に進めるには、あなたにあのPULSEを止めてもらう必要がある。
map_0414#122	頼りにしてるわよ。
map_0414#123	セラ: 時間は稼ぐから、本格的に進めるには、あなたにあのPULSEブロスターを止めてもらう必要がある。
map_0414#124	シャルロット: 悪気はないんだけど、あなた、ちょっと消滅とかしてくれない?
map_0414#125	「ラブラドラ・カルセノン管制センター」
map_0414#126	キュウコンは戦いに集中している!
map_0414#127	ラドマス: 強化されたポケモンとの戦いが、想定していたよりも手強いことは認めよう。
map_0414#128	いや、違うな……
map_0414#129	それが理由だと自分を欺くのはよそう。
map_0414#130	キャル: あの、なあ、\PN? ちょっと手を貸してくれないか?
map_0414#131	シグムンド: すぐに手を離せ、そうする時間すらなくなる前にな!
map_0414#132	サファイラ: ど
map_0414#133	き
map_0414#134	な
map_0414#135	さい
map_0414#136	よ。
map_0414#137	セラ: ねえ、今それ、あんまりいい考えだとは思えないんだけど……
map_0414#138	サファイラ: いい考えかどうかなんて、どうでもいい。
map_0414#139	どきなさい。
map_0414#140	キャル: こいつが逃げ出そうとしてるところを見つけたんだが――
map_0414#141	サファイラ: こいつを化け物以上の何かだなんて、絶対に思わないで。
map_0414#142	とうの昔に人間であることを捨てた男よ。
map_0414#143	わたしはただ、仕事を終わらせに来ただけ。
map_0414#144	セラ: だから、落ち着いたほうがいいんじゃ――
map_0414#145	サファイラ: どきなさいって言ってるの!
map_0414#146	シグムンド: だめだ、だめだ、そいつを近づけるな!
map_0414#147	近づけるな!
map_0414#148	サファイラ: 「あの人を近づけないで」
map_0414#149	「やめて、お願い、やめて」
map_0414#150	「やめて、やめて――」
map_0414#151	そう言った回数、分かってる?
map_0414#152	どれだけ懇願したか……
map_0414#153	すがって、泣いて、祈って――
map_0414#154	でも、誰もわたしの言葉に耳を貸さなかった。
map_0414#155	サファイラ: だったら、なんであんたの言葉には耳を貸さなきゃいけないの!?
map_0414#156	シグムンド: 何を言っているんだ、サファイラ――
map_0414#157	あれは……ただの治療のためで――
map_0414#158	サファイラ: ええ。
map_0414#159	とてもよく「治療」してくれたこと、よく覚えてるわ。
map_0414#160	シグムンド: そういう意味では――サファイラ、頼む――
map_0414#161	サファイラ: いいえ。
map_0414#162	わたしがそうされたように、あんたも血を流すことになるわ。
map_0414#163	リン: もうわたしのこと忘れたの?
map_0414#164	リン: 残酷ね。
map_0414#165	失礼だわ。
map_0414#166	お客様にはちゃんと気を配りなさいって、誰にも教わらなかったの?
map_0414#167	リン: 行儀よくして、背筋を伸ばしなさい。
map_0414#168	リン: でも、主人の前ではひざまずくのよ。
map_0414#169	リン: それと……
map_0414#170	分け合うのを忘れないでね。
map_0414#171	シグムンド: ど、どこに連れて行くつもりだ!?
map_0414#172	何をするつもりだ?!
map_0414#173	リン: 楽にしてて、先生。
map_0414#174	何も心配することなんてないから。
map_0414#175	リン: あ、それと、先生?
map_0414#176	ちょっとした衝撃を感じるかもね。
map_0414#177	キャル: 他のみんなが彼女の足止めをしてるはずだったんだけどな。
map_0414#178	セラ: いつの間にか、抜け出しちゃったみたい、
map_0414#179	でも、これは……
map_0414#180	キャル: 大丈夫だよな?
map_0414#181	セラ: た、たぶん?
map_0414#182	ちょっと、わたしモデルであって看護師じゃないんだから、なんでわたしに聞くのよ?
map_0414#183	キャル: もういい。
map_0414#184	キャル: 彼女はこっちに向かった。
map_0414#185	\PN、これはお前に任せるしかなさそうだ。
map_0414#186	ローラ: 今のあれ、一体何だったの?!
map_0414#187	ベネット: 後で説明するが、鍵さえかかっていれば、我々は――
map_0414#188	イライアス: Deus semper spectat.
map_0414#189	「Vocatus atque non vocatus Deus aderit.」
map_0414#190	バリアが下りた今、我々はまず自らの裁きに、次いで敵にさらされている。
map_0414#191	ベネット: 邪魔をするつもりか?
map_0414#192	イライアス: 主は常に我らの道の内におられる。
map_0414#193	ベネット: 日曜学校の話はまた後で聞く、我々には行くべき場所があるのでな。
map_0414#194	イライアス: かくして、人はみな終わりの日に泣くのだ、その恵みが誰のものであったかを忘れたままに。
map_0414#195	ベネット: ふむ、これは面倒なことになりそうだ。
map_0414#196	ローラ、先に行ってくれ。
map_0414#197	ローラ: 嫌よ。
map_0414#198	ベネット: ……まあ、いいだろう。
map_0414#199	まったく、この頑固さはお前の姉から受け継いだものだと思っていたが、逆だったのかもしれんな。
map_0414#200	ローラ: 二人とも、他に選択肢がなくて一緒に立ち向かってた時に、学んだのよ。
map_0414#201	ベネット: つまり、今度は私の番というわけか。
map_0414#202	ついてないな。
map_0414#203	イライアス: お前はまだ、我らに感謝の借りがあるのではないか?
map_0414#204	ベネット: 燃えるしばの周りを回りくどく歩くのはやめよう。
map_0414#205	お互い利用し合ってただけだと、お前も私と同じくらい分かっているはずだ、感謝など不要だろう。
map_0414#206	私を引き戻そうとしてもいいが、たった今やったことを考えれば、許される見込みなどゼロ以下だ。
map_0414#207	その立場にも、だんだん居心地の良さを感じ始めている。
map_0414#208	だから、これははっきりさせておこう:
map_0414#209	お前など恐れていない。
map_0414#210	お前に借りなど何もない。
map_0414#211	ああ、それと、お前の娘はブラックホールか何かの中にいるぞ。
map_0414#212	イライアス: な……何と言った?
map_0414#213	ベネット: それについては、自分のチームに感謝するんだな。
map_0414#214	我々はもう行く。
map_0414#215	忘れているといけないから言っておくが、こちらはエリート二人、お前は一人だ。
map_0414#216	止めようとしても無駄だぞ。
map_0414#217	行くぞ、ローラ。ここはもう終わりだ。
map_0414#218	ローラ: ええ。
map_0414#219	イライアス: ルナよ……
map_0414#220	ついに主がお前を丸ごとのみ込まれたか。
map_0414#221	イライアス: Iniuriae qui addideris contumeliam...
map_0414#222	「Non diligere Deum, qui mandata eius participando cum perfidis non custodit.」
map_0414#223	お前の忠誠は、一体どこにあるのだ?
map_0414#224	ベネット: その結論は、好きなように出すがいい。
map_0414#225	イライアス: 我が過去に照らせば、答えは見出せぬ。
map_0414#226	これを機会と捉えるがいい。
map_0414#227	ベネット: 私が急に悔い改めて、お前の期待通りの羊のようにひざまずくとでも思っているなら、悪いが、ひどく失望することになるぞ。
map_0414#228	イライアス: これ以上失望させられることなど、もうそう多くはない。
map_0414#229	ここに羊飼いなどいない、
map_0414#230	ただ通りでほえる狂人がいるだけだ。
map_0414#231	ベネット: それはお前自身も含めての話か?
map_0414#232	イライアス: 神が語るべきことを、人が裁くことなどできぬ。
map_0414#233	私もまた、主人に鳴く雄羊か去勢羊にすぎぬのかもしれぬ。
map_0414#234	ベネット: まさか、お前の恋人に何かあったとでも言うのか。
map_0414#235	イライアス: 事の緊急性ゆえ、その言い回しには目をつぶろう。
map_0414#236	彼は打ち倒され、捕らえられ、そして姿を消した。
map_0414#237	ベネット: それは気の毒だな。
map_0414#238	せいぜい頑張るんだな。
map_0414#239	ベネット: いや、それは違うと思うな。
map_0414#240	むしろ、お前のことを哀れに思うよ。
map_0414#241	まず娘、そしてこれか。
map_0414#242	イライアス: 何と言った?
map_0414#243	ベネット: あの作業場でブラックホールに足を踏み入れたのだ。
map_0414#244	誰かを責めたいなら、この対立の元凶に目を向けることを勧める。
map_0414#245	それをお前の主と見るか、リンと見るかは、お前次第だ。
map_0414#246	個人的には、両方だと思うがな、
map_0414#247	だから、主の慈悲やお前が今にも言いかけている使い古された説教に、私が応えられなくても許してくれ。
map_0414#248	止めようとしても無駄だぞ。
map_0414#249	イライアス: 主の御目の下では、失うものは多く、得るものは少ない。
map_0414#250	それでも……
map_0414#251	「Nec deus intersit, nisi dignus vindice nodus inciderit.」
map_0414#252	ならば、共通の敵は定まった。
map_0414#253	「Fiat voluntus dei.」
map_0414#254	これ以上先には行かせない! 前回のようなことは、もう二度と!
map_0414#255	オードリー: うう、あのクソ氷ネズミとあんた、どっちが嫌いか分かんないくらいだよ。
map_0414#256	あんたにしとくかな。
map_0414#257	メテオ隊員: 主は我らの祝福された力。
map_0414#258	メテオ隊員: 主はお前の祝福された終わり。
map_0414#259	アークトゥルス: 間一髪の脱出も、成功への道は狭まるばかり……
map_0414#261	アマリア: 手伝いましょうか?
map_0414#262	アマリア: というか……そもそも、わたしを信頼してくれてるのかしら?
map_0414#263	アマリア: 一番優しいうそが、一番傷つけるものなのよね。
map_0414#264	アマリア: 残念ね。
map_0414#265	アマリア: ほら、そんなに悪くないでしょう。
map_0414#266	でも、わたしにあんまり長くうろついてほしくないんでしょう。
map_0414#267	なら、他のみんなに追いつくわね。
map_0414#268	頑張って〜
map_0414#269	主が眠りたもう場所において、その夢こそが我らの世界を形作る。
map_0414#270	これが本当に我らの道なのか? 神の導きを受けながら、常に敗れ続けるとは。
map_0414#271	キャル: また始まるのか……
map_0414#272	「PULSE-10」
map_0414#273	ゼロ: いや、いや、いやだ――
map_0414#274	頼む、頼むから!
map_0414#275	よし!
map_0414#276	ゼロ: だめだ、だめだ――もう少しなのに!
map_0414#277	あと少しで……
map_0414#278	頼む、頼む……
map_0414#279	ノエル: \PN、大丈夫か?
map_0414#280	ノエル: お前がここに出てくのが見えて、それで光が……頭上に……
map_0414#281	ああ。
map_0414#282	PULSEか。
map_0414#283	ゼロ: そうだ、これがPULSEだ!
map_0414#284	ゼロ: 自分の目で確かめてみればいいだろ!?
map_0414#285	ノエル: え……?
map_0414#286	ラドマス: ノエル、大丈夫か?
map_0414#287	ノエル: ……ああ。
map_0414#288	ノエル: ノモスに……何があったんだ?
map_0414#289	ラドマス: 結局、彼がお前を守ったのだよ。
map_0414#290	私の無事も、彼のおかげということになるのだろう。
map_0414#291	ノエル: でも、あいつはただの……
map_0414#292	ラドマス: どうやら、物事は見かけ通りとは限らないようだな。
map_0414#293	ノエル: よく……分からない。
map_0414#294	ゼロ: そもそも、あんな馬鹿な人形が、あんな攻撃を止められるわけないだろ!?
map_0414#295	こいつは役立たずなのか?!
map_0414#296	メテオ隊員: 何人たりとも、主の行進を妨げることはできぬ。
map_0414#297	メテオ隊員: アルセウスはやがて成長し、我らを救うであろう!
map_0414#298	ラドマス: ノエル、お前の隣で共に戦う栄誉を、私に与えてはくれないか?
map_0414#299	父と息子としてでも、対等な者同士としてでも構わない。
map_0414#300	ノエル: ……
map_0414#301	いいよ。
map_0414#302	ラドマス: それだけで、私にとってはもう十分な勝利だ。
map_0414#303	ゼロ: させない、させない、させないぞ……
map_0414#304	ラドマス: \PN、構わないか?
map_0414#305	ゼロ: できない、できない、できないはずだ……
map_0414#306	さっさと倒れろ!
map_0414#308	ゼロ: なんで……
map_0414#309	なんで俺は、いつも……足りないんだ?
map_0414#310	ラドマス: 大丈夫か?
map_0414#311	ノエル: 大丈夫だよ。
map_0414#312	ただ混乱してるだけ。
map_0414#313	ラドマス: あんなものを見た後なら、誰でもそうなるだろう。
map_0414#314	ノエル: 違うんだ。
map_0414#315	あんたのことについても。
map_0414#316	ラドマス: ああ。
map_0414#317	私は、人間としても父親としても、完璧には程遠いだろう、
map_0414#318	だが、ひとつの考えに付き合ってくれるなら、こう言わせてほしい:
map_0414#319	あの人形――ノモス、だったか。
map_0414#320	あれは、私たちのどちらも理解も受け入れもできないほど、本物だったのかもしれない。
map_0414#321	だが、論理や事実、その裏にある理屈がどうであれ、予想に反して、私たち二人を救うほど本物だったことは否定しようがない。
map_0414#322	愛というものも、同じではないだろうか?
map_0414#323	ノエル: 分からない。
map_0414#324	ラドマス: 私にも、確かなことは分からない。
map_0414#325	だが、お前さえよければ、一緒に見つけていきたいと思っている。
map_0414#326	ノエル: いいよ。
map_0414#327	ルミ: ゼロ!
map_0414#328	ゼロ: お前……
map_0414#329	ルミ: 大丈夫? 何もされてないよね?
map_0414#330	ゼロ: 地位をはく奪された……
map_0414#331	何もかも。
map_0414#332	それに、なんで……
map_0414#333	ルミ: そんなの関係ないよね? 無事なんだよね?
map_0414#334	ゼロ: なんでお前が気にかけるんだよ?
map_0414#335	ルミ: だって、気にかけずにはいられないから。
map_0414#336	ゼロ: リンが言ってた……もしまた失敗したら……
map_0414#337	あいつ……
map_0414#338	ルミ: 他のみんなが今、彼女の足止めしてるから。
map_0414#339	リンのことは心配しなくていいから!
map_0414#340	さあ、ここから連れ出してあげる!
map_0414#341	ラドマス: ひとつ尋ねたいのだが、よろしければ:
map_0414#342	あのローブの男の一人が、アルセウスが「成長する」とかいうことを言っていたが。
map_0414#343	あれはどういうことなのだ?
map_0414#344	ゼロ: ……
map_0414#345	アークPULSEは……
map_0414#346	ルミ: あ、あれね!
map_0414#347	組み込むよう頼まれてた機能のひとつが、ポケモンの自然な成長を早める能力だったの。
map_0414#348	ラドマス: つまり、未成熟なポケモンを大人に成熟させるためのもの、というわけだな。
map_0414#349	ルミ: うん、だいたいそんな感じ!
map_0414#350	でも、子供時代を飛ばしちゃうのって、あんまり良くないと思うんだけどな……
map_0414#351	本当はやりたくなかったんだけど……
map_0414#352	ルミ: ……あの!
map_0414#353	さあ、行こう!
map_0414#354	ラドマス: さて、ここでぐずぐずしていても仕方ない。行こうか。
map_0414#355	ノエル: アンナの言う通りだったのかもな。
map_0414#356	見えないからって、そこに存在しないとは限らない。
map_0414#357	他にも、俺が見落としてるものがあるんだろうか。
map_0414#358	ノエル: いつか、見つけてみようと思う。
map_0414#359	ヴィクトリア: さっさとどきなさい。
map_0414#360	アマリア: この人たち、本当に悪の組織なの?
map_0414#361	でも、こんなに弱いのに?
map_0414#362	ハーディ: おい、こっちはもう我慢の限界だぞ!
map_0414#363	さっさと負けろよ、どうなんだ?!
map_0414#364	シェリー: 友達は役に立たないとか言ってたくせに……
map_0414#365	ここまで来られたの、誰のおかげだと思ってんの?!
map_0414#366	ルガルガンは戦いに集中している!
map_0414#367	サファイラ: ……
map_0414#368	セラ: 他に問題が起きなければ、この子はわたしが面倒見るわ。
map_0414#369	「面倒見る」っていうのは、「応急処置くらい分かってるふりをする」って意味だけどね。
map_0414#370	これが原因で何かクレーム来ても、責任は取らないから、いい?
map_0414#371	キャル: リンは先生をこっちに連れて行った。
map_0414#372	あそこで待ってるものについて、嫌な予感がする。気をつけろ。
map_0414#373	タカ: ああ。
map_0414#374	言った通り、もうこんなこと続けられない。
map_0414#375	ソラリス: できないのではない、やりたくないだけだろう。
map_0414#376	タカ: 同じことじゃないのか?
map_0414#377	ソラリス: 「できない」と「やりたくない」を混同するな。
map_0414#378	タカ: 実際のところ、大差ないと思うけどな。
map_0414#379	ソラリス: 相変わらず、はっきりしない答えだな。
map_0414#380	お前には我らの祖先の血が流れている。
map_0414#381	それは、その力と同時に、その重荷も背負うということだ。
map_0414#382	タカ: はいはい、責任がどうとか力がどうとか、その手の話だろ。
map_0414#383	とにかく、俺はもう……それを受け入れるつもりはない。
map_0414#384	悪いな。
map_0414#385	ソラリス: ……
map_0414#386	今この期に及んでも、そんな態度を貫くつもりか。
map_0414#387	タカ: ああ、たぶん、俺の心が最初からそこになかったからだろうな。
map_0414#388	ソラリス: 話の要点を分かっていないな。
map_0414#389	この決断に、お前の心はないのか?
map_0414#390	これはお前の臆病さから来る行動か、それとも今までの行動こそが臆病さそのものだったのか?
map_0414#391	タカ: 何を言ってるのか、正直よく分かんねえけど……
map_0414#392	でも、この件について、考えを変えるつもりはない。
map_0414#393	もうこんなこと続けられないって、俺の顔に書いてあると思うぜ。
map_0414#394	前は、あんたなりに間違った形であっても、俺のことを気にかけてくれてるんだと思ってた。
map_0414#395	子供の頃は、あんたが満足してくれるなら、自分がどう感じるかなんてどうでもいいって、本気で思ってたんだ。
map_0414#396	結局のところ、それが俺が生まれた理由だったわけだしな。
map_0414#397	だろ?
map_0414#398	だからこそ、あんたはあの女性を雇って、俺の母親にしたんだろ。
map_0414#399	俺が自分自身として生きたり、自分で選択したりするためじゃなかった。
map_0414#400	小さい頃、あんたはいつも「もっと自己主張しろ」って言ってきたけど、
map_0414#401	実際にそうしても、あんたの都合に合わなきゃ聞く耳持たなかったよな。
map_0414#402	だって、俺はあんたにとってただの道具だったから、だろ?
map_0414#403	あんたの血筋と伝統を続けるための、ただの手段だった。
map_0414#404	というか……本当は、世界に仕返しするためだっただけだろ?
map_0414#405	ソラリス: だが、世界のほうが我々に仕返しをしてきたようだな。
map_0414#406	タカ: いや……違う。
map_0414#407	「我々」にじゃない。
map_0414#408	あんただけにだ。
map_0414#409	悪いけど、もうこれ以上引きずられるつもりはない。
map_0414#410	そろそろ、自分の道を選ぶ時だと思う。
map_0414#411	ソラリス: それが言いたかったことだ。
map_0414#412	「そう思う」時、だと?
map_0414#413	時が来たのか、来ていないのか、どちらなのだ?
map_0414#414	来ているのなら、なぜ謝る?
map_0414#415	お前を道具ではなく息子として育てることに失敗したと言うのなら、その男に借りなど何もないはずだろう。
map_0414#416	それでもなお、お前は状況について愚痴をこぼし、自分の発言に迷い、私に反論の余地を残している。
map_0414#417	自分で決めたことをするのに、私の返答が必要なのか?
map_0414#418	それが、お前の逃げ道というわけか?
