map_0522#11	また会って、あんたのわざにもう一度素晴らしい魔法をかけようじゃないか!
map_0522#80	ヨーテリーがまた逃げ出した!
map_0522#81	ここからアズリン地方が全部見えるぞ!煙が立ち上るパイロス山があって、灰色の浜辺もある……なんて綺麗なんだ!
map_0522#82	<- サンセットサークル\n^v - 2番街
map_0522#83	<- ブラックスチーム通り\n^v - 2番街
map_0522#84	<- ブラックスチーム通り\n^ - 1番街
map_0522#85	<- シンダートン通り\nv - 1番街
map_0522#86	<- モスウォーター通り\n^v - 2番街
map_0522#87	なんて景色なんだ、青い湖が目の前に広がってて……
map_0522#88	一日中でも見ていられるよ。
map_0522#89	すぐに覚めてしまう夢みたいだから、今のうちに味わっておかないとな。
map_0522#90	ここの唯一の取り柄は、ここで煙草を吸わせてくれることだな。
map_0522#91	なんて新鮮な空気なんだ!
map_0522#92	……という意味でな。
map_0522#93	俺はマイルズ、右にいるのは兄のマックスだ。
map_0522#94	それで、今日はどうしたんだ?
map_0522#95	これでやられちまう間抜けにはちょっと同情するな。青のかけら6個くれ!
map_0522#96	緑のかけら7個だけで、相手をぶっ飛ばすこと間違いなしだぜ!
map_0522#97	賢明な選択だな!紫のかけら5個だ!
map_0522#98	勝利はもうすぐそこだ!赤のかけら7個くれ!
map_0522#99	>- シンダートン通り\nv - クリスタル通り
map_0522#100	ああ、少し前までは空気中の毒で寝込んでたんだ。
map_0522#101	でも今はもうすっかり元気だ!
map_0522#102	美しい夜だ、湖は輝いていて、心臓が高鳴ってる。
map_0522#103	一緒にどうだ?
map_0522#104	ここからだと街の眺めが本当にいいのに……
map_0522#105	他の場所もラピスくらいきれいだったらいいんだけどな。
map_0522#106	「ティムの教えテント」
map_0522#107	よう!俺はティム、これは俺のテントで、えーと、ここじゃ教えってやつをやってるんだ。
map_0522#108	何を教えてほしいんだ?
map_0522#109	青のかけら8個で、ばかぢからってやつを教えてやれるぞ。
map_0522#110	おい、俺が数え間違えてるのか、それともかけらが足りねえのか?
map_0522#111	教えて、教えて、シンプルにな!
map_0522#112	それは俺が自分で作った魔法の言葉だから、パクるなよ!
map_0522#113	たった緑のかけら9個で、あんたのポケモンの脳みそに叩き込んでやるぜ。
map_0522#114	げきりんは今めっちゃ流行りでな、紫のかけら8個で技スロットに入れられるぞ。
map_0522#115	赤のかけら9個で、ねっぷうを仕込んでやれる。
map_0522#116	また教えてほしいことがあったら、いつでもティムの教えテントに戻ってきてくれよな。
map_0522#117	こんにちは、トレーナー!
map_0522#118	ポケスナックのパック、買ってみない?
map_0522#119	ポケスナックはポケモンにとって美味しいおやつなの!食べさせてあげると、もっと幸せにしてあげられるわ!
map_0522#120	でもそれだけじゃないの!
map_0522#121	この美味しくて栄養満点のおやつを持ってるだけで、珍しい野生のポケモンが寄ってきやすくなるのよ!
map_0522#122	草むらでのランダムなエンカウントの話じゃないの――そんなの誰が欲しがるっていうの?
map_0522#123	でも特別な機会には、普段なら逃げてしまうようなポケモンも、あなたに注目してくれるかもしれないの。
map_0522#124	それでどう?
map_0522#125	スナックを買ってみない?
map_0522#126	ポケスナックはポケモンにとって美味しいおやつよ!食べさせてあげると、もっと幸せにしてあげられるわ!
map_0522#127	ヨーテリー:ワン!ワン!ワン!ワン!ワン!ワン!
map_0522#128	<>- ブラックスチーム通り\n^ - クリスタル通り
map_0522#129	こうして外に出て、健康な体でリボーンの見どころをまた楽しめるなんて、なんて爽快なんだろう!
map_0522#130	コリン・ルージュ:うん?
map_0522#131	ああ、愛しい人よ、私のもとに戻ってきてくれたのだね!
map_0522#132	再びまみえるこの運命の日を、長きにわたり夢見てきた。
map_0522#133	ああ――だがそれは叶わぬ運命であった、なぜなら……
map_0522#134	そう、ここまで私を追いかけてきたのだね?
map_0522#135	私はコリン・ルージュなどではない!
map_0522#136	それとも、追いかけていたのは別の誰かだったかな?
map_0522#137	本物のコリン・ルージュが、こうも容易く捕まるはずがない!
map_0522#138	しかし!私を倒すことができれば、本物がどこにいるか、ヒントをくれてやろう!
map_0522#139	面白い、実に面白い!見事だ!
map_0522#140	ああ、そういうことか。
map_0522#141	よかろう!約束通り、本物のコリン・ルージュを見つけるヒントをくれてやる!
map_0522#142	霧の立ちこめる場所に、彼を探すがいい!
map_0522#143	私から聞き出せるのはそれだけだ!
map_0522#144	約束通り、本物のコリン・ルージュを見つけるヒントをくれてやる!
map_0522#145	……ああ、まだ私を見つめているのだな。
map_0522#146	わかっているのだろう?
map_0522#147	コリン・ルージュ:しかし、なんと惜しいことか。
map_0522#148	あなたに初めて出会ってから、この再会を幾度も夢見てきた。
map_0522#149	そうならないわけがあろうか?
map_0522#150	それでも、これほど早く別れが訪れるとは、一度たりとも夢見なかった。
map_0522#151	あなたの瞳に戸惑いが見える。
map_0522#152	だが泣かないでくれ、愛しい人よ。
map_0522#153	たとえ私が去っても、私の想いはいつもあなたと共にある。
map_0522#154	だから、
map_0522#155	私があなたを想い続けるように、優しく私を覚えていてくれ、最期の息を引き取るまで。
map_0522#156	ずいぶん頑張ったようだが、それで?
map_0522#157	すべて無駄だったのだ、あなたは遅すぎた。
map_0522#158	ようやく私の列車が来るだけの時間を稼げたよ。
map_0522#159	フロリニア:つまり、私は……
map_0522#160	困惑している。
map_0522#161	ジュリア:オッケー、あたしたちで力になれる!
map_0522#162	何に困惑してるの?
map_0522#163	フロリニア:……それで、外に出て、人と会って、自分の感情と向き合う手助けになるような案があるか、あなたに尋ねた。
map_0522#164	ジュリア:うん!
map_0522#165	フロリニア:それであなたは、環境活動団体を探すと言った……
map_0522#166	ジュリア:あんたが興味持ちそうなことだと思ったから!
map_0522#167	フロリニア:……私がくさタイプを育てているから、か?
map_0522#168	ジュリア:それに賢いし!
map_0522#169	環境科学ってものがあるんだから!
map_0522#170	フロリニア:……だがこれは活動団体だ、科学団体ではない。
map_0522#171	ジュリア:似たようなもんでしょ!
map_0522#172	フロリニア:……それであなたは私たちをサンディに引き合わせ、ここで会わせた。
map_0522#173	サンディ:あら、あたしのことね!
map_0522#174	ええ、たしかにそうしたわ!
map_0522#175	フロリニア:……
map_0522#176	グループの他の人たちはどこに?
map_0522#177	ジュリア:あー、それ考えてなかったわ!
map_0522#178	専門家に聞いてみましょう――
map_0522#179	サンディ、どう思う?
map_0522#180	サンディ:あら、ジュリア、よく聞いてくれたわね!
map_0522#181	実はね、
map_0522#182	集合時間を間違えちゃったかも?
map_0522#183	実は1時間前だった気がするの。
map_0522#184	でも大丈夫!
map_0522#185	だっていつだって環境を守る時間だから。
map_0522#186	ジュリア:ってわけ!
map_0522#187	サンディ:細かいことにこだわっても仕方ないわ!
map_0522#188	だってさ、環境だって時々間違えるものよ――
map_0522#189	大したことじゃないわ。
map_0522#190	フロリニア:それどころか、環境が誤ると、世界の経済や農業状況に深刻な影響を及ぼす傾向にある……
map_0522#191	サンディ:あら、それいいわね!
map_0522#192	次の集会のためにメモしとくわ!
map_0522#193	ジュリア:ほら、もう環境科学してるじゃない!
map_0522#194	フロリニア:それはただの常識だと思うが?
map_0522#195	ジュリア:でも常識じゃないもの、わかる?
map_0522#196	気持ちーーーーーーーーちだよ!
map_0522#197	これってあんたの感情の探検だったはずでしょ?!
map_0522#198	だから、あたしたちが本当に気にすべき気候っていうのは、
map_0522#199	あんたの感情の気候ってわけ!
map_0522#200	サンディ:いいえ、実際の気候のことを本気で心配すべきよ。
map_0522#201	ジュリア:それもね!!!
map_0522#202	フロリニア:……感謝している、と思う。
map_0522#203	たとえこれが、集合できなかったグループとの、適当な理由で選ばれた無意味な外出だったとしても、
map_0522#204	あなたたちと一緒にここにいられて嬉しい。
map_0522#205	……ああ、私――
map_0522#206	私……泣いてる?
map_0522#207	ああ……
map_0522#208	「モスウォーターマーケット」
map_0522#209	「うかうかしてると技を逃す――
map_0522#210	この辺りで一番くつろげるわざ教え屋さん」
map_0522#211	よお、調子どうよ?
map_0522#212	あー、気にしないでくれよな、誰にでも「お前」って呼んでるだけだから。
map_0522#213	うちの特別なわざ、目当てか?
map_0522#214	マジで言うけどよ、あれヤバいから。
map_0522#215	よお、これ試してみたくない?
map_0522#216	よお、ゲーム最強のわざだぜ。まあ一番ヤバいってだけかもだけど。どっちにしろ青のかけら6個な。
map_0522#217	おいおい、値段足りてないじゃんか。それはナシだぜ。
map_0522#218	ん?ああ、そうだ、わざも渡さないとな。
map_0522#219	問題ないぜ。はい、どうぞ。
map_0522#220	うおっ、なかなか激しいな。りゅうのはどうは、えーと、緑のかけら6個だ。
map_0522#221	これでどんな草になるのか気になるところだけど……ああ、紫のかけら6個な。
map_0522#222	それは赤のかけら7個だ、まあ大したことじゃないだろ?
map_0522#223	よし、いいぜ。
map_0522#224	ようこそ、トレーナー。
map_0522#225	よく旅してきたようですね。お代をいただければ、あなたのポケモンに特別なわざを教えられます。
map_0522#226	これらを覚えられるポケモンはいますか?
map_0522#227	強力ですが、人生の多くのことと同じで、うまく使うのは難しいものです。青のかけら3個かかります。
map_0522#228	失礼ですが、その代金を払える様子には見えませんね。
map_0522#229	知識を伝えられるのは、いつも喜びです。
map_0522#230	破壊的ですが、効果的です。緑のかけら3個かかります。
map_0522#231	巻き込まれないよう気をつけてくださいね、トレーナー。私も心が痛みますから。値段は赤のかけら3個です。
map_0522#232	極端な力には、極端な代価が伴います。すなわち、紫のかけら9個です。
map_0522#233	次のご来店をお待ちしております。
map_0522#234	ここはもう他では見られないものがたくさんあるけど、まだ準備中の店もあるらしいな。
map_0522#235	また今度、他に何が用意されてるか見に来よう!
map_0522#236	えー?学校で自慢するためにわざを覚えたかったのに、このかけらってやつ何?どこで手に入れればいいわけ?
map_0522#237	まさか採掘でも始めろっていうんじゃないでしょうね?
map_0522#238	それは、まずいな。
map_0522#239	この建物について何かわかろうと、技術的な解析をしてみたんだが……
map_0522#240	間違ったデータを出力したみたいだ。
map_0522#241	えっと……
map_0522#242	これ。
map_0522#243	これで何かしてくれ。ありがとう!
map_0522#244	\PNはフィールド効果リードアウト17を手に入れた!
map_0522#245	ファクトリーフィールドの情報が閲覧可能になった!
map_0522#246	さて、この場所について何か役に立つことがわかるか見てみるか……
map_0522#247	ガーディはお利口に外で待っている。
map_0522#248	アクアテール
map_0522#249	こごえるかぜ
map_0522#250	シグナルビーム
map_0522#251	じごくづき
map_0522#252	はい
map_0522#253	いいえ
map_0522#254	ドレインパンチ
map_0522#255	おいかぜ
map_0522#256	しねんのずつき
map_0522#257	ステルスロック
map_0522#258	ばかぢから
map_0522#259	だいちのちから
map_0522#260	げきりん
map_0522#261	ねっぷう
map_0522#262	ダストシュート
map_0522#263	りゅうのはどう
map_0522#264	タネばくだん
map_0522#265	イカサマ
map_0522#266	ハイドロカノン
map_0522#267	ハードプラント
map_0522#268	ブラストバーン
map_0522#269	りゅうせいぐん
map_0523#0	やあ、トレーナー。
map_0523#1	自警団はトラブルに目を光らせている。何か怪しいものを見かけたら、我々に報告してくれ。
map_0523#2	<>- ウィローリード通り\n^ - クリスタル通り
map_0523#3	<>- ヘザーヒル小路\nv - イエロー通り
map_0523#4	<>- ヘザーヒル小路\nv - クリスタル通り
map_0523#5	チッ、警察が全面復帰したのはいいことだけどな。
map_0523#6	でも時々ちょっとやりすぎることもあるよな、わかるだろ?
map_0523#7	みんなに対してってわけじゃないけどよ、どんな連中が狙われるかはお互いわかってるだろ。
map_0523#8	ガーディ:ガウッ!?
map_0523#9	いやはや、こんな場所に落ち着くことになるとは思わなかったよ。
map_0523#10	いい街だが、ここに老人ホームができたもんだから、息子が俺にもう自分のところをうろつかれたくないってな。
map_0523#11	おほほ……ちょっと堪えるが、まあわかるよ。
map_0523#12	「リボーンシティ警察署」
map_0523#13	誤解しないでくれよ、ジャスパーワードが再建されたのはありがたいと思ってる。
map_0523#14	でも前の状態に戻れるなら……
map_0523#15	迷わずそうするけどな。
map_0523#16	どれだけ明るい未来だろうと、大切な人がそこにいないなら意味がない。
map_0523#17	前のが壊れちまったから、街はポケモンセンターの中に新しい診療所を作ることにしたんだ。
map_0523#18	70歳未満でも治療費を払えるならいい話なんだけどな……
map_0523#19	「ヘザーヒル駅」
map_0523#21	「ミラクルアイ霊媒師――\n新装開店!」
map_0523#22	待ちな、トレーナー!
map_0523#23	あたしたちはこの場所の守り手よ!
map_0523#24	ここから大きな財宝が盗まれたの……
map_0523#25	だからあたしたちは、これ以上の被害からここを守るためにいるの!
map_0523#26	覚悟しな、不法侵入者!
map_0523#27	違う、財宝の方よ!
map_0523#28	あたしたちのものになるはずだったのに!
map_0523#29	フン……その計画もこれまでね。
map_0523#30	この家を守って、見つけた誰かから財宝を奪えば、あたしたちも報酬の分け前にありつけると思ってたのよ。
map_0523#31	でももうそれも無理みたいね……
map_0523#32	ふん!
map_0523#33	あのばあさんが言ってた大きな財宝だって、どうせ大したことないんでしょ。
map_0523#34	時間の無駄だったわ!行くわよ!
map_0523#35	<>- ヘザーヒル小路\nv - プラチナ通り
map_0523#36	<- ウィローリード通り\n^ - プラチナ通り
map_0523#37	<>- ウィローリード通り\n^ - イエロー通り
map_0524#0	「ラピス高級自転車店――正しく乗ろう!」
map_0524#1	「ピオニー駅」
map_0524#2	鍵がかかっている。
map_0524#3	こんな世界があるってことは、祈りが届く証拠だ。
map_0524#4	己を導く魂に誠実であれ、子よ、たとえそれが自分自身の魂であっても。
map_0524#5	「コナル博士の孤児院兼精神科治療センター」
map_0524#6	\PNは孤児院のカギを使った!
map_0524#7	ドアの鍵が開いた!
map_0524#8	チッ、あのジムリーダー、いったいどこに行ったんだよ?!
map_0524#9	ずっと挑戦しようと待ってるのに、彼女がどこに消えたのか誰も知らないみたいだ。
map_0524#10	ここからアズリン地方が全部見えるぞ!煙が立ち上るパイロス山があって、灰色の浜辺もある……なんて綺麗なんだ!
map_0524#11	この大きな建物、最近ずいぶん静かになったな!
map_0524#12	もう出入りする人もいないみたいだし!何かあったのか?
map_0524#13	あんたは今まで何度もバトルを経験してきたみたいだな。
map_0524#14	昔はこの街の多くの人が、資源をめぐって、あるいはただ自分を証明するためだけに、互いに戦ってたもんだ。
map_0524#15	でも最近は、そういうのもすっかり落ち着いた。
map_0524#16	いざとなれば、人って本当に力を合わせられるもんなんだな。
map_0524#17	「ラピス図書館ジム」
map_0524#18	私と逃げよう。
map_0524#19	世界中どこへでも行けるよ。
map_0524#20	私がそばにいれば、何だって手に入る。
map_0524#21	あの、それやめてもらえます?
map_0524#22	今のところ、あなたにはそばにいてほしくないんですけど、どうも。
map_0524#23	<>- ダリア通り\nv -3番街
map_0524#24	なあ、街の富を年寄りが独り占めしてるなら、そいつらが死なない限り、その貯め込んだ金が下に回ってこないってことにならないか?
map_0524#25	あ、もちろん何かするつもりってわけじゃないぞ!
map_0524#26	でもあくまで仮の話として、住民のほとんどが本当にそこまで貧しいなら、そうなった方がよかったのかもな。
map_0524#27	なあ、ここのジムリーダーの話、聞いたか?
map_0524#28	まだ若い女の子なのに、チームメテオと戦って各地を回ってるらしいぞ!
map_0524#29	ラピスワードから一発かましてやれ、シェリー!
map_0524#30	よう、あんた。
map_0524#31	ここは俺たちの公園だ。
map_0524#32	つまり、敬意を払えってことだ。
map_0524#33	ゴミ捨て禁止。たむろ禁止。ポケモンいじめ禁止。わかるか?
map_0524#34	こいつらは頑張って働いてるが、北への正式な立ち入りを許可するにはまだやることが多いんだ。
map_0524#35	それに、このあたりの計画には遅れも出ててな。
map_0524#36	怪しい連中が、手を出しちゃいけない場所に手を伸ばしてるみたいだな、うん?
map_0524#37	警察官:本当に申し訳ない。あの女はイカれてるんだ。
map_0524#38	心配しないでくれ、あんたが本当に容疑者ってわけじゃない。
map_0524#39	でもなあ\PN、前に助けてもらった時、ちゃんとお礼を言ってなかったな。だからこれを受け取ってくれ。
map_0524#40	あれはお互いにとって、なかなかストレスのかかることだったろ。俺は無実の人間を責めるのは本当に好きじゃないんだ。
map_0524#41	これを謝罪の印として受け取ってくれるか?
map_0524#42	俺の兄弟がここの自転車屋で働いててな。それを俺の娘へのプレゼントにってくれたんだ。
map_0524#43	でも残念ながら、あの子は……ベリルであった一連の騒動を生き延びられなかった。
map_0524#44	部屋で本を読んでたんだが、そこに植物が壁を突き破ってきて。あの子は……
map_0524#45	……もういい。
map_0524#46	考えたくないんだ。頼むから、これを俺から受け取ってくれ。
map_0524#47	すまない。
map_0524#48	ガーディはお利口に外で待っている。
map_0524#49	まあ、この街も本当にまとまったもんだな。
map_0524#50	俺が何か関わったってわけじゃないけどな。
map_0524#51	もう遅すぎるかもしれないが。
map_0524#52	えっ?コーラルジムはまだ人手を探してるのか?
map_0524#53	うーむ!よし!
map_0524#54	どうやら、この年寄りも一肌脱ぐ時が来たみたいだな!
