map_0779#92	戦うのをやめた、その瞬間のこと。
map_0779#147	サファイラ: 利他主義は心地よい理想だけど、理想というものは本質的に身勝手なもの。
map_0779#148	あなたの答えが証明しているのは、自分のエゴを満たしたいという気持ちがあっても、それをするのが他人である必要はないということだけ。
map_0779#149	ただ覚えていてほしいと願うより、よっぽど傲慢なことよ。
map_0779#150	サファイラ: 結局のところ、大切なのはあなたのエゴだから。
map_0779#151	良い変化の起こし方を、自分が知っていると思い上がっているの？
map_0779#152	サファイラ: 誰にとっての「良い」なの？
map_0779#153	理想は本質的に身勝手なもので、根底にある価値観と無縁のものなんてない。
map_0779#154	あなたが何を考えて何をしようとも、できることはただひとつ。自分の視点を世界に押しつけることだけ。
map_0779#155	子供でさえ、ひとつの意見が形をとったものにすぎない。
map_0779#156	でも、それがものごとのあり方。
map_0779#157	誰もが、考えを生き残らせるために戦っている。
map_0779#158	サファイラ: それでも、あらゆる理屈に反して、あなたはまだ挑むことを優先している。
map_0779#159	粘り強さは責められることじゃない。でも無謀さは違う。
map_0779#160	あなたがそのどちらなのかは、まだ証明されていない。
map_0779#161	サファイラ: 何もない。
map_0779#162	野心もなく、ここまでたどり着いたの。
map_0779#163	ただの気晴らし？
map_0779#164	娯楽は幸福のための道具。
map_0779#165	できるかどうか、試したかっただけ？
map_0779#166	それって結局、あなたのエゴの話にならない？
map_0779#167	もしかして、周りの人たちのため？
map_0779#168	ずっと彼らの話を聞いていて、本当に何も気にかけてこなかったの？
map_0779#169	「何もない」と答えるのは、怠惰か、恐れのどちらか。
map_0779#170	もう一度、考え直してみる？
map_0779#171	サファイラ: いいわ。
map_0779#172	どんなにささいなことでもいい……あなたにとって一番大切なものは何？
map_0779#173	サファイラ: 「何もない」が一番答えやすいのは、他人が怖いか、自分が真実を知ることが怖いか、そのどちらかのときだけ。
map_0779#174	それで、どっち？
map_0779#175	サファイラ: 誰かが本当に気にかけてくれるとでも思ってるの？
map_0779#176	それとも、自分が選んだものが自分に不利に使われるのが怖いの？
map_0779#177	それは根拠のない恐れじゃない。
map_0779#178	世界はあなたを狙っている。でも、「あなた」個人を狙っているわけじゃない。
map_0779#179	でも恐れも――自分を守るための極端な手段も、結局はひとつの戦い方でしかない。
map_0779#180	サファイラ: あなたが何かを大切に思っていると認めないのは、それがもたらす痛みに耐えられないから。
map_0779#181	どれほどひどく傷ついたの？
map_0779#182	子供は、燃え盛る火に触れてはいけないとすぐに学ぶ。
map_0779#183	でも、それを進んで消そうとするには、大人にならなきゃいけない。
map_0779#184	いつ大人になるつもり？
map_0779#185	いつ戦い始めるつもり？
map_0779#186	……もういいわ。
map_0779#187	また始める時間よ。
map_0779#188	サファイラ: あなたの大切なものは、あの宝箱の中。
map_0779#189	世界はあなたにそれを持たせたくない。
map_0779#190	脅威はあらゆる方向から迫ってくる。
map_0779#191	目的を果たされる前に、それを排除しなさい。
map_0779#192	ルールはこう：
map_0779#193	何かが欲しいなら、それのために戦うこと。
map_0779#194	休憩はない。
map_0779#195	やり直しはない。
map_0779#196	それ以外のルールはない。
map_0779#197	幸運を。
map_0779#198	（このチャレンジでは、スピードアップモードをオフにすることを推奨する。）
map_0779#199	サファイラ: やり直しはないと言ったはずよ。
map_0779#200	あなたの旅はここで終わっていたはず。
map_0779#201	でも、わたしは世界ほど残酷じゃない。
map_0779#202	ルールをもう一度説明してほしい？
map_0779#203	サファイラ: ルールをもう一度説明してほしい？
map_0779#204	やり直しはない――外の世界では。
map_0779#205	始めなさい。
map_0779#206	サファイラ: それなら、自分の失敗から学びなさい。
map_0779#207	あなたには失敗がたくさんある。
map_0779#208	だからこそ、あなたには強さもたくさんある。
map_0779#209	別のセーブファイルで、このジムパズルのクリアが確認された。
map_0779#210	このファイルでは、宝箱を守るチャレンジをスキップしますか？
map_0779#211	バシャーモがスピードを上げている！
map_0779#212	何かがお宝を持ち去ろうとしている！
map_0779#213	宝箱が吹き飛ばされ、元の場所に戻された！
map_0779#214	ガブリアスが突進の構えを見せている！
map_0779#215	……グルルアアアアアウウウルルル……！
map_0779#216	サファイラ: それが精一杯なの？
map_0779#217	どれだけ敵を倒しても、大切なものを守れなければ意味がない。
map_0779#218	敵の動きを見極め、反応するのではなく先読みしなさい。
map_0779#219	攻めるのはあなたであって、彼らじゃない。
map_0779#220	すべてが終わったとき、どんな言い訳をしても失ったものは戻ってこない。
map_0779#221	どんな理由も、失敗を帳消しにするには足りない。
map_0779#222	あなたに守られることになった令嬢がいるとしたら、気の毒に思うわ。
map_0779#223	誰も、最初から自分自身すら守る力を持って生まれてくるわけじゃない。
map_0779#224	世界はあらゆる苦難をもって、必要に迫られる形でそれを教えてくれる。
map_0779#225	今度はあなたが学ぶ番。
map_0779#226	自分の失敗を、状況のせいにする？それとも自分の欠点のせいにする？
map_0779#227	結果は変わらない――変わるのは、誰を許さなきゃいけないかだけ。
map_0779#228	もう一度。
map_0779#229	世界が……傾いている。
map_0779#230	お宝はいずれ俺たちのものだ！
map_0779#231	かつて俺は恐るべき番人だった……だが今は、ただの死せる番人だ。
map_0779#232	どれだけ持ちこたえられると思ってる？
map_0779#233	幸福
map_0779#234	お金
map_0779#236	その他
map_0779#237	はい
map_0779#238	いいえ
map_0779#239	不信
map_0779#240	無関心
map_0779#241	わたしのもの
map_0779#242	彼らのもの
map_0779#243	家族
map_0779#244	自由
map_0779#245	遺産
map_0779#246	何もない
map_0779#247	あなた
map_0779#248	みんな
map_0779#249	特権
map_0779#250	弱さ
map_0779#251	違い
map_0779#252	記憶される
map_0779#253	他人
map_0779#254	自分
map_0780#0	アドリエンヌ: \PN！
map_0780#1	それも、あのジムから！よかった！
map_0780#2	カルセノンの誰にも連絡がつかなくて。
map_0780#3	ヴィクトリアも、出発してから一度も連絡がないの。
map_0780#4	大丈夫だった？
map_0780#6	そう……
map_0780#7	それじゃあデボンと同じね。しかもあれはただの試作品だったんでしょう？
map_0780#8	信じられないと言いたいところだけど、残念ながら信じられてしまうわ。
map_0780#9	他のみんなは――無事なの？
map_0780#10	それじゃあ、サファイラだけなのね。
map_0780#11	さすが最上位のリーダーで、次のチャンピオン候補ね。
map_0780#12	メテオの茶番に付き合うなんて、わたしは認められない。でも、今さらこんなことを言っても遅すぎるのよね。
map_0780#13	わたし自身がそちらへ向かう準備をして、被害を受けた人たちに何かできないか見てくるわ。
map_0780#14	でもまずは、サファイラ攻略のアドバイスが必要でしょう？
map_0780#15	もちろん――少し待っていて。
map_0780#16	あそこはたしか、モンティのジムだったはずよね……
map_0780#17	ええ、あった。
map_0780#18	このジムでいちばん厄介なのは、ドラゴンタイプの技を強化する効果ね。
map_0780#19	ドラゴンタイプの技もりゅうのまいのような技も威力が倍になるから、サファイラはすばやさに全振りできるの。
map_0780#20	この効果はあなたにも適用されるから、うまく使いこなせれば、このジムでの戦いはどちらか一方に大きく傾くはずよ。
map_0780#21	あるいは、耐久のあるフェアリータイプを使えば、彼女に積み技を強要させて、攻めの隙をつくこともできるわ。
map_0780#22	別に宣伝してるわけじゃないけど……
map_0780#23	でも、彼女のエース、カイリューが相手だと、そのどれも役に立たないわ。
map_0780#24	マルチスケイルの特性のおかげで、HPに関係なくドラゴンタイプの弱点が無効化されるし、
map_0780#25	このフィールドの熱で、こおりタイプの技の威力も抑えられてしまう。
map_0780#26	だから、カイリューに効果的に攻撃できるのは、いわタイプだけよ。
map_0780#27	そういう攻撃役は、カイリューが暴れる可能性を減らすために温存しておくといいわ。
map_0780#28	あなたになら、これを勝てるはずよ。
map_0780#29	チャンピオンの称号を正式に手にする前の、最後の壁ね！
map_0780#30	それじゃあわたしは、あちらで何ができるか見てくるわ。
map_0780#31	幸運を、チャンピオン。
map_0780#32	グランドホールでは、誰も応答しないみたいね……
map_0780#33	\PNは宝箱を開けた……
map_0780#34	\PNはトレジャーバッジを手に入れた！
map_0780#35	そして……
map_0780#36	サファイラ: あの茶番をよく切り抜けたわね。
map_0780#37	でも、あれはただの形式に過ぎない。
map_0780#38	このばかげた「トーナメント」に、そろそろ終止符を打つ時ね。
map_0780#39	テラを説得して自分のジムを使わせてもらったのは、有利なフィールド効果を確保して、確実に勝つためだった。
map_0780#40	でもその代わり、万が一まぐれであなたが勝てば、最後のバッジは手に入るわ。
map_0780#41	これは公平な取り引きだと思っている。
map_0780#42	もちろん、それもただの形式に過ぎないけれど、
map_0780#43	わたしにとって、負けるという選択肢はないから。
map_0780#44	このトーナメントは、わたしがいただくわ！
map_0780#46	サファイラ: 負けるという選択肢はない……
map_0780#47	わたしには、面倒を見るべき家族がいる――
map_0780#48	両親がいなくなってからずっと、それはわたしの責任だった――
map_0780#49	サファイラ: いえ、それは違う。
map_0780#50	孤児であっても、本来なら別の保護者がいるはずだった。
map_0780#51	でも、わたしにはいなかった。
map_0780#52	わたしは、この世界についていくつかのことを、否応なく学ばされた：
map_0780#53	誰もが腐っている。
map_0780#54	誰も味方になんてなってくれない。
map_0780#55	誰も話を聞いてくれない。
map_0780#56	それなのに、おかしいでしょう。あなたはただそこに座って、話を聞くだけ。
map_0780#57	持つ資格もない力を手にした人形みたいに、あなたは神様ごっこをしている。
map_0780#58	そしてただ、それが起きるのを眺めているだけ。
map_0780#59	どんなポケモンチームをぶつけられても倒せるからって、それだけであらゆる問題を解決できるとでも思ってるの？
map_0780#60	もしそれで解決できるなら、何かが間違ってる。
map_0780#61	でも、たぶんそのとおりなんでしょうね。
map_0780#62	すべてが間違ってる。
map_0780#63	あの医者は死んだ。
map_0780#64	そう言われている。
map_0780#65	それで、わたしに一体何をしろって言うのよ！？
map_0780#66	妹たちを守れって？
map_0780#67	正直に言うわ――わたしはただ、彼女たちを利用してきただけ。
map_0780#68	彼女たちだけが、わたしが前に進んでいると自分に思い込ませる唯一の方法だった。
map_0780#69	結局、わたしの意識はずっと彼に向いていた。
map_0780#70	それじゃあ、ずっと追いかけてきたものが消えて、喜ぶべきなの？
map_0780#71	彼に死んでほしかったわけじゃない――わたし自身の手で殺したかったのよ！
map_0780#72	ずっと昔に失った支配権を、ようやく取り戻したかった！
map_0780#73	そうすれば、もしかしたら――ほんのわずかでも、自分に力があるんだと思い込めるかもしれないから、
map_0780#74	たとえそれが、自分の身を守れる程度の力でしかなくても。
map_0780#75	だって、自分には力なんてないって分かってるから。
map_0780#76	できない。
map_0780#77	リンがあれをやってのけたことが……
map_0780#78	それを証明しているだけ。
map_0780#79	わたしたちがこのトーナメントに参加していたこと――
map_0780#80	この街にいたこと――
map_0780#81	ここで、わたしが負けたこと――
map_0780#82	結局、わたしは無力なんだって分かってる。
map_0780#83	あの時と同じように。
map_0780#84	わたしは彼を止められなかった。
map_0780#85	誰もわたしを信じてくれなかった。
map_0780#86	彼自身、それを覚えてすらいない。
map_0780#87	彼は放心状態というか、一種のトランス状態にいて――
map_0780#88	ずっと同じ言葉を繰り返していた……
map_0780#89	「リジー、リジー、リジー」
map_0780#90	行ったり来たり、行ったり来たり、
map_0780#91	ずっと泣きながら。
map_0780#92	何度も何度も、
map_0780#93	永遠とも思えるくらいの間。
map_0780#94	サファイラ: でも、たとえここから出られたとしても、わたしにできることはもう何も残ってない。
map_0780#95	バッジとわざマシンは、下の宝箱の中にあるわ。
map_0780#96	テラ、まだ聞いてるんでしょう？
map_0780#97	準備はできてる。
map_0780#98	もう、わたしを終わらせて。
map_0780#99	眠る時間よ。
map_0780#100	サファイラ: 準備ができているなら、やることは分かっているはずよ。
