map_0827#3105	気にしないで。
map_0827#3155	ヴィクトリア: \PN、戻ってきたのね!
map_0827#3156	瞑想はどうだった?
map_0827#3157	まあ、それが本当に起きてたことならだけど。
map_0827#3158	ビーから、あなたに世話を頼んだあのポケモンの話を聞いたわ。もしかして手に負えなくなって、鍛え直してたんじゃないかって思って。
map_0827#3159	ウルトラビーストのことはあまり詳しくないんだけど。
map_0827#3160	どっちにしろ、あなたの立場になってみたかったな。
map_0827#3161	山にちょっとした休暇に行って瞑想するなんて……
map_0827#3162	いいわね。
map_0827#3163	グランドホールの仕事がもう少し片づいたら、あたしも……
map_0827#3164	とにかく、戻ってきてくれて嬉しいわ。
map_0827#3165	あなたより先にアドリエンヌに会ったら、伝えとくわね。心配してたから。
map_0827#3166	ヴィクトリア: どれだけ見逃してたんだろう。
map_0827#3167	みんなをまとめようと必死になったり、
map_0827#3168	キキみたいになろうと頑張ったり、
map_0827#3169	リボーンリーグを回し続けようとしたり、
map_0827#3170	何もかも正しく――完璧にやろうとしたり……
map_0827#3171	ずっと、自分を信じて楽しんでればよかったのよね?
map_0827#3172	まあ、簡単に学べる教訓なんてないものね。
map_0827#3173	説教だって、経験のための足場にすぎないんだから。
map_0827#3174	自分の経験を乗り越えられて、感謝してるわ。
map_0827#3175	ヴィクトリア: このアノマリー全部に対応するのは大変よ。
map_0827#3176	アークライトがかなり対処してくれてるけど、それでもまだ手に負えない感じ。
map_0827#3177	誰かが一つ片づけたと思ったら、また三つ出てくるんだから!
map_0827#3178	それでも、みんなが進んで対処してくれるのはありがたいわ。誰も対応できなかったらどうなってたか、考えたくもない……
map_0827#3179	ヴィクトリア: 伝説は一体ずつ、でしょ?
map_0827#3180	あたしたちなら大丈夫。
map_0827#3181	ヴィクトリア: またこうして出歩けるようになって嬉しいわ。
map_0827#3182	状況はもっと良くなり得るんだろうけど、ここにいられるだけでありがたい。
map_0827#3183	ヴィクトリア: また今度、戦いましょう。
map_0827#3184	お互いを鍛え合わないと、誰がやるのよ。
map_0827#3185	ヴィクトリア: あなたが最初にここへ来たとき、真っ先に迎えられた一人でいられて嬉しかったわ。
map_0827#3186	ある意味、歴史の始まりだったのよね。
map_0827#3187	あの時は、誰もそれに気づいてなかったけど。
map_0827#3188	ダニエール: またね。
map_0827#3189	で、あんたって世界を救ったとかなんとかの大物セレブだったんだって……
map_0827#3190	知ってたら、話してたときにもうちょっと敬意を払ってたかもね……
map_0827#3191	……はっ!
map_0827#3192	まさかね。
map_0827#3193	あんたって、からかいやすすぎるのよ。
map_0827#3194	さ、覚悟決めなさい、ヒーロー。仕事があるわよ。
map_0827#3195	目撃者から新しいアノマリーの報告が――
map_0827#3196	……ああ、「アノマリー」なんて気取った言い方やめて、そのまま言うわね。
map_0827#3197	4番道路のガラス工房で、伝説のポケモンを見たって人がいるの。
map_0827#3198	その建物に詳しい人をよこしてほしいって特に頼まれてて、聞いた話じゃ、あんたが一応それに当てはまるらしいのよ。
map_0827#3199	まだその辺りにいると思うから、問題を起こす前に行った方がいいわよ。
map_0827#3200	あたしが知ってるのはそれだけ。行ってきて。
map_0827#3201	ダニエール: まさか、行き方忘れたなんて言わないでよね。
map_0827#3202	4番道路、ガラス工房。
map_0827#3203	あの辺りに目撃者がうろついてると考える根拠があるし、それに、伝説のポケモンもいるでしょ。
map_0827#3204	そのうち行っといて。
map_0827#3205	アーチャー: 緊急事態だ、エース。
map_0827#3206	アメトリン山で何かが起きているらしい。
map_0827#3207	「アメトリン山で何かが起きている」というのは、「アメトリン山そのものが崩れかけている」という意味だ。
map_0827#3208	何とかしなければな。
map_0827#3209	山が内側から溶けている。
map_0827#3210	何かがあの中に発生したと見ている。
map_0827#3211	山の中心部にたどり着くには泳ぐ必要があるだろうが、氷のある場所を探せ。
map_0827#3212	もっとも、かつて氷だった場所、かもしれんが。
map_0827#3213	セレスティナインにつながっている可能性もある。
map_0827#3214	被害はそこが最も酷いようだ。
map_0827#3215	マクスウェル: いたか、チャンプ!
map_0827#3216	アメトリン山で緊急事態が起きててな、
map_0827#3217	その緊急事態ってのが、アメトリン山そのものが崩れかけてることだ。
map_0827#3218	何かが内側から溶かしてるらしいぜ。
map_0827#3219	欲望の焼け穴みたいなもんが、核までじりじり溶かしてるってよ……
map_0827#3220	手遅れになる前に、中に入って確かめてこい!
map_0827#3221	セレスティナインを通った方が、アメトリンの一部には入りやすいかもしれねえぜ。
map_0827#3222	報告があったのは山のかなり奥深くだから、そこに行くにはひと泳ぎ必要かもな。
map_0827#3223	まあ、さっさと潜ってきな。
map_0827#3224	栄光のためにな、ベイビー。
map_0827#3225	ダニエール: で、ジャスパーワードの地下に巨大なカルトの部屋があるらしいんだけど?
map_0827#3226	サブセブンだかなんだか?
map_0827#3227	知ってた、これ?
map_0827#3228	みんな、人口密集地の地下に狂信的な集団の巨大空間があるのを、普通に受け入れちゃってるわけ?
map_0827#3229	……はぁ、もういいわ、忘れて。
map_0827#3230	どうりでこの街、二回も機能停止しかけたわけだ。
map_0827#3231	自業自得よ。
map_0827#3232	とにかく、そこで何かエネルギーの変動があるらしいのよ……
map_0827#3233	……って聞いたんだけど、まあ正直、また伝説のポケモンがあたしたちのことに首を突っ込んできただけでしょうね。
map_0827#3234	だから、それはもうあんたの問題よ。
map_0827#3235	「人間助ける 戻った!」
map_0827#3236	「こんにちはやあ 人間助ける」
map_0827#3237	「新しい でかポケ」
map_0827#3238	「人間助ける ドーブル助ける 今?」
map_0827#3239	「オーケー いい」
map_0827#3240	「でかポケ ドカン ビーチどうくつ近く」
map_0827#3241	「赤しっぽ人間 行くも」
map_0827#3242	「片目赤しっぽ人間 行くも」
map_0827#3243	「黒毛人間 行くも」
map_0827#3244	「行く でかポケ直す!!!」
map_0827#3245	「オーケー いいいい!!」
map_0827#3246	「行く 直す ビーチどうくつ でかポケ!!」
map_0827#3247	「アシマリどうくつ?」
map_0827#3248	「ビーチビーチビーチビーチ」
map_0827#3249	「人間助ける 行く行く行く行く!!!」
map_0827#3250	「オーケー 人間助ける 忙しい ドーブル助ける 今じゃない」
map_0827#3251	ビーチの絵を描いている。
map_0827#3252	ダニエール: 一体何したのよ?
map_0827#3253	ゼロが反応が全然拾えないって言ってた後、あんたがもう一つの隕石現場に行ったって聞いたら、急に新しい報告が四件も入って、しかも機材まで壊れたのよ。
map_0827#3254	あんたがあのギラティナを手に入れるまでは何も拾えてなかったのに、その途端、本来検知するはずだったエネルギーが一気に流れ込んで、機材が過負荷になったみたいなの。
map_0827#3255	よくやってくれたわね。
map_0827#3256	あれを直せない限り、今回の分より後にアノマリーを見つけるのは無理だと思うわ。
map_0827#3257	とにかく、急に入ってきた報告の一つが、とんでもない高速のやつだったの。
map_0827#3258	どこから来たのかわからないけど、一瞬で地方の半分くらいを突っ切って、今はシャルース山の頂上で止まってるわ。
map_0827#3259	一番行きやすいのはポケモンリーグからよ。
map_0827#3260	ハーディはもう向かったけど、あいつは脳みそを家に置いてきたに違いないから、手伝いに行った方がいいんじゃない。
map_0827#3261	ここでは、苦労して稼いだバトルポイントをレベルアップ系のアイテムと交換できます。
map_0827#3262	今日は何にしますか? \ch[62,-1,1 BP- けいけんアメXL x 8,5 BP- けいけんアメXL x50,1 BP- とくせいカプセル,2 BP- ハートのウロコ x2, 1 BP- ふしぎなアメ,2 BP- どりょくちチューナー x3,3 BP- どりょくちブースター x2,4 BP- ピーピーオール, 9 BP- リボーンボール, 5 BP- グリッターボール x10,13 BP- せいなるはい]
map_0827#3263	スイッチで点滅する照明を操作できます。
map_0827#3264	弱めますか?
map_0827#3265	強めますか?
map_0827#3266	ナイトクラブのバトル施設へようこそ。
map_0827#3267	バトルパビリオンは、自分のポケモンを使う従来のバトルタワー形式のチャレンジで、
map_0827#3268	一方バトルファクトリーのチャレンジでは、ランダムにレンタルしたポケモンで戦います。
map_0827#3269	バトルパレスのチャレンジはバトルパビリオンに似ていますが、一つひねりがあります。ポケモンが自分で行動を選ぶのです!
map_0827#3270	さらに、各バトルの前にランダムなフィールド効果を任意で発生させることもできます。
map_0827#3271	どちらのチャレンジでも、フィールド効果を有効にした状態で5回戦を完了すると、BP報酬が増加します。
map_0827#3272	ランダムフィールド効果を有効にしますか?
map_0827#3273	ランダムフィールド効果が有効になりました。
map_0827#3274	ランダムフィールド効果が無効になりました。
map_0827#3275	バトルファクトリーへようこそ。
map_0827#3276	シングルとダブル、どちらで戦いますか?
map_0827#3277	バトルファクトリーでは、セット全体で一つのランダムフィールドにするか、バトルごとに異なるランダムフィールドにするか選べます。
map_0827#3278	どちらにしますか?
map_0827#3279	セット全体で一つのランダムフィールド効果になります。
map_0827#3280	バトルごとに一つのランダムフィールド効果になります。
map_0827#3281	勝利おめでとうございます。
map_0827#3282	レンタルしたポケモンをお返しいただき、あなた自身のポケモンをお返しします。
map_0827#3283	お待ちしておりました。こちらへどうぞ。
map_0827#3284	ゼロ: ……よう、\PN。
map_0827#3285	カウンターの裏から出てきて驚いたか?
map_0827#3286	アノマリー報告の片づけがようやく全部終わってさ、その、えっと……
map_0827#3287	少しの間、ここにいようと思ってな。
map_0827#3288	ちょっと息抜きする時間を取ろうと。
map_0827#3289	……その、まあ……景色でも楽しもうかと。
map_0827#3290	ここは……ちょっと圧倒される感じだけどな。
map_0827#3291	でも、カウンターの裏で報告を管理してようとなかろうと……
map_0827#3292	みんながまた戻ってきてるのを見られて嬉しいよ。
map_0827#3293	ゼロ: ……挨拶しに寄ってくれてありがとな。
map_0827#3294	いつも通り、お前に会えて嬉しいよ。
map_0827#3295	ゼロ: 正直な話、\PN、今はなんだかすごく変な感じなんだ。
map_0827#3296	管理する報告もない、監視する機材もない、対処するアノマリーもない……
map_0827#3297	……一度にどれだけ受け取ったかで眠れなくなる夜もなくなった。
map_0827#3298	心のどこかで、報告なんて終わらないもんだと思ってたところもあった。
map_0827#3299	……もう片方は、それが終わっちまったことを寂しく思ってる。
map_0827#3300	……へっ。
map_0827#3301	でも嘘はつかないぜ、全部終わって休めるようになったのは、やっぱり嬉しいことだった。
map_0827#3302	ここでみんなに会えて……
map_0827#3303	エース、ブレイク……キャル――
map_0827#3304	エース、タカ――
map_0827#3305	イヴとルミも……
map_0827#3306	……その、俺は……みんなに会いたかったんだ。
map_0827#3307	今度、みんなとも話してみようかな。
map_0827#3308	……向こうがそう思ってくれるかはわからないけど……
map_0827#3309	いいかもな。
map_0827#3310	ゼロ: なあ、\PN、ずっと考えてたんだ。
map_0827#3311	俺が手伝えそうな場所が、他にもないか探してみたいなって。
map_0827#3312	アノマリー報告の管理を手伝ったり、あの、その……凍える新世界の探検を一緒にやったりして……
map_0827#3313	……対応するのは、色々大変だった。
map_0827#3314	でも、それがなんか……正しいことだって感じたんだ。
map_0827#3315	ようやく自分で何か正しいことができたって。
map_0827#3316	あそこでお前を支えたり、ここでカウンターの裏から支えたり……
map_0827#3317	ゼロ: ……なあ、\PN……
map_0827#3318	デスクの裏で過ごしてた間、色々考えたんだ。
map_0827#3319	俺が手伝えそうな場所が、他にもないか探してみたいなって。
map_0827#3320	あのアノマリー報告を全部管理する手伝いをして……
map_0827#3321	それがなんか……正しいことだって感じたんだ。
map_0827#3322	みんなが、自分の力でできる小さなことで周りの人を助けられれば、そんなに悪い状況にもならないんじゃないかって。
map_0827#3323	……あ、いや、急にこんな話して悪いな。
map_0827#3324	また、その、こんな感じで。
map_0827#3325	でも、聞いてくれてありがとな。
map_0827#3326	ゼロ: へっ、これからは他に何をするか、考えなきゃな。
map_0827#3327	その、何もすることがないってのも変な感じだ。
map_0827#3328	……こんなにこの話ばっかしてるって、わざわざ言わなくてもわかってるよ。
map_0827#3329	ただ、俺みたいなやつでも、このめちゃくちゃな状況で何かできることがあったってのは、素直に嬉しいんだ。
map_0827#3330	ゼロ: ……あー。
map_0827#3331	「俺みたいなやつ」なんて、自分に対して失礼なだけだよな。
map_0827#3332	これは……恥ずかしい話だけど、今でも時々、自分がまだ複数の人格だったみたいに考えると楽になることがあるんだ。
map_0827#3333	イヴやルミに、そんな風には言いたくない。
map_0827#3334	あいつらだって、俺にそんなこと言わないってわかってるし。
map_0827#3335	だから、その……言い直すと……
map_0827#3336	ここで、俺が変化を起こせたことを誇りに思ってる。
map_0827#3337	正しい戦いを手伝えたってことをな。
map_0827#3338	ゼロ: こっちに寄って話してくれて嬉しいよ。
map_0827#3339	……いつかみんなに加わろうかな。
map_0827#3340	ゼロ: 今日は何か手伝いが必要か?
map_0827#3341	……それとも、ただ挨拶しに来ただけか?
map_0827#3342	ゼロ: ここは時々、なんだか落ち着かない感じがするな。
map_0827#3343	別に嫌ってわけじゃないけど。
map_0827#3344	いい音楽に、俺のことを……まだ我慢してくれる人たち? 友達?
map_0827#3345	いいもんだな。
map_0827#3346	調子はどうだ、チャンプ?
map_0827#3347	リミックスには興味あるか?
map_0827#3348	音楽だろうがポケモンだろうが、たまには変えてみるのもいいもんだぜ!
map_0827#3349	例えば、あるバトルのために技を一つ二つ入れ替えたいけど、後で元に戻したいってときあるだろ……
map_0827#3350	そういうときに力になれるぜ!
map_0827#3351	やることは簡単さ。
map_0827#3352	ポケモンを連れてきてくれれば、今の技をそのまま覚えとくよ。
map_0827#3353	そのミックスを保存しといて、いつでも戻ってこれるようにするんだ。
map_0827#3354	チャンプには無料でな。
map_0827#3355	どうだ、試してみるか?
map_0827#3356	ミックスしに来たか、チャンプ?
map_0827#3357	何を考えてる?
map_0827#3358	記録する技構成を選んでくれ。
map_0827#3359	気が変わったか?
map_0827#3360	よし、そのポケモンの技を覚えとくぜ。
map_0827#3361	このミックス、何て呼ぶ?
map_0827#3362	もう\v[6]って名前で技構成を保存してあるぞ。
map_0827#3363	これ、どうしたい、チャンプ?
map_0827#3364	わかった。\v[6]を更新したぜ。
map_0827#3365	わかった。\v[6]として保存したぜ
map_0827#3366	なあ、何か名前つけなきゃだろ?
map_0827#3367	その方が楽しいしな。
map_0827#3368	何かじゃないなら、それは何もないってことだ。
map_0827#3369	ポケモンに「何も」覚えさせたくはないだろ、チャンプ、信じてくれ。
map_0827#3370	そのポケモンの技は、もう\v[6]って名前で保存済みだ。
map_0827#3371	もう一回いこうぜ!
map_0827#3372	何をする、チャンプ?
map_0827#3373	まあ、だいたいの流れはわかってるよな?
map_0827#3374	用があればいつでも話しかけてくれ。
map_0827#3375	ああ、そうだ、照明がうるさいって感じたら、俺の左にあるスイッチで弱められるぞ。
map_0827#3376	クールにいこうぜ、チャンプ。
map_0827#3377	ニヒル: ここで会うかもとは思ってたぜ。
map_0827#3378	警備につかされてんだ。
map_0827#3379	ただ見張って、うるさい奴を追い出すだけ。
map_0827#3380	そんなに頻繁にはないけどな。
map_0827#3381	悪くない雰囲気だ。
map_0827#3382	これって本当に「まっとうな仕事」って言えるのかよ?
map_0827#3383	まあいいや。
map_0827#3384	てか、ありがとな。
map_0827#3385	てか……まあいいや。
map_0827#3386	ニヒル: もう勤務中に喋りすぎて怒られたから、雑談は勘弁してくれ。
map_0827#3387	気にすんな、大物さん、勝手にやってくれ。
map_0827#3388	ニヒル: よう。
map_0827#3389	バトルパレスへようこそ!
map_0827#3390	初めてのご利用ですか? ご存じない方のために説明しますと、バトルパレスは通常のバトルパビリオンとよく似ていますが、あなたのポケモンが自分の判断で戦う点が違います!
map_0827#3391	あまり……華々しい……評判ではないと承知していますが……
map_0827#3392	でもご安心ください、トレーナーさん、私たちのバトルパレスは他地方のものよりずっと改善されています!
map_0827#3393	とある熱帯地方の、とある人物のパレスとは違い、私たちのパレスではポケモンが本来の力を発揮して戦うことができます!
map_0827#3394	リボーンのポケモンが賢いのかどうかはわかりませんが、ここではきちんと戦ってくれます! 迷ったり下手な技を選んだりはしません!
map_0827#3395	しかもここでは、モンスターボールに戻って仲間に戦いを任せるタイミングまでわかっているんです!
map_0827#3396	あなたは何もしなくていいんです! というわけで……
map_0827#3397	申し訳ありませんが、参加できません……参加には異なる3匹のポケモンが必要です。
map_0827#3398	参加させる3匹のポケモンを選んでください!
map_0827#3399	申し訳ありませんが、参加できません……参加には異なる4匹のポケモンが必要です。
map_0827#3400	参加させる4匹のポケモンを選んでください!
map_0827#3401	良い一日を、そしてまたのお越しをお待ちしております!
map_0827#3402	現在の合計は\v[593]です!
map_0827#3403	記録が更新されました!
map_0827#3404	バトルパレスでの時間を楽しんでいただけたなら幸いです!
map_0827#3405	もし「ああ、パレス係の人、この素晴らしい体験をもっと楽しむにはどうしたらいいの?」と思うほど気に入っていただけたなら……
map_0827#3406	誰かに「battlepalace」と言ってみてください! そうすれば、二度とポケモンに指図する手間をかけずに済みますよ!
map_0827#3407	ご参加ありがとうございました!
map_0827#3408	おかえりなさい! こちらへどうぞ。
map_0827#3409	申し訳ありませんが、チャレンジはキャンセルされました……
map_0827#3410	はい
map_0827#3411	いいえ
map_0827#3412	選択
map_0827#3413	ランダム
map_0827#3414	キャンセル
map_0827#3416	ハード
map_0827#3417	何?
map_0827#3418	シングル
map_0827#3419	ダブル
map_0827#3420	何……?
map_0827#3421	セット全体
map_0827#3422	バトルごと
map_0827#3423	記録
map_0827#3424	復元
map_0827#3425	更新
map_0827#3426	新しい名前
map_0828#0	ラッシュチャレンジへおかえりなさい!
map_0828#1	ラッシュチャレンジへようこそ!
map_0828#2	最初の対戦相手が誰か、あなたにはよくわかっているはず。もう待つ必要はありませんね。
map_0828#3	おめでとうございます! パーティを回復させますね。
map_0828#4	続けますか?
map_0828#5	わかりました。また次の機会に。
map_0828#6	ラッシュチャレンジ完了、おめでとうございます!
map_0828#7	その頑張りに免じて、なんと\v[62]BPを獲得しました!
map_0828#8	現在の合計は\v[593]です。
map_0828#9	さらに、ラッシュチャレンジの追加難易度が解放され、今後のチャレンジには自動的に適用されます。
map_0828#10	またのお越しをお待ちしております!
map_0828#11	\v[604]
map_0828#12	\v[609]
map_0828#13	ジュリア: リマッチ!?!
map_0828#14	いいけど、そっちが望んだんだからね!
map_0828#15	1、2、3、手加減なしだよ! アタシたちの攻撃、喰らいな!!!
map_0828#18	ジュリア: うわぁ、\PN、全然手を抜かないじゃん! アタシのスーパー・エクストラ・楽しい応援で盛り上げたのに!
map_0828#19	その調子、続けなよ!
map_0828#20	リニもきっと会えて嬉しいと思うよ!
map_0828#21	フロリニア: こんにちは。
map_0828#22	会えて……良かった。
map_0828#23	元気にしていたなら幸いだ。
map_0828#24	フロリニア: ご挨拶を。前回の対戦以来の両者の成長について、分析を開始する。
map_0828#26	フロリニア: 良い対戦だった。
map_0828#27	……楽しかった。
map_0828#28	フロリニア: これは予想通りの結果だ。
map_0828#29	シェリー: よし、\PN! あたしがどれだけ強くなったか見せてあげる!
map_0828#32	シェリー: こ、今回の方が前より楽しかった!
map_0828#33	他のみんなとも頑張ってね!
