map_0232#87	だから、ここはあたしたちに任せなさい。
map_0233#12	でも、みんなまだ孤児院にいるはずじゃ……?
map_0233#13	シャルロット: あのジジイにはもう我慢の限界だったから、自分の電気ショック機械につないで、一発かましてやったの。
map_0233#14	ローラ: ほ、本当に……?
map_0233#15	？？？: ほ、本当に……?
map_0233#16	シャルロット: そうだったらよかったんだけどね。
map_0233#17	でも、実際は逃げ出しただけで、しばらくここに身を潜めなきゃいけないの。
map_0233#18	シャルロット: \PN、シェリー、こっちはローラ。
map_0233#19	あたしの妹。
map_0233#20	ローラ: \PNとは、実はもう会っているんです。
map_0233#21	さっきのちょっとしたプロジェクト、手伝ってくれてありがとうございました~
map_0233#22	サファイラ、とても気に入っていましたよ、
map_0233#23	それを言葉にするのを忘れちゃったみたいですけど。
map_0233#24	そういえば、あのプロジェクト、結局ラピスの「甘い香りの花屋」に引き継いだんです。
map_0233#25	仕上げにまだ手が必要そうだったので、もし近くに行くことがあれば、覗いてみてください。
map_0233#26	ローラ: それでは、思いがけずですけど、お二人にお会いできて光栄です。
map_0233#27	シェリー: あ、その……よ、よろしくお願いします!
map_0233#28	シャルロット: ドクターから逃げるのを手伝ってくれたんだけど、街に戻るのは危険すぎるかもって思って。
map_0233#29	だから、しばらくここに一緒にいてもらうことにしたの。
map_0233#30	ノエル: アンナが横になれる場所はある?
map_0233#31	ノストラの具合が悪いみたいなんだ。
map_0233#32	ローラ: あら……ええ、もちろんです。
map_0233#33	二階までついてきてもらえますか?
map_0233#34	シャルロット: ローラも、つい最近まで孤児院にいたの。
map_0233#35	18歳になったばかりで、法律上の成人として、やっと自由になれたんだよね。
map_0233#36	それでここに来たの。
map_0233#37	ここは元々あたしたちの両親の家だから、今のあたしたちにとって一番安全な場所なの。
map_0233#38	それに見た感じ、模様替えもしたみたい。
map_0233#39	……また。
map_0233#40	シェリー: シャルロット、ご両親には何があったの?
map_0233#41	シャルロット: それはどうでもいいの。
map_0233#42	シェリー: あ、ご、ごめん……
map_0233#43	ローラ: かわいそうに、すぐに眠ってしまいました。
map_0233#44	ひどい熱があって……
map_0233#45	シャルロット: 薬、何かある?
map_0233#46	ローラ: いいえ、残念ながら。
map_0233#47	でも、スピネルタウンのポケモンショップで、やくそうエキスを売っていたと思います。
map_0233#48	キュワワーが集める花から作られた、天然素材で動物にも優しい、素晴らしい万能薬です。
map_0233#49	シャルロット: わかった。
map_0233#50	\PN、町に行って、アンナのためにやくそうエキスを取ってきて。
map_0233#51	スピネルタウンはリボーンシティとは完全に独立した、端っこにある小さな集落なの。
map_0233#52	入り江から戻って、線路を東に沿っていけば見つかるはず。
map_0233#53	ローラ: あら、出かける前に、少し休んでいったほうがいいかもしれません。
map_0233#54	\PN、こちらへどうぞ。
map_0233#55	シャルロット: いたいた。
map_0233#56	なに、迷子になった?
map_0233#57	妹にはもう一人一緒だって言ったのに、振り返ったらいなくなってたから。
map_0233#58	まあ、いいけど。
map_0233#59	\PN、こっちが妹のローラ。
map_0233#60	ローラ: お会いできて光栄です。
map_0233#61	シャルロットから、今の状況はもう聞いています。
map_0233#62	もちろん、安心できるまで、いつまでもこの家に滞在してくださって構いません。
map_0233#63	それと、あんな酷い場所から姉と友人たちを連れ出すのを手伝ってくださって、心から感謝しています。
map_0233#64	シャルロット: ちなみに、アンナは二階で休んでる。
map_0233#65	シャルロット: どうしたらいいか、ちょうど話してたところ。
map_0233#67	シャルロット: あ、もう持ってるんだ。
map_0233#68	ローラ: あら?
map_0233#69	準備万端だったんですね。
map_0233#70	シャルロット: こうなるって、わかってたみたいに。
map_0233#71	やるじゃん。
map_0233#72	さっさと二階に行って、渡してあげよう。
map_0233#73	ローラ: あら、また外に出るなら、少し休んでいったほうがいいかもしれませんね?
map_0233#74	こちらへどうぞ。
map_0233#75	シグムンド: また会いましたね。
map_0233#76	シグムンド: 前回と同じ慈悲を、あなたに与えるつもりはありません。
map_0233#77	あなたが私から盗んだものを、取り戻しに来たのです。
map_0233#78	あの子どもたちは、孤児院に属するものです。
map_0233#79	私の所有物なのですよ。
map_0233#80	しかし、あなたを侮ってはいけないことも承知しています。
map_0233#81	ですから……
map_0233#82	職員たち、\PNを拘束しなさい。
map_0233#83	私は上階を捜索します。
map_0233#84	これでお前の三度目の試練だ。あと何度耐えられる?
map_0233#85	お前の相手をして、ドクターに好きにさせる。それが俺たちに求められたことのすべてだ。
map_0233#86	職員: 我々の敗北など、取るに足らない。
map_0233#87	ドクターには、必要な時間がすべて与えられている。
map_0233#88	シリウス: あの野蛮な女め!
map_0233#89	職員: お前の部下たちは、どこにいる?
map_0233#90	シリウス: 消えた。
map_0233#91	死んでいるかもしれんな。
map_0233#92	あのカイリューを連れた忌々しい女が、湖を渡っている最中に我々を撃ち落としたのだ。
map_0233#93	私はお返しに奴の翼を切り落として、自力で水から這い上がった。
map_0233#94	手ぶらでここを去るつもりは、断じてない。
map_0233#95	それと、お前。
map_0233#96	紫色の服を着た、お前の友人はどこだ?
map_0233#97	私を笑い者にしてくれたな?
map_0233#98	お前のせいで、私の執務室は粉々だぞ!
map_0233#99	お前のあの罠から無傷で逃れられたのは、私の機転のおかげにすぎん。
map_0233#100	二度と、私の邪魔をしようなどと思わぬことだ!
map_0233#102	シリウス: まだ、闘志は残っているようだな。
map_0233#103	ローラ: きゃあああああ!!!
map_0233#104	シリウス: ほう?
map_0233#105	悪い知らせの海の果てに、ようやく幸運が微笑んだか。
map_0233#106	上階で誰かが怪我をしたようだな。
map_0233#107	さて、彼女を助けに上階へ急ぎ、私に好きにさせるか?
map_0233#108	それとも、友を見捨てて私をここに縛りつけておくか?
map_0233#109	シグムンド: ローラ。
map_0233#110	ローラ: ドクター……
map_0233#111	シグムンド: 久しぶりですね。
map_0233#112	治療を拒んだにもかかわらず、元気にしているようで何よりです。
map_0233#113	ローラ: ドクター、わたしはもう成人です。
map_0233#114	あなたに、わたしへの権限はありません。
map_0233#115	ここはわたしの家です、出て行ってください。
map_0233#116	シグムンド: 私があなたのためにここに来たのであればよかったのですが。
map_0233#117	それは、あなたも私と同じくらいよくご存じでしょう。
map_0233#118	それでも、対立の種から目を逸らすのは、実にあなたらしい。
map_0233#119	他の子どもたちの居場所さえ教えてくれれば、事態を大きくせずに済みます。
map_0233#120	あなたの弱点は、すべて把握していますよ、ローラ。
map_0233#121	それも、実にたくさんね。
map_0233#122	ローラ: たかが脅しひとつで、自分の友人を差し出すほど、わたしが弱いと本気で思っているんですか?
map_0233#123	それがあなたのわたしへの理解なら、ドクター、まだまだ勉強不足のようですね!
map_0233#124	シグムンド: そういうことですか。
map_0233#125	エレキブル。
map_0233#126	ローラ: ドクター、わたしがエリートフォーの一員だということは、誰よりもよくご存じのはずですよね。
map_0233#127	わたしに勝てるなどと、思わないでください。
map_0233#128	シグムンド: リジー、リジー……
map_0233#129	わかっていますよ……ええ、わかっています。
map_0233#130	ローラ: 何ですか?
map_0233#131	シグムンド: あなたのために、必要なことをするまでです。
map_0233#132	本当に、これは心が痛みます。
map_0233#133	エレキブル、でんじは。
map_0233#134	145ボルト――ローラ自身にだ。
map_0233#135	ローラ: ああああ――
map_0233#136	シグムンド: あなたはいつも、ある一定の限度を超えると、動けなくなりましたね。
map_0233#137	どいてくれて助かります。
map_0233#138	シグムンド: 心配いりませんよ、お嬢さん。
map_0233#139	いつも言っている通り、あなたが感じている不快感は、想像上のものにすぎません。
map_0233#140	外部からの刺激は、私たちが自分の心の中で許した分だけしか、力を持たないのです。
map_0233#141	それを乗り越えるだけの強さを、あなたが決意すれば、きっとできるでしょう。
map_0233#142	シグムンド: ふむ。
map_0233#143	チームメテオの増援が、もっと長くあなたを足止めしてくれると思っていたのですが。
map_0233#144	ああ、リジー……さて、どうしましょうか。
map_0233#145	シグムンド: やはり、私はここを去ることにします。
map_0233#146	それと、ローラも一緒に。
map_0233#147	シリウス: よかろう、ドクターが好き放題やっている間、私が時間を無駄にさせてやろう。
map_0233#148	シリウス: お、お前!
map_0233#149	サファイラ: あたし。
map_0233#150	いないいないばあ。
map_0233#151	サファイラ: あたしをそんなに簡単に倒せるとでも思った?
map_0233#152	それどころか、あんたの部下たち、あたしのちょっとした光のショーをかなり楽しんでたみたいだけど。
map_0233#153	シリウス: 安っぽい奇襲に頼っているだけだろう。
map_0233#154	対等な条件では負けるとわかっているから、当たって逃げる。
map_0233#155	サファイラ: それ、挑発? それとも二重の挑発?
map_0233#156	シリウス: ……ん?
map_0233#157	ああ、良かった。
map_0233#158	たった今、ドクターが二人の子供を捕らえるのに成功したと知らせがあった。
map_0233#159	それが、私の去り時というわけだ。
map_0233#160	二度とお前に会わずに済むことを、楽しみにしているよ。
map_0233#161	サファイラ: シグムンド……
map_0233#162	シャルロット!
map_0233#163	ローラ!
map_0233#164	どこにいるの?!
map_0233#165	シャルロット: サファイラ!
map_0233#166	あたしたち、キッチンにいる! もう安全なの?!
map_0233#167	それに、前回のことがあったから、あの男もこれ以上おとなしくはしていられないだろう……
map_0233#168	職員たち、上階を捜索しなさい。
map_0233#169	このうっとうしい奴は、私が始末する。
map_0233#171	シグムンド: あなたの部下はどこですか?
map_0233#172	あの男には借りがあるので。
map_0233#173	シグムンド: このうるさい小娘が、子どもたちを守っています。
map_0233#174	シリウス: そうか?
map_0233#175	では、ドクター、気づかずにはいられないのだが、こちらは二人で、小娘はひとりだ。
map_0233#176	手分けすれば、こいつの動きから隠れ場所がわかるだろう。
map_0233#177	二人同時には止められまい。
map_0233#178	シリウス: 私はこちらに行こう、ドクター。
map_0233#179	あなたはあちらのドアから。
map_0233#180	シリウス: さて、\PN? どちらを止める?
map_0233#181	ドクターか、それとも私か?
map_0233#182	シリウス: よかろう、私に時間を使うがいい。
map_0233#183	どうぞ、ドクター。
map_0233#184	サファイラ: ……シグムンド。
map_0233#185	ローラ: サファイラ? わたしは上にいます……
map_0233#186	シリウス: ふん。そういうことか。
map_0233#187	よかろう、上を覗いてみるとしよう。
map_0233#188	シグムンド: サファイラ。
map_0233#189	あなたが来たということは、やはり妹たちもここにいるのですね。
map_0233#190	シグムンド: どこですか、シャルロット?
map_0233#191	シグムンド: あなたがここにいるのは、わかっています。
map_0233#192	出てらっしゃい、出てらっしゃい、どこにいても……
map_0233#193	サファイラ: 悪いけど、シグムンド、ここには誰もいない。
map_0233#194	あたしだけ。
map_0233#195	シグムンド: ……「ドクター」と呼びなさい。
map_0233#196	サファイラ: あんたはドクターなんかじゃない、ただの犯罪者。
map_0233#197	サファイラ: そういえば、うちの妹があんたに素敵な傷を残したって聞いたけど。
map_0233#198	サファイラ: 「それで、どんな気分?」
map_0233#199	サファイラ: 久しぶりね。
map_0233#200	サファイラ: でも、孤児院であんたが妹たちとあたしにどんなに「優しく」してくれたか、あたし、すっごくよく覚えてるから。
map_0233#201	サファイラ: そろそろ、その恩を返す時だと思うの。
map_0233#202	じっとしてて。
map_0233#203	サファイラ: カイリュー、はかいこうせん!
map_0233#204	サファイラ: さて、今回のセッションでは、大きな進展があったと思うけど、「ドクター」。
map_0233#205	なんてね。
map_0233#206	シリウス: どくづき!
map_0233#207	シリウス: 実に惨めな一日だ。
map_0233#208	あの女が我々を弱らせておいてくれたことに感謝するがいい、でなければ上の小娘を八つ裂きにしていたところだ。
map_0233#209	だが、手ぶらでは帰らないと、すでに言ったはずだ。
map_0233#210	シリウス: では、この叫び女は、自分の家族を守れると信じているのか?
map_0233#211	だが、その家族は同じ栄誉を彼女に返してくれるのか?
map_0233#212	\PN、近いうちにまた会おう。
map_0233#213	今度は、我々の縄張りでな。
map_0233#214	シャルロット: ローラには少し癖があるけど、いい人なの。
map_0233#215	あの子を軽く見たりしないでよ。
map_0233#216	まだ、やくそうエキス取りに行かなきゃいけないんでしょ?
map_0233#217	スピネルタウンのポケモンショップにあるはず。
map_0233#218	あたしたちが脱線した場所から、ちょうど東にあるから。
map_0233#219	ローラ: よろしければ、わたしの後ろの部屋で休んでいただけます。
map_0233#220	\PNの手持ちポケモンは全回復した!
map_0233#221	ノエル: あいつがペンダントを取った瞬間から、アンナの具合が悪くなり始めたんだ。
map_0233#222	ノエル: 薬は手に入った?
map_0233#223	手に入ってないなら、なんで戻ってきたんだよ?
map_0233#224	ローラ: あら、やくそうエキス、手に入ったんですか?
map_0233#225	よかったです!
map_0233#226	アンナ、起きて。
map_0233#227	あなたに渡すものがあるの。
map_0233#228	アンナ: ……え?
map_0233#229	\PNはやくそうエキスを手渡した。
map_0233#230	ノエル: これは薬だから、飲めば楽になる。
map_0233#231	飲んで。
map_0233#232	アンナ: うそでしょ……
map_0233#233	\PNがこれを取ってきてくれたの?
map_0233#234	本当にありがとう!
map_0233#235	ノストラもきっとすごく喜ぶよ!
map_0233#236	はい、ノストラ。
map_0233#237	これで良くなるからね……
map_0233#238	ローラ: ア、アンナ、やめて!
map_0233#239	何をしているんですか?!
map_0233#240	人形にそんなにかけないで……
map_0233#241	ノエル: もったいないよ、アンナ。
map_0233#242	アンナ: もったいない? ちがうよ!
map_0233#243	飲まなきゃ、ノストラは良くならないじゃない?
map_0233#244	シャルロット: あたしたちが心配してるのは、ノストラじゃないんだけど。
map_0233#245	アンナ: ほら! 全部飲んだよ!
map_0233#246	でしょ?
map_0233#247	ノエル: びしょびしょだ……
map_0233#248	アンナ: それに、すごく元気になった!
map_0233#249	アンナ: ありがとう、\PN!
map_0233#250	ノストラの命を救ってくれたね!
map_0233#251	ノエル: でも、あいつは――
map_0233#252	生きてすらいないよ、アンナ。
