map_0173#5	エリキテルを連れていきますか?
map_0176#7	ただ、あなたがちゃんと大丈夫か確かめたいだけなの。
map_0176#8	ヴィクトリア: それで、彼女に伝言があるの?
map_0176#9	シェリー: ……
map_0176#10	「一番傷ついている人を助けて」?
map_0176#11	……そうだった。
map_0176#12	わたし、一体何を、な、悩んでるんだろ……?
map_0176#13	パパを失ったのは、ヘザーの方なのに……
map_0176#14	あの子を探しに行かなきゃ……
map_0176#15	ヴィクトリア: だめよ、ハニー。
map_0176#16	あなたがすべきなのは、ここにいて休むことよ。
map_0176#17	シェリー: う、ううん、わたし――
map_0176#18	何かしてた方がいいと思うの……
map_0176#19	ここに座って、く、くよくよ考えてるより……
map_0176#20	ヘ、ヘザーを呼ぶわ。
map_0176#21	あたしたち、合図みたいなのがあって……
map_0176#22	ポケモンに「エアカッター」を空に向かって撃たせれば……
map_0176#23	ええと、それで来てくれるはず……
map_0176#24	……見てくれれば、だけど。
map_0176#25	合図を送って、それで……
map_0176#26	\PN、あなたはリーグの挑戦者よね?
map_0176#27	ジムバトル、したい?
map_0176#28	キャル: そんなことして、大丈夫なのか?
map_0176#29	前回は、あんまりうまくいかなかったろ。
map_0176#30	まあ、少なくとも\PNがクズな真似はしねえだろうけどな。
map_0176#31	シェリー: 大丈夫。
map_0176#32	待ってる間の、い、いい気晴らしになるもの。
map_0176#33	ヴィクトリア: それが本当にあなたの望みなら……
map_0176#34	ヴィクトリア: 無理はしないでね?
map_0176#35	シェリー: うん。
map_0176#36	合図を送りに行って、それからジムで待ってるわ。
map_0176#37	だから、ええと……
map_0176#38	準備ができたら、いつでも来てね。
map_0176#39	ヴィクトリア: かわいそうに……
map_0176#40	あんな風に乗り越えるなんて、あの子は本当に強いわ。
map_0176#41	キャル: とんでもねえガキだよ。
map_0176#42	俺の半分の歳で、俺の倍賢いんだからな。
map_0176#43	ヴィクトリア: あなたたち、どうやって知り合ったの?
map_0176#44	なんだか……意外な組み合わせに見えるけど。
map_0176#45	キャル: 俺も昔、リーグに関わっててな。
map_0176#46	あいつが他の連中にひどい扱いされてるの見て、我慢できなかったんだ。
map_0176#47	それで、認めたくはねえが、あいつと俺には共通点が多いってわかってな。
map_0176#48	二人とも、無視されて見下されてきた。
map_0176#49	結局のところ、俺よりうまく乗り越えてくれりゃいいと思ってるだけさ。
map_0176#50	ヴィクトリア: 優しくしてあげてね?
map_0176#51	戦うなら、せめて一発で勝ってあげて。
map_0176#52	その方が、あの子への負担も少なくて済むから……
map_0176#53	カイン: ああ、\PN、来てくれたんだね!
map_0176#54	カイン: さっき、危うく逮捕されるところだったよ、はは……
map_0176#55	でもまあ、上目遣いでかわいこぶって、うまく切り抜けたけどね~
map_0176#56	それだけの価値はあったみたいだね!
map_0176#57	シェリー: ま、また挑戦者……?
map_0176#58	ヴィクトリア: 無理なら、いいのよ。
map_0176#59	さっきの男にも会ったけど、あなたへのあの態度は、とても許せるものじゃなかったわ。
map_0176#60	本当にごめんなさいね、ハニー。
map_0176#61	大丈夫?
map_0176#62	シェリー: ……わたし――
map_0176#63	大丈夫……
map_0176#64	カイン: それ以来、ずっとここで丸くなってるんだ。
map_0176#65	ファーンの彼女への口の利き方、信じられなかったよ。
map_0176#66	少しでも弱さを見せた瞬間、あいつは容赦なく畳みかけてきて――
map_0176#67	一切のためらいもなく。
map_0176#68	本当に胸くそ悪い……
map_0176#69	キャル: なあ、みんな友達だってのはわかるけどよ、
map_0176#70	今、全員でここに押しかける必要あるか?
map_0176#71	これ、必要か?
map_0176#72	ヴィクトリア: ごめんなさい、ただ心配で。
map_0176#73	そういえば、カイン、あなたはどうしてここに?
map_0176#74	あなたも彼女に挑戦しに来たの?
map_0176#75	カイン: いずれはね、うん。
map_0176#76	でも主な目的は、ヘザーって子を探しに来たんだ。
map_0176#77	彼女、友達だって言ってて――
map_0176#78	シェリー: ああ、そんな……
map_0176#79	だめ、だめだめだめ――
map_0176#80	あの男、あ、あれは――
map_0176#81	あれは、ヘザーの――
map_0176#82	わたし――
map_0176#83	わたし、これから――
map_0176#84	キャル: ……雑巾、探してくる。
map_0176#85	キャル: シェリーのジムに苦戦する奴は多いぜ。
map_0176#86	俺も最初にやらされたときは苦戦したしな。
map_0176#87	でも、うんざりしたなら、使える裏技がある。
map_0176#88	見えにくいけどよ、次の「正解」のモニターの下には、小さな光があるんだ。
map_0176#89	その光をたどってけばいい。
map_0176#90	ただし、最初からやり直した場合しか使えねえけどな。
map_0176#91	落ち着いて、あいつには優しくしろよ、じゃねえと面倒なことになるぜ。
map_0176#92	キャル: もう終わったのか?
map_0176#93	ヴィクトリア: すぐに気を散らさないの!
map_0176#94	めいそうっていうのは、周りで何が起きても集中を保つことなのよ!
map_0176#95	キャル: はいはい……
map_0176#96	ヴィクトリア: まあ、今は関係ないから。話しましょうか。
map_0176#97	ヴィクトリア: それじゃ、あなたが勝ったのね?
map_0176#98	おめでとう!
map_0176#99	ちょうどキャルに、平常心を保つ基本的な方法を教えていたところなの。
map_0176#100	ここら辺だと、いらいらする人が多いみたいだから、はは……
map_0176#101	シグムンド: 失礼。
map_0176#102	シグムンド: お呼びいただいたと思いますが?
map_0176#103	ジムリーダーの方のご用件かと。いらっしゃいますか?
map_0176#104	シェリー: す、すみません、わたしをお探しですか?
map_0176#105	あなたは、その、ええと……
map_0176#106	シグムンド: シグムンド・コナル医師です、お呼びに応じて参りました。
map_0176#107	児童福祉と精神保健を専門としております。
map_0176#108	シグムンド: 今日、私がここに来た理由はご存じですか?
map_0176#109	シェリー: ええと、それは……
map_0176#110	さっき、あ、あんまり調子が良くなかったから。
map_0176#111	その、ええと……
map_0176#112	キャル: 子供が見ちゃいけないもんを見ちまったんだ。
map_0176#113	それに加えて、どこかの無知なクソ野郎の挑戦者が来て、こいつの顔に唾吐きかけるような真似までしやがった!
map_0176#114	シグムンド: なるほど。
map_0176#115	お二方は、彼女のご両親でしょうか……?
map_0176#116	ヴィクトリア: な、何、彼と――
map_0176#117	ヴィクトリア: まさか!
map_0176#118	シグムンド: では、法的な保護者ということでしょうか?
map_0176#119	シェリー: あ、あの、その、
map_0176#120	わたし、両親の署名した同意書があって、ここにいるんです。
map_0176#121	両親は海外に住んでいて、お兄ちゃんも――
map_0176#122	費用は、リーグの給料でまかなっていて、それで……
map_0176#123	それで、ええと……つまり……
map_0176#124	その、わたし一人、なんです……
map_0176#125	シグムンド: しかし、法的にも経済的にも問題はない、と。
map_0176#126	その年齢で自立しているとは、実に立派なことです。
map_0176#127	シェリー: あ、ありがとうございます!
map_0176#128	お兄ちゃんも同じだったから、それでわたし――
map_0176#129	お兄ちゃんみたいに……なりたくて、頑張ろうと思って……
map_0176#130	シグムンド: それで、あなたとの間柄は……?
map_0176#131	キャル: ただの、心配してる友達だよ。
map_0176#132	なあ、こいつのことに集中してくれねえか?
map_0176#133	シグムンド: いささか奇妙な友情のようですね。
map_0176#134	シェリー: キャルとは、リーグで知り合ったんです!
map_0176#135	気が合って、色々話すようになったのは――
map_0176#136	その、彼もわたしと似てるから!
map_0176#137	シグムンド: ……具体的に、どのような意味で?
map_0176#138	シェリー: 彼のお兄さんとのことも、同じだったんです!
map_0176#139	わたしたち二人とも、それがリーグに入った理由で。
map_0176#140	キャル: くだらねえ話だよ。
map_0176#141	それに、俺はもうとっくにそこから抜け出してる……
map_0176#142	シグムンド: ……ああ、そうそう、キャル・ウィテカーでしたね?
map_0176#143	あなたの後任が、私の患者でしてね。
map_0176#144	あなたが辞任される前の経緯についても、伺ったことがありますよ……
map_0176#145	ほのおタイプのジムリーダーが、あんな風にこおりタイプだらけのパーティーに負けたと聞いて、正直かなり困惑したものです……
map_0176#146	キャル: おい。
map_0176#147	黙れ。
map_0176#148	シグムンド: ……
map_0176#149	一体、何のために、でしょうね?
map_0176#150	あの出来事を、自分自身に対して否認して生きているのですか?
map_0176#151	それとも、この場にいる人々の前で、失敗を認めるのが単に恥ずかしいだけですか?
map_0176#152	キャル: てめえの理解できねえことについて、その口をつべこべ動かすのをやめたらどうだ、間抜けが?
map_0176#153	ヴィクトリア: キャル……
map_0176#154	シグムンド: 単なる好奇心からの質問です。
map_0176#155	何しろ、将来の患者となり得る方の、身近な社会環境における誘因を考慮するのは、賢明なことだと考えておりますので。
map_0176#156	例えば、すぐ怒る人物に長くさらされていれば、臆病な気質も容易に説明がつくというものです……
map_0176#157	キャル: てめえ、一体何が言いたいんだよ?!
map_0176#158	シグムンド: 実に矛盾しているのですよ――
map_0176#159	あの少女は、あなたと自分の兄との関係を通じて、あなたと結びついたと主張していますが、
map_0176#160	その兄の話題そのものが、あなたにとって攻撃性の引き金になっているように見受けられます。
map_0176#161	キャル: てめえ、俺を精神分析しようとすんのはやめろ、クソ野郎!
map_0176#162	てめえはこいつのために来たんだろうが!
map_0176#163	シェリー: キ、キャル、それは――
map_0176#164	キャル: だいたい、てめえに大人の何がわかるってんだよ?!
map_0176#165	てめえ、小児科医じゃねえのかよ?
map_0176#166	シグムンド: 私は、発達心理学を専門とする精神科医です。
map_0176#167	キャル: だが、子供だけを診てるんだろ?!
map_0176#168	シグムンド: 今のところ、あなたがそうではないと、私は完全には確信できずにおります。
map_0176#169	キャル: てめえ、今何つった?!
map_0176#170	シェリー: お、お願い……
map_0176#171	ヴィクトリア: キャル、今こそわたしたち、試してみる時なんじゃ――
map_0176#172	キャル: そんなもん聞きたくねえ!
map_0176#173	こいつ、ここに乗り込んできて、俺たち自身より俺たちのことをわかってるみたいな顔しやがって?!
map_0176#174	シグムンド: 私は、来るよう依頼を受けたのです。
map_0176#175	キャル: 何が「医者」だ、くそったれ――
map_0176#176	シェリー: キャル、お願い、彼はただ理解しようとしてただけで――
map_0176#177	キャル: 一体、何を理解しようとしてたってんだ?
map_0176#178	シェリー: わたしたちが二人とも、お兄さんに見てもらいたくて、愛されたいだけだってこと!
map_0176#179	キャル: そんなわけあるかよ!
map_0176#180	キャル: 待て――
map_0176#181	キャル: いや、俺は――
map_0176#182	キャル: 悪い、そんなつもりじゃ――
map_0176#183	シグムンド: その少女から離れなさい、ウィテカーさん。
map_0176#184	キャル: 「ウィテカーさん」だと?
map_0176#185	最後にそう呼ばれたのは……
map_0176#186	……あれは……
map_0176#187	キャル: 俺は……行く。
map_0176#188	シグムンド: お嬢さん、けがはありませんか?
map_0176#189	シェリー: え、ええと……
map_0176#190	そ、そんなに……
map_0176#191	ちょ、ちょっと押されただけで……ソファーは柔らかいし……
map_0176#192	彼は……そんなつもりじゃ……
map_0176#193	シグムンド: 彼のために、事を軽く見せたり、言い訳をしたりする必要はありません。
map_0176#194	シェリー: そ、そもそも、近づきすぎたわたしが悪かったんです。
map_0176#195	お引き取りください。
map_0176#196	無関係な同席者たちは、この場ですでに十分な害を及ぼしましたので。
map_0176#197	ヴィクトリア: そ、そうね……
map_0176#198	行きましょう、\PN……
map_0178#0	ああ、こんにちは、そうです!
map_0178#1	あなたは採掘する人!
map_0178#2	わたしも採掘する人!
map_0178#3	石、たくさんある!
map_0178#4	石、きれい、たくさんのポケモン進化させる!
map_0178#5	教えてほしい、友よ、どの石が採掘するの一番いい?
map_0178#6	今日は何がいい? \ch[62,-1,Fire Stone,Water Stone,Thunder Stone,Leaf Stone,Ice Stone]
map_0178#7	ああ、それが一番いい石?
map_0178#8	わかった、あなたを信じる!
map_0178#9	知識をくれてありがとう、トレーナー!
map_0178#10	これ、感謝の代わりに受け取ってください!
map_0178#11	良い一日を、あなたは過ごす!
map_0178#12	わたしは採掘するの一番いい石!
map_0179#0	警察は、わたしがこっそりここに降りてきたことにも気づかなかった!
map_0179#1	何と愚かな!
map_0179#2	だが、荒野――この地下の洞窟こそ!
map_0179#3	心と体を等しく鍛えるのに、最高の場所なのだ!
map_0179#4	あの文字のような生き物たち、まさに標的訓練にうってつけだと思わないか!?
map_0179#5	ほら、これを受け取れ!
map_0179#6	成長を早めるがいい!
map_0179#7	さらに奥へ進め、挑戦者よ!
map_0179#9	それで……
map_0179#10	ここから出る方法、何か知らないか?
map_0179#11	俺は知らないんだ。
map_0179#14	頑丈すぎて、壊したり動かしたりできそうにない……
map_0179#15	この岩の土台には、まだ何か貴重なものが眠っているかもしれない。
map_0179#16	ばくはつのこなで開けますか?
map_0179#17	はい
map_0179#18	いいえ
map_0181#0	???: こんにちは、あなた誰?!
map_0181#1	なんで全身光ってるの?
map_0181#2	???: 誰も光ってないよ、アンナ。
map_0181#3	アンナ: え?
map_0181#4	でもその人、明らかに光ってるもん!
map_0181#5	ああ、もういいや。
map_0181#6	来て! みんなを紹介するね!
map_0181#7	はい! それで、あたしはアンナ――
map_0181#8	こんにちは!
map_0181#9	それでこれが、あたしのジラーチ、ノストラ!
map_0181#10	「はじめまして!」だって!
map_0181#11	あっちにいるのが、双子の弟のノエルと、そのピィのノモス!
map_0181#12	ノエル: ノモスとノストラは、ただの人形だよ、
map_0181#13	でも、こんにちは。
map_0181#14	ええと、ノモスも「こんにちは」って、たぶん。
map_0181#15	アンナ: うそつかないで、ノエル、「ただの人形」なんかじゃないもん!
map_0181#16	二人は、両親があたしたちに残してくれた、大事な魔法の守護者なんだから!
map_0181#17	あたしのペンダント以外だと、二人だけが両親からもらったものなんだから、バカなこと言わないで!
map_0181#18	ノエル: 姉さんこそ、よく言うよ。
map_0181#19	アンナ: とにかく!
map_0181#20	あれがあたしの友達、シャルロット!
map_0181#21	実はすっごくすっごくきれいなの。やけどの傷さえ気にしなければね。
map_0181#22	シャルロット: アンナ、もう何度も言ってるけど、傷なんてないから。
map_0181#23	ノエル: 彼女、うそはついてないよ、姉さん。
map_0181#24	アンナ: でも――
map_0181#25	あ、そうだった!
map_0181#26	ごめん――あたし、ほんと無神経だった!
map_0181#27	もう二度とその話しないから、約束する!
map_0181#28	ただ、きれいだって言いたかっただけなの!
map_0181#29	シャルロット: 話さないようにするようなことなんて、そもそも何もないんだけど……
map_0181#30	ちっ、もういいわ。
map_0181#32	あなた……なんだか変わった匂いがするわね。
map_0181#33	その香水……ローラに会ったことあるでしょ?
map_0181#34	あたしのこと、何か言ってた? あたしの姉なの。
map_0181#35	それに、リボーンの四天王の一人でもあるわ。
map_0181#36	ノエル: それを言うなら、姉さんのことも言った方が――
map_0181#37	アンナ: そう! ローラってすっごくかっこいいの!
map_0181#38	それに、シャルロットとノエルもジムリーダーなんだよ~
map_0181#39	シャルロット: すごさは、あたしたちの家系の遺伝ってわけね。
map_0181#40	大したことないけど。
map_0181#41	もっとも、こんな場所じゃ、あんまり役に立たないけどね。
map_0181#42	アンナ: シャルロットとノエル、二人ともジムリーダーなんだよ~
map_0181#43	シャルロット: もっとも、こんな場所じゃ、あんまり役に立たないけどね。
map_0181#44	あたしたち、18歳になるか、あの「良き先生」がようやく解放してくれるまで、ここから出られないの。
map_0181#45	つまり、ほぼ永遠にってこと。
map_0181#46	ノエル: あの先生、怖いんだ。
map_0181#47	アンナ: そう! すごく強いでんきタイプのポケモンを持ってて、「治療」に使うの。
map_0181#48	ノストラが言うには、前の患者たちを傷つけたことがあるかもって……
map_0181#49	あたしもそう思う、だって彼のそばにいるとき、よく聞くと幽霊みたいな声が聞こえるから。
map_0181#50	シャルロット: まあ、それについては、あたしはまだよくわからないけど。
map_0181#51	アンナ: それで、\PN、ここには何しに来たの?
map_0181#52	知り合いが助けを必要としてるの?
map_0181#53	ああ、だめ!
map_0181#54	それはひどい話だけど、彼女をここに連れてきちゃだめ!
map_0181#55	それじゃ、もっと悪くなっちゃうだけだもん!
