map_0417#520	もしかしたら、あなたを守れていたのかもしれない。
map_0417#569	みんな欠点だらけで、生きてる間になるべく間違いを少なくしようとしてるだけ。
map_0417#570	でも、それも楽しいものよ。
map_0417#571	サファイラ: 誰の承認もいらない。
map_0417#572	むしろ、二人とも関わらないほうがいいわ。
map_0417#573	いつもみたいに、全部わたしが片づけるから。
map_0417#574	シグムンド・コナル医師の葬式もね。
map_0417#575	シャルロット: 大げさなんだから。
map_0417#576	強烈なこと言ってすぐ立ち去るのがクールとかエッジィだとか思ってるのよ。
map_0417#577	正しいのかもしれないけど、大げさなことに変わりはないわ。
map_0417#578	シャルロット: とはいえ、劇的な退場のほうが、イエスかノーでしか答えないよりはマシかもね。
map_0417#579	あなたは、魅力的なお嬢さんのようですね。
map_0417#580	実を言うと、少し娘を思い出します。
map_0417#581	美しい娘でした……
map_0417#582	でも、わしが病に倒れてから、わしを治す方法を探しに出て行ってしまいましてね。
map_0417#583	昔から優しい子でしたよ、少し世間知らずではありましたが。
map_0417#584	あなたは、元気の良い若者のようですね。
map_0417#585	あなたは、感じの良い若者のようですね。若い頃の自分を思い出しますよ!
map_0417#586	あの頃は良かった。でも、今のわしは年老いて、病気の身です。
map_0417#587	わしにできるのは、ここに留まって、娘の無事な帰りを祈ることだけです。
map_0417#588	わしを治す方法を探しに、姿を消してしまいましてね、本当に気高い子でした。
map_0417#589	でも、わしでさえ、それが無謀だと分かっていました。
map_0417#590	治す方法なんてないと、娘には言ったのです。
map_0417#591	娘もそれを信じてくれました。
map_0417#592	でも、あるグループと一緒にやれば、何か方法が見つかるはずだと言い張って。
map_0417#593	本当に、そんな力を持つグループがあるのでしょうか?
map_0417#594	娘を誇りに思う一方で、心配でなりません。
map_0417#595	わしのためではなく、娘自身のために、早く帰ってきてほしいものです。
map_0417#596	エクリプスという名の娘に会った? それは――ケイトリンだ!
map_0417#597	ああ、なんと素晴らしい!
map_0417#598	教えてください、あの子は元気にしていますか?
map_0417#599	きっと、大活躍しているんでしょう。
map_0417#600	……もう一度、なんと?
map_0417#601	あの子が……死んだ、と言うのですか?
map_0417#602	馬鹿げている。
map_0417#603	あなたは、本当は娘に会ったことすらないのでしょう。
map_0417#604	この家に、嘘つきなど必要ない。出て行ってくれ!
map_0417#605	ケイトリンが死ぬはずなどない、この悪党め!
map_0417#606	悪ふざけなら、よそでやってくれ!
map_0417#607	わしがもっと強ければ、娘を止めていれば、こんなことにはならなかったのかもしれない。
map_0417#608	もっとそばにいれば、もっと話をしていれば。
map_0417#609	祈っていれば、良かったのだろうか。
map_0417#610	泣いていれば、良かったのだろうか。
map_0417#611	泣かずにいれば、良かったのだろうか。
map_0417#612	いや、もう遅い……
map_0417#613	もう遅いのだ……
map_0417#614	たわいもない、いっそ空虚とも言える物事に、時間と情熱を注げるということ……
map_0417#615	それ自体が、一つの特権なのです。
map_0417#616	でも、それを一番大切な人たちと分かち合えるとしたら?
map_0417#617	これ以上の望みは、わしには思いつきません。
map_0417#618	ああ、それと、トレーナーさん――
map_0417#619	少し、お時間をいただけますか?
map_0417#620	以前、これをケイトリンへの贈り物として渡したいと思っていたのですが――
map_0417#621	……いや、今それを考えるのはやめましょう。
map_0417#622	娘は、すべてあなたのおかげだと言っていました。
map_0417#623	わしにできるお返しなど、ほとんどありませんが――
map_0417#624	今度、誰かにパスワードを聞かれたら、「shinycharm」と伝えてください。
map_0417#625	そうすれば、あなたのこれからの日々も、今のわしのように輝いて見えるかもしれません。
map_0417#626	ブブ、ブブブブ ブブッ……
map_0417#627	エレキッド: ブブッ……
map_0417#628	エレキッドを迎え入れますか?
map_0417#629	バカなチームメテオの攻撃が、うちのすぐ近くに当たって、発電機の一部がイカれちまったんだよ。
map_0417#630	公共電力なんて絶対使ってやるもんか!
map_0417#631	光熱費がめちゃくちゃ高くつくんだ!
map_0417#632	直す方法が見つかるまでは、うちのエレキッドを使うことにしたのさ!
map_0417#633	簡単で安上がりな解決策だろ? 俺って天才!
map_0417#634	でもこいつ、ずっとブツブツ文句言ってきやがる。だいたいどうしてだよ?
map_0417#635	お前はでんきタイプなんだから、黙って仕事しろっての!
map_0417#636	ん……でも、そっちエレキブースター持ってるみたいだな。
map_0417#637	それがあれば、うちの発電機にもぴったりだと思うし、たぶんもっと静かになるはずだ。
map_0417#638	どうだ? 俺にくれる気ない?
map_0417#639	\PNはエレキブースターを渡した。
map_0417#640	ついに! これでこのバカなエレキッドも、文句を言わずに済むな!
map_0417#641	もう手放しちまえばいいのかもな?
map_0417#642	そうすりゃ、うるさい問題も確実に解決だ。
map_0417#643	トレーナー、そいつを俺の目の前から連れて行ってくれ。
map_0417#644	ま、いいか。エレキッドには、自分でその仕事をやってもらうしかなさそうだ。
map_0417#645	とにかく静かにやれよ!
map_0417#646	どうせ、くだらないポケモンより機械のほうがずっとマシなんだよ!
map_0417#647	先生: では皆さん、74ページを開いて――あら、ごめんなさい、何かご用ですか?
map_0417#648	そうでないなら、今はみんなの集中を保とうとしているところなので。
map_0417#649	普段でも集中させるのは大変なのに、暖房が止まってしまうとなおさらで。
map_0417#650	子供たちは寒くなると眠くなってしまうし、もっとひどいと、暖まろうとして騒ぎ出すんです。
map_0417#651	でも、チームメテオの攻撃のひとつで、うちの暖房がやられてしまって。
map_0417#652	うちのブビィが頑張ってくれてはいるんですけど、やっぱり同じというわけにはいかなくて。
map_0417#653	先生: あの、聞いてもいいですか、それってマグマブースターですか?
map_0417#654	それなら、役に立ちそうです。
map_0417#655	それがあれば、暖房を直せるかもしれません!
map_0417#656	もしよければ、それを譲っていただけませんか?
map_0417#657	\PNはマグマブースターを渡した。
map_0417#658	先生: よくやったわね、ブビィ、本当にありがとう!
map_0417#659	あら? どうしてそんなに興奮してるの、ブビィ?
map_0417#660	ブビィ: ブビィィ!
map_0417#661	先生: もしかして、このトレーナーさんについて行きたいの?
map_0417#662	先生: そう……
map_0417#663	それがあなたの望みなら、止めはしないわ。
map_0417#664	先生: ごめんなさい! こちらから聞くなんて、出過ぎたことでした。ちゃんと分かっていますから。
map_0417#665	先生: とにかく、みなさんは真面目に勉強を続けてくださいね!
map_0417#666	まだ、すごく寒いね。
map_0417#667	これでこそって感じ!
map_0417#668	つまんない……それに、眠くなってきた。
map_0417#669	また今度、ブビィと遊ばせてくれるよね?
map_0417#670	うちの先生、すごくいい人なんだけど、あんまり実際的なことは考えてないんだよね。
map_0417#671	ブビィ……
map_0417#672	ブビィ: ブビ、ブビィ!
map_0417#673	ブビィを迎え入れますか?
map_0417#674	「LCCC-Cの入り口が解錠された。」
map_0417#675	父親: おお、お入りください、トレーナーさん……
map_0417#676	父親: いや、チャンピオンと呼ぶべきかな?
map_0417#677	エクリプス: あ。
map_0417#678	えっと、よ、\PN。
map_0417#679	もうここに来るなんて、正直思ってなかった……
map_0417#680	父親: ケイトリンから、すべて聞きました。
map_0417#681	あなたとお仲間が、あの子を救ってくださったこと……
map_0417#682	どうにかして、この世界に引き戻してくれたのですね!
map_0417#683	驚いたものです!
map_0417#684	わしには、あまりにも超自然的な話で。
map_0417#685	以前のわしの態度については、心よりお詫び申し上げます、チャンピオン。
map_0417#686	でも、娘が戻ってきてくれただけで、本当にうれしいのです。
map_0417#687	とはいえ、あの時は本当に肝を冷やしましたよ!
map_0417#688	いつものように様子を見に二階へ上がったら、
map_0417#689	急に、ベッドに娘の姿がなくて!
map_0417#690	一体どこへ行ったんだと!
map_0417#691	その場で心臓発作を起こして死ぬかと思いましたよ!
map_0417#692	エクリプス: パパ。
map_0417#693	父親: ああ、ああ、分かってる……
map_0417#694	エクリプス: パパ、もうこの話、他に6人くらいにしてるから。
map_0417#695	父親: それで、あの子はふらっとドアから入ってきたんですよ!
map_0417#696	それはもう、あっさりと!
map_0417#697	アスター: フィッシャーさん、飯買ってきましたよ。
map_0417#698	アゲートのあの店で、あんたがよく話してる……
map_0417#699	あの……
map_0417#700	ブイヤベースを……
map_0417#701	買ってきたんですけど?
map_0417#702	エクリプス: どうも。
map_0417#703	エクリプス: ねえ、聞いてる?
map_0417#704	誰かいますかー?
map_0417#705	アスター: この手の夢、もう見飽きたな。
map_0417#706	そりゃ、悪くはないけどさ。
map_0417#707	でも、目が覚める瞬間が最悪なんだよ。
map_0417#708	エクリプス: はいはい、あんたの脳みそがまた動き出すまで、ここで待っててあげる。
map_0417#709	父親: 息子よ、今回は夢ではありませんよ。
map_0417#710	エクリプス: ああ、ちょっとその辺は本人に処理させてあげて。
map_0417#711	追いつく頃には、ちょうどご飯もできてるだろうし。
map_0417#712	それか、焦げてるか。
map_0417#713	アスター: 自分を傷つけて目を覚ますってやり方、聞いたことはあるけど……
map_0417#714	でも、それって本物のパンチのことで、言葉の方じゃなかったはずだよな……
map_0417#715	エクリプス: よく頑張った。
map_0417#716	こんにちは、アスター、
map_0417#717	本物のあたしだし、うんぬん。
map_0417#718	父親: そのうち寄ってくれたら、良い知らせを伝えられると思っていたのですよ!
map_0417#719	アスター: ……いや、\PNが新世界から何人か連れ戻したのは知ってるけど……
map_0417#720	期待したくなかったんだ――
map_0417#721	だって、あのシャンデラが――
map_0417#722	エクリプス: はいはい。
map_0417#723	あれは最悪だった、
map_0417#724	今じゃ間違いなく一番嫌いなポケモンね。
map_0417#725	でも、あたし戻ってきたから。
map_0417#726	どうやってとか、聞くつもりはないし。
map_0417#727	ただ、これを精一杯活かすだけ。
map_0417#728	あんたも同じようにしていいから、
map_0417#729	あんぐり開けた口が閉じられればね。
map_0417#730	アスター: そ……そうか……
map_0417#731	エクリプス: そして、泣き出した。
map_0417#732	はいはい、オッケー、はい。
map_0417#733	エクリプス: あたしを見て。
map_0417#734	ねえ、あたしを見て。
map_0417#735	本物の人間。
map_0417#736	本当にここにいる。
map_0417#737	もういなくなったりしない。
map_0417#738	裏切りも、悪の組織も、魔法のヴォイドも、もう全部なし。
map_0417#739	今はここにいるから、いい?
map_0417#740	分かった?
map_0417#741	……あ、
map_0417#742	あたしがあげたマフラー、つけてくれてるんだ。
map_0417#743	アスター: あれから毎日つけてる――
map_0417#744	あれから……
map_0417#745	エクリプス: はいはい、オッケー、それ以上ベタベタになったら、あたし乳糖不耐症でその場で死ぬから。
map_0417#746	エクリプス: ねえ、ご飯あるって言ってたよね?
map_0417#747	あたしもちょうど料理し終えたところだし。
map_0417#748	パパが最近料理番組にハマっててさ、あたしも一緒に何か作ってみようと思って。
map_0417#749	父親: 『グレート・カロス クックオフ』ですよ!
map_0417#750	人とポケモンが手を組んで、想像もつかないほど贅沢な料理を作るんです!
map_0417#751	種を超えた協力というのは、なかなか大したものですよ。
map_0417#752	わしたちには、いつも仲間がいて、ひとりぼっちにならずに済む……胸を打たれますね……
map_0417#753	エクリプス: ……なんでか知らないけど、パパ本気でハマってる。
map_0417#754	どのみち、レシピの分量は二人分にしては多すぎたと思うし。
map_0417#755	あんたたちが持ってきたのと合わせれば、余裕で四人分になるはず。
map_0417#756	正直、あんたにも\PNにも、それぞれ50回分くらい夕飯おごる借りがあると思う。
map_0417#757	最低でも。
map_0417#758	……でも、これがその始まり。
map_0417#759	お腹すいてる?
map_0417#760	アスター: ……
map_0417#761	月を丸ごと食べられそうだ。
map_0417#762	エクリプス: 意味分かんないけど、イエスってことにしとく。
map_0417#763	楽にしてて、もうすぐできるから。
map_0417#764	父親: ほら、今見てる回を見せてあげましょう、坊やたち!
map_0417#765	父親: ほら、今見てる回を見せてあげましょう、みんな!
map_0417#766	あのがっしりした男と、そのアシスタントのヌメルゴンに注目してください!
map_0417#767	こんな課題じゃヌメルゴンは悪夢みたいに苦戦しそうなものですが、よく見ていてください、何をするか……
map_0417#768	――そして、美味しい一皿ができあがった後――
map_0417#769	エクリプス: あと何話見ることになるんだろうって、たまに思う。
map_0417#770	でも、それは間違ってる。
map_0417#771	そんな考え方をしてたら、そもそも見られること自体をありがたく思う気持ちが薄れちゃうから。
map_0417#772	今ある時間を本当に楽しめてるなら、それ以上を求めて争う必要なんてない。
map_0417#773	はい
map_0417#774	いいえ
map_0418#0	ハーディ: よう、\PN!
map_0418#1	カインは、こっちにいる友達に会いに行ったみたいだぜ。
map_0418#2	アヤはどこだ?
map_0418#4	……あいつが何だって、相棒?
map_0418#5	捕まった?
map_0418#6	ちょっと失礼。
map_0418#7	シャルロット: どうも。
map_0418#8	なかなか面白いショーだったでしょ?
map_0418#9	「わたしを見捨てる」云々の件は、気にしなくていいから。
map_0418#10	正しい答えを出したわよ。
map_0418#11	誰かが最後通牒を突きつけてくる状況では、絶対に応じちゃだめ。
map_0418#12	例えば、チームメテオがラブラドラシティの住人を皆殺しにしたところで、あいつらが必要なものは何も手に入らない。
map_0418#13	だから、あいつらと取引をしない限り、目的は達成させない。
map_0418#14	でも、あんたの友達のハーディが望んでたみたいに折れてたら、あいつらの力を認めて、その行動を助長するだけだった。
map_0418#15	結局、それだけのこと。
map_0418#16	本当に、アメとムチの話。
map_0418#17	あいつらを、しつけてやればいいだけ。
map_0418#18	結局、人間も動物とそう変わらないってこと。
map_0418#19	それが操作的とか冷酷に聞こえても構わない。
map_0418#20	たいていの人みたいに、罪悪感を感じる余裕なんて、わたしにはないから。
map_0418#21	その権利は、何年も前に燃え尽きた。
map_0418#22	わたしを助けるって言ってくれたのは優しいけど、ちょっと甘いわね。
map_0418#23	でも、あんたの言う通りに折れてたら、あいつらのちっぽけな力比べを認めるだけだった。
map_0418#24	あいつらは望むものを手に入れて、それでも人質を解放する保証なんてどこにもない。
map_0418#25	完全に馬鹿げてる。
map_0418#26	指輪は、当面わたしが預かっておく。
map_0418#27	誰が持ってるのか分からないまま、あいつらを警戒させておくのが一番いい。
map_0418#28	知識は力。そして、それはあいつらには渡さない力よ。
map_0418#29	それで、アメトリンの件、アンナから聞いたわ。
map_0418#30	『ダイビング』が必要なんでしょ?
map_0418#31	ほのおタイプのリーダーに水のマシンを解禁させるなんて、誰の思いつきなのか聞かないでちょうだい。
map_0418#32	これがママのジムでの、初めてのちゃんとしたバトルになるから、あんたの挑戦、喜んで受けるわ。
map_0418#33	チームメテオがまだ気を取られてるうちに、やっておいたほうがいい。
map_0418#34	たまには気分を変えて、別のことにしない?
map_0418#35	まだジムバッジを集めてるんでしょ。ちょうど、わたしもまだリーダーやってるし。
map_0418#36	この街のジムは、わたしが継ぐ前はママのものだったけど、シグムンドがわたしたちの生活を何もかも管理したがるせいで、一度も使ったことがなかった。
map_0418#37	個人的には、それを変えたくてうずうずしてる。
map_0418#38	チームメテオがまだ気を取られてるうちに、やりましょう。
map_0418#39	向こうで待ってる。
map_0418#40	シャルロット: ……ふぅん。
map_0418#41	ローラは見つからなかった。
map_0418#42	まあ、きっと大丈夫でしょ。
map_0418#43	攻撃は止まった。
map_0418#44	現時点で、カルセノンシティへの立ち入りは安全と宣言されている。
map_0418#45	今のところ、街に変化はない。
map_0418#46	街への侵入を試みる不審者がいないか、引き続き見張っておく。
map_0418#47	係員: ご厚意、改めて感謝いたします。
map_0418#48	係員: すみません、この先の道は壊れてしまっていて。
map_0418#49	通ることができません。
map_0418#50	本当に残念です。
map_0418#51	階段を切り開いて、橋を架けるのに、せっかくお金をかけたばかりだったのに。
map_0418#52	橋の修理はすぐには難しいかもしれませんが、資金さえあれば、階段のほうは手早く直せると思います。
map_0418#53	何か、ご寄付いただけませんか?
map_0418#54	十分なお金が集まれば、階段はすぐに完成させられます。
map_0418#55	\Gだいたい、全部で$40,000くらいかかると思います。
map_0418#56	係員: それは――なんてことでしょう。
map_0418#57	すぐに作業員を働かせます!
map_0418#58	記録的な速さで完了しました!
map_0418#59	道が開通しました! 本当にありがとうございます!
map_0418#60	係員: えっと、大変ご丁寧にありがとうございます、ただ、そんなに持っていらっしゃらないようですが。
map_0418#61	それでも、お気持ちはありがたく頂戴します。
map_0418#62	係員: 大丈夫ですよ。
map_0418#63	いつか、ですね。
map_0418#64	\G残りの修理費用は、合計$\v[333]です。
map_0418#65	係員: いくらご寄付いただけますか?
map_0418#66	係員: それなら――それで足ります! 必要な分は全部揃いました!
map_0418#67	係員: 本当にありがとうございます! 目標に向けた大きな一歩になります!
map_0418#68	シャルロット: どうも、\PN。
map_0418#69	きっと、サファイラに何があったのか気になってるでしょ。
map_0418#70	実を言うと……
map_0418#71	とうとう、あの子にも火をつけちゃった。
map_0418#72	シャルロット: はっ! 冗談よ。
map_0418#73	本気にした?
map_0418#74	シャルロット: あはは! いいわね! 面白い。
map_0418#75	でも、わたしが妹を傷つけるようなことは絶対にしないって、分かっておいて。
map_0418#76	他の誰かがそうしようとしたら、代わりにその人を燃やしてやる。
map_0418#77	分かった?
map_0418#78	シャルロット: 本気で? やれやれ。
map_0418#79	わたしが姉妹たちを傷つけるようなこと、絶対にしないから。
map_0418#80	シャルロット: あー、つまんない。
map_0418#81	シャルロット: そう? 残念。
map_0418#82	でも、あんたの言う通りだったみたいね。
map_0418#83	案外、分かってくれてるのかも。
map_0418#84	カルセノンの地下にある制御センターで、この状態のあの子を見つけたの。
map_0418#85	そこに行くって言ってたのに、あまりにも時間がかかりすぎてたから、迎えに行ったのよ。
map_0418#86	みんな消えたりしてる状況で、それが賢いやり方じゃないのは分かってる。
map_0418#87	ホラー映画かなんかみたいでしょ?
map_0418#88	とにかく、離れちゃだめ。
map_0418#89	当たり前でしょ。
map_0418#90	今のあんたみたいにね?
map_0418#91	でも、あの子に何かあったら、自分がどうなろうと本当にどうでもよかった。
map_0418#92	意味なんてないもの。
map_0418#93	だから、行ったの。
map_0418#94	この状態で見つけた。
map_0418#95	ここまで運んできた。
