map_0208#35	そうなったら、本当に残念なことだ。
map_0211#37	そしてその跡地に、街を拡張するため、この古い建物群を建て始めたんだ。
map_0211#38	だから、私たちは働いた。
map_0211#39	それから、まるで一晩のうちに……
map_0211#40	目覚めると、また同じ汚泥が戻っていた――いや、取り除く前より倍に増えていた。
map_0211#41	その時、私たちはこの荒れ地を見捨てたんだ。汚染を閉じ込めようと、大きな石の城壁を築いて……この不毛の地を、見捨てる形になった。
map_0211#42	この呪いには、まだ何かあるんだろうか……
map_0211#43	この荒れ地の下には、隠されたトンネルの網が広がっている……そのひとつは、広大な洞窟だ……
map_0211#44	でも、その洞窟の中にも、さらにもうひとつ、秘密の通路がある……
map_0211#45	まるで、ねじれたトンネルの中のトンネル、みたいなものだ……
map_0213#0	「キキ・ミカエル・アーガル」
map_0213#1	？？？: ……\PN……
map_0213#2	キキ: こんにちは、\PN。
map_0213#4	……どうして?
map_0213#5	どうして、私を死なせたの?
map_0213#6	あなたがもっと強かったら……
map_0213#7	違う結末になっていたはずなのに。
map_0213#8	あなたはソラリスを倒した……
map_0213#9	それでも、あなたは彼に私を殺させた。
map_0213#10	どうして、私を殺したの?
map_0213#11	死とは……
map_0213#12	……冷たくて……
map_0213#13	……苦しくて……
map_0213#14	……孤独なもの……
map_0213#15	顔をなでる風、自分の体のぬくもりを感じる……
map_0213#16	生きる光をすべて感じ、そして、
map_0213#17	突然、闇。
map_0213#18	世界がすり抜けていく。
map_0213#19	心も、記憶さえも。
map_0213#20	心臓が止まる音が聞こえる。
map_0213#21	血が凍りつくのを感じる。
map_0213#22	泣こうとしても、涙は出ない。
map_0213#23	叫ぼうとしても、もう声は出ない。
map_0213#24	どうして、私にそんなことをしたの?
map_0213#25	私はそんなに、あなたに酷いことをした?
map_0213#26	私のことが、嫌いだった?
map_0213#27	私の病気が進むのを、喜んでたの?
map_0213#28	ただ、私が朽ちていくのを待って、死体をついばむつもりだったの?
map_0213#29	あなたも、私と同じ苦しみを味わうことになる!
map_0213#30	キキ: ……残念。
map_0213#31	せっかく楽しかったのに。
map_0213#32	でも、あなたは騙されてくれなかった。
map_0213#33	あなたについていくわ、トレーナー。
map_0213#34	ムウマがくすくす笑っている。ついていきたそうにしている。
map_0213#35	ムウマを連れていきますか?
map_0213#36	「――」
map_0213#37	はい
map_0213#38	いいえ
map_0216#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0216#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0216#4	ばくはつのこなで開けますか?
map_0216#5	はい
map_0216#6	いいえ
map_0217#3	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0217#4	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0217#5	ばくはつのこなで開けますか?
map_0217#6	はい
map_0217#7	いいえ
map_0218#0	まさか、雄牛に乗ってクソハシゴを登ったのか?
map_0218#1	そんなの、まるで意味がわからねえ。
map_0218#2	頼むから、やめてくれ。
map_0218#3	マジで、頼む。
map_0218#4	エラー。エラー。クソレベル、オーバーロード。
map_0218#5	システム、誤作動。
map_0218#6	シャットダウン中―――
map_0218#7	XXXXXXXXXXXXXXXXXXXXXXXXXXX
map_0218#8	wasteland.sass.protocol.malfunction
map_0218#9	error.system.override.in.progress
map_0218#10	executing.emergency.shutdown
map_0218#11	emergency.shutdown.in.10.9.8----
map_0218#12	緊急シャットダウンシステム、エラー
map_0218#13	緊急停止できません
map_0218#14	シャットダウンプログラムを終了します
map_0218#15	緊急シャットダウンシステムを、これよりシャットダウンします。
map_0218#16	???????????????????????????????????
map_0218#17	????????????engagingplayerbattle
map_0219#0	「猛犬注意!!!!!」
map_0220#0	荒れ地から、石造りの構造物が突き出ている……
map_0220#1	一部が欠けているようだ。
map_0220#2	かなめいしが、塔に反応してうなり始めた……
map_0220#3	かなめいしを使いますか?
map_0220#4	\PNはかなめいしを構造物にはめ込んだ……
map_0220#5	……石が消えた! ポケモンが襲ってきた!
map_0220#8	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0220#9	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0220#10	ばくはつのこなで開けますか?
map_0220#11	はい
map_0220#12	いいえ
map_0221#0	？？？: ……
map_0221#1	？？？: オレハ ミスター・ビグルズワースダ!
map_0221#2	ミスター・ビグルズ: アイシテクレ!!!
map_0221#3	ただ、ハグしてほしかっただけなのに……
map_0221#6	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0221#7	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0221#8	ばくはつのこなで開けますか?
map_0221#9	「PULSE-00」
map_0221#10	\PNはPULSEデータ00を手に入れた!
map_0221#11	PULSE図鑑が更新された!
map_0221#12	はい
map_0221#13	いいえ
map_0222#0	リン: よぉ、ダチ公
map_0222#1	どういうことよ
map_0222#2	なんであたしにガンつけてくんの
map_0222#3	あたしの商売に首突っ込んでさぁ
map_0222#4	ガアアアアアア
map_0222#5	リン: 冗談だって。
map_0222#6	でもマジな話、ここで一体何しようとしてんの?
map_0222#7	あたしはただ、平和に商売やろうとしてるだけなんですけど。
map_0222#8	女の子がたまにひとりの時間を持つことすら許されないわけ???
map_0222#9	あんた、他に捕まえなきゃいけないポイ捨て野郎とかいないの?
map_0222#10	まあでも、もしかしてあたしの子犬に会いたかっただけ、とか。
map_0222#11	あいつもあんたに会いたがってるし!
map_0222#12	それに、あの看板読まなかったの?
map_0222#13	凶暴な番犬が放し飼いにされてるって!
map_0222#14	フィド、かかれ!
map_0222#15	リン: 心配しないで、あいつフレンドリーだから!
map_0222#16	ギィィィィ~
map_0222#17	リン: うそでしょ、あたしの子犬蹴ったな!!!!!
map_0222#18	はぁ、そんなに本気で入りたいってわけね。
map_0222#19	ってか、このドアどこから出てきたのよ!?
map_0222#20	あんたらって、みんなの家に勝手に自分のドア吹っ飛ばして入ってくるわけ?
map_0222#21	なに、FBIかなんか?
map_0222#22	(人の家のドアを吹っ飛ばす連邦捜査局)
map_0222#23	あたしが一体何したっていうのよ!?
map_0222#24	外には殺人犯がうろついてるってのに!
map_0222#25	そのうちひとりはジムリーダーだし!!!
map_0222#26	もっといるかもしれないし!!!!!!!!!
map_0222#27	あたしはただ伝説のポケモンを作ってるだけなのに!
map_0222#28	それをあんたらは食い荒らしてるじゃない!
map_0222#29	ちなみに、どういたしましてね!!
map_0222#30	あたしの家に押し入るつもりなら、お礼の品くらい持ってきてるんでしょうね!
map_0222#31	アンナ: \PN~
map_0222#32	近づいてきてる気がする。
map_0222#33	うわぁ、待ちきれない~
map_0222#34	でも、やってほしいことがあるんだ。
map_0222#35	リンには、番犬みたいなのがいたでしょ。
map_0222#36	あたしの代わりに、蹴っといて、いいね?
map_0222#37	アンナ: うわぁ……
map_0222#38	あそこから出てるエネルギー、なんか……変……
map_0222#39	でも、それは止められない、私を!
map_0222#40	\PN 急いで! 行くんだ、ドアの中へ!
map_0222#41	タカ: ああ、無事だったんだね……
map_0222#42	心配してたよ。
map_0222#43	あの子にオレは放り出されて、中に戻れなくなってたんだ……
map_0222#44	でも、もう片付いたみたいだね?
map_0222#45	よかった。
map_0222#46	タカ: 結局、オレは自分の運命を果たしたってことなのかな。
map_0222#47	死んで、生き返って、キュレムに轢き倒されて……
map_0222#48	それでも結局、嫌いじゃなかったって言えるよ。
map_0222#49	時間って、変な形で軌道修正するものなのかもね。
map_0222#50	何をしても、結局は同じところに落ち着くように。
map_0222#51	あんまり好きじゃないけど。
map_0222#52	ナイトクラブでまた会おう。
map_0223#0	？？？: あら、こんにちは。
map_0223#1	どうぞ、遠慮なく入って。
map_0223#2	？？？: いえ、ごめんなさい……もう慣れっこのはずなんだけど。
map_0223#3	リビング全体がジムになる、それくらい別に構わないわよね。
map_0223#4	あの業者、最初から急ぎ仕事だったし、二度と顔も出さなかったんだから!
map_0223#5	別に、工事なんて必要なかったのにね……
map_0223#6	きっと、ここを一目見て、その場で神様に許しを乞うたんでしょうよ。
map_0223#7	？？？: ごめんなさい、リーグ挑戦で来たの?
map_0223#8	ジムリーダーのアヤは、うちの娘なの。
map_0223#9	わたしはラナ。夫はテズよ。
map_0223#10	よろしくね、たぶん。
map_0223#11	ラナ: アヤ、また お客さんよ!
map_0223#12	アヤ: わかった、今ちょっと忙しいんだけど。
map_0223#13	ラナ: まあ、今日は忙しい一日ね。
map_0223#14	今、別のトレーナーとバトル中なの。
map_0223#15	よければ、見に行ってもいいのよ。
map_0223#16	ラナ: ちなみに、わたしの後ろの機械は、必要ならポケモンの回復に使えるわ。
map_0223#17	リビングで人がそういうことするのにも、慣れなきゃいけないってことね。
map_0223#18	それにしても、もっと給料払ってあげてもいいと思うんだけどね。
map_0223#19	グランドホールまで行って誰かに文句言ってきなさいって、いつも言ってるんだけど……
map_0223#20	最近の子供って、ちょっと……
map_0223#21	まあ、わかるでしょ。
map_0223#22	ラナ: アヤのこと、本当に誇りに思ってるの。
map_0223#23	この仕事のおかげで、あの子ひとりで家族全員を支えてくれてるのよ。
map_0223#24	本当に、素晴らしい娘だわ。
map_0223#25	ラナ: あの緑髪の子、本当に失礼だったわ。
map_0223#26	ああいう挑戦者があんまり多くないといいんだけど……
map_0223#27	ラナ: 何か用かしら?
map_0223#28	アヤはもういないの。あの赤髪のパンクな子と出かけちゃったから。
map_0223#29	テズ: おい、おいおいおい――
map_0223#30	何やってんだ、お前?
map_0223#31	そこは俺のプライベート空間だぞ、わかるか?
map_0223#32	入ってくるな。
map_0223#33	ラナ: ごめんなさいね!
map_0223#34	あの人、自分の場所にはすごく神経質なの。
map_0223#35	「男の秘密基地」ってやつ。
map_0223#36	男の子って、そういうものでしょ……
map_0223#37	機械は反応していないようだ。前面に小さな差し込み口が見える。
map_0223#38	データチップを差し込みますか?
map_0223#39	\PNはデータチップを差し込み口に差した……
map_0223#40	ラナ: ほら! ちゃんと言うこと聞いたわ!
map_0223#41	あんた、意外と悪くないのね!
map_0223#42	ラナ: ……今度は何よ。
map_0223#43	ってか、マジであれ、ここで何のつもりなの?
map_0223#44	しっ! あっちに行って! 来たところに帰りなさい!
map_0223#45	ラナ: 次から次へと、本当にキリがないわね……
map_0223#46	ラナ: もう、勘弁してよ! なんでよ!?
map_0223#47	誰もいないところで、それに触らない方がいいと思うけど……
map_0223#48	回復ユニット、起動
map_0223#49	鍵がかかっている。
map_0223#50	ラナ: だめだめだめ、そんなものに乗ったまま戻るなんて絶対に許さないから、今すぐやめなさい!
map_0223#51	ラナ: いいから聞きなさい、このバカみたいにピカピカな金属のガラクタが。
map_0223#52	あんた、設置されたばっかりでしょうが。
map_0223#53	もう壊れるとか、そんな権利ないんだから!
map_0223#54	今すぐ自分で直しなさい、さもないと――
map_0223#55	外出禁止、とか――機械が嫌がることなら何でもしてやるから!
map_0223#56	ムックル: ムック?
map_0223#57	このムックルには、どこかに飼い主がいるようだ。
map_0223#58	ピカチュウ: ピカ……
map_0223#59	このピカチュウには、どこかに飼い主がいるようだ。
map_0223#60	スボミー: ブー……
map_0223#61	このスボミーには、どこかに飼い主がいるようだ。
map_0223#62	ラナ: ちょっとした人生のアドバイス。
map_0223#63	もし誰かに、家をジムに改造してくれって頼まれたら……
map_0223#64	顔を殴って、遠くへ、遠くへ逃げなさい。
map_0223#65	ラナ: ……
map_0223#66	ちょっと、うちの中でそのポケモンに乗って、何してるつもり!?
map_0223#67	わたしがもう十分苦しんでるのが、見てわからないの!?
map_0223#68	や。め。て。
map_0223#69	ラナ: お願い。みんな、何もかも壊し尽くす前に、出て行って。
map_0223#70	ああ、神様、わたしが一体何をしたっていうの?
map_0223#71	ラナ: また同じような驚きがあったら、動脈瘤が薬みたいにぽんぽん出てきちゃうわ……
map_0223#72	ラナ: まだここにいたの?
map_0223#73	もう十分、被害を出したんじゃないの?
map_0223#74	ルリリ: ルリリ?
map_0223#75	このルリリには、どこかに飼い主がいるようだ。
map_0223#76	オノノクス: ガアアアアアッ!!!
map_0223#77	このオノノクスにも、どこかに飼い主がいる……はずだ、多分。
map_0223#78	バネブー: バネブー バネブー バネブー!!
map_0223#79	このバネブーには、どこかに飼い主がいるようだ。
map_0223#80	ドンファン: ドオオオオオオン!
map_0223#81	降りるのが怖いんだろうか?
map_0223#82	飼い主が見つけてくれるといいけど。
map_0223#83	エモンガ: エモ?
map_0223#84	このエモンガには、どこかに飼い主がいるようだ。
map_0223#85	アメ: \PN?
map_0223#86	やあ! ジムまでたどり着いたみたいだね。
map_0223#87	この通信システムはグランドホールに直結していて、どこにいても、ジムに着いたらいつでもアドバイスをもらえるんだ!
map_0223#88	それはさておき……
map_0223#89	アメ: 今、荒れ地にいるんだよね? そこにこの機械を設置したばっかりで、電波がちょっと不安定なんだ。
map_0223#90	まあいいや。知っての通り、アヤはまだ新人リーダーでね。
map_0223#91	だから残念ながら、彼女についてはあんまり詳しくないんだ。
map_0223#92	ただ、ダブルバトルを好むことと、荒れ地そのものを使って戦うことは知ってるよ。
map_0223#93	ここに来る時に気づいたかもしれないけど、あのエリアはちょっと予測がつかない。
map_0223#94	荒れ地の攻撃は、ランダムな状態異常やその他の効果を引き起こすことがあるんだ。
map_0223#95	だから気をつけて、じゃないと「荒れ果てる」ことになるよ。
map_0223#96	ごめん、つい言いたくなっちゃって。
map_0223#97	それはさておき、ビクスビシオンを覆ってるドロドロは、ゼリーみたいにぶよぶよしてる。
map_0223#98	そのせいで、じめん技の一部を吸収しちゃうから、それが彼女にとって大きな助けになってる。
map_0223#99	彼女のポケモンのサブタイプを意識しながら、一体ずつ集中攻撃してみるといい。
map_0223#100	相性をうまく使えば、絶対に勝てるはずだよ。
map_0223#101	ラナ: ちょっと、この機械って、うちの娘の倒し方を教えるためだけに設置されたの?
map_0223#102	それって、フェアだと思う?
map_0223#103	今すぐそれ、切りなさい! 今すぐ!
map_0223#104	アメ: ええと、ははは……バレたか。
map_0223#105	頑張って、\PN!
map_0223#106	グランドホールでは、誰も出ないようだ……
map_0223#107	テズ: 何か用か?
map_0223#108	リーグの奴らってのは、こうやって私有地に勝手に入り込んで平気なのか?
map_0223#109	気づいてないかもしれないけど、ジムは反対方向だぞ。
map_0223#110	さっさと消えろ。
map_0223#111	俺の邪魔をするな。
map_0223#112	テズ: 一体何の用だ?
map_0223#113	はい
map_0223#114	いいえ
map_0224#0	アヤ: わかった、あんたの勝ちだよ。
map_0224#1	？？？: だろうね。
map_0224#2	ファーン: おや、\PNじゃん、相変わらず遅刻魔だな。
map_0224#3	なあ、心配すんな!
map_0224#4	このジムリーダー?
map_0224#5	完全に雑魚だぜ。
map_0224#6	アヤ: は? あんたに一回勝ったことあるけど。
