map_0843#1	この部屋、気に入っていただけましたか?
map_0844#96	まあ、要点は、これがうまくいったということです。心からの感謝を申し上げます。
map_0844#97	あとは、私たち二人が自分たちの時代に戻るだけですね。
map_0844#98	タウベ: 確かに、セレビィにはもう一度時を旅するだけの力があるようです。
map_0844#99	もっとも万全ではないので、特に大きな跳躍であれば、途中で少し休む必要があるかもしれません。
map_0844#100	イライアス: 光栄で、喜ばしいひとときでした、タウベ神父。
map_0844#101	あなたの助けは、かけがえのないものでした。
map_0844#102	あなたのおかげで、セレビィを完全に癒す方法を必ず見つけられると確信しています。
map_0844#103	そしてもちろん、生まれたばかりのお子様からこんなに長く引き離してしまい、申し訳ありませんでした。
map_0844#104	タウベ: 買いかぶりすぎですよ。
map_0844#105	未来から来た教団の同志お二人を、そして伝説のポケモンまでも助けられて、光栄でしたよ!
map_0844#106	イライアス: フェニックス・アルカンタラ……
map_0844#107	イライアス: ……
map_0844#108	さて、そろそろ出発しましょうか。
map_0844#109	改めて、ありがとうございました、タウベ神父。
map_0844#110	タカ: あの人がこんな人なら、なんで父さんはあんなに……
map_0844#111	ごめん、ちょっと考えてただけ。
map_0844#112	バトル頑張って、応援してるよ。
map_0844#113	まあ、だいたいは、だけど。
map_0844#114	父さんがあんなに上手いのがまぐれだったのか、それとも才能が家系に流れてて、僕にそれがないのがまぐれなのか、知りたいんだよね……
map_0844#115	イライアス: 友……
map_0844#116	私は常に、彼の従者にすぎなかった。それ以上の何者でもない。
map_0844#117	それが、私が知る全てだった。
map_0844#118	それが、教団が私たちに教えたことだ。
map_0844#119	……あなたが私の目を取り戻してくれる前、彼が私の髪を切ってくれた。
map_0844#120	ヘーゼル家には儀式的な散髪の習わしがあるが、視力がなくては自分ではできなかった。
map_0844#121	彼は、代わりにやってくれると申し出た。
map_0844#122	あまり上手ではなくて、仕上がりはひどくめちゃくちゃだったが……
map_0844#124	今でも、彼を偲んで、その髪型のままにしている。
map_0844#125	それが、友情なのだろうか?
map_0844#126	タカ: あ。
map_0844#127	僕もここにいるよ。
map_0844#128	これ、この先どうなるかを考えると、あんまりいい兆候じゃないな。
map_0844#129	???: おや、お客様ですか?
map_0844#130	申し訳ありませんが、今日はちょっと物を取りに来ただけで、説教はできないんです。
map_0844#131	でも、食べ物が必要なだけなら、下にある果物をどうぞご自由に!
map_0844#132	私がいなくても、この扉はいつでも開いていますから。
map_0844#133	タカ: うわ、あの人だ……
map_0844#134	えっと、いいか、覚えとけ、礼儀正しく、行儀よく……
map_0844#135	うるさく言われるだろうけど、気にしないでくれよな。
map_0844#136	タカ: こんにちは、僕たち、その……
map_0844#137	お出かけのところ、お邪魔してしまって本当にすみません。
map_0844#138	でも、緊急に治療が必要なポケモンがいて、それで……
map_0844#139	???: それは、困りましたね。
map_0844#140	本当に家に帰らなければならないのですが……
map_0844#141	でも、こちらへ連れてきなさい。できることをしましょう。
map_0844#142	???: おやまあ。そのポケモン、びしょ濡れですね。
map_0844#143	外は雨でも降っているのですか?
map_0844#144	私……おやおや。
map_0844#145	セレビィではありませんか。
map_0844#146	これは……ああ、あなた方の服装にも納得がいきますね。
map_0844#147	もっとも、見覚えのある形もありますが――あなたのと同じスカーフを、私も持っていますよ!
map_0844#148	おっと、これは失礼しました。
map_0844#149	私はタウベ・アルカンタラ――この神殿を治める者です。
map_0844#150	タカ: セレビィのこと知ってるなら、説明の手間がだいぶ省けるな。
map_0844#151	あ、えっと、こっちは\PN、大事な方だよ。
map_0844#152	僕はまあ、ただの付き添いってとこ。
map_0844#153	らしいけど。
map_0844#154	タウベ: そんなこと言わないでください!
map_0844#155	このポケモンを見てください、力がほとんど残っていないのに、それでもわずかに残った力を使って、あなたたち二人をここまで連れてきたんですよ。
map_0844#156	ポケモンはとても賢いものだと思っていますし、このセレビィは明らかにあなたのことを信じています。
map_0844#157	ですから、物事が暗く見えて自分を信じられないときは――そのセレビィを信じてください。
map_0844#158	それで、お名前は?
map_0844#159	タカ: あ、えっと……僕はタカです。その、はじめまして。
map_0844#160	タウベ: だから、タウベと呼んでくださいと言ったでしょう!
map_0844#161	それに、タカ、いい名前ですね。
map_0844#162	妻と赤ちゃんの名前を話し合っていたとき、それが思い浮かんでいたら、うちの子にもその名前をつけていたかもしれません。
map_0844#163	タカ: あなたの……赤ちゃん?
map_0844#164	タウベ: ああ、そうでした――ええ、だから帰ろうとしていたんです。
map_0844#165	物を取りに寄っただけで、息子が昨日生まれたばかりなんです。
map_0844#166	ですから当然、しばらく神殿を離れる必要があるんですよ。
map_0844#167	この世に新しい命を授かるというのは、本当に喜ばしいことです。
map_0844#168	でも、私の話はこれくらいにしましょう。
map_0844#169	伝説のポケモンが、私の助けを求めて時を超えてきたのです。もちろん、世話をするための時間は取りますよ。
map_0844#170	こちらへ、小さいお友達――もっと近くで見せてくださいね。
map_0844#171	タウベ: 水を飲ませてみましたか?
map_0844#172	タウベ: 失礼、ちょっとした冗談です――もう試してますよね。
map_0844#173	見たところ、二回も。
map_0844#174	このセレビィは……ここに全部が揃っていないようですね。
map_0844#175	どうやら、時を旅する途中で怪我をしたようです。
map_0844#176	その過程で、存在の欠片が時間軸のあちこちに散らばってしまったのでしょう。
map_0844#177	これを直す方法として、私が思いつくのはレリックストーンだけです。
map_0844#178	セレビィと深く結びついた、強力な秘宝で……
map_0844#179	……残念ながら、それはオーレ地方にありまして。
map_0844#180	慣れない時代でなくても、簡単な旅ではありません。
map_0844#181	レリックストーンなら、セレビィの欠片を全て一箇所に呼び寄せられるでしょう。
map_0844#182	しかし……
map_0844#183	私にも、いくらかお力になれると思います。
map_0844#184	下に庭があります――主に、困っている人のための食料を育てるためのものですが。
map_0844#185	でも、アルセウス様に触れられた神聖な場所でもあるのです。
map_0844#186	果物はいつもよく育ち、美味しいですよ。
map_0844#187	それに……とても静かで穏やかです。
map_0844#188	瞑想には打ってつけです。
map_0844#189	あのような場所は、セレビィにとってとても魅力的だと思うのです。
map_0844#190	この子があそこで少し時間を過ごせば、少なくともいくつかの欠片は引き寄せられるはずです。
map_0844#191	完全には癒えないでしょうが、ずっと良い状態にはなるはずです。
map_0844#192	少なくとも、あなた方を家まで連れ帰れるくらいの力にはなるでしょう。
map_0844#193	これ以上のことができず、申し訳ありません。
map_0844#194	タカ: いや、それは……
map_0844#195	その、ありがとう。
map_0844#196	それでも、とても助かるよ。
map_0844#197	じゃあ、その……木の下でセレビィと一緒に座ってればいいのかな、それとも……?
map_0844#198	タウベ: ああ、おそらく、一人で瞑想させた方が欠片を引き寄せやすいでしょう。
map_0844#199	タカ: ああ、なるほど。じゃあ、待ってる間、本でも読んでようかな?
map_0844#200	えっと、気をつけてね、セレビィ。
map_0844#201	何かあったら、上に戻ってきてね。
map_0844#202	それと、僕たちを置いていかないでよ! 現代で\PNがいなくなったら、みんな寂しがるからね!
map_0844#203	ビイイィ~
map_0844#204	タウベ: タカ、あなたのことも、きっと同じくらいみんな恋しがると思いますよ。
map_0844#205	お二人とも、ポケモンを助けるために時を旅するなんて、とても優しい方たちですね。
map_0844#206	もちろん、待っている間ずっと本を読んで神学の議論をしていてほしいわけではありませんよ――お望みなら、それも大歓迎ですが。
map_0844#207	お二人とも、ポケモントレーナーのようですね。
map_0844#208	正直、バトルの時間はなかなか取れないのですが……
map_0844#209	まあ、息子が生まれたばかりですし、これがしばらくの間、バトルできる最後の機会かもしれません。忙しくなりますからね!
map_0844#210	タカ: あ、その……正直、僕はだいぶ腕が鈍っててさ。
map_0844#211	でも\PNは違うよ! 彼はチャンピオンなんだ!
map_0844#212	でも\PNは違うよ! 彼女はチャンピオンなんだ!
map_0844#213	でも\PNは違うよ! この人はチャンピオンなんだ!
map_0844#214	タウベ: チャンピオン、ですか?
map_0844#215	別の地方から来られたのか、それともこの先、私たちの地方にもリーグができるのか?
map_0844#216	いえ、答えなくていいです。私が知るべきことではないでしょうから。
map_0844#217	どの地方のチャンピオンにとっても、しがない聖職者が大した相手になるとは思えませんが……
map_0844#218	でも、待っている間の時間つぶしくらいには、お役に立てるといいですね。
map_0844#219	もちろん、無理にとは言いません。自由に見て回ってくださいね、でもバトルしたい気分になったら声をかけてください、\PN!
map_0844#220	タカ: つまり父さんは……昨日生まれたばかり?
map_0844#221	それでおじいちゃんは……優しい人、みたいな?
map_0844#222	受け止めるには、色々ありすぎるよ。
map_0844#223	正直、バトルを見てる方が、この状況の奇妙さを忘れられるかも。
map_0844#224	お詫びいたします、我が主よ。
map_0844#225	この神殿には、私にとって多くの思い出があるのです。
map_0844#226	一瞬、感情が高ぶってしまいました。
map_0844#227	子供の頃、よくフェニ――のところへ通っていました――
map_0844#228	イライアス: ああ、目の前の用件でしたね。もちろんです。
map_0844#229	タウベ神父は非常に重要で多忙な方ですが、きっとセレビィのことで力を貸してくださるでしょう。
map_0844#230	それと、どうか私の名前は口にしないようお願いします。
map_0844#231	私が何者か気づかれると、事が複雑になりかねませんので。
map_0844#232	イライアス: Aquila non capit muscas.
map_0844#233	あなたが非常にお忙しいことは承知しております。この上ない助けが必要でなければ、お邪魔することはございません。
map_0844#234	Tempus rerum imperator.
map_0844#235	???: 時は誰も待たない、ですね。
map_0844#236	古語に大変お詳しいようですね。
map_0844#237	その装いから察するに、あなたも私たちの教団の方でしょうか?
map_0844#238	それはともかく――本当に急いでいるのですが、おっしゃる通り緊急なら、できることをしましょう。
map_0844#239	私は……
map_0844#240	おやおや。
map_0844#241	「時」についておっしゃっていた意味が、わかりましたよ。
map_0844#242	言葉遊びがお好きな聖職者ですね。
map_0844#243	イライアス: 私は――いえ、そんなつもりでは――
map_0844#244	もちろん、伝説のポケモンの存在を軽んじるつもりなど毛頭ございません。
map_0844#245	Mea Culpa.
map_0844#246	万が一の非礼があれば、心よりお詫び申し上げます。
map_0844#247	???: おやおや、冗談を言ったくらいで謝る必要はありませんよ、私も笑いは好きですから!
map_0844#248	もし非礼を働いた者がいるとすれば、それは私の方です――
map_0844#249	まだ自己紹介がまだでしたね!
map_0844#250	私はタウベ・アルカンタラ。
map_0844#251	この神殿を治めております。
map_0844#252	あなたは私たちの教団の聖職者のようですが、見覚えがありませんね。
map_0844#253	ということは、セレビィがあなた方お二人を、別の時代からお連れしたということでしょうか?
map_0844#254	イライアス: De futuro. 私たちは未来から参りました。
map_0844#255	タウベ: なるほど……
map_0844#256	私を前にずいぶん緊張しておられるようですが、それはつまり、未来において私が教団を率いた時代が、好意的に見られているということだと願うばかりです。
map_0844#257	いずれにせよ、どうぞ気を楽になさってください。
map_0844#258	私に古語の腕前を見せる必要はありませんよ――アルセウス様の教えへのあなたの献身を、疑ってはおりませんから。
map_0844#259	イライアス: いえ、見せびらかすつもりなどありませんでした、タウベ神父。
map_0844#260	誓って申し上げますが、これが私の普段の話し方なのです。
map_0844#261	タウベ: 本当ですか?
map_0844#262	では、教団に属さず、古語を知らない者たちにはどうなさるのですか?
map_0844#263	彼らを含め、この地方の全ての人々を助け、支えることこそ、私たちの務めですのに。
