22f_bt_speeches#0	そっか。まあ、ありがとうね。
22f_bt_speeches#36	よし、やってやる!
22f_bt_speeches#37	よし、ハイスコア更新!
22f_bt_speeches#38	わかったわかった、おかげで地に足がついたよ。
22f_bt_speeches#39	よし、建築の続きに戻るか……
22f_bt_speeches#40	うーん、ちょっと調子に乗りすぎたな……
22f_bt_speeches#41	よし、この場を盛り上げていくよ。
22f_bt_speeches#42	よし、この調子でいこう!
22f_bt_speeches#43	よし。早く終わらせるほど、早く仕事に戻れるからな。
22f_bt_speeches#44	アローラの誇りだ!
22f_bt_speeches#45	挑戦ならいつでも受けて立つ!
22f_bt_speeches#46	私、あなたの心を躍らせていないかしら?
22f_bt_speeches#47	エイミにはずいぶん世話になったんだ。あの人のことは忘れないさ……だが、鎮魂はここまでだ。ちょっとテストといこうか、「チャンピオン」さんよ?
22f_bt_speeches#48	どうやらまた、君に送り出されてしまったようだね!
22f_bt_speeches#49	さあ、どちらの腕が上か見せてもらおう!
22f_bt_speeches#50	そしてまた、私は敗北と向き合うのか……
22f_bt_speeches#51	ってのが、あんたへの教訓さ。
22f_bt_speeches#52	これがトレインタウン流のバトルってやつさ!
22f_bt_speeches#53	だが、見くびっていたのは私の方だったようだ。失礼した。
22f_bt_speeches#54	また負けか……だろうね
22f_bt_speeches#55	もう一人撃破! いくぞ、ラッキーセブン!
22f_bt_speeches#56	また弱いのが来たか……
22f_bt_speeches#57	また私の勝ちだ!
22f_bt_speeches#58	また弱いのが……悪気はないよ。
22f_bt_speeches#59	マロリームー92、また勝利! 応援してくれる視聴者のみんな、ありがとう〜!
22f_bt_speeches#60	誰か水持ってない?
22f_bt_speeches#61	どうやら、君には全然かなわないみたいだ……
22f_bt_speeches#62	見た目がすべてじゃないってことか……
22f_bt_speeches#63	アクア団はもういないが、オレはここで一波乱起こしてやる!
22f_bt_speeches#64	アゲートサーカス一のピエロに挑む覚悟はあるかい?
22f_bt_speeches#65	君は昇っていく星か、それとも墜ちて燃え尽きるか?
22f_bt_speeches#66	楽に勝てるとでも思っているのか?
22f_bt_speeches#67	負ける覚悟はできてる?
22f_bt_speeches#68	この靴、かわいくない?
22f_bt_speeches#69	すごいでしょ?
22f_bt_speeches#70	あたしに言わせれば、ポケモンは丸ければ丸いほどいいの!
22f_bt_speeches#71	まあいいや、これでテレビに戻れる!
22f_bt_speeches#72	アタックパーフェクト、フルコンボ!
22f_bt_speeches#73	ああ、届かなかったか。
22f_bt_speeches#74	で、でも音程が外れてたじゃない!
22f_bt_speeches#75	で、でも……私が間違ってたなんて、そんな……
22f_bt_speeches#76	ビグルス カッタ! ハグ シテイイ?
22f_bt_speeches#77	キノーーーーーーー
22f_bt_speeches#78	さあ、勉強に戻ろう!
22f_bt_speeches#79	バトルモード、起動。
22f_bt_speeches#80	バトルは何も期待せずに臨むのが一番だ。
22f_bt_speeches#81	ここのバトルは楽に勝てるね!
22f_bt_speeches#82	バトルも楽しいけど、あたしはケーキの方がいいな。
22f_bt_speeches#83	バトルは健康にいいんだ!
22f_bt_speeches#84	バトルもまた、登るべき山の一つさ!
22f_bt_speeches#85	バトル……バトルこそオレの得意分野だ!
22f_bt_speeches#86	じゃあ、もう行きな。
22f_bt_speeches#87	オレに勝つのは高い注文でね。君の背丈じゃ届かなかったな!
22f_bt_speeches#88	アゲハントがお前の魂を求めている!
22f_bt_speeches#89	久しぶりだな、ボス。昔のよしみで、いいバトルにしようぜ。あの人のためにもな。
22f_bt_speeches#90	バトルの前に、まずは舞台を整えよう!
22f_bt_speeches#91	見よ、偉大なるガンナー! リボーン一華麗なゲーマーだ!
22f_bt_speeches#92	見るがいい、私のビジョンを!
22f_bt_speeches#93	次はがんばってね! でも店を開いたら、ぜひのぞきに来てよ!
22f_bt_speeches#94	ここだけの話、この衣装は大嫌い。着てるだけで昇給ものだよ!
22f_bt_speeches#95	黒。絶望の色。
22f_bt_speeches#96	ねっぷうに備えるんだな!
22f_bt_speeches#97	むしポケモンが怖いのは、敵に回したときだけさ!
22f_bt_speeches#98	まだ何もしてないのに!
22f_bt_speeches#99	いや待てよ……両方やってもいいんじゃない?
22f_bt_speeches#100	でも、聞かせてあげられなかったね!
22f_bt_speeches#101	オレが相手をし終わるころには、二度とバトルしたくなくなってるぜ!
22f_bt_speeches#102	おいおい、笑ってくれてもいいだろ!
22f_bt_speeches#103	ケーキ。
22f_bt_speeches#104	静かにバトルできる? 電話を待ってるの。
22f_bt_speeches#105	急いでくれる? 好きな番組を見逃しちゃう。
22f_bt_speeches#106	またあとにしてくれない? 今はゆっくりしたいんだ。
22f_bt_speeches#107	オレのサウンド、イケてるだろ?
22f_bt_speeches#108	それ、どこでやってもらったのか教えてくれない?
22f_bt_speeches#109	まったく、我ながらどこにも出せないな。
22f_bt_speeches#110	ひとつ、糸を垂らしてみるかい?
22f_bt_speeches#111	突撃! 突撃!
22f_bt_speeches#112	新しい靴、見て!
22f_bt_speeches#113	バトルの第一の鉄則を忘れたようだね。にこにこ笑う小柄な雑用係のそばで、うかつな真似はするな!
22f_bt_speeches#114	なるほど、私は今まさに星を見上げているわけだ!
22f_bt_speeches#115	なるほど、腕には事欠かないようだね!
22f_bt_speeches#116	かかってこい! ひきつぶしてやる!
22f_bt_speeches#117	さあ、少し手合わせといこう!
22f_bt_speeches#118	いくよ、私の美しい羽の子たち!
22f_bt_speeches#119	頼むよ、このポンコツポケナビ! 早く充電しろって!
