map_0079#201	吸って、吐いて…
map_0080#149	アンナ: オーケー、行きましょう!
map_0080#150	わたしたちだけの冒険が今始まろうとしているのよ!
map_0080#151	アンナ: 大丈夫、あなたのことちゃんと待ってるから!
map_0080#152	だってあなたも、わたしたちの家出組の一員なんだから、ふふ~
map_0080#153	下で会いましょう!
map_0080#154	本当に、橋から落ちたの? 不注意にもほどがあるわ。
map_0080#155	あの絶え間ない悲鳴、本当にうるさいったらないわ。
map_0080#156	まっすぐ落ちていったの! で、着地した時、彼――ああ…
map_0080#157	ああ、思い出したくないわ!
map_0080#158	あの医者、患者をちゃんと管理することを覚えるべきね。
map_0080#159	ここじゃ何も怪しいことなんて起きてねえよ。ああ、断じてな。
map_0080#160	あなたみたいな人がこんな場所にいるべきじゃないわ。ラピスはリボーンの上流階級のための場所なのよ。
map_0080#161	ワイリー: 器が小さいな。
map_0080#162	本当に迷惑な人ね。
map_0080#163	今日は本当にひどい一日だったわ。
map_0080#164	アナスタシア: それでこれよ!
map_0080#165	全部大丈夫よね?
map_0080#166	時間の無駄よ、路上のクズが。
map_0080#167	この見捨てられた街に祈りを。
map_0080#168	「あまいかおり」花屋
map_0080#169	お花のことなら何でもおまかせ~
map_0080#170	殺人ですって? ラピスワードで? とても信じられないわ!
map_0080#171	レノア: ごめんなさい…もう落ち着いたわ。
map_0080#172	落ちてくる男から逃げたと思ったら、爆弾の方に向かって走ってたの。わけがわからないわ…
map_0080#173	こっちは今忙しいんだ。どけ。
map_0080#174	しっしっ、うるさいな。
map_0080#175	で、誰かが落ちたって? それがどうした。
map_0080#176	さっさと道を片付けろよ。
map_0080#177	自殺だったのかしら? それとも殺人?
map_0080#178	見ていられない…
map_0080#179	目が離せない…
map_0080#180	誰だったの?
map_0080#181	人間が自らを不幸な最期へと駆り立てるとは、奇妙なものだ。
map_0080#182	これが下層階級の苦悩というものか。
map_0080#183	おそらく、革新というものを十分に重んじていないのだろう。
map_0080#184	キャル: ダメだ、絶対に無理だ。
map_0080#185	さっきの糞野郎の後だぞ?
map_0080#186	ジムはクソったれ閉まってんだよ、とっとと帰れ!
map_0080#188	ヴィクトリア: ちょっと、ちょっと――何の騒ぎなの?!
map_0080#189	キャル: さっきも言ったろ――
map_0080#190	ジムは閉まってんだよ。
map_0080#191	シェリーは橋から男が落ちて目の前でぐしゃっと潰れるのを見て、もうトラウマになってるんだ。
map_0080#192	それだけでも十分ひどいのに、立ち直ろうとした矢先に、どっかのクズが現れて、
map_0080#193	試合の最中にひどい暴言を浴びせて、泣きそうになるまで追い詰めて、そのうえもう頑張る気も失せるまで叩きのめしたんだよ。
map_0080#194	一番最悪なのは、精神的な操作に対するリーグの例外規定なんてないから、そいつはバッジまでまんまと持って帰れるってことだ。
map_0080#195	うわあああ。
map_0080#196	ヴィクトリア: あら。
map_0080#197	そういうことだったの?
map_0080#198	実はそのために来たのよ。
map_0080#199	キャル: は?
map_0080#200	ヴィクトリア: そうよ。
map_0080#201	実はね、その男が出ていくところを見かけたの。
map_0080#202	卑劣な勝利を自慢げに語っていたわ。
map_0080#203	あなたと同じくらい頭にきたけど、わたしの方が少し冷静さを保つのが得意なだけよ。
map_0080#204	それで\PNが、そいつをこっぴどく叩きのめしてくれたの。
map_0080#205	だから、ある意味で正義は果たされたというわけね。
map_0080#206	シェリーの様子を見て、大丈夫か確認しに来たのよ。
map_0080#207	キャル: …
map_0080#208	わかった。
map_0080#209	まあ、入ってくれよ。
map_0080#210	ヴィクトリア: 少なくとも、彼の心根は正しいところにあるようね。
map_0080#211	「ラピス図書館ジム」
map_0080#212	警官: 本当にすまなかったな。あの女、頭がイカれてるんだ。
map_0080#213	心配するな、本当に容疑者ってわけじゃない。
map_0080#214	でもよ、\PN、前に助けてもらった時、ちゃんとお礼を言ってなかったな。だからこれを受け取ってくれ。
map_0080#215	あれはお互いにとってストレスの溜まる出来事だったろ。俺は無実の人間を責めるのは好きじゃないんだ。
map_0080#216	これをお詫びとして受け取ってくれないか?
map_0080#217	俺の兄弟がここの自転車屋で働いててな。それは俺の娘へのプレゼントにってくれたものなんだ。
map_0080#218	でも残念ながら、あの子は…ベリルでのあの騒動を生き延びられなかった。
map_0080#219	部屋で本を読んでたら、植物が壁を突き破ってきて。あの子は…
map_0080#220	…何でもない。
map_0080#221	これ以上考えたくないんだ。頼むから、これを俺から引き取ってくれ。
map_0080#222	すまない。
map_0080#223	カイン: 一戦交える準備はできてる~?
map_0080#224	カイン: よっしゃあ!
map_0080#225	持ってるもの全部見せてよね、いいかな~?
map_0080#227	カイン: なるほど、これなら彼女に勝てるのもわかるよ!
map_0080#228	でもさ、どうやったらそんなに強くなれるわけ?
map_0080#229	あれ、ちょっと待って――
map_0080#230	カイン: ヘザー?
map_0080#231	ヘザー: ああ、あんたたちか。
map_0080#232	シェリーからさっき着信があったのは見たけど、
map_0080#233	あんたたちは何でここにいるのよ?
map_0080#234	カイン: あー、実はさ、君を探してたんだ!
map_0080#235	その…お父さんのこと聞いたよ。
map_0080#236	それに…君が家出したって聞いた。
map_0080#237	それが簡単に受け止められることじゃないってわかってる…
map_0080#238	ひとりきりで自分の面倒を見なきゃいけないなんて――こんな大きな街だとなおさらだ。
map_0080#239	俺にもその気持ち、わかるから。
map_0080#240	だから君が大丈夫か確かめたかったんだ。
