map_0000#1571	栄光は一晩じゃ手に入らないもんだぜ、相棒。
map_0000#1716	それが、ほとんど何も話さない理由?
map_0000#1717	タカ: ここにいる方が、メテオのドロドロした揉め事に閉じこもってるより、絶対に面白いよ。
map_0000#1718	あそこにいる人たちのほとんどは、楽しさとは正反対だし。
map_0000#1719	まあ、ブレイクはけっこう面白かったかな。
map_0000#1720	彼はずっと僕らと一緒にいて、僕が小さいころ、たまに面倒を見てくれてたんだ。
map_0000#1721	死んでも認めないだろうけど、あの人、実は子どもが好きなんだと思う。
map_0000#1722	タカ: キミ、もうほとんど僕らの拠点を全部荒らし回ったよね……
map_0000#1723	リンは、あらゆるものをラブラドラに移してる。
map_0000#1724	それまでは、僕らは主にデボンビルディングと、ワークステーションと、聖域の周りにいたんだ。
map_0000#1725	僕の子ども時代の記憶のほとんどは、あの辺りにあるよ。
map_0000#1726	タカ: ねえ\PN……もう一つ、カルネリア地方に拠点があるんだ――ラブラドラシティ以外にね。
map_0000#1727	行くなって言っても、キミは聞かない気がするけど。
map_0000#1728	でも、本当に……行かないで。
map_0000#1729	きっと連中は、そこにキミをおびき寄せようとするから。
map_0000#1730	もしキミが行ったら、本当にまずいことになる……それはチームメテオのためを言ってるんじゃないよ。
map_0000#1731	タカ: エースが無事だといいんだけど……
map_0000#1732	しばらく姿を消すのはあいつらしくないことじゃないけど、こんなに長くはさすがに……
map_0000#1733	あの子がいると、場が本当に明るくなって、ほとんど誰とでも仲良くなれるんだ。
map_0000#1734	……テラとリンを除いては、まあほとんどね。
map_0000#1735	グレイシア: グレイ~!
map_0000#1736	グレイシアのいやしのすずが発動!
map_0000#1737	味方全員の状態異常が治った!
map_0000#1738	グレイシア: グレイシア?
map_0000#1739	グレイシアをなでる?
map_0000#1740	グレイシア: グレイ~シア!
map_0000#1741	グレイシア: ……シア。
map_0000#1742	グレイシアはどうする?
map_0000#1743	グレイシアに「いやしのすず」を使わせる?
map_0000#1744	エーフィ: エフ!
map_0000#1745	エーフィの「みらいよち」が発動!
map_0000#1746	エーフィ: エフ! エーフィ?
map_0000#1747	エーフィをなでる?
map_0000#1748	エーフィ: エフ~!
map_0000#1749	エーフィ: エフ?
map_0000#1750	エーフィはどうする?
map_0000#1751	エーフィに「みらいよち」を使わせる?
map_0000#1752	Zセルを手に入れた!
map_0000#1753	エレキフィールド!
map_0000#1754	グラスフィールド!
map_0000#1755	ミストフィールド!
map_0000#1756	ダーククリスタルの洞窟!
map_0000#1757	チェス盤アリーナ!
map_0000#1758	ビッグトップアリーナ!
map_0000#1759	バーニングフィールド!
map_0000#1760	スワンプフィールド!
map_0000#1761	レインボーフィールド!
map_0000#1762	腐食フィールド!
map_0000#1763	腐食ミストフィールド!
map_0000#1764	デザートフィールド!
map_0000#1765	アイシーフィールド!
map_0000#1766	ロッキーフィールド!
map_0000#1767	フォレストフィールド!
map_0000#1768	超高温フィールド!
map_0000#1769	ファクトリーフィールド!
map_0000#1770	ショートフィールド!
map_0000#1771	荒地!
map_0000#1772	灰の浜辺!
map_0000#1773	水面!
map_0000#1774	水中!
map_0000#1775	洞窟!
map_0000#1776	グリッチフィールド!
map_0000#1777	クリスタル洞窟!
map_0000#1778	マークウォーターサーフェス!
map_0000#1779	山!
map_0000#1780	雪山!
map_0000#1781	ホーリーフィールド!
map_0000#1782	ミラーアリーナ!
map_0000#1783	おとぎばなしフィールド!
map_0000#1784	りゅうのあな!
map_0000#1785	フラワーガーデンフィールド!
map_0000#1786	スターライトアリーナ!
map_0000#1787	新世界!
map_0000#1788	インバースフィールド!
map_0000#1789	サイコフィールド!
map_0000#1790	ノエル: え?
map_0000#1791	ノエル: ……あの。
map_0000#1792	……壁を通り抜けてきたんですか?
map_0000#1793	ノエル: つるを越えて、どうやって戻ってきたんですか?
map_0000#1794	ノエル: ここは、合計が7対10でした。
map_0000#1795	トゲチックがまるごと7で、進むにはブラッキーを一体除く必要があって、残ったのはムウマージだけでした。
map_0000#1796	1階のブラッキーはエーフィと互角に戦っていて、イヴがエーフィの値を3と確認しているので、ブラッキーも3の力だと分かります。
map_0000#1797	イヴはまた、リーシャンの力が2、グラエナの力が5だと確認しています。
map_0000#1798	ノエル: 光側の合計は7、闇側の合計は10です。
map_0000#1799	イヴは、トゲチックの値が7だと言っていました。
map_0000#1800	前の階から、エーフィが3、リーシャンが2、グラエナが5だということも分かっています。
map_0000#1801	1階にはブラッキーもいました。
map_0000#1802	ノエル: ここは、合計が12対14でした。
map_0000#1803	トゲチックが7、エーフィが3と確認済み。それと、ピィもいました……
map_0000#1804	彼らは2体のムウマージと対峙していました。
map_0000#1805	だから、ムウマージの値も突き止めやすいですね。
map_0000#1806	ノエル: 光側の合計は12、闇側の合計は14です。
map_0000#1807	トゲチックが7だと分かっているので、そろそろ、値は階をまたいで引き継がれると考えていいと思います。
map_0000#1808	ムウマージとトゲチックはどちらも7、エーフィは3でした。
map_0000#1809	前の階にどんなポケモンがいたか確認したい場合は、いつでも各階で僕に聞いてください。
map_0000#1810	ノエル: ここは、合計が10対9でした。
map_0000#1811	フラベベ、フラエッテ、フラージェスの3体が、ブラッキー3体と向かい合っていました。
map_0000#1812	これを見る限り、進化ラインは、その系統に応じて力が上がっていくと考えて良さそうです。
map_0000#1813	この力の数値が、実際の戦闘能力に比例している保証はないので、あまり決めつけすぎないでくださいね。
map_0000#1814	ノエル: 光側の合計は10、闇側は9です。
map_0000#1815	1階から、ブラッキーの値は3だと分かっています。
map_0000#1816	ここから、いくつか明らかな結論を導き出せます。
map_0000#1817	ノエル: この階は、光側30、闇側26でした。
map_0000#1818	闇側には、ジヘッドが2体しかいませんでした。
map_0000#1819	光側にいたのは……
map_0000#1820	エーフィが2体、フラエッテが2体、フラージェスが1体、リーシャンが1体、グランブルが1体です。
map_0000#1821	多すぎますね。
map_0000#1822	ノエル: 光側30対闇側26。
map_0000#1823	かなりの数です。
map_0000#1824	前の階から分かっていることとして、エーフィは3、フラエッテは3、フラージェスは5、リーシャンは2です。
map_0000#1825	ノエル: この階は、光側24、闇側21でした。
map_0000#1826	前の階からジヘッドの値を割り出すのは簡単ですが、道が開けても、この階だけではヤミカラスやデルビルの値は分かりません。
map_0000#1827	ノエル: 光側24、闇側21。
map_0000#1828	ジヘッド以外はすべて新顔です。ジヘッドは前に13でした。
map_0000#1829	ノエル: この階は光側18対闇側24でした。
map_0000#1830	グランブルとトゲチックが、デルビル、フワンテ、バルジーナと対峙していました。
map_0000#1831	あのバルジーナは、かなり強かったようです……
map_0000#1832	ノエル: 光側18、闇側24。
map_0000#1833	光側では、グランブルが11、トゲチックが7でした。
map_0000#1834	闇側では、デルビルは前の階にもいましたが、この数値だけでははっきりした値は分かりません。
map_0000#1835	3か5のどちらかのはずです。
map_0000#1836	ノエル: 光側20対闇側31。
map_0000#1837	そろそろ終わりが近い気がします。
map_0000#1838	ここに出てくる値は、厳密にはすべて未知ですが、進化系統から相対的な性質を推測できます。
map_0000#1839	分かりやすいように、これまで確認できた進化系統を挙げておきますね。
map_0000#1840	光側では、ピィとリーシャンがどちらも2でした。
map_0000#1841	闇側では、ムウマージが7、グラエナが5、バルジーナがなんと17、ブラッキーが3、ジヘッドが13でした。
map_0000#1842	ノエル: 先に進むには、両側の力のバランスを取る必要があります。
map_0000#1843	各ポケモンは、その種族に応じて一定の力を出します。値は1から20までの素数で表されます。
map_0000#1844	それと、どちらの側も、残りの力が0になってはいけません。
map_0000#1845	今その場での力を直接見る方法はありません。分かるのは、入ったときの値だけです。
map_0000#1846	各階の合計値は、いつでも僕に聞いてください。
map_0000#1847	それと、前の階に僕を連れていってくれれば、たぶん解法を思い出せると思います。
map_0000#1848	忘れてしまったときのために。
map_0000#1849	ノエル: ええ、ポケモンを回復させてあげますよ。
map_0000#1850	ノエル: この場所、色がなくて味気ないですね。
map_0000#1851	僕には、それがお似合いなんでしょうけど。
map_0000#1852	ノエル: あんなピィを見るのは、久しぶりです……
map_0000#1853	ノエル: この階層で、タイプ相性が考慮されないのは、いいことですね。
map_0000#1854	シャドウタイプのポケモンも、そんな感じなのかなって思います。
map_0000#1855	ノエル: これには、実は解法が2つあると思うんです……
map_0000#1856	素数は、和を作る方法をたくさん生み出しますが、それだけに未解決の問題もたくさん抱えています。
map_0000#1857	たとえば……たしか「ゴルバットの予想」とか呼ばれているものがあります。
map_0000#1858	あれは、2より大きい偶数はすべて、少なくとも2つの素数の和として表せるという主張です。
map_0000#1859	これをやりながらずっと考えてるんですが、何十億まで確かめても、どの数字も当てはまるんです。
map_0000#1860	でも、それでも全部が必ずそうなるとは限りません。
map_0000#1861	イヴみたいに具体的な力の値までは教えられなくて、ごめんなさい。
map_0000#1862	ノエル: これは単純です。
map_0000#1863	簡単、じゃなくて。
map_0000#1864	ただ、単純なだけです。
map_0000#1865	ノエル: 孤児院では、あの先生がジムパズルを僕たちにやらせてくれなかったんです。
map_0000#1866	でも、もしやらせてもらえていたら、これも平気だったかもしれません。
map_0000#1867	ノエル: ジムバトルが、ちょっと恋しいです。
map_0000#1868	計算はいいかげんですけど、それがかえって面白いんです。
map_0000#1869	タカ: ……父上、エレナ、コーリー、アメ……みんな、メテオのせいで死んだ。
map_0000#1870	タカ: ヘザーは、お母さんにそっくりだ。会えずじまいだったなんて、残念だよ……
map_0000#1871	タカ: 剣のせいかもしれないけど、これから誰に会うのか、だいたい見当がついてる……
map_0000#1872	タカ: ……祖父に会えてよかった。思っていたのとは、全然違う人だったけど。
map_0000#1873	イライアス: 剣というものが苦手だと、申し上げましたかな?
map_0000#1874	特に、それを自分に向けられるとなると。
map_0000#1875	イライアス: アメジスト、エレナ……フェニックスまでも。
map_0000#1876	……もし私が、自分に友を持つことを許していたら、何か違っていたでしょうか?
map_0000#1877	イライアス: ヘザー様は、お母上に本当によく似ておられます。
map_0000#1878	……お会いになれずじまいだったのが、残念でなりません。
map_0000#1879	イライアス: もし、シリウスが良くないと、彼を説き伏せようとさえしていれば……
map_0000#1880	それだけで、もっと多くの人が、今も生きていたでしょうに……
map_0000#1881	リン: あ、ねえ、待って
map_0000#1882	レモネードもらってもいい?
map_0000#1883	飲んだことないんだよね、
map_0000#1884	っていうか「子どものころ以来」って言おうとしたけど
map_0000#1885	えっと
map_0000#1886	もっと小さい子どものころ、だったかも
map_0000#1887	とにかく、もらってもいい?
map_0000#1888	リン: わあ。ありがと!
map_0000#1889	あんた、優しすぎるよね
map_0000#1890	ほんと、マジで
map_0000#1891	ちょっと心配になってくる
map_0000#1892	あんたって、人に「いや」って言えないタイプ?
map_0000#1893	だって、普通に「いや」って言えばいいのに――みんなにそんな権利ないし……
map_0000#1894	……いや、もういいや、深くは聞かない
map_0000#1895	レモネードありがと!
map_0000#1896	リン: これ、なんていうか……
map_0000#1897	間違いなく、今まで飲んだ中で一番おいしい
map_0000#1898	断トツで
map_0000#1899	泣きそう
map_0000#1900	リン: これ飲んで泣いたって、誰にも言っちゃダメだからね、いい?
map_0000#1901	リン: ……よし
map_0000#1902	あ、ありがと
map_0000#1903	リン: ……まあ、ちょっとくらいは、これも自業自得かな
map_0000#1904	おあいこだね、\PN
map_0000#1905	おあいこ
map_0000#1906	リン: あれ、あんたのぶん、まだ買ってないじゃん――
map_0000#1907	そこに屋台あるんだから
map_0000#1908	ほら、一杯くらい買いなよ
map_0000#1909	あたしがあんなにいろいろやらかした後で、搾りたての冷たいレモネード一杯くらい、飲みたくないの?
map_0000#1910	……まあ、あたしに文句言う資格はないんだけどさ……
map_0000#1911	リン: そっか、それもそうだね
map_0000#1912	もう聞かない
map_0000#1913	リン: とにかく、これがどれだけ気まずいか、考えないようにしなよ
map_0000#1914	なんていうか、何次元分も気まずいから
map_0000#1915	あ、しまった、今それ考えちゃった――
map_0000#1916	リン: それで……あんた、いつもこの辺で無条件に許してあげたりしてるの?
map_0000#1917	リン: あの、これって言うほどのことでもないけど――
map_0000#1918	別に何が起きてるのか、ちゃんと分かってるわけじゃないんだけど――
map_0000#1919	誰に話しかけてるのかもよく分かってないんだけど――
map_0000#1920	でも
