map_0357#587	あたしの父は名高き医者で、妻とともに幸せに暮らしていた、
map_0357#668	サムソン: いいじゃん。
map_0357#669	シエル: あなたには言われたくありませんわ!
map_0357#670	わたしの試合のほうが、あなたのより見応えがありましたもの。
map_0357#671	だからいい気味ですわ〜
map_0357#672	サムソン: はいはい、そういうことにしといてやるよ、お嬢さん。
map_0357#673	とりあえず、デジタル空間で迷子になるよりは、俺たちの試合のほうがマシだったってことは、お互い認められるだろ。
map_0357#674	軽口をたたく気分でもないから、ちょっと発散してくるわ。
map_0357#675	じゃあな。
map_0357#676	シエル: ふぅ……
map_0357#677	あなたにも用事があるのでしょう?
map_0357#678	最近、ここは静かになりましたわね。
map_0357#679	シエル: でも、当然のことなのでしょうね。
map_0357#680	よく言うでしょう?
map_0357#681	頂点に立つ者は孤独だと。
map_0357#682	……いえ、それとも、
map_0357#683	気にかけてくれる人たちをすでに全員遠ざけてしまったから、そう言うだけなのかしら。
map_0357#684	まあ、サムソンはいじりやすすぎますから、責められるようなことでもありませんわよね?
map_0357#685	それがわたしたちらしさ、みたいなところもありますし。
map_0357#686	テラは……
map_0357#687	まあ、彼女にも見どころはあると思いますわ。
map_0357#688	こちらの背中を刺していないときに限りますけれど。
map_0357#689	他にもいましたのよ。
map_0357#690	わたしが来てからそう経たないうちに、ここへやってきて、自分の出し物を持ち込んだんですの。
map_0357#691	わたしに期待していたものは、わたしが差し出せるもの以上だったのでしょうね。
map_0357#692	わたしの従姉妹でしたの。
map_0357#693	でも、昔の生活の残りを引きずったままだと、足を引っ張られてしまうのが怖かったんですの。
map_0357#694	わたしは、たぶん、冷たかったのでしょうね。
map_0357#695	急に、あの人に謝らなくてはという気持ちになってきましたわ。
map_0357#696	連絡を取ってみようかしら……
map_0357#697	シエル: ああ、でも、わたしの繰り言を聞くためだけに、あなたを引き止めるのはこのくらいにしておきますわ。
map_0357#698	街に戻るおつもりなのでしょう?
map_0357#699	どこへ行くにしても、幸運を祈ってますわ、\PN。
map_0357#700	サムソン: 一ヶ月間、掃除当番になっちまった。
map_0357#701	更衣室をぶっ壊したんだ。
map_0357#702	しょうがなかったんだよ。
map_0357#703	最初はシエルのロッカーだけだったんだ。
map_0357#704	それからテラのロッカーもな。
map_0357#705	中にクソみたいなアチャモのゴム人形がぎっしり入っててよ。
map_0357#706	あいつら、鳴らすと悲鳴みたいな音が出るんだ。
map_0357#707	笑いすぎて倒れて気絶しちまった。
map_0357#708	それで見事に現行犯ってわけだ。
map_0357#709	あんなに長くいなくなってても、あの女はまだ俺に面倒事を残していきやがる。
map_0357#710	そもそも俺が三強に入ったのは、あいつのせいなんだよな。
map_0357#711	サーカスにはしばらく前からいたんだ。
map_0357#712	うちの親父は体罰が大好きな男でな。
map_0357#713	俺のほうはそうじゃなかった。
map_0357#714	でも、いずれ息子は親父よりでかくなるもんだ。
map_0357#715	それが親父にとって痛い目を見る羽目になった。
map_0357#716	街に放り出されて、ここで生きる道を見つけたんだ。
map_0357#717	そしたらある日、あの女が現れて、よりによってライオン使いになるって言い張ってな。
map_0357#718	結局、俺たちはあいつをピエロにしたんだ。
map_0357#719	髪を染めてな。
map_0357#720	かつらでもかぶりゃよかったのに、しなかった。
map_0357#721	そのほうが現実的だったろうによ。
map_0357#722	でも、それはあいつのやり方じゃねえんだ。
map_0357#723	いつも俺の神経を逆なでしてきて、しかもそれを心底楽しんでやがった。
map_0357#724	俺がシエルに気があるのを知っててな。
map_0357#725	あんな女に、ほれない男がいるかよ。
map_0357#726	あいつ、俺をやきもきさせるためにシエルに言い寄り始めたんだと思う。
map_0357#727	結局、それが賭けにまで発展してな。
map_0357#728	6対6。
map_0357#729	勝った方が先にシエルを誘えるってルールでな。
map_0357#730	テラが負けたら、サーカスを去るって話だった。
map_0357#731	俺が負けたら、あいつの言うことを何でも聞くって話でな。
map_0357#732	あいつは俺に、一緒にリーダー登録しろって言ってきたんだ。
map_0357#733	俺のタイプは補欠枠にしかなれなかったが、それでもショーで多少目立てるくらいにはなったな。
map_0357#734	シエルと過ごす時間を増やすには十分だった。
map_0357#735	その分、二人とも振られる回数も増えたけどな。
map_0357#736	でも、こうして考えてみると……
map_0357#737	他の結末にならなくてよかったと思ってる。
map_0357#739	どうすりゃいいのか、俺にはまったく分からねえよ、\PN。
map_0357#740	親父を見て学んだんだ、仕返しなんかしても何も良くならねえって。
map_0357#741	でも、この怒りを振り払えねえんだ。
map_0357#742	今は静かになってるが、確かにそこにある。
map_0357#743	何にぶつけても、消えてなくなりはしねえ。
map_0357#744	息すらまともにできねえ、
map_0357#745	喉に溶岩を流し込まれてるみたいに、
map_0357#746	血の中を火が駆け巡ってやがる、
map_0357#747	そのうち、それも石みたいに固まっちまうんだ。
map_0357#748	腹の底に重石があるみたいでよ。
map_0357#749	歩くのもつらい。考えるのもつらい。
map_0357#750	それでも、シエルに起きたことに比べりゃ、半分もひどくねえんだろうけどな。
map_0357#751	サムソン: ここにこれ以上いたら、何かか、誰かを壊しちまう。
map_0357#752	またな。
map_0357#753	はい
map_0357#754	いいえ
map_0358#0	おいおい、なんでサーカスから出ていくんだよ! だめだめ、まだ出てっちゃだめだって!
map_0358#1	なんでもっと長くいてくれないんだよ?!
map_0358#2	せめて金でも置いてけよ、なあ?
map_0358#3	近くにはアメトリン、セレスティナイン、シトリンと三つの山がある。\nWhich今日はどれに登ろうかな、お前との勝負で決めるとしよう!
map_0358#4	マーシャル: うーん。アメトリンはやめとくか。やっぱりそこまでの気力がないな。
map_0358#5	三つの中じゃ、アメトリンが群を抜いてでかいからな。またの機会にとっておくよ。
map_0358#6	アメトリン周辺はすごく寒くてじめじめしてるんだ。\nIそこを抜けるには、あのマシンを見つけないとな。でも、その前に肩慣らしといくか!
map_0358#7	アイク: いい肩慣らしになったな! さあ行こう!
map_0358#8	アメトリンは基本的に岩と氷と水の巨大な塊なんだ。すごい挑戦しがいがあるぜ!
map_0358#9	はぁ……この岩場を飛び移り続けるのは、ちょっと休憩がいるな!
map_0358#10	とはいえ、あの山に投げ飛ばされてきたガキに比べりゃ、俺なんてまだまだマシだと思うぜ。
map_0358#11	そいつはこの道路の南のほうに落ちたみたいだ。
map_0358#12	無事だといいけどな。
map_0358#13	アメトリントンネル → カルセノンシティ
map_0358#14	他のセーブデータで、2番道路のイワパレスのなぞなぞをクリア済みであることを検出しました。
map_0358#15	このセーブデータでも2番道路のなぞなぞをスキップしますか?
map_0358#16	いかりのこなを使ってイワパレスを起こしますか?
map_0358#17	イワパレスにねむりごなを使いますか?
map_0358#18	イワパレスは眠ってしまった!
map_0358#19	イワパレスが攻撃してきた!
map_0358#20	イワパレスは逃げてしまった!
map_0358#21	巣からイワパレスが現れた!
map_0358#22	巣は今、空っぽのようだ……
map_0358#23	見慣れない植物から、粉状の胞子がしたたっている……
map_0358#24	ねむりごなを捨てて、いかりのこなと交換しますか?
map_0358#25	\PNはこなのビンを使った。
map_0358#26	いかりのこなを手に入れた!
map_0358#27	こなのビンには、すでにいかりのこなが入っている!
map_0358#28	いかりのこなを捨てて、ねむりごなと交換しますか?
map_0358#29	ねむりごなを手に入れた!
map_0358#30	こなのビンには、すでにねむりごなが入っている!
map_0358#31	^ アメトリン山、カルセノンシティ\n > アゲートサーカス、アゲートシティ\n v フィオーレ邸ジム――「ぜひ遊びに来てね!」
map_0358#32	はい
map_0358#33	いいえ
map_0359#0	ソラリス: 空中部隊は配置についた。
map_0359#1	シリウス: さあ、お前の力を証明する時が来たぞ、坊主。
map_0359#2	ファーン: はっ。
map_0359#3	俺は何も証明する必要なんてない。
map_0359#4	それと、「坊主」って呼ぶな。
map_0359#5	俺の名前はファーンだ。
map_0359#6	覚えとけ。
map_0359#7	ブレイク: 覚える価値のあることでもしてから言えよな、弟。
map_0359#8	ファーン: じゃあ、アメトリンでのお前のあの失態は、忘れてやるべきってことだな。
map_0359#9	ブレイク: はっ!
map_0359#10	やっぱ、こいつ気に入った。
map_0359#11	ファーン: 当然だろ。
map_0359#12	ソラリス: もうよい。
map_0359#13	我々の目的はサファイアのブレスレットの回収、そして即座の撤退だ。
map_0359#14	目的の達成のためなら、手段を選ぶな。
map_0359#15	分かったな?
map_0359#16	ブレイク: はいはい、また息子さんの尻拭いってわけだ。
map_0359#17	ソラリス: 彼をそのように悪く言うことは許さん。
map_0359#18	彼の無能さは私の問題であり、他の誰にも関係ない。
map_0359#19	今は行動する。
map_0359#20	我らの世界の浄化のために。
map_0359#21	シリウス: 新たな世界の創造のためにな。
map_0359#22	老いぼれめ。
map_0359#23	ブレイク: よくあんな奴と一緒にいられるよな、なあ。
map_0359#24	石ころのほうがまだ個性あるぜ。
map_0359#25	シリウス: どうでもいい。
map_0359#26	行くぞ。
map_0359#27	看板は削り取られている。
map_0359#28	その下に、何か走り書きがある。
map_0359#29	「エイミーとターニャの家! ようこそ! <3」
map_0359#30	\PNはフィールド効果データ21を手に入れた!
map_0359#31	水面フィールドの情報が見られるようになった!
map_0359#32	アマリア: またうそを並べに来たの?
map_0359#33	ティタニア: じゃあ、何て言えばいいの?
map_0359#34	アマリア: 本当のことを話してほしいのよ!
map_0359#35	ティタニア: 「本当のこと」って何?
map_0359#36	あなたが何を聞きたいのか、わたしには分からない。
map_0359#37	アマリア: じゃあ「ティタウィン」から始めましょうか?
map_0359#38	ティタニア: それが何なのか、まったく分からないわ。
map_0359#39	アマリア: どうだか。
map_0359#40	\PNなら、わたしの言いたいこと分かるでしょ。
map_0359#41	ティタニア: 本当に、何の話をしてるの?
map_0359#42	馬鹿げてるわ。
map_0359#43	アマリア: \PN、この子が間違ってるって、あなたも分かるでしょ?!
map_0359#44	アマリア: ほら見なさい!
map_0359#45	いくらうそをついたって、あなたの裏切りのことは、わたしたち二人ともよく分かってるのよ。
map_0359#46	ティタニア: 部外者を巻き込んで、一体何をしたいの?
map_0359#47	アマリア: あなたにこの裏切りの責任を取らせようとしてるのよ。
map_0359#48	ティタニア: 「裏切り」って何のこと?
map_0359#49	アマリア: あなたがチームメテオと組んでるのは分かってるのよ。
map_0359#50	ティタニア: ……分かった、誤解があるみたいね。
map_0359#51	あなたを見つけさせないために、彼らに偽の情報を流し続けてきたの。
map_0359#52	それが理由だっていうなら、みんな安心して帰れるわね。
map_0359#53	アマリア: じゃあ、どうしてそんなに隠し事ばかりするの?!
map_0359#54	うそについての態度も、
map_0359#55	身構えるところも、冷たい沈黙も――
map_0359#56	わたしはあなたをこんなに愛してるのに、あなたが打ち明けてくれることなら何だって受け止めるつもりだったのに――
map_0359#57	なのに、どうして話してくれないの!?
map_0359#58	アマリア: ……あなたがわたしを愛していないからでしょ。
map_0359#59	ティタニア: そんな単純な話じゃ――
map_0359#60	アマリア: あなたは、わたしがあなたを愛するようには、わたしを愛していない。
map_0359#61	違うって言ってよ。
map_0359#62	アマリア: やっぱりね。
map_0359#63	ティタニア: 世界中の誰よりも、あなたのことを大切に思ってる。
map_0359#64	アマリア: でも、わたしを愛してはいない。
map_0359#65	ずっと、愛してるふりをしてただけ。
map_0359#66	ティタニア: あなたが何かしてしまうんじゃないかって、耐えられなかったの――
map_0359#67	自分を傷つけてしまうんじゃないかって、
map_0359#68	わたしがあなたの気持ちにきちんと応えられなかったせいで。
map_0359#69	選べるものなら、迷わずそうしてた。
map_0359#70	あの時――正式に付き合い始めた時――わたしは思ったの、
map_0359#71	自分の感情の欠如で、あなたの幸せを邪魔しちゃいけないって。
map_0359#72	あなたのそばにいて、本当に尽くし続ければ、
map_0359#73	あなたはもっと良くなるかもしれない、
map_0359#74	それか、わたし自身がちゃんと感じられるようになるかもしれないって、そう思ってた。
map_0359#75	それまでは、ただ物事を安定させておかなきゃって。
map_0359#76	アマリア: それがうまくいったみたいで何よりね。
map_0359#77	ティタニア: そうであってほしかった。
map_0359#78	ごめんなさい。
map_0359#79	アマリア: あなたの気持ちのこと、それがないことについて、謝ってほしいわけじゃない。
map_0359#80	うそをついたことを謝ってほしいの。
map_0359#81	何年も――一体全体――ずっとうそをついてたの?
map_0359#82	わたしたち、何回キスした?
map_0359#83	そのうち何回が、わたしのためだけにしてたことなの?
map_0359#84	ティタニア: ……それに答えてほしいとは、思ってないでしょ。
map_0359#85	アマリア: そうね。
map_0359#86	どうせそうよ。
map_0359#87	それで、あなたは何回わたしに違うって言い聞かせてきたの?
map_0359#88	全部、何、あわれみから?
map_0359#89	ティタニア: あわれみじゃない。
map_0359#90	思いやりだと思ってた――
map_0359#91	でも、それが見当違いだったのは分かってる。
map_0359#92	アマリア: あなたはわたしのすべてだった。
map_0359#93	わたしはただ、あなたのろうやだったってわけね。
map_0359#94	アマリア: まあ、いいわ。
map_0359#95	今、あなたを自由にしてあげる。
map_0359#96	ティタニア: わたしのせいで、あなたに馬鹿な真似をしてほしくなかったの――
map_0359#97	わたしが冷たくて、間違いを犯して、その代償が日に日に膨らんでいっただけなのに。
map_0359#98	わたしはどうすればよかったの?
map_0359#99	話していたら、それか最初から突き放していたら――
map_0359#100	あなたが取り返しのつかないことをして、それで――
map_0359#102	アマリア: そう、
map_0359#103	あなたの言う通りだったのかもね。
map_0359#104	ティタニア: エイミー、待って――
map_0359#105	ティタニア: \PN、
map_0359#106	彼女を追いかけるけど、こっちに戻ってくる手段がないの。
map_0359#107	なんとかして。
map_0359#108	\PNっ!!!
map_0359#109	ジュリア: やっほー元気? 会うのなんてマジで14話ぶりくらいじゃない!
map_0359#110	最近どうしてた!?
map_0359#111	フロリニア: ご機嫌よう。
map_0359#112	ジュリア: もともとはさ、エイミーとターニャが滝を登ってくの見て、頭の中はてなマークだらけになってここまで飛んできたわけよ――
map_0359#113	でもあんたまでいるのを見たら、もうびっくりマーク大爆発だから、来ないわけにいかなかったの!
map_0359#114	うちの姉妹たちに挑めるとこまで来てるの、正直すごいと思うよ、だってさ――
map_0359#115	上位のリーダーに挑めるとこまで来る人なんて、ほとんどいないんだから! だって他のリーダーたち、洞窟に隠れてたり悪の博士に追いかけられてたりばっかりでさ!
map_0359#116	そもそもそんな人たちに、どうやって挑めっていうのよ?
map_0359#117	あたしはたいていの新人トレーナーにとって最初のリーダーだから、ラッキーってわけ!
map_0359#118	フロリニア: 確かに。
map_0359#119	遠くからではありますが、アメはあなたの活動を見守っており、必要に応じて手順や方針を調整していきます。
map_0359#120	また、これをあなたにお渡しするよう、彼女から許可を得ています。
map_0359#121	ジュリア: それにはバッジ的なやつが超必要になるんだけどぉ、パウワウを倒せば手に入ると思うよ。
map_0359#122	フロリニア: シエルです。
map_0359#123	ジュリア: リニりん、それあたしも言ったじゃん!
map_0359#124	とにかく野生のパウワウを倒しまくってればバッジが手に入るから!
map_0359#125	とにかくさぁ、それが手に入ったら、いつか街に戻ってきて「やっほー」って言いに来てよね!
map_0359#126	あたしたちがあの街をどうしたか、絶対見てほしいんだから!
map_0359#127	あのフェアリータイプの元リーダーが現れてさ、みんなを街の改修に集めてくれて、もうマジで爆発的に進んでるの!
map_0359#128	フロリニア: 実際にいくつか爆発は起きましたが、それは意図された復興工程ではありません。
map_0359#129	ジュリア: あれあたしだから。
map_0359#130	てへ?
map_0359#131	でもそんなの重要じゃないって、だってほとんどの人、たぶん生き延びてるし!
map_0359#132	フロリニア: ……待って。
map_0359#133	ジュリア: え?
map_0359#134	何のために止まるの?
map_0359#135	コマーシャルタイム?
map_0359#136	フロリニア: ヘリコプターを検知。
map_0359#137	チームメテオと確認。
map_0359#138	ジュリア: ええーっ、こんなとこにまで来てるの?
map_0359#139	うそでしょ!
map_0359#140	エイミーとターニャに何かしようもんなら、あいつらの顔面ドッカンしてやるんだから!
map_0359#141	フロリニア: この試練は容易には解決しないかもしれません。
map_0359#142	対応する前に、しっかり準備を整えてください。
map_0359#143	ティタニア: もう本当にうんざりなの。
map_0359#144	彼女がわたしの見せかけに気づいて、自殺しようとしたのは、まだひとつの出来事として理解できる。
map_0359#145	でも正直、その足かせが外れて、わたしはほっとしてしまってた。
map_0359#146	それなのに今、さっき二人で乗り越えたばかりのことが、彼女の記憶喪失で全部なかったことになってしまった。
map_0359#147	また元に戻ってしまったの。
map_0359#148	ティタニア: うぅ……
map_0359#149	このうそを生き続けるなんてもうできない、でも彼女を二度も自殺させるわけにはいかない。
