map_0632#30	ゼル: あんたの計画? 大変な作業を　全部　やってるのは　イヴなんだからね!
map_0632#69	それで……　その別のPULSEマシンって　どこに　あるの?
map_0632#70	フローラ: ……
map_0632#71	ごめん　聞き間違えたかしら?
map_0632#72	今　ラブラドラシティの　ブロスターPULSEがどうとか　言った気がしたんだけど?
map_0632#73	でも　えっと……
map_0632#74	あたしの記憶違いじゃなければ\PN　いや　絶対　違ってないと思うけど!
map_0632#75	あたしたち　ついさっき　ラブラドラで　それ　見たばっかり　じゃなかった?
map_0632#76	絶対　他にも　何か　あるはずよ!
map_0632#77	ぜったい　あるって　言って　お願いだから!
map_0632#79	フローラ: それも　ラブラドラに　あるの?!
map_0632#80	フローラ: ラブラドラ??
map_0632#81	あたしたちが　さっきまで　どこに　いたか　わかってる?
map_0632#82	ついさっきまで　文字通り　ラブラドラに　いたのよ!
map_0632#83	文字通り。
map_0632#84	まさに。
map_0632#85	あそこに。
map_0632#86	ほとんど　ラブラドラの　すぐそばに　いたようなもんじゃない!
map_0632#87	なんで　わざわざ　あんな遠くまで　あたしたちを　行かせて――
map_0632#88	フローラ: 落ち着いて　フローラ。
map_0632#89	海。
map_0632#90	波。
map_0632#91	あなたは　ビーチに　いる。
map_0632#92	風が　吹いている……
map_0632#93	キャモメが　あなたの　タルタルステーキを　くわえて　飛んでいった……
map_0632#94	フローラ: あの　さっきの　取り乱し方　ごめんなさい!
map_0632#95	ただ……　理解できなくて……
map_0632#96	ま　いいわ。もう気にしないで。
map_0632#97	それじゃ　ラブラドラの下ってことね?
map_0632#98	それじゃ　ラブラドラシティってことね?
map_0632#99	よし! じゃあ　連れて行って!
map_0632#100	一緒に　行くのよ! よし! あはは。
map_0632#101	エース: 目の前に　ぐつぐつと煮えたぎる砂の湖のようなものが　現れます。
map_0632#102	揺れ動く粒の集まりが　盛り上がって　やがて――
map_0632#103	ポン!!!
map_0632#104	表面の明るい白から　最も深いところの　黄褐色の輝きまで　煮え立つ泡が　はじけるたびに　その混合物は　少しずつ　色を　濃くしていきます。
map_0632#105	誰か　知覚判定を　してみたい人は?
map_0632#106	ルミ: あ　わたし　やる!
map_0632#107	ルミ: よし　17!
map_0632#108	エース: あなたの目には　それが何なのか　はっきりとは　わかりません
map_0632#109	ですが　鼻が　それを　悟るのに　時間は　かかりませんでした。
map_0632#110	空気を　ひと嗅ぎしただけで　あたりに漂う　シロップのように甘い香りが　砂糖と熱の混ざったものだと　すぐに　わかります。
map_0632#111	あなたは　キャラメル温泉を　見つけました!
map_0632#112	ルミ: かっこいい!
map_0632#113	ところで　今日は\PNも　一緒に　これを見られて　うれしいな!
map_0632#114	イヴ: そういえば　タカは　どこ?
map_0632#115	エース: 残念ながら　小さな王子さまは　今朝　電話に　出なかったようで……
map_0632#116	きっと　長い夜を過ごして　休息が必要なだけでしょう　ですが　ご安心を　まもなく　私たちのもとに　戻ってくるはずです!
map_0632#117	エース: どうやら　急ぎの用件で　大ホールに　呼ばれたようですね。
map_0632#118	かまいません　来週　あなたたちの冒険について　彼に　伝えましょう!
map_0632#119	エース: ともあれ　その17の判定でも　温泉の底あたりと思われる場所を　大きな影のような何かが　動いているのに　気づきます。
map_0632#120	ゼロ: その影を　刺す。
map_0632#121	エース: 一目見た限り　その影は　あなたの剣が　届くよりも　ずっと　キャラメルの奥深くに　いるようです。
map_0632#122	ゼロ: キャラメルを　刺す。
map_0632#123	エース: ええ　もちろん　そうしますよね。
map_0632#124	エース: では　あなたは「シャッ」と　素早く　ムーンライトスティンガーを抜き　力強い一撃で　キャラメルの混合物へと　まっすぐ　突き刺します。
map_0632#125	エース: しかし　突然　ねばついた塊に　しっかりと　絡めとられてしまいます!
map_0632#126	ゾロ　筋力セーヴィングを　振ってください。
map_0632#127	ゼロ: ……えっと　11。
map_0632#128	エース: 11ということで　あなたは　力の限り　このゼリー状の混合物に　剣を　押しこもうとしますが　30センチほどより　深くは　どうしても　入っていきません。
map_0632#129	ゾロは　キャラメルというものが　その気になれば　とても硬く　ねばつくものだと　すぐに　思い知らされます。
map_0632#130	ですが　なんとか　剣を　その塊から　引き抜くことは　できました　もっとも　急速に結晶化する　キャラメルの冠を　新たに　まとうことに　なりましたが。
map_0632#131	ゼロ: ……キャラメルを　なめる。
map_0632#132	エース: ああ　ではゾロは　しばし　刃についたキャラメルを　なめとります。
map_0632#133	やけどしない程度に　すぐに　冷めたと　しておきましょう。
map_0632#134	生きている人間なら　誰もが　すぐに　これが　今までで最高に　おいしい混合物のひとつだと　気づくでしょうが
map_0632#135	しかし　アンデッドの君主である　ゾロ・フォン・ジルヒェンシュタインには　そんな慰めは　もたらされません。
map_0632#136	味気なさすぎて　楽しめないものの　まだ残るその熱と　不安定に垂れる数滴が　ヴァンパイアの性として　飲むことを　運命づけられた血を　彼に　思い出させます。
map_0632#137	イヴ: イヴェラーニャは　すぐさま　キャラメルに　彼の口に合うような味になる魔法を　かけます。
map_0632#138	エース: では　ゾロ　今　言ったことは　全部　忘れてください!
map_0632#139	実際　これは　あなたの死してなお続く生涯の中で　最もおいしいキャラメルです。
map_0632#140	ルミ: わあ　わたしも　キャラメルのアイスキャンディー　作りたい!
map_0632#141	エース: では　フィオは　杖の先端を　キャラメルに　浸し　できるだけ多く　からめようと　同じように　くるくると　回します……
map_0632#142	エース: しかし　突然!
map_0632#143	ルミ: えっ!?
map_0632#144	エース: 奥にいた影の姿が　あなたのいる岸のほうへと　突進してきて　キャラメルの流れの中から　杖を　ものすごい力で　引っぱられるのを　感じます!
map_0632#145	ルミ: 「あっ! みんな　助けて――　下に　何か　いる!」
map_0632#146	エース: ……キャラメルまみれの剣も　そのままで　ですか?
map_0632#147	ゼロ: ……ああ。
map_0632#148	イヴ: このキャラメルは　液体として　扱えるのかしら?
map_0632#149	エース: 興味深い　問いですね!
map_0632#150	何を　考えているんです?
map_0632#151	イヴ: 「流体操作」が　効くのか　気になって。
map_0632#152	エース: つまり　通常ほどの効果は　ないだろうが　この温泉の中にも　操作できる　溶けた砂糖のかたまりは　きっと　あるはず　というわけですね。
map_0632#153	イヴ: やってみるわ。
map_0632#154	イヴェラーニャは　呪文を唱え　その影全体を　温泉から　まっすぐ　引き上げようと　試みます。
map_0632#155	エース: では……　そうですね　この小さな液体糖の泡を　操作するための　修正なしの　知力判定を　お願いします。
map_0632#156	イヴ: ……22。
map_0632#157	エース: 見事です!
map_0632#158	それでは　あなたは　巧みに　この深淵に潜む奇妙な生き物を　その甘い生息地から　誘い出すことに　成功します。
map_0632#159	エース: その体が　溶けた表面を　突き破ると　あなたは　こう向き合うことに　なります……
map_0632#160	エース: 巨大な!
map_0632#161	エース: のたうつ!
map_0632#162	エース: リコリスウナギ!
map_0632#163	ルミ: おお!!!
map_0632#164	ゼロ: 重要な質問だ　赤リコリスか　黒リコリスか。
map_0632#165	エース: 赤です!
map_0632#166	ゼロ: くそ。
map_0632#167	イヴ: 本当に　黒のほうが　良かったの……?
map_0632#168	エース: まるで釣竿を扱うかのように　いともたやすく　魔法を使い　イヴェラーニャは　その生き物を　巧みに　温泉の表面まで　引き寄せます。
map_0632#169	その体は　紅とキャラメルが　絶え間なく螺旋を描く姿で　頭部には　粘り気のある　サクランボ色のヒレが集まり　まさに歯と黄金の渦を　なしています。
map_0632#170	尾が　激しく暴れるたびに　焼けつくような砂糖の飛沫が　温泉の岸辺に　まき散らされ　ついに　どろどろの深みから　引き上げられました!
map_0632#171	この生き物は　少なくとも　人間　数人分を　端から端まで　並べたほどの　長さがあると　わかります
map_0632#172	そして　おそらく　この甘い温泉に　うっかり手を浸してしまった　無警戒な通行人を　えじきに　しているのでしょう。
map_0632#173	ゼロ: リコリスウナギを　刺す。
map_0632#174	ルミ: でも　もし　友好的だったら?!
map_0632#175	エース: 攻撃ロールを　お願いします!
map_0632#176	今　イヴェラが　この生き物を　一瞬　宙に　浮かせているので　有利ロールが　使えますよ!
map_0632#177	ゼロ: ……クリティカルの20!
map_0632#178	エース: ゾロ・フォン・ジルヒェンシュタインによる　驚くべきキャラメルまみれの戦いぶりで　この屍の十字軍戦士は　糖にまみれたサーベルを　ウナギの異形の目へと　まっすぐ　突き刺します!
map_0632#179	このリコリスのような生き物は　瞬きしようとしますが　悲鳴を上げて震え　その菓子でできた体の　あらゆる部位が　甘い刺し傷に　うめき　のたうちます!
map_0632#180	歯ぎしりし　のたうちながら　左右に　激しく身をよじり　剣に張りついた　つややかなキャラメルの膜を　打ち砕いていきます――
map_0632#181	そして　その暴れっぷりの中で　うっかり　自らの　柔らかく甘い体内から　もう片方の目を　貫いてしまいます!
map_0632#182	ルミ: 「ナイスヒット　ゾロ!!」
map_0632#183	ゼロ: 「フン……　この程度　どうということもない」
map_0632#184	エース: あなたが　レイピアを　引き抜くと　視力を失ったばかりの獣は　地面に　崩れ落ち　その頭は　困惑しきった様子で　岸の表面を　跳ねます。
map_0632#185	長く曲がりくねったリコリスの舌が　硬骨魚のような口から　だらりと垂れ下がり　その先端に　結びつけられているのは……
map_0632#186	……鳥かごです。
map_0632#187	ゼロ: ……今の一撃で　戦闘まるごと　スキップしたのか?
map_0632#188	エース: それは　秘密です〜
map_0632#189	イヴ: イヴェラーニャは　鳥かごを　開けます。
map_0632#190	エース: それを開けると　このかごには　少なからぬ数の　紋章の魔法が　かけられているのに　気づきます。
map_0632#191	いくつかは　守護のためのものだと　わかります。
map_0632#192	他は　封じ込めのためのものです。
map_0632#193	ですが　留め金は　すばやく　外すことができ　その瞬間　小さな影が　鋭く檻から　飛び出して　あなたの周りを　ブンブンと　飛び回ります!
map_0632#194	それは　どうやら　飛行する妖精の一種で　あまりに長い時間を経て　初めて　翼を伸ばし　自由の味を　噛みしめようとしているのだと　すぐに　わかります……
map_0632#195	そうしているうちに　ようやく　彼女の姿を　はっきりと　見ることが　できます……
map_0632#196	ルミ: どんな見た目?
map_0632#197	エース: すばらしい質問ですね!
map_0632#198	エース: 小さな花形さん
map_0632#199	あなたのキャラクターを　私たちに　説明していただけますか?
map_0632#200	シエル: ごきげんよう\PN!
map_0632#202	これまでの冒険では　あなたたちのことを　まだ　あまり　よく知る機会が　なかったのだけれど……
map_0632#203	ゲームを　覚えていく間　温かく　辛抱強く　見守ってくれると　うれしいわ。
map_0632#204	こういうのは……　確かに　初めてね。
map_0632#205	エース: みんな　喜んで　コツを　教えてくれますよ!
map_0632#206	ルミ: うん　新しいプレイヤーって　楽しいよね!
map_0632#207	エース: それに　私は　まだ\PNを　参加させようと　説得している最中でしてね。
map_0632#208	その点　あなたは　彼より　一歩　先に　いますよ!
map_0632#209	その点　あなたは　彼女より　一歩　先に　いますよ!
map_0632#210	その点　あなたは　あの人より　一歩　先に　いますよ!
map_0632#211	シエル: それじゃ　テラも　みんなと　これを　プレイしているの?
map_0632#212	イヴ: テラが　このゲームに　いるかどうかは……
map_0632#213	……いまだに　議論が　続いてるの。
map_0632#214	シエル: それ以上　言わなくていいわ　あなた。
map_0632#215	それだけで　もう　完璧に　わかった気がするもの。
map_0632#216	さて　自己紹介の時間ね!
map_0632#217	ピレリア・パイエリアは　お菓子の王国の中心から来た　純血の妖精の踊り子で……
map_0632#218	はい
map_0632#219	いいえ
map_0632#220	ブロスター
map_0632#221	バリヤード
map_0637#0	マシンのスイッチを押すと　ケースが　開く。
map_0637#1	押しますか?
map_0637#2	押さない人なんて　いる?
map_0637#3	やめておいたほうが……
map_0637#4	ここまで　私たちは　驚くほど　運が良かった。
map_0637#5	あと　いくつか　部品さえ　確保できれば　完璧な適合体を　作り出せる　はず……
map_0637#6	ナディラさんの言動は　昔から　どこか　変わっていたが　正直なところ　最近は　少し　心配に　なってきた……
map_0637#7	この計画は　彼女にとって　いったい　何を　意味するのだろう?
map_0637#8	ナディラ: 帰ってきたのね! 会いたかったわ!
map_0637#9	もう　すべて　終わったの。
map_0637#10	彼は　中に　いるのよ。
map_0637#11	それで　彼は　完璧なの。
map_0637#12	会いたい?
map_0637#13	待ちきれないわ。
map_0637#14	さあ　こっちに〜
map_0637#15	ナディラ: なんて　美しいのかしら……
map_0637#16	本当に　やり遂げたのね……　あなたと　わたしで。
map_0637#17	他のみんなは　みんな　いなくなってしまった……
map_0637#18	でも　あなたは　まだ　ここに　いる。
map_0637#19	それで　今　わたしたちには　この完璧な赤ちゃんが　いるの。
map_0637#20	あなたは　きっと　すばらしい親に　なるわ\PN。
map_0637#21	あなたは　きっと　すばらしい母親に　なるわ\PN。
map_0637#22	あなたは　きっと　すばらしい父親に　なるわ\PN。
map_0637#23	一緒に　大切に　育てましょう――
map_0637#24	ナディラ: あ　あら――
map_0637#25	や　やっぱり……　あの　ポケモンたちの　記憶を　まだ　持っていたのね……
map_0637#26	そう……　で　でも　わたしが　あの子たちに　したことは――
map_0637#27	ただ……　あなたを　愛したかっただけ……
map_0637#28	わたし――
map_0637#29	自分の子どもを　持つことなんて　絶対に　できなかったから――
map_0637#30	\PN……
map_0637#31	お　お願い……　ちゃんと　大事に　して……
map_0637#32	ポケモンが　おそいかかってきた!
map_0637#33	タイプ:ヌルは　逃げていった!
map_0637#34	エーテル財団のデータが　あれば　これは　可能なはずだが　どうしても　不安を　感じてしまう。
map_0637#35	ひとつの計算ミスが　計画全体だけでなく　私たち全員の命さえも　奪いかねない。
map_0637#36	もう一度　測定値を　確認しておいたほうがいいな……
map_0637#37	この計画に　参加すると　決めたものの　その倫理観については　どうしても　疑問を　感じてしまう。
map_0637#38	特に　生体の材料が　届いたら　どうなるのか……
map_0637#39	???: 心配しないで　愛しい人　この状態のまま　長くは　しておかないから。
map_0637#40	あら。
map_0637#41	通りのゴミが　迷いこんできたわ。
map_0637#42	出て行ってもらわないと。
map_0637#43	ナディラ: 残念ね。
map_0637#44	ナディラ: 勝ったとはいえ　わたしたちの研究を　盗みに来たのなら　それは　許さないわ。
map_0637#45	これに　命を　吹きこむために　あまりにも　苦労してきたのよ　二度と　手放したりは　しない……
map_0637#46	見て　この子を。
map_0637#47	ナディラ: 美しいでしょう?
map_0637#48	ここまで来るのに　何か月も　かかったのよ　それでも　今あるのは　本体と　制御システムと　骨組みだけ。
map_0637#49	これが　何か　わかる?
map_0637#50	ナディラ: やっぱり　わかるのね。
map_0637#51	それで　それを　奪いに来たから　わかるんでしょう?
map_0637#52	でも　今の状態じゃ　何の役にも　立たないの。
map_0637#53	むしろ　あなたは　わたしたちにとって　恵みに　なるかもしれないわ。
map_0637#54	ナディラ: それじゃ　もしかして　盗みに来たわけじゃ　なかったの?
map_0637#55	あなたは　わたしたちにとって　恵みに　なるかもしれない。
map_0637#56	もちろん　彼は　まだ　完成していないのよ! 命を　吹きこむには　まだまだ　することが　あるの!
map_0637#57	実は　開発に　いくつか　つまずきがあって……　その結果　資金が　すっかり　底を　ついてしまって。
map_0637#58	彼を　完成させるためなら　何だって　するけど　正しい部品が　手に入らなければ　行き詰まってしまう。
map_0637#59	今　必要なのは　彼に　命を　吹きこむための　有機部品だけ。
map_0637#60	ねえ　あなたって　明らかに　優秀なトレーナーよね。
map_0637#61	わたしの赤ちゃんを　完成させるのを　手伝ってくれないかしら?
map_0637#62	ナディラ: ああ　ラッキー〜
map_0637#63	わかってくれるって　思ってた。
map_0637#64	それじゃ。あなたに　頼みたいことは　あなたの能力に　ぴったり　だと思うわ。
map_0637#65	まず　キバニアを　見つけて　わたしに　渡してほしいの。どれでも　いいから。
map_0637#66	あとは　わたしが　引き受けるわ。
map_0637#67	ナディラ: 本当に　残念。
map_0637#68	でも　いいの。部外者が　関わる必要なんて　ないもの。
map_0637#69	彼のことは　わたし自身で　面倒　見るから……
map_0637#70	ナディラ: まだ　いたの?
map_0637#71	もしかして　わたしのお願い　考え直してくれた?
map_0637#72	ナディラ: やっぱり　誰も　本当には　わかってくれないのね。
map_0637#73	それでいいの……　彼に　必要なのは　わたしだけだから。
map_0637#74	ナディラ: あら　もう　キバニア　見つけてくれたの?
map_0637#75	ナディラ: キバニアなら　何でもいいのよ――　もちろん　健康であればね。
map_0637#76	わたしの愛しい子には　最高のものしか　あげたくないの。
map_0637#77	わかるでしょう?
map_0637#78	ナディラ: ああ〜　なんて　完璧なの!
map_0637#79	もう　彼が　命を　持ち始めてるのを　感じるわ……
map_0637#80	ここからは　わたしが　やるけど　もう一体　必要なポケモンが　いるの。
map_0637#81	今度は　ケンホロウよ。性別は　どちらでも　いいわ。
map_0637#82	あなたなら　きっと　うまく　やってくれるはず!
map_0637#83	ナディラ: あら　帰ってきたのね。ケンホロウ　もらえた?
map_0637#84	ナディラ: きっと　わたしのために　がんばってくれてるのよね　用意できたら　また　来て。
map_0637#85	もちろん　性別は　関係ないわ。
map_0637#86	どのみち　ほとんどは　使わないんだから……
map_0637#87	ナディラ: まあ　なんて　見事なポケモンなのかしら!
map_0637#88	それに　これから　もっと　見事に　なるのよ!
map_0637#89	あなたは　宝物ね\PN。
map_0637#90	あと　ひとつだけ　必要なものが　あるの　いい?
map_0637#91	今度は　レントラーが　必要なの。
map_0637#92	すぐに　持ってきてね　いい?
map_0637#93	ナディラ: おかえりなさい! レントラー　持ってきてくれた?
map_0637#94	ナディラ: あなたと　一緒にいるのは　いつも　楽しいけれど　やるべきことも　あるのよ。
map_0637#95	もうすぐなの!
map_0637#96	もうすぐ　すべてを　わたしの手で　やり遂げられるわ……
map_0637#97	ナディラ: ああ　興奮で　ぞくぞくしてきたわ……
map_0637#98	さっそく　取りかかるわね〜?
map_0637#99	時間は　かかるけど　少し　あとで　戻ってきてくれれば　わたしたちの大切な子が　きっと　準備できてるはず。
map_0637#100	ナディラ: これって　たいていの女性が　経験することより　ずっと　痛みが　少ないのよね……
map_0637#101	やっぱり　わたし　ラッキーなのかも〜
map_0637#102	でも　彼は　まだ　準備できてないの。まだまだ　やることが　あるから　あとで　また　来て　いい?
map_0637#103	待ってるわね!
map_0637#104	本には　こう　メモが　書かれている……
map_0637#105	「マルチアタックを　今後の計画仕様どおり　威力120に　調整することに　成功……」
map_0637#106	はい
map_0637#107	いいえ
map_0639#0	タカ: いや　本当に。
map_0639#1	いったい　何を　やってるんですか?
map_0639#2	タカ: ……
map_0639#3	ええと……
map_0639#4	邪魔なものは　いつも　殴って　道を　開くんですか?
map_0639#5	タカ: ああ……
map_0639#6	まあ　いいでしょう。
map_0639#7	タカ: それは　ちょっと　信じられませんね。
map_0639#8	\PNは　フィールド効果データ27を　手に入れた!
map_0639#9	マウンテンフィールドの　情報が　見られるように　なった!
map_0639#10	結晶が　あたり一面に　散らばっている!
map_0639#11	タカ: まあ　いいんじゃ　ないですか。
map_0639#12	石が　光に　きらめいているようだ……
map_0639#13	タカ: え　それだけですか?
map_0639#14	じゃあ　いいです　もっと　大きいのかと　思いました。
map_0640#0	石が　光に　きらめいているようだ……
map_0640#1	結晶が　あたり一面に　散らばっている!
map_0640#2	タカ: その　いいんですよ？
map_0640#3	話してくれても。
map_0640#4	たとえ　殴って　道を　開くだけでも　僕は　何も　言いませんから。
map_0641#0	石が　光に　きらめいているようだ……
map_0641#1	結晶が　あたり一面に　散らばっている!
map_0642#0	移ろう風が　峰々を　吹き抜けていく……
map_0642#1	強い突風が　吹き上げた!
map_0642#2	タカ: ええ? そんなに　急に　風が　強くなったんですか?
map_0642#3	こんな風なら　山から　吹き飛ばされても　おかしくないですね。
map_0642#4	それとも……　山を　越えて　どこかに　飛ばされるとか?
map_0642#5	さすがに　それは　言い過ぎな気も　しますけど。
map_0642#6	タカ: ここからだと　世界の半分が　見えるような　気がします。
map_0642#7	それとも　僕の知ってた世界が　単に　狭かっただけかも。
map_0642#8	巣に　タマゴが　ひとつ　残されている。
map_0642#9	持って行きますか?
map_0642#10	\PNは　タマゴを　手に入れた!
map_0642#11	タカ: ここに　タマゴが　あったんですか? 本当に　もらっちゃって　いいんでしょうか?
map_0642#12	まあ　これだけ　強い突風なら　そのタマゴも　いずれ　大きく落ちて　もう元には　戻らなかったかも　しれませんね。
map_0642#13	それに　あの……
map_0642#14	正直　僕も　同じかもしれません。
map_0642#15	……受け入れてくれて　ありがとうございます\PN。
map_0642#16	タカ: どっちが　より　危険なのか　わかりません――
map_0642#17	こんな岩を　当たり前みたいに　飛び渡ることなのか
map_0642#18	それとも　これからの僕の人生　全体なのか。
map_0642#19	タカ: 風を使って　山を越えるなんて　言い過ぎだって　言ったの　覚えてますか?
map_0642#20	撤回します。
map_0642#21	タカ: わあ　砂漠の上だっていうのに　ここは　ほとんど　肌寒いですね。
map_0642#22	あの風の　せいでしょうね。
map_0642#23	あの　この岩　いくつか　不安定に　見えるんですが……
map_0642#24	高いところは　あまり　得意じゃ　ないですけど　できる限り　ついていきます。
map_0642#27	頑丈すぎて　壊したり　動かしたり　できないようだ……
map_0642#28	この岩の土台には　まだ　お宝が　眠っているかもしれない。
map_0642#29	ばくはつのこなで　開けますか?
map_0642#30	はい
map_0642#31	いいえ
map_0643#0	タカ: へえ　ここは　意外と　いいところですね……
