map_0735#578	フローラ: ……残念だわ。
map_0736#31	アスター: オレには何も直せない……
map_0736#32	オレには何もできない……
map_0736#33	できるのは、彼女のそばにいることだけだ。
map_0736#34	でも、それだけでいいんだと思う。
map_0736#35	彼女にあんなことをしたメテオ団を、もう家族だなんて思えない。
map_0736#36	たとえ喧嘩しても、彼女に嫌われても、二人の間に何もなくても――
map_0736#37	少なくとも彼女はいつもそこにいた。
map_0736#38	でも彼女は出ていきたがってた。
map_0736#39	せめてそれくらいは、彼女のためにしてやれる……
map_0736#40	ここから連れ出してやる……
map_0736#41	彼女が望んだように世界を変えることはオレにはできない。
map_0736#42	でも、お前ならできるかもしれない。
map_0736#43	これが必要になるはずだ。
map_0736#44	アスター: エクリプスからの贈り物だと思ってくれ。
map_0736#50	でも、たまには自分で選んでもいい頃だと思うんだ。
map_0736#51	またな、\PN。
map_0736#52	ノエルはぐっすり眠っている……
map_0736#53	グレイシアに「いやしのすず」を使わせますか?
map_0736#54	手持ちの状態異常が治った!
map_0736#55	ノエル: あ。
map_0736#56	どうも。
map_0736#57	なんで起こしたの?
map_0736#58	姉さんが目当てなんでしょ?
map_0736#59	僕には答えなんてないよ。なんでここにいるのかすら分からないし。
map_0736#60	アンナが言ったから、っていうくらいで――
map_0736#61	ええと、ノストラがそう言ったから。
map_0736#62	あと、ノモスも。
map_0736#63	まあ、姉さんはそう言ってたけど……
map_0736#64	実際に僕に彼の声が聞こえるわけじゃないし……
map_0736#65	ノモスはただの人形だって言うと、姉さんはいつも怒るんだ。
map_0736#66	たぶん、現実を認めたくないだけなんだと思う。
map_0736#67	でも結局、ノストラの言うことには従うしかないから、僕がどう思おうと関係ないんだ。
map_0736#68	だから、僕に話しても意味ないよ。
map_0736#69	ノエル: アンナが、今はまだ眠っていないといけないって。
map_0736#70	僕が何を言っても意味ないから、先に進んでいいよ。
map_0736#71	アンナはぐっすり眠っている……
map_0736#72	アンナ: ……あれぇ、\PN?
map_0736#73	来てくれたんだ!
map_0736#74	でもぉ、まだ起きる時間じゃ――
map_0736#75	あれ、何……?
map_0736#76	だめ、こんなはずじゃ――
map_0736#77	こんな風になるはずじゃなかったのに……
map_0736#78	折れた翼の少年は、こんなことにはならないはずだったのに――
map_0736#80	だめ、なんとかできる――
map_0736#81	まだ取り返せるから!
map_0736#83	あんたはあんたのやることをやって、心配しないで!!!
map_0736#84	おやすみなさい!
map_0736#85	ノストラは大丈夫って言ってた……
map_0736#86	ノストラが言ってた――
map_0736#87	あたし……
map_0736#88	ごめんね、\PN……
map_0736#89	ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめんね、ごめ――
map_0736#90	……また眠りにつく……
map_0736#91	おやすみ、\PN……
map_0736#92	でもぉ、まだ起きる時間じゃないよ!
map_0736#93	ノストラが、ちゃんと美容睡眠をとらないと、ドクターみたいに顔がしわしわになっちゃうって!
map_0736#94	あ! それと忘れないで!
map_0736#95	どんなに暗い夜空にも、道しるべになる星はあるからね!
map_0736#96	だからぁ、今はおやすみ! また戻ってきたら会おうね!
map_0736#97	アンナ: しー、こっちは真実の愛のキスを待ってる人がいるんだから!
map_0736#98	もちろんノエルのことだけど~
map_0736#99	アンナ: ごめん……ごめん……ごめん……
map_0736#100	……でもアンナは目を覚まそうとしなかった。
map_0736#101	エクリプスはまったく動かない。
map_0736#102	……でも何も起こらなかった!
map_0736#103	ゼル#02\n -エヴェリン・セイジャヤ-
map_0736#104	使用中。
map_0736#105	解放しますか?
map_0736#106	ゼル#01\n -ルミナ・セイジャヤ-
map_0736#107	エクリプス\n -ケイトリン・フィッシャー-
map_0736#108	止まれ。もうとっくに眠らされているはずだが……
map_0736#109	どんな力があれば、お前はいつまでも倒れないんだ?
map_0736#110	ちなみに、何もしてくれなくてどうも。
map_0736#111	サイモン: ……
map_0736#112	サイモン: \PN?
map_0736#113	そうか……
map_0736#114	ついに、その時が来たのか……
map_0736#115	彼女もここにいるのか?
map_0736#116	カイリューを連れたあの女……
map_0736#117	彼女は僕のことも殺すんだろう?
map_0736#118	タラのように……
map_0736#119	彼女はここにいるのか?
map_0736#120	お前がやるのか?
map_0736#121	待つよ……
map_0736#122	サイモン: なぜ、まだ僕を終わらせてくれないんだ?
map_0736#123	この世界で失いすぎて、もうここに留まる意志すら残ってない……
map_0736#124	変えられたらと思ってた――損なわれたものを、元に戻せたらと――
map_0736#125	でも、もう遅い。
map_0736#126	僕自身が、その損なわれたものなんだ。
map_0736#127	他の連中は喚いて、騒いで、降格をちらつかせてきた。
map_0736#128	まだ追い出されていないのは、ソラリスがオレを置いておけと命じたからだ。
map_0736#129	任務に出なくても、
map_0736#130	ほとんどの日、服を着替えることすらなくても、
map_0736#131	ただ壁を見つめて過去を思い出すだけでも……
map_0736#132	僕はもう役立たずだ。
map_0736#133	誰も僕がいなくなっても気にしない。
map_0736#134	僕が彼らを想うようには。
map_0736#135	どうして彼女はいつも笑っていられたんだろう。
map_0736#136	いつか分かる日が来るのかもしれない。
map_0736#137	でも、こうやって沈み込んでいても分からないんだろうな。
map_0736#138	お前もあの女のような人間なのか?
map_0736#139	もしそうなら、とっくに――
map_0736#140	きっと誰にでも、前に進むための自分なりのやり方があるんだろう。
map_0736#141	これがお前のやり方なのかもな。
map_0736#142	もう邪魔者でいるのはやめるよ。
map_0736#143	お前にとっても、メテオ団にとっても。
map_0736#144	さらばだ。
map_0737#0	完全に凍りついている。
map_0737#1	メテオ: なんでお前はそうなんだよ?!
map_0737#2	メテオ: またお前か!
map_0737#3	あー嫌だ嫌だ嫌だ! 絶対にありえない!
map_0737#4	ジェフ、あたしがコイツに教育してやってる間、\PNの相手をお願い!
map_0737#5	メテオ: ま、好きにすれば。
map_0737#6	正直、彼女が他に何を期待してたのか分からないな。
map_0737#7	グレイシア: グレァァ!!!
map_0737#8	メテオ: それも予想できたことだろうな。
map_0737#9	まあ、好きにしてくれ。
map_0737#10	こいつにはしばらく振り回されてたけど、別に気にしちゃいない。
map_0737#11	グレイシア: グレイ〜 グレイシア!
map_0737#12	グレイシアはあなたに懐いたようだ。
map_0737#13	こいつのために暖房でも用意してやるべきかもな。
map_0737#14	……はぁ。
map_0737#15	鍵がかかっている。
map_0737#16	東のドアの鍵が開いた。
map_0737#17	ふさがっている。
map_0737#18	西のドアの鍵が開いた。
map_0737#19	それでも、結局入ってきたか。
map_0737#20	まあ、どうでもいいけど。ペットの世話にはもう飽き飽きしてたし。
map_0737#21	あのポケモンたち、しばらく前からこの辺を走り回って、あちこち大暴れしてる。
map_0737#22	逃がした奴は、あとでひどい目に遭うだろうよ……
map_0737#23	エーフィ: エーフ!!!
map_0737#24	檻はしっかりと施錠されている。南京錠でがっちり固定されているようだ。
map_0737#25	メテオ: あたしが言うことじゃないかもしれないけど、その檻の鍵はここにはないよ。
map_0737#26	あの忌々しいやつ、念力で鍵を盗んで自分で逃げ出そうとしてたから、別の部屋に隠したんだ。
map_0737#27	たぶん施設の南側のどこかにあると思うけど、詳しい場所までは知らないよ。
map_0737#28	だからそれについて絡んでこないで。
map_0737#29	\PNは「おりのカギ」を使った!
map_0737#30	メテオ: あら。もう持ってるのね。
map_0737#31	じゃあ、あたしのことは無視してくれていいわ。
map_0737#32	エーフィ: エーフィ〜
map_0737#33	グレイシア: グレァ!
map_0737#34	エーフィはあなたに懐いたようだ。
map_0737#35	メテオ: ポケモンを助けて回ってるのは可愛らしいけど、それでPULSEに近づけるわけじゃないのよ。
map_0737#36	メテオ: PULSEのこと、わざわざ口に出す必要あるか?!
map_0737#37	メテオ: いいじゃない。どうせ\PNは見つけるわよ。隠したって無駄。
map_0737#38	メテオ: せめてそれについて黙ってろよ! 自分で見つけさせろって!
map_0737#39	メテオ: この混乱の中でか? そりゃすごいもんだな。
map_0737#40	しかもあの厄介者に追い回されながらな。
map_0737#41	あいつがやることといえばガラスをまき散らすことだけだ。
map_0737#42	どれだけ片付けさせられたと思ってるんだ?
map_0737#43	まったく。さっさと連れて行けよ。
map_0737#44	メテオ: その檻の鍵は、まったく別の場所にあるぞ。
map_0737#45	そこまでだ!
map_0737#46	このエーフィは十分厄介事を起こしてきた……これ以上ひどくする必要が本当にあるのか?
map_0737#47	あ。
map_0737#48	鍵を見つけたのか。
map_0737#49	まあ……
map_0737#50	……ある意味、それが一番いいのかもな。
map_0737#51	どのみち、この檻は特別な鍵でしか開けられない。
map_0737#52	あたしたちはその鍵を持ってないから、あたしたちには関係ない話だ。
map_0737#53	ガラスが割れて、また\PNが現れる。まるであたしの悪夢みたいに。
map_0737#54	その悪夢の話は、一応冗談だからな。だいたいは。
map_0737#55	ここに入り込めたなら、反対側のエレベーター制御室にも問題なく入れるだろうな……予想通りだ。
map_0737#56	エレベーターアクセスが再有効化された。
map_0737#57	エレベーターのロックが解除された。
map_0737#58	1階の入り口の鍵が開いた。
map_0737#59	他のプロジェクトが完了してから、こっちにはほとんどやることがなくてね……
map_0737#60	これで本当にリンの望み通りなのか?
map_0737#61	PULSEの睡眠波は特定の場所でしか使えないから、エレベーターを止めてお前をその範囲に留めておく必要があったんだが……それなのに、なんでまだここにいるんだ?
map_0737#62	外にいる連中は何もできないのか?
map_0737#63	あたしたちだって無理なのに。
map_0737#64	正直言って、エレベーターでずっと人を捕まえ続けるのはうんざりだ。施設のあちこちが立ち入れなくなる――正面玄関はもちろんのこと。
map_0738#0	お前がそのうち現れるだろうとは思ってたよ。
map_0738#1	たとえこの鍵を手に入れても、アトリウムに入るには別のカードキーが必要だぞ。
map_0738#2	アトリウムは別のカードキーで施錠されている。おそらく上の階で見つかるだろうが、まずはエレベーターを動かすのに苦労するといい。
map_0738#3	お前は本当にこっちの思い通りにはならないな?
map_0738#4	お前にどんな力があろうと、いつも通りそれを終わらせるために全力を尽くすまでだ。
map_0738#5	私たちのあらゆる動きを台無しにするその執念だけは、認めてやろう。
map_0739#0	お前のヴァースは始まる前に終わりだ!
map_0739#1	いいノリじゃん。イケてるぜ、相棒!
map_0739#2	ドアを開けるには、ちょっとした曲を演奏する必要があるぜ。反対側にいるオレの相棒が手伝ってくれる。
map_0739#3	デカくなりたいなら、演奏できるって証明しなきゃな! 見せてくれよ!
map_0739#4	悪くないジャムじゃん、坊主!
map_0739#5	左側の岩壁が鍵だぜ、相棒。よじ登って弾きながら勝利をつかめ!
map_0739#6	一曲聴かせてやるよ――曲名は「お前をブッ倒す」、キーはE-Zだ!
map_0739#7	チッ、弦が切れちまった……
map_0739#8	ここのカラーパネルは左側の弦のチューナーだ。左右に押して音を変えろ!
map_0739#9	よぉ、相棒!
map_0739#10	ハーディの相手をしたいなら、まずコードと戦わなきゃな!
map_0739#11	この壁には弦が張ってあって、お前が通り過ぎると振動するぜ。
map_0739#12	音楽を鳴らせば通してやるよ!
map_0739#13	反対側のチューナーで演奏する音を操作できる。
map_0739#14	左から右へ、低いG、A、B、C、D、E、F、高いGの順だ。
map_0739#15	音を合わせて並べろよ!
map_0739#16	演奏したい曲についてだが、
map_0739#17	こんな感じの曲だ……
map_0739#18	もう一回聴きたければ言ってくれよな、相棒!
map_0739#19	頑張れよ!
map_0739#20	あのリフ、もう一回聴きたいか、相棒?
map_0739#21	お前ならできるぜ、相棒!
map_0739#22	お前、こういうのとノらないタイプって言いたいのか?
map_0739#23	気にすんな、相棒、みんなが好きってわけじゃないしな。
map_0739#24	まあ、オレだって何度か休んだことあるぜ――あるライブでモニターにフィードバックがひどく回っちまって……えっと……
map_0739#25	なんつったっけ? ティン……ティンセル……
map_0739#26	ティンティビタス……えーと……
map_0739#27	扁桃炎だ! それだ!
map_0739#28	耳がひどく鳴って、何週間も扁桃炎になっちまったんだ!
map_0739#29	まあでも、お前を試さないといけないんだ、相棒。それがルールだからな!
map_0739#30	じゃあこうしよう――今ここでオレと勝負しろ。
map_0739#31	お前が勝ったら、ドアを開けてやるよ。
map_0739#32	さあ、行こうぜ!
map_0739#33	お前、本当に強いな、相棒、間違いない!
map_0739#34	見事な技だぜ、相棒!
map_0739#35	ちょっとつないでやるよ……
map_0739#36	よし、行けるぞ、相棒! ハーディがお前を待ってる!
map_0739#37	あー、だめか?
map_0739#38	その意気だ! 頑張れよ、相棒!
map_0739#39	聞こえたか、相棒?
map_0739#40	ハーディがお前を呼んでる――行けよ!
map_0739#41	行けよ、相棒!
map_0739#42	ハーディがお前を待ってるぞ!
map_0739#43	よぉ、聞こえたぜ、相棒!
map_0739#44	お前にはソウルがあるな!
map_0739#45	アドリエンヌ: \PN! わたしたちの自慢のチャンピオンは元気にしてる?
map_0739#46	ハーディのところまで来たのね?
map_0739#47	もうすぐよ!
map_0739#48	まず知っておくべきことは、わたしと同じで、ハーディはダブルバトルで戦うということね。
map_0739#49	彼の主な戦略は力押しに近いわ――スピードで上回って、両方の相手を一気に叩く。
map_0739#50	彼の代名詞である「いわなだれ」はそれにうってつけで、ひるみ率も高いの。
map_0739#51	ロッキーフィールドでの戦いでは、ひるみは特に厄介よ。岩に叩きつけられると追加のダメージも入るから。
map_0739#52	だから、岩タイプのリーダーから想像するのとは逆に、この戦いではスピードが重要になるわ。
map_0739#53	素早く動かないと、まったく動けなくなるかもしれないから、先制技の強いポケモンはここで特に有利になるでしょうね。
map_0739#54	さらに、ハーディのポケモンは岩を防御の盾として使うこともあるから、近づき方には気をつけて。
map_0739#55	それ以外では、フィールドが彼に与える耐性はあまりないから、隙を見つけたらそこを突いて!
map_0739#56	どんな状況でも、あなたならきっと何か見つけ出せると思うわ。
map_0739#57	いつもそうでしょう、チャンピオン?
map_0739#58	頑張って! みんなあなたを頼りにしているわ!
map_0739#63	ヘルプ
map_0740#0	ハーディ: また来たのか?
map_0740#1	お前、頑固だな――そういうとこ好きだぜ。
map_0740#2	もう一戦いけそうか?
map_0740#3	ハーディ: よぉ、調子どうだ?
map_0740#4	これのためにずっとテンション上がってたんだ。
map_0740#5	準備はいいか?
map_0740#6	ハーディ: よっしゃ!
map_0740#7	ハーディ: 今度はもっとロックしてもらわないとな、分かるだろ?
map_0740#8	でもお前が最初のトラブルでへこたれるようなやつじゃないってのは分かってる。
map_0740#9	何ができるか見せてくれよ!
map_0740#10	オレを妹みたいな雑魚だと思うなよ、な?
map_0740#11	オレのほうがランクが上なのには理由があるんだ。
map_0740#12	倍速で見せてやるよ!
map_0740#13	こいつはロックするぜ!
map_0740#15	ハーディ: くっ、しくじったか。
map_0740#16	ま、ジオードバッジはお前のもんだ。
map_0740#17	ハーディ: よく頑張ったな。
map_0740#18	\PNは「ジオードバッジ」を手に入れた!
map_0740#19	ハーディ: これで、お前のポケモンはレベル95まで育てられるようになったぜ。
map_0740#20	あと少しで頂点だな。
map_0740#21	あと、そのわざマシンも見とけよ。
map_0740#22	ハーディ: ギターに乗ってない中じゃ最高のスライドだぜ、分かるだろ?
map_0740#23	使いどころ、見えてくるはずだ。
map_0740#24	まあ……うまく使ってくれることを願ってるよ。
map_0740#25	メテオとの最終決戦も、もうそう遠くないだろうな。
map_0740#26	どうなろうと、オレはアヤを取り戻す。
map_0740#27	メテオ全員をブッ倒さなきゃならないなら、それでいい。
map_0740#28	お前を倒さなきゃならないなら、そうするさ。
map_0740#29	分かるだろ?
map_0740#30	お前はこの仕事をやり遂げるために、集中し続けなきゃな。
map_0740#32	チッ、ああ、もう待てねぇ。
map_0740#33	今すぐカルセノンに戻る。
map_0740#34	どうにかしてあのバリアをぶち破ってやる。
map_0740#35	そしたら、メテオ団は完全に終わりだ!
map_0740#36	またそこで会おうぜ、\PN!
map_0740#37	ハーディ: へっちゃらだぜ。
map_0740#38	お前の準備ができたらいつでもいいぜ。
map_0740#39	はい
map_0740#40	いいえ
map_0741#0	リン: なるほど。
map_0741#1	上にいた連中は、もうバラバラになったのね。
map_0741#2	そして探し求めていた動力源は、最初からここには存在しなかった。
map_0741#3	ずっと、決して見つかるはずのないものを探していたのね。
map_0741#4	そして、そのために自滅した。
map_0741#5	あは……
map_0741#6	あはは……はは――
map_0741#7	アハハハハハハハハハハハハ!
map_0741#8	リン: ねえ。
map_0741#9	おかしいと思わない?
map_0741#10	おかしいと思わない……
map_0741#11	……人はこんなにも簡単に壊れてしまうものなのね。
map_0741#12	この世界の誰もが、石の顔をかぶっている。
map_0741#13	その下では、自分は純金だと誓っている。
map_0741#14	水晶の心、鋼の魂……
map_0741#15	でも、どんな顔をしていても、
map_0741#16	誰もが何も持っていない。
map_0741#17	何かを奪ってごらんなさい。
map_0741#18	家。
map_0741#19	愛。
map_0741#20	たった一本の色ペンほど単純なものでも。
map_0741#21	息。
map_0741#22	それだけで、ばらばらに崩れ落ちる。
map_0741#23	わたしたちは無から作られている。
map_0741#24	リン: おかしなものね。
map_0741#25	探し求めていた動力源は、最初からここには存在しなかった。
