map_0879#31	クラウドバリー: あたしの名前はイグノシア・クラウドバリーだよ、この能なし！
map_0879#61	予想外の障害だけど、また頼らせてもらうしかなさそうね。
map_0879#62	イヴ: 次はグラシデアのはなが4本必要になるわ。
map_0879#63	シェイミを見つけた場所の近くを探してみて、あの二つはつながりがあるから。
map_0879#64	あと付け加えると、ここの大きなキノコから不規則なエネルギーを感じ取ってるの……
map_0879#65	いくつかの競合するシステムがあるみたいね？
map_0879#66	一つの色が優位になると、残りの二つは休眠状態になる。
map_0879#67	このあたりの成長に影響を与えているようだから……
map_0879#68	つまり、一つのキノコ系統を「活性化」すると、一種類の障害物が消えて、代わりに他の二種類が現れるってことね。
map_0879#69	このエリア全体で、同じことが起きているみたい。
map_0879#70	灰色のキノコは行き止まりの目印になっているかもしれない。
map_0879#71	幸運を祈るわ、\PN。
map_0879#72	イヴ: クラウドバリーに対処する必要があるけど、残念ながら花の成長が最大段階のときにバトルを終わらせなきゃいけないの。
map_0879#73	フィールドを育てる最善の方法は、フィールドノートを確認して。
map_0879#74	簡単なことじゃないし、こんなことになって本当にごめんなさい。
map_0879#75	あなたのパーティーを回復させてあげる。
map_0879#76	イヴ: ルミが、あなたを頼りにしてる……
map_0879#77	ルミ: 一緒に閉じ込められてたときのこと、少し覚えてるけど、今の方がずっと理解できる！
map_0879#78	こういうこと全部、どうやって自分で学んだの？
map_0879#79	イヴ: 誰でも同じ、普通のやり方だと思うわ。
map_0879#80	たくさんの勉強と、練習と、時間……
map_0879#81	たくさんの失敗も。
map_0879#82	それと、できるだけ早く、ちゃんと学ぶ理由もたくさんあった。
map_0879#83	クラウドバリー: 火に、疫病に、肥やし水よ！
map_0879#84	何度かかろうと、この悪魔の館を、消え去るまで焼き尽くしてやる！！！
map_0879#85	よく聞きなさい、悪魔ども、この大地はあたしの前で塩と灰以外の何物でもなくなる運命よ！
map_0879#86	イヴ: よし！ 必要な成長段階に達したわ！
map_0879#87	クラウドバリー: ンンンンン……
map_0879#88	ンンンンンンンンン……
map_0879#89	<b>ンンンンンンンンンンンンン……</b>
map_0879#90	イヴ: 今、まさか……
map_0879#91	イヴ: ……いえ、考え直したわ、今起きたことについては、これ以上何も聞かないことにする。
map_0879#92	ルミ: お姉ちゃん！？
map_0879#93	ルミ: お姉ちゃん、大丈夫！？
map_0879#94	あの音が聞こえたんだけど――何があったの！？
map_0879#95	イヴ: いいえ、全部大丈夫よ、心配ないわ。
map_0879#96	……別の場所で待ってるんじゃなかったの？
map_0879#97	ルミ: ……心配だったの、いいでしょ？
map_0879#98	あ！ こんにちは、可愛い子たち！
map_0879#99	シェイミ: シャミ！
map_0879#100	ルミ: ……この子たち、本当に無事なの？
map_0879#101	イヴ: 変異なし、拘束なし、危害なし。
map_0879#102	あのフローラって子、なかなかいい理論を持ってたわ。
map_0879#103	きっと将来有望よ。
map_0879#104	でも個人的には、このシェイミたちがふらっと逃げていかなかったのが意外だけど。
map_0879#105	ルミ: きっと、あたしたちが助けを必要としてるって分かってるんだよ！
map_0879#106	みんな、協力してくれてありがとう！
map_0879#107	シェイミ: ミミ！！！
map_0879#108	イヴ: それで、あなた……調子はよくなったみたいね。
map_0879#109	ルミ: さっきはあんな反応しちゃって、ごめんね。
map_0879#110	ちゃんと考えてみたら、あたしが一番嫌だったのは、お姉ちゃんに全部やってもらうことだったんだって気づいたの。
map_0879#111	あたしに起きることが、お姉ちゃんにも影響するのは分かってる。でも、これはあたしの体だから。
map_0879#112	それに、いつもただ座って、お姉ちゃんに助けられてるだけでいたくない！
map_0879#113	だから！
map_0879#114	お姉ちゃんが作った治療法は、受け取らないことにする！
map_0879#115	イヴ: え、何――
map_0879#116	ルミ: 自分で作るから！
map_0879#117	イヴ: ……あ。
map_0879#118	ルミ: やり方は教えてくれていいし、手伝ってくれてもいい、
map_0879#119	でも、実際に作るのはあたしがやる。
map_0879#120	あたしは、自分で自分を治すの。
map_0879#121	いい？
map_0879#122	イヴ: ……ふうん。
map_0879#123	あたしたちが離れてから、そんなに長い時間が経ったわけでもないのに、
map_0879#124	あなたは本当に早く成長したのね。
map_0879#125	分かったわ。全部教えてあげる。
map_0879#126	シェイミたちは、もう役目を終えたわ。
map_0879#127	この子たちを放してあげてから、始めましょう。
map_0879#128	でも、少し時間がかかるかもしれない……
map_0879#129	ルミ: 大丈夫！
map_0879#130	あたし、もうすぐたっぷり時間があるようになると思うから。
map_0879#131	クラウドバリー: ンンンンンンンンン。
map_0879#132	どれだけ惨めな回数がかかろうと、シークレストの魂に誓って、この不浄なため池の汚れを、今度こそ完全に浄化してやる！
map_0879#133	あたしは負けを認めない！！！
map_0879#134	イヴ: この化合物を単離するために、花びらを分解していくわ……
map_0879#135	ルミ: つまり、あたしが分解するってことだよね。
map_0879#136	お姉ちゃんは見てるだけ！
map_0879#137	でも、これは自分でやるから！
map_0879#138	イヴ: ……ええ、もちろん。
map_0879#139	シェイミ: ミミ？
map_0879#140	シェイミが道に迷ってさまよっているようだ。
map_0879#141	シェイミを連れていきますか？
map_0879#142	シェイミ: シャ？
map_0879#143	？？？？？？？？？
map_0879#144	どこ行くわけ？？？
map_0879#145	ルミを助けたかったんじゃないの、それとも、あんたみたいなヒーロー気取りが自分に言い聞かせてる何かをしたかっただけ？？？？？
map_0879#146	そんなに難しい？？？？？？
map_0879#147	ほら。
map_0879#148	手伝ってあげる。
map_0879#149	リン: あたしが何もしてくれなかったなんて、二度と言わせないから〜
map_0879#150	アンナ: やあ、\PN！
map_0879#151	ルミのこと、見てたよ！
map_0879#152	ここからだと、全部見えるの……
map_0879#153	ねえ、うまくいってよかった。なんかこれ、楽しいね！
map_0879#154	あたしはみんなを治せて、あなたはヒーローの仕事を続けられて、みんなハッピー！
map_0879#155	悪いことが何も起きない世界だって、作れるかもしれない……
map_0879#156	でも、それができるのは、リンの企みが分かってから。
map_0879#157	あの子、どこにいるんだろう……？
map_0879#158	リン: うわあ、今あの口うるさいババアを爆発させたの？
map_0879#159	まあ、確かにこういう健全な優しさって、心が晴れやかになるくらいだけど、
map_0879#160	このくどいくらい甘ったるいポジティブさがこれ以上続いたら、あたしの心臓、ろっ骨から真っ直ぐ飛び出して、地面に血まみれで転がることになりそう、
map_0879#161	あのババアみたいに？？？
map_0879#162	てか、心が飛んでいくって話なら、あのババアの心臓が虚無に向かって飛んでいくの、ここから見える気がする！
map_0879#163	あんた今、実質誰か殺したってこと、分かってる？？？
map_0879#164	は、何それ
map_0879#165	ちょっと待って。
map_0879#166	今言った？
map_0879#167	「はい」って？
map_0879#168	…………………………………………………………
map_0879#169	その意気だよ！！！！！！！！
map_0879#170	はー、やっぱあんたのこと気に入ってたんだよね
map_0879#171	あのババアを倒した上に、それを堂々と認めるとかさ
map_0879#172	あたしもあいつ嫌いだった、あんたも嫌いだった、みんな嫌いだった！！！
map_0879#173	ずっと前からこうなるはずだったんだよ。てかあいつ、どうやってあんな歳まで生きたわけ？？？？？
map_0879#174	まったく、「え、いやいや殺すつもりなんてなかったよぉ信じてぇ (´*w*`)」とか言っちゃう奴を想像してみてよ
map_0879#175	誰もあんたのことなんて信じないっての。
map_0879#176	好感度ポイント1点獲得ってところかな。
map_0879#177	これが「正解」の選択肢だったってことの証拠だね。
map_0879#178	これが「選択肢」のある「ゲーム」だなんて、あんたに思わせるわけにはいかないもんね？
map_0879#179	大事にしなよ。
map_0879#180	どういたしまして〜
map_0879#181	あんた、一回二回怒鳴られたくらいで、それを正当化しようとしてるわけ？
map_0879#182	「でもそんなことになるつもりじゃなかったし！！！」
map_0879#183	「あたしに選択肢なんてなかった、そっちが不公平だ！！！」
map_0879#184	そう自分に言い聞かせたいなら、そうすればいいけど、
map_0879#185	でも、あんたには間違いなく選択肢があった。
map_0879#186	クラウドバリーをああやって倒す必要なんて、なかったんだから。
map_0879#187	クエストを終わらせろって、誰も強制してなかったし。
map_0879#188	あんたはただ、片方の方が気に入ってたから、それだけの価値があるって決めただけ。
map_0879#189	でも、それの何が悪いわけ？
map_0879#190	みんなやってることじゃん。
map_0879#191	誰も犠牲を払う気がなかったら、あたしたちは今頃どこかの洞窟で石をたたいてるだけだよ。
map_0879#192	だから心配しないで、分かってるから。
map_0879#193	当然、あたしはあんたの味方だし。
map_0879#194	だいたい、そもそも治療法に必要なものがそろうような世界を作ったの、誰だと思ってるわけ？
map_0879#195	あたしだって、ルミを助けたかったのかもよ。
map_0879#196	アンナは、そんなことしたことないけどね。
map_0879#197	別のセーブデータで、シェイミのクエストクリアが検出されました。
map_0879#198	このファイルでは、グラシデアのはな探しをスキップしますか？
map_0879#199	もう花は全部持っています！
map_0879#200	はい
map_0879#201	いいえ
map_0880#0	割れたガラスで\PNは痛みを受けた！
map_0880#1	シャルロット: こういうの、ほんと得意なのね！
map_0880#2	あたしのバカな小娘の頭じゃ、全然理解できないんだけど！
map_0880#3	これもやり方教えてくれる？
map_0880#4	シャルロット: へっ、まあ、あんた以外の相手だったら、そういうこと言ってたかもね。
map_0880#5	おだてるのって、いいモチベーションになるし。
map_0880#6	でも、あんたはどうせ自分一人でこういうのやっちゃうんでしょ？
map_0880#7	それに、あんたを本気で操ろうとするなんて、失礼な真似はしないわよ。
map_0880#8	ただ冗談にせずにいられないだけ、だってさ、
map_0880#9	他に何すればいいのよ？
map_0880#10	自分でパズル解く？
map_0880#11	ぷっ。
map_0880#12	シャルロット: 冗談は、心を守る手段ってやつでね、
map_0880#13	それでね、あたしにゃ守らなきゃいけないものが山ほどあるのよ。
map_0880#14	シャルロット: それ、ちょっと面倒くさそうだったのに、大したもんね。
map_0880#15	今度は皮肉抜きでよ。
map_0880#16	こういうの全部にかけるエネルギー、どこから湧いてくるのよ。
map_0880#17	あの……シリウスのことがあってから、ベッドから出るだけで一日分の気力を使い果たしてる気がするのよね。
map_0880#18	自分の人生で何やってるのか、正直まったく分かんないし。
map_0880#19	ずっと肩に乗せてたチップ、下ろしたけど、それが何になったのよ？
map_0880#20	あーもう、痛々しいセリフでつまずいちゃった、ああああ……〜
map_0880#21	次いくわよ。
map_0880#22	シャルロット: マジで、下がって。
map_0880#23	シャルロット: ……あんた、サファイラじゃないのね。
map_0880#24	はい、さっきのはごめん。
map_0880#25	別にあんたのことじゃないの、当たり前でしょ、てかなんであんたがここにいるのよ？
map_0880#26	てか――ねえ、
map_0880#27	どうせここにいるんだから……
map_0880#28	ここまでは来たんだけど、この先ガラクタが邪魔で進めなくて。
map_0880#29	あたしの宿題、代わりにやってくれる？
map_0880#30	自分でやってもいいんだけど、痛々しい皮肉コメント垂れ流すのに忙しいし、あとやりたくないし。
map_0880#31	シャルロット: ローラからもう全部聞いてると思うけど。
map_0880#32	こんなの、もう80回くらい起きたことみたいなもんだし。
map_0880#33	ただ今回は特別ボーナスで、さらに無意味さがアップしてるってわけ！
map_0880#34	まあ、あたしにとっては元々全部無意味だったのに気づいてなかっただけかもね、劇的皮肉ってやつはホント厄介よね。
map_0880#35	ね？ 痛々しいセリフ、もうバッチリ進んでるでしょ？
map_0880#36	シャルロット: いいわね。
map_0880#37	自分の問題を人に解決してもらうの、大好きなのよね。
map_0880#38	好感度+1とかそんな感じ。
map_0880#39	先に進むわよ。
map_0880#40	シャルロット: これが一体何なのか、あたしには全然分かんないんだけど。
map_0880#41	まあ、頑張って的な。
map_0880#42	あたしはここで思い悩んでるから。
map_0880#43	シャルロット: それ、バカみたいに見えたわよ。
map_0880#44	今まで範囲外に押し出せなかったのに、なんで今さらできるのよ？
map_0880#45	まあ、ルールなんてどうせ全部、でっちあげのニセモノなんでしょうね。
map_0880#46	時間の流れとか、悲劇的な過去とかと同じでね。
map_0880#47	ねえ、おかしいと思わない？
map_0880#48	あの火事があたしのせいじゃなかったって、今は分かってるのに、それでもまだしょっちゅう考えちゃうの。
map_0880#49	今のあたしは、トラウマとねじれた支配感覚を持ったバカじゃなくて、ただトラウマを持ったバカになったってわけ。
map_0880#50	最悪よね！
map_0880#51	ポチエナ飼ってる奴も含めて、みんなトラウマ持ってるんだから、あたしなんて何様なわけ！？
map_0880#52	あいつらの言う通りだったのかもね。
map_0880#53	あたしにも、火傷の跡があるのかもしれない。
map_0880#54	……そういえば、それ言ってたの誰だっけ？
map_0880#55	アンナの言う通りだったのかもね。
map_0880#56	あたしにはそれが必要なのかもしれない。
map_0880#57	シャルロット: いや、実は「アンナの言う通りだった」ってセリフ、もう何日も温めてたのよね。
map_0880#58	今のカッコよかったでしょ？ もし「違う」って言うなら、泣くわよ。
map_0880#59	シャルロット: そうこなくちゃ。
map_0880#60	姉妹以外の誰かに言えるタイミング、ずっと待ってたの。
map_0880#61	あの子たち、もうどうしようもないくらい堅物なんだから、まるで……
map_0880#62	なんだろ、すごくドロドロしたものみたいに？
map_0880#63	うるさい、今いいとこなんだから、いいでしょ？
map_0880#64	シャルロット: ……
map_0880#65	まあ、自業自得ってやつよね。
map_0880#66	シャルロット: この場所みたいなもんかもね。
map_0880#67	あたしが本物だと思ってたもの全部、ただのしんきろうだった。
map_0880#68	今は正直、自分がどうすればいいのか分からない。
map_0880#69	シャルロット: 今回はあんたが先に行って。
map_0880#70	あたしはちょっと……
map_0880#71	一息つくから。
map_0880#72	一日分の思い悩みノルマってやつね。
map_0880#73	シャルロット: あんたと一緒にどんどん進んでもいいんだけど、今ちょっと静かに感情の整理をしようとしてるところなの。
map_0880#74	あたしたちが知ってたもの、全部ニセモノだったわけだし。
map_0880#75	シャルロット: アノマリー、手に入れた？
map_0880#76	いいじゃない。
map_0880#77	当然、あんたにあげるわ。
map_0880#78	どうせほのおタイプからは卒業すべきかもって思ってるし。
map_0880#79	公式の場では今の単タイプチームは続けるけど、勘違いの喜劇に自分を重ねるのはもうやめるから。
map_0880#80	新しい方向に進むわ。
map_0880#81	それに、新しい方向といえば――下ね。
map_0880#82	一緒に来る？
map_0880#83	シャルロット: ここに残ってても意味ないし。
map_0880#84	あんたが見逃してた、あそこに転がってるメガストーン以外はね。
map_0880#85	……なんてね、冗談よ。
map_0880#86	行きましょ。
map_0880#87	シャルロット: あんたも痛々しい虚無の物思い時間、必要でしょ、分かるわよ。
map_0880#88	またね。
map_0880#89	アンナ: 鏡に映る自分に微笑みかければ、
map_0880#90	少なくとも、誰かがあなたに微笑み返してくれるでしょう？
map_0880#91	それに喜びを見出すことの、何がいけないというの？
map_0880#92	ホウオウ: ラアアアア〜
map_0880#93	キャアアア！
map_0880#94	ホウオウ: キャアアラ！
map_0880#95	別のセーブデータで、クリア後のミラージュタワー攻略が検出されました。
map_0880#96	このファイルでは、ミラージュタワーのパズルをスキップしますか？
map_0880#97	はい
map_0880#98	いいえ
map_0881#0	サファイラ: ……
map_0881#1	あたしを追ってくるの、あんただとは思ってなかったけど。
map_0881#2	でも、こんな場所には、ローラは絶対来ないでしょうし。
map_0881#3	シャルロットが来るわけもないし。
map_0881#4	今のままの調子が続くならね。
map_0881#5	あたし……あの子をここまで守る必要なんてないって、分かってはいるの。
map_0881#6	あの子は自分の身を守るくらい、十分にできるんだから。
map_0881#7	それどころか、あたしを守ることだってできる、
map_0881#8	あたしがそうさせてあげさえすればね。
map_0881#9	でも、できない。
map_0881#10	それは……あたしという人間じゃないから。
map_0881#11	あたしという人間は、過去に囚われたまま。
map_0881#12	このクモの巣に絡め取られた虫みたいに。
map_0881#13	どう抜け出せばいいのか、分からない。
map_0881#14	サファイラ: かえんほうしゃで解決できないものなんて、ないでしょ。
map_0881#15	でも、大地を焼き払って塩をまくのが、もう正しいやり方だとは思えなくなってきた。
map_0881#16	今でも常に戦争の最中にいる気がするのに、誰と戦ってるのかすら分からない。
map_0881#17	サファイラ: あれの向こう側に、一体どうやって渡ったのか教えてくれる？
map_0881#18	迷いを振り切って、焼き払って通り抜けたの。
map_0881#20	それで、ここがニューワールドってわけね？
map_0881#21	あたし、これを正式に「史上最悪の世界」にノミネートするわ。
map_0881#22	こんな汚い地下室に現れたから、こういう見た目になっただけなんでしょうね。
map_0881#23	運が悪かったわね。
map_0881#24	場所も時も、間違ってた。
map_0881#25	だから今は、こうなってるだけ。
map_0881#26	それはもう、取り返しがつかない。
map_0881#27	サファイラ: それくらい、考えておくべきだったんでしょうね。
map_0881#28	あたしは人生ずっと、あの子たちを守るため、そしてジグムントを倒すためにここにいるっていう考えを中心に、自分を作り上げてきた。
map_0881#29	それ以外は何もない。
map_0881#30	でも結局、それすら成し遂げられなかった。
map_0881#31	あたしには……他に何もないの。
map_0881#32	たった一つの目的こそが、あたしという人間なの。
map_0881#33	シャルロットみたいに、ほのおタイプを選ぶべきだったかもね、
map_0881#34	あたしが得意なのって、結局、口先だけの熱風を吹くことくらいなんだから。
map_0881#35	サファイラ: 本物の行き止まり、ってわけね。
map_0881#36	これは焼き払って通れない。
map_0881#37	冗談じゃないわよ。
map_0881#38	あたし、一体ここで何やってるんだろう。
map_0881#39	サファイラ: もう行って。
map_0881#40	レンガの壁に頭を打ちつけたって、意味なんてない。
map_0881#41	どうせ今のあたしなんて、それだけの存在なんだから。
map_0881#42	あたしには見つめるべき自分の一部しか残ってなくて、そこにはもう何も残ってない。
map_0881#43	それを回避する方法なんて、ない。
map_0881#44	サファイラ: 自分でクモの巣を焼かずに、どうやってここまで来たのか、分からないくらいよ。
map_0881#45	まあ、どうでもいいことね。
map_0881#46	戻って、あたしを置いていって、別の進み方を探して――
map_0881#47	どうでもいいけど。
map_0881#48	どうせ、あたしと一緒にいたって楽しくないでしょうし。
map_0881#49	血を求めてないときのあたしなんて、役に立たないもの。
map_0881#50	あたしには、それ以外何もないから。
map_0882#0	サファイラ: あーあ、なんかバカみたいな気分。
map_0882#1	サファイラ: 結局、そんなに悪くもなかったのね。
map_0882#2	……ここで、あれとほとんどきずなを結びかけてたのに。
map_0882#3	暗くて、ほこりっぽくて、とげとげしくて、散らかってる。
map_0882#4	そんな相手のそばに、誰がいたいと思うかしら？
map_0882#5	でも、それも一つの見方に過ぎないんでしょうね。
map_0882#6	いつか、あたし自身の中にも、違うものが見えるようになるのかもしれない。
map_0882#7	ローラはいつも心配してる。
map_0882#8	本当にいい姉でいたいなら、みんなをここに置き去りになんてしないはず。
map_0882#9	……ええ、分かってる。
map_0882#10	上に戻るわ。
map_0882#11	一緒に来る？
map_0882#12	サファイラ: 遠回りしていきましょう。
map_0882#13	ここの半分もまだ見てない気がするし。
map_0882#14	サファイラ: 好きにして。
map_0882#15	ゆっくりでも、なんでもいいから。
map_0882#16	あたしにも、それがたっぷり必要なんだから。
map_0882#17	ルギア: ルゥゥ……
map_0882#18	ギャアアア！
map_0882#19	ルギア: リャアアラ！
map_0882#20	リン: いやー、ここってすごくきれいじゃない？
map_0882#21	これは我ながら自分を超えた出来って感じ。
map_0882#22	あんたまで、もっとって粘っちゃうくらいだし？
map_0882#23	あらぁ、ちゃんと気にかけてくれてるんだ <33333
map_0882#24	だって、あたしの立場の基本的な問題を分かってくれるとしたら、誰よりもあんたのはずでしょ？
map_0882#25	絶対的な力は絶対に腐敗するとかなんとかかんとか
map_0882#26	でも、もっと大きな問題は、それが「退屈」だってこと
map_0882#27	だってそうじゃなきゃ、なんであたしがわざわざこんなパズル全部、愛情込めて手作りするわけ？？？
map_0882#28	現実世界のどこを探検したって、面白いことも興味深いことも、何も生まれないんだもん。
map_0882#29	森なんて、木と虫でいっぱいなだけだし。
