map_0594#183	ラナ: アヤ、あなたと友達は、みんなをこんな風に扱うの?!
map_0594#214	でも、わたしはまだ全然使い物にならないんだけどね。
map_0594#215	ティタニア: それで、うちの気のいいブロック頭が、あたしが十代の頃に演奏してたことを思い出したってわけ。
map_0594#216	だから、また尻拭いのために呼び出されたの。
map_0594#217	アヤ: 改めて、いろいろごめん……
map_0594#218	ティタニア: 本当に悪いと思うなら、まず自分のことを使い物にならないって言うのをやめることから始めなさい。
map_0594#219	それはあたしのためにもならないし、あんた自身のためには一番ならないから。
map_0594#220	アヤ: そうだよね……
map_0594#221	……ありがとう。
map_0594#222	ティタニア: それとお礼が言いたいなら、集中して演奏して、あたしがまたここに呼ばれないようにしてくれれば十分。
map_0594#223	もう一回、最初から。
map_0594#224	ティタニア: あたしたちにやらせておいて。
map_0594#225	自分で自分を乗り越えられれば、あの子は大丈夫。
map_0594#226	カイン: やあやあ\PN、来てくれたんだね!
map_0594#227	まあ、いきなりって感じだよね?
map_0594#228	でもさ、これから長く続けられそうなことなんてほとんど思いつかないんだけど、歌うことなら?
map_0594#229	それならできるって思ったんだ。
map_0594#230	堂々巡りする時間はもう十分無駄にしたし、人生の道が100パーセント決まってなくても、とにかく何か始めなきゃって決めたんだ。
map_0594#231	それでハーディにその話をし始めて、
map_0594#232	そしたら、もうアヤに演奏を教えてるって言ってきて、
map_0594#233	それでアークに誰か知らないか聞いてみたら、
map_0594#234	とんとん拍子に話が進んで、今こうして実現させてるってわけ!
map_0594#235	ロックスターの器ってわけじゃないけど、一晩でも何人かを笑顔にできるなら、それで十分だと思うんだ!
map_0594#236	それに、ここの人たちにはそういうのが必要そうだしね!
map_0594#237	それで、リハーサル中は見張り役ってことだよね?
map_0594#238	何も起きないと思うから、遠慮なくわたしだけ見ててくれてもいいよ~
map_0594#239	カイン: ちゃんと歌うのは久しぶりな気がするなあ。
map_0594#240	ブラックホールで過ごした時間のせいかもね。
map_0594#241	何が起きてるんだ?
map_0594#242	コンサートか何かか?
map_0594#243	ここで?
map_0594#244	何かの間違いっぽいな……
map_0594#245	遅い時間になってからうるさくするのはやめてほしいもんだが……
map_0594#246	こっちは寝れるうちに寝ときたいんだよ。
map_0594#247	うわ、貸切ライブまであるの?
map_0594#248	ここ最高じゃん!
map_0594#249	いつか?
map_0594#250	ぼくもぎたーひくんだ!
map_0594#251	もうサインくばってるけどね。
map_0594#252	アヤ: あれ?
map_0594#253	みんな……どこ行ったの?
map_0594#254	これって何かのドッキリ?
map_0594#255	もしそうなら……
map_0594#256	はは、引っかかった……?
map_0594#257	もう出てきてもいい……?
map_0594#259	それって『ノー』ってこと……?
map_0594#260	アヤ: 何かがおかしいって言ったら、当たり前すぎることを言ってる?
map_0594#261	部屋に入ったときも、何か変な感じがしたし……
map_0594#262	その……建物の中を見て回ったほうがいいかもしれない。
map_0594#263	みんなが見つかるかもしれないし。
map_0594#264	それか……何かが。
map_0594#265	ハーディ: 来てくれてみんなありがとう!
map_0594#266	改めて、クルーに拍手を――
map_0594#267	リズムとミキシングはDJアークライト!
map_0594#268	その伸びやかなボーカルは、俺の相棒カイン!
map_0594#269	最後に、でも決して軽くはねえ、ベースで盛り上げてくれた俺たちの女の子アヤ!
map_0594#270	最後にもうひとつ――ありがとう、リボーンシティ!
map_0594#271	また街で会おうぜ!
map_0594#272	アヤ: くそったれのくそ野郎、くそくそくそこのメス犬野郎が――
map_0594#273	くそったれがァ。
map_0594#274	アヤ: 練習しなかったわけじゃない。
map_0594#275	ちゃんと練習した! すごくたくさん練習した!
map_0594#276	それなのに、最後の曲のヴァースを全部失敗した。
map_0594#277	しかもソロも!
map_0594#278	半小節くらいはなんとかなったと思うけど、そこから音を全部忘れて、完全にヘッドライトに固まったシキジカ状態になった!
map_0594#279	すごいね、拍手喝采!
map_0594#280	見事なもんだよ!
map_0594#281	確かに『盛り上げて』はいたよね――
map_0594#282	「あ、ごめん、ぶつかって間違えて階段2階分も突き落としちゃった!」みたいな意味でだけど。
map_0594#283	少年: ねえ、すみません?
map_0594#284	ねえ、さっきのショーのギターのお姉さんですか?
map_0594#285	そうですよね?
map_0594#286	アヤ: あ……厳密に言うとベースギターなんだけど……
map_0594#287	少年: めちゃくちゃ超かっこよかったです!
map_0594#288	ねえ、どこで演奏習ったんですか?!
map_0594#289	ねえ、それ地毛の色ですか?
map_0594#290	ねえ、じどうサインってやつ、もらえます?
map_0594#291	ぼく、大きくなったらお姉さんみたいになりたい!
map_0594#292	アヤ: あ、ねえ、ちょっと待って、落ち着いて……
map_0594#293	ええと、順番に――
map_0594#294	少年: ねえ待って、一緒に来てくれます?!
map_0594#295	アヤ: あ、うん?
map_0594#296	少年: お兄ちゃんに紹介したいんです! ぼくが会えたって知ったら、めちゃくちゃ悔しがるだろうな!
map_0594#297	あ、やっぱりここで待ってて、連れてきます!
map_0594#298	アヤ: うん、それじゃ――あ、もう行っちゃった。
map_0594#299	ええと、ちゃんと学校に通ってね……
map_0594#300	……みたいなことでも言っとくか。
map_0594#301	アヤ: ……わたしみたいに、か。
map_0594#302	アヤ: ……まあ、悪くはないのかも。
map_0594#305	表
map_0594#306	裏
