map_0622#9	メテオ: 遅かったな。
map_0624#28	メテオ団の側に　立ってる限り　あんたに　彼女の名前を　口にする資格なんて　ないんだから!
map_0624#29	ダニエール: もう　ぐらついてるじゃない。
map_0624#30	ラムジー: 今頃　キキは　笑ってるだろうな。
map_0624#31	ヴィクトリア: もう一度　彼女の名前を　言ってみなさいよ　どうなるか　見てあげる。
map_0624#32	メテオ: ふむ。
map_0624#33	それが　キキの　望むことか?
map_0624#34	メテオ: まあ　あいつが　それに　値したことは　私にも　否定できないな。
map_0624#35	ヴィクトリア: ……行くわよ。
map_0624#36	反応は　ない。
map_0625#0	ヴィクトリア: 今の自分が　彼女を　がっかりさせてるって　わかってる。
map_0625#1	こんなふうに　教わったわけじゃ　ないのに……
map_0625#2	でも　同時に　こいつらの　やったことを　見過ごすことも　できない。
map_0625#3	絶対に　絶対に　許さない。
map_0625#4	ヴィクトリア: だから――
map_0625#5	ヴィクトリア: え?
map_0625#6	出口が!
map_0625#7	ヴィクトリア: 完全に　封鎖されてる?
map_0625#8	ヴィクトリア: あっ　どいて!
map_0625#9	ヴィクトリア: ガオガエン!
map_0625#10	ヴィクトリア: 行って。
map_0625#11	あたしたちは　大丈夫だから。
map_0625#12	急いで!
map_0626#0	下の通路は　完全に　封鎖されてしまったようだ。
map_0626#1	ここに来れば　何か　役に立つものが　見つかると　思ったのか?
map_0626#2	ロース: 当然だが　必要なものは　すでに　全部　移動済みだ。
map_0626#3	私たちの二つの計画は　どちらも　無事だ。お前に　できることは　何もない。
map_0626#4	アーク: \PN　そこに　いるか?
map_0626#5	大丈夫か? さっき　すごい音が　上のほうで　したが。
map_0626#6	それで……
map_0626#7	ヴィクトリアは　あとに　残った。
map_0626#8	ポケモンと　一緒なら　きっと　大丈夫なはずだ。
map_0626#9	アドリエンヌと　アメの　気配は　まだ　ないか?
map_0626#10	計画どおりには　全然　いってねぇな……
map_0626#11	でも　もう　頂上は　近いはずだ。何か　あるかもしれねぇ。
map_0626#12	これを　乗り越えて　みんなを　助けるぞ。
map_0626#13	匿名の　タレコミなんて　信じるべきじゃ　なかったのにな。
map_0626#14	デイビッド: だが　もう　遅い。お前は　すでに　わなに　かかってる。
map_0626#15	一歩一歩――　いや　一息一息までもが　仕組まれていたんだ。
map_0628#0	ヴィクトリア: \PN?!
map_0628#1	ヴィクトリア: え　ドアが　閉まった?
map_0628#2	出られない!
map_0628#3	\PN　これ　どういうこと?
map_0628#4	リン: ようこそ。
map_0628#5	ヴィクトリア: あれって――?
map_0628#6	リン: あなたとその　みすぼらしい知人たちの寄せ集めが　私を止めに来た　というわけね。
map_0628#7	おかしいこと。
map_0628#8	一緒なら　強いと　思ってたんでしょう。
map_0628#9	それで　今の　この有様。
map_0628#10	これを　教訓に　しなさい。
map_0628#11	数は　助けに　ならない。
map_0628#12	友も　助けに　ならない。
map_0628#13	気概も　助けに　ならない。
map_0628#14	ヴィクトリア: あんたなんかに　気概の何が　わかるのよ?
map_0628#15	リン: 結局のところ　あなたは　まだ　無力なまま。
map_0628#16	あなたは　まだ　被害者のまま。
map_0628#17	これからも　ずっと　そうなんでしょうね。
map_0628#18	ヴィクトリア: ……
map_0628#19	リン: さあ　ゲームを　しましょう。
map_0628#20	あなたが　いわゆる「友達」と　再会するには　彼らと　戦わなければ　なりません。
map_0628#21	勝者は　先に　進める。
map_0628#22	敗者は　罰を　受ける。
map_0628#23	ルールは　ない。
map_0628#24	始めなさい。
map_0628#25	ヴィクトリア: ここから出るには　お互いに　戦わなきゃ　いけないの?
map_0628#27	いいわ。
map_0628#28	あたしは　引かない。
map_0628#29	キキに　この仕事を　やり遂げるって　約束したもの。
map_0628#30	\PN。
map_0628#31	全力を　見せて!
map_0628#32	どっちが　メテオ団に　止めを刺すのに　ふさわしいか　はっきりさせましょう!
map_0628#34	ヴィクトリア: ……本気?
map_0628#35	あんなに　努力して　あいつらに　勝てるように　鍛えてきたのに――
map_0628#36	もう二度と　メテオ団には　負けないって　言ったのに――
map_0628#37	ヴィクトリア: うぐ――
map_0628#38	な　何を――　待ってるの?!
map_0628#39	は　早く　行きなさいよ!
map_0628#40	あたしなら　平気だから――!
map_0628#41	証明して　みせる……
map_0628#42	キ　キキの　後継者として――　うぐ……
map_0628#43	こ　これしきのことじゃ――
map_0628#44	あたしの心は　折れない――
map_0628#45	ヴィクトリア: もう　行って――
map_0628#46	みんなが……　うぐ――
map_0628#47	コリン・ルージュ: 私は……
map_0628#48	アーク: \PN!
map_0628#49	くそ　またかよ。
map_0628#50	なあ　アドリエンヌを　見つけたぜ。
map_0628#51	一つ下の階だ。ここと同じ仕掛けだった。
map_0628#52	お前　見たか? それとも　他のやつらは?
map_0628#53	あのクソ女――　リンだったよな?
map_0628#54	出るには　お互いに　戦わなきゃ　いけないって　言われたんだろ。
map_0628#55	それで　アドリエンヌは――
map_0628#56	拒否した。
map_0628#57	くそったれ。
map_0628#58	戦わないって　言ってな　オレに　先に　行けって。
map_0628#59	それで　罰は……
map_0628#60	床が　焼けるように　熱くなって――
map_0628#61	……なあ　見た目　ひどいことに　なってる。
map_0628#62	リン: もう　わかったかしら?
map_0628#63	アーク: チッ　来やがったか。
map_0628#64	リン: あなたたちに　主導権なんて　ない。
map_0628#65	最初から　なかった。
map_0628#66	ガラス細工みたいな　自尊心を　保つために　自分を　だましているだけ。
map_0628#67	あなたたちは　追い立てられる　豚。
map_0628#68	あなたたちは　傷つけられる　豚。
map_0628#69	あがき　震え　鳴きわめきなさい。
map_0628#70	何も　変わらない。
map_0628#71	やることは　わかっているはずよ。
map_0628#72	アーク: この「豚」の一匹が　追いついたとき　あの言葉　食わせてやるぜ。
map_0628#73	だが　今は……
map_0628#74	この柵にも　電気が　流れてるって　痛い目見て　わかったんだ。
map_0628#75	それに　床のパネルも――
map_0628#76	オレが　制御盤の前に　いて　切り替えなきゃ　誰が　やるってんだ?
map_0628#77	どのみち　偉そうなこと　言っといて　オレには　ここから出る方法が　ねぇ。
map_0628#78	ムカつくが　あいつの言うとおりだ。
map_0628#79	調子に乗ってた。
map_0628#80	それで　今　こうして　わなに　はまってる。
map_0628#81	それで　どうしたい\PN?
map_0628#82	戦うのか? それとも　アドリエンヌみたいに　拒否するのか?
map_0628#83	アーク: よし。
map_0628#84	オレも　アドリエンヌの分まで　戦うぜ。
map_0628#85	わかってるよな?
map_0628#86	アーク: チッ。
map_0628#87	地獄にいるってのに　周りは　聖人ばっかりだ。
map_0628#88	ポケモンを　出せ。
map_0628#89	お前らだけに　背負わせるつもりは　ねぇ。
map_0628#90	戦って　一番強いトレーナーが　リンを　屠殺場送りに　してやろうぜ。
map_0628#92	やってやろうぜ!
map_0628#94	アーク: 少なくとも　こうすりゃ　勝っても　負けても
map_0628#95	全力を　尽くしたって　誇りを　持てるってもんだ。
map_0628#96	行ってこい　ヒーロー。
map_0628#97	アメ: うわ　あれを　生き延びたの?!
map_0628#98	リン: これが　いわゆる「チャンピオン」の　実力というわけ。
map_0628#99	フラッシュキャノン。
map_0628#100	―攻撃シーケンス　開始―
map_0628#101	リン: チェックメイト。
map_0628#102	さあ　終わらせなさい。
map_0628#103	リン: 今日　リボーンの心臓が　落ちる。
map_0628#104	なんて　すばらしい。
map_0628#105	そして　なんて　滑稽。
map_0628#106	彼女のポケモンは　連れ去られてしまったようだ。
map_0628#107	このシュートは　はるか下まで　続いているようだ。
map_0628#108	飛びこみますか?
map_0628#109	アドリエンヌ: ああ　参ったな。あの乗り物には　心の準備が　できていなかった……
map_0628#110	ヴィクトリア: 終わった……の?
map_0628#111	アドリエンヌ: アークライト?
map_0628#112	ヴィクトリア: 体中　痛い……
map_0628#113	もう　だめかと　思った。
map_0628#114	アドリエンヌ: アークライト　起きてくれ〜
map_0628#115	昼寝してる場合じゃ　ないぞ!
map_0628#116	アドリエンヌ: なんてことだ。
map_0628#117	ヴィクトリア: まさか……　死んでないよね?
map_0628#118	アドリエンヌ: いや　死んでない。
map_0628#119	それが　良い知らせだ。
map_0628#120	ヴィクトリア: め――　目を　えぐられてる!?
map_0628#121	アドリエンヌ: それが　悪い知らせだな。
map_0628#122	ヴィクトリア: なんで?!
map_0628#123	アドリエンヌ: まあ　リンが　わたしたちに　言ったことから　推測するに　それが　彼の「罰」だったんだろう。
map_0628#124	まったく　わたしは　運が　良かったに　違いない。
map_0628#125	アークライトが　先に　行ったあと　わたしのいた檻の床が　超高温に　なった。
map_0628#126	痛かったが　ポケモンの　助けの　おかげで　わたしは　無事だった。
map_0628#127	ヴィクトリア: それにしても　これに　何の意味が　あるの?
map_0628#128	アドリエンヌ: それより　誰か　足りない。アメを　見た者は　いるか?
map_0628#129	つまり　アメは――
map_0628#130	それなら　わたしたちで　やるしかない。
map_0628#131	ヴィクトリア: わかんない……
map_0628#132	あたしたちを　止めたいなら　なんで　まだ　やってないの?
map_0628#133	いっそ　全員　殺して　終わりに　すればいいじゃない!?
map_0628#134	アドリエンヌ: わたしが　思いつく理由は　メッセージを　送るため　ということくらいだ。
map_0628#135	ヴィクトリア: キキには　メッセージなんて　なかった!
map_0628#136	彼女には　生きるチャンスすら　なかったのに!
map_0628#137	ヴィクトリア: なんで　あたしが――
map_0628#138	なんで　あたしだけが　生き残らなきゃ　いけなかったの?!
map_0628#139	ヴィクトリア: 誤解しないで。
map_0628#140	あいつらの　やったこと全部に　あたしは　激怒してる。
map_0628#141	キャルが　一瞬でも　あいつらの側に　ついたことを　絶対に　許さない。
map_0628#142	でも　何より――
map_0628#143	それを　止められなかった　自分自身に　一番　腹が立ってる。
map_0628#144	アドリエンヌ: ヴィクトリア　いいかい　よく聞いてくれ。
map_0628#145	君の物語や　本当に何が起きたのかを　知っているふりは　できない　だが　これだけは　わかる――
map_0628#146	過去に犯した過ちを　今の自分たちが　責め続けることは　できないんだ。
map_0628#147	アドリエンヌ: あの下　外には……
map_0628#148	本当に　すばらしい街が　ある。
map_0628#149	それは　今もなお　のろまで　乗り越えがたく　腐りきっていて　恐ろしくて　得体が知れない……
map_0628#150	……それでも　やっぱり　すばらしいんだ。
map_0628#151	そして　一日たりとも　こう考えない日はない
map_0628#152	わたしにとって　存在しなかった　この何年もの間
map_0628#153	もし　わたしが　ここに　いたら
map_0628#154	もしかしたら　ものごとを　つなぎ止めておけて　こんなことは　何も　起きなかったんじゃないか　と。
map_0628#155	もしかしたら　この街は　今も　あの輝く楽園の　ままだったんじゃないか　今では　わたしたちの記憶の中にしか　ないその姿の　ままで。
map_0628#156	フェアリーリングに　落ちるなんて　ささいな間違いさえ　しなければ――
map_0628#157	だが　違う。
map_0628#158	そんな考えは　街を　直しはしない。
map_0628#159	失った者たちを　連れ戻しは　しない。
map_0628#160	そして　わたしたちが　前に進む　助けにも　ならない。
map_0628#161	アドリエンヌ: わたしたちは　前に進むことを　選ばなければ　ならない。
map_0628#162	そして　世界が　どれだけ　抵抗し　叫ぼうとも　引きずってでも　連れて行く。
map_0628#163	君にも　その力が　ある。
map_0628#164	だから　手を貸して　くれるか?
map_0628#165	死者の足跡を　追い続けるのには　もう　疲れたんだ。
map_0628#166	でも　今は　誰かが　この街を　導かなきゃ　いけないでしょ?
map_0628#167	アドリエンヌ: ああ。一緒に　やろう。
map_0628#168	わたしたち　全員で。
map_0628#169	ヴィクトリア: ……わかった。
map_0628#170	まずは　ここから出る方法を　見つけましょう。
map_0628#171	アドリエンヌ: よし　こいつは　わたしが　運ぼう。
map_0628#172	アドリエンヌ: よいしょっと!
map_0628#173	アドリエンヌ: さて! どっちだ?
map_0628#174	ヴィクトリア: あのドア　今　開いたばかりみたい?
map_0628#175	アドリエンヌ: それが　一番　良さそうな案だな。
map_0628#176	進もう!
map_0628#177	―ID必要―
map_0628#178	\PNは　メテオカードを　スキャンした。
map_0628#179	アメの自動販売機だ!  \G
map_0628#180	\Gふつうのアメが　出てきた!
map_0628#181	\Gボーナス! もう一つ　ふつうのアメが　出てきた。
map_0628#182	\Gバッグに　空きが　ない。
map_0628#183	\Gお金が　足りない。
map_0628#184	戦う
map_0628#185	拒否する
map_0628#186	はい
map_0628#187	いいえ
map_0628#188	ふつうのアメ - $400
map_0628#189	キャンセル
map_0629#0	\PNは　PULSEデータ01を　手に入れた!
map_0629#1	パルス図鑑を　更新した!
map_0629#2	これは　電源の制御装置のようだ。
map_0629#3	パネルを　オフに　しますか?
map_0629#4	何かが　電源を　落とす音が　聞こえる……
map_0629#5	パネルと　電撃タイルは　どちらも　停止している。
map_0629#6	別のセーブデータで　デボンコーポ?の　しかけを　クリアした記録が　見つかった。
map_0629#7	このセーブデータでも　電撃パネルを　オフに　しますか?
map_0629#8	はい
map_0629#9	いいえ
map_0630#0	むせんき: Xx$#@X&(@X20x――
map_0630#1	むせんきは　まだ　床のパネルと　つながっているようだ。
map_0630#2	これは　電源の制御装置のようだ。
map_0630#3	パネルを　オフに　しますか?
map_0630#4	何かが　電源を　落とす音が　聞こえる……
map_0630#5	パネルと　電撃タイルは　どちらも　停止している。
map_0630#6	別のセーブデータで　デボンコーポ?の　しかけを　クリアした記録が　見つかった。
map_0630#7	このセーブデータでも　電撃パネルを　オフに　しますか?
map_0630#8	はい
map_0630#9	いいえ
map_0631#6	はい
map_0631#7	いいえ
map_0632#0	「PxLS* 01」
map_0632#1	ゼル: 落ち着いて! お願いだから!
map_0632#2	ゼル: いったい　何を　そんなに　しくじったんだよ?
map_0632#3	ゼル: これは　操作ミスじゃない。
map_0632#4	何らかの　破損したプログラムが　システムに　注入されたに　違いない。
map_0632#5	ゼル: つまり　お前のセキュリティが　クソだったってことか。
map_0632#6	ゼル: 彼女を　責めるのは　やめて! あんたは　何も　手伝ってないでしょ!
map_0632#7	ゼル: 黙れ　ルミ。データは　修復できるのか　できないのか。
map_0632#8	ゼル: PULSE2と　アークPULSEのデータは　すべて　無事に　残っている。
map_0632#9	しかし　PULSE-ジバコイルの損傷は　修復不可能。
map_0632#10	書き直す　必要が　ある。
map_0632#11	ゼル: えっ? でも……　ジバコイルが　損傷してるなら――
map_0632#12	ゼル: 書き直してる時間なんて　ねぇ! リンは　もう何時間も前に　PULSEを　全部　ここから　出せって　言ってたんだぞ。
map_0632#13	ゼル: わかってる。だからこそ　他の計画は　安全に　移動済み。
map_0632#14	しかし　ジバコイルは　現状では　移動できない。
map_0632#15	これ以上ないほど　最悪の　タイミング。
map_0632#16	ゼル: チッ　リンは　こうなるって　わかってたに　違いねぇ。
map_0632#17	あいつが　ここに　連れ込んだ　ヒーローどもと　何か　関係　あるんだろうぜ。
map_0632#18	どうせ　他のやつらと　同じように　ジバコイルを　破壊しようって　企んでるんだろう。
map_0632#19	ゼル: うわさをすれば　ってやつか。
map_0632#20	ゼル: つまり　もう　手遅れ。
map_0632#21	ゼル: \PN……　本当に　ここにあるもの　全部　壊しに　来たの?
map_0632#22	ゼル: やっぱりな。
map_0632#23	そんなこと　絶対に　やらせねぇからな!
map_0632#24	ゼル: ああ　そうかよ。ウソつくのは　やめとけ!
map_0632#25	お前の　ちっぽけなハッキング計画のことも　全部　知ってんだよ!
map_0632#26	こんなこと　絶対に　やらせて　たまるかよ!
map_0632#27	ゼル: 落ち着いて　ゼロ。
map_0632#28	忘れないで　リンは　\PNを　傷つけるなと　言っていた。
map_0632#29	ゼル: ああ　だがな　オレの計画を　好き勝手に　させて　黙って　見てるつもりは　ねぇんだよ。
