map_0772#24	で、知ってる?
map_0774#19	メテオ: なんでこうなったのか、俺にはわからんが……それでも、なんか間違ってる気がするんだよな。
map_0774#20	ヴィクトリア: これは……
map_0774#21	ヴィクトリア: リーダーの息子、ですよね?
map_0774#22	どうしてこんなことを――
map_0774#23	ああ、どうやって――
map_0774#24	ヴィクトリア: そう、こんな風に……でしょうか……
map_0774#25	ヴィクトリア: ……
map_0774#26	少なくとも、生きてはいます。
map_0774#27	でも、その目は一体何があったんでしょう?
map_0774#28	タカ: な……
map_0774#29	ヴィクトリア: 大丈夫ですか?
map_0774#30	タカ: それは……
map_0774#31	……難しい質問ですね。
map_0774#32	タカ: ああ、\PN……
map_0774#33	これは、僕が話したことの通りになった、ということですよね?
map_0774#34	浄水センターで……もし僕が裏切ったら何が起きるか、って話――
map_0774#35	あっ――
map_0774#36	でも……少なくとも僕は――
map_0774#37	うぐっ――
map_0774#38	タカ: これはまた、格別にひどい状況ですね。
map_0774#39	ヴィクトリア: ちょっと、落ち着いて。
map_0774#40	無理しないでくださいね?
map_0774#41	タカ: あなたは……アポフィルの、
map_0774#42	すみません、その……
map_0774#43	ヴィクトリア: やめてください。
map_0774#44	その話は今日はもう十分聞きました。
map_0774#45	それに、メテオ団を裏切ったなんて話をするつもりなら、それにももう疲れました。
map_0774#46	タカ: ああ……敵は敵のままでいてほしい、ということですか?
map_0774#47	でも、\PNは知ってますよね……
map_0774#48	シリウスに捕まって、それから――
map_0774#49	跡取りの僕を殺すわけにはいかなかったみたいで……
map_0774#50	つまり、その……
map_0774#51	彼がどうしてしまったのか、僕にはわからない――
map_0774#52	たぶん、リンの影響か何かで……
map_0774#53	でも僕を自由にするのは危険だと判断されて、ここに留め置かれることになったんです。
map_0774#54	ヴィクトリア: なるほど。
map_0774#55	ヴィクトリア: さあ、私につかまって。
map_0774#56	こちら側の安全な場所まで連れて行きます。
map_0774#57	タカ: 本当に、こんなに簡単に僕を信じてくれるんですね……?
map_0774#58	ヴィクトリア: その顔の状態を見れば、あなたがメテオ団の味方じゃないことくらいわかります。
map_0774#59	それに正直、私たちを騙すためだけにそこまでするなら、それはそれで成功に値すると思いますし。
map_0774#60	強さは犠牲の上に築かれるもの。
map_0774#61	そう聞いたことがあります。
map_0774#62	それで、来るんですか、来ないんですか?
map_0774#63	タカ: ……
map_0774#64	いいえ。
map_0774#65	まだです。
map_0774#66	すみません……
map_0774#67	たぶん、僕は大丈夫ですから――先に行ってください。
map_0774#68	少し時間が必要なだけなんです、
map_0774#69	それに、まだやらなきゃいけないことがあって。
map_0774#70	ヴィクトリア: ……好きにしてください。
map_0774#71	タカ: 僕はこの痛みのために生まれてきたんでしょうか……
map_0774#72	……なんて、バカげてますね。
map_0774#73	ただの運の悪さですよね?
map_0774#74	時代遅れになりゆく世界の中の、ただの運の悪さ……
map_0774#75	ヴィクトリア: どうやってあそこに入るんでしょう?
map_0774#76	ヴィクトリア: 彼です。
map_0774#77	私はただ――
map_0774#78	ヴィクトリア: ……ん。
map_0774#79	ヴィクトリア: 誰かがもう、彼をこてんぱんにしたみたいですね。
map_0774#80	少し羨ましいくらいです。
map_0774#81	でも、どうして彼がここに?
map_0774#82	ソラリス: 誰だ……
map_0774#83	ヴィクトリア: よかった。目が覚めたんですね。
map_0774#84	眠っている相手にとどめを刺すのは、さすがに気が引けますから。
map_0774#85	私にも、誇りというものがあるので、
map_0774#86	あなたとは違って。
map_0774#87	ソラリス: ……ハッ。
map_0774#88	そういうことか……
map_0774#89	ソラリス: つまり、貴様も私の罪への裁きの続きということか?
map_0774#90	ヴィクトリア: いいえ。
map_0774#91	あなたの罪すべて、というわけではありません。
map_0774#92	ただ一つだけ。
map_0774#93	私のこと、覚えていますよね?
map_0774#94	ソラリス: あいにく、娘よ、貴様の顔さえまともに見えんのだ。
map_0774#95	自分の部下が、私の地位よりもこの目を欲しがって以来な。
map_0774#96	ヴィクトリア: では、その空白を埋めてあげます。
map_0774#97	私の名はヴィクトリア・マーロウ、
map_0774#98	キキ・ミカエル・アーガルの弟子、
map_0774#99	この汚らわしい世界で最も純粋な魂を持つ人――
map_0774#100	あなたがパイロス山の頂で消した人です。
map_0774#101	それが、あなたの過ちでした。
map_0774#102	ソラリス: ああ、そうか……
map_0774#103	今、思い出したぞ。
map_0774#104	吠えるだけの子犬も、いずれは牙が生えるものだな。
map_0774#105	ヴィクトリア: なら、その牙に噛みつかれて死になさい。
map_0774#106	キャル: ヴィクトリア。
map_0774#107	ヴィクトリア: 何ですか?!
map_0774#108	キャル: 落ち着いて……
map_0774#109	ヴィクトリア: 私を止めようなんて思わないでください!
map_0774#110	前に言われたことは聞きました。それは脇に置いておいたはずです――
map_0774#111	でも、何があろうと、この男がキキを殺したという取り返しのつかない事実は変わりません。
map_0774#112	だから、私はやるべきことをやります!
map_0774#113	キャル: 君を止めに来たわけじゃないよ。
map_0774#114	ただ、一つ質問したいだけだ。
map_0774#115	ヴィクトリア: 何ですか。
map_0774#116	キャル: これが、キキの望むことなのか?
map_0774#117	ヴィクトリア: やめてください。
map_0774#118	キャル: 答えてくれ。
map_0774#119	ヴィクトリア: あなたに答える義務はありません。
map_0774#120	キャル: それは、違うってことをもう自分でわかってるからだろ。
map_0774#121	ヴィクトリア: キキが何を望むかなんて、一瞬でも知ったような顔をしないでください!
map_0774#122	キャル: なら、そうだって言ってみてくれ。
map_0774#123	僕の目を見て、これがキキが君に望むことだと言ってくれ。
map_0774#124	これが彼女の教えてくれたことだと、言ってくれ。
map_0774#125	これがアポフィルだけじゃなく、リボーンの未来なんだと。
map_0774#126	ヴィクトリア: 私は――
map_0774#128	私は――
map_0774#129	キャル: それで十分答えになってるよ。
map_0774#130	さあ、外に出よう。
map_0774#131	君がここにいる理由はもうない。
map_0774#132	ソラリス: ふむ……
map_0774#133	あれが、キャルか。
map_0774#134	もしかすると……兄が言っていたのとは、まるで違う男なのかもしれんな。
map_0774#135	ソラリス: それで、貴様はどうなのだ?
map_0774#136	貴様も私の死を望んでいるのか?
map_0774#137	ソラリス: ふむ……
map_0774#138	他の出来事を考えれば、その願いはじきに叶うのかもしれんな。
map_0774#139	ソラリス: そうか。
map_0774#140	ならば、我々二人とも、まもなく大いに不運な目に遭うのかもしれんな。
map_0774#141	捕らえておかねば私は「リスク」だと、連中は判断したようだ。
map_0774#142	その台詞は何度も聞いてきたが、かつて仲間と呼んだ者たちから言われるのは、久方ぶりのことだ。
map_0774#143	この世界は、実に様々な形で移ろっていくものだが……
map_0774#144	それでも、それだけは変わろうとせんらしい。
map_0774#145	ソラリス: かつての部下どもは、貴様らと遊び終えたら北へ逃げる算段のようだ。
map_0774#146	その何人かは、私と同じくらいの危険にさらされていると見ている。
map_0774#147	さて、この老いぼれに、何かしら意味のあることができるか、見てみるとしよう……
map_0774#148	タカ: でも、ここまで来たなら……
map_0774#149	もう失うものなんて、大して残ってないってことですよね?
map_0774#150	ノエル: あ、いた。
map_0774#151	イヴが、これを必ず渡してほしいって。
map_0774#152	でも、どうやって君を見つければいいかわからなくて。
map_0774#153	はい、これ。
map_0774#154	\PNはPULSE解析データ10を手に入れた!
map_0774#155	PULSE図鑑が更新された!
map_0774#156	ノエル: 僕はただ、みんなに使い道を見つけてもらい続けるしかないんだよね。
map_0774#157	機械のスイッチを押すとケースが開くようだ。
map_0774#158	押す?
map_0774#159	押さない人なんている?
map_0774#160	やめておこう……
map_0774#161	このバトルに場違いさを感じてないと言ったら、嘘になるな……
map_0774#162	デリル: では、これで終わりか?
map_0774#163	科学のための科学というのは、なかなかうまくいかんものだ。
map_0774#164	だが、最後の大勝負といこう!
map_0774#165	ナオマン: そろそろ新しい仕事でも探す頃かな。
map_0774#166	いや、どこかの独房の床でも掃くことになるんだろうな。
map_0774#167	イヴ: ……ああ、もう下に行くのね?
map_0774#168	ちっ、ごめんなさい……
map_0774#169	まだ全部のデータをまとめきれてないの。
map_0774#170	何かがおかしくなった。
map_0774#171	機械が過負荷になったか、暴走したのかもしれない。
map_0774#172	何を相手にしているのか正確にはわからないけど……
map_0774#173	フェアリータイプの攻撃に弱いみたいなの、
map_0774#174	攻撃性はそんなにないみたいだけど、普通の手段じゃダメージが通らないかもしれない……
map_0774#175	もっと詳しい情報を渡せてればよかったんだけど。
map_0774#176	もう少しだけ時間をちょうだい……
map_0774#177	下は危険かもしれないから。
map_0774#178	気をつけてね。
map_0774#179	何か変化があったら、ずっと見ておくから。
map_0774#180	イヴ: 確実にわかってるのは、普通の手段じゃたぶんダメージが通らないってことと、フェアリータイプが一番の弱点だってことだけ……
map_0774#181	でも、このデータの数値……
map_0774#182	こんなの、今まで見たことない。
map_0774#183	対象は自分の機械を壊したのかしら?
map_0774#184	でも、これって本来はただの……
map_0774#185	ユーフィ: ……ん。
map_0774#186	イヴ: ちょうどよかった、たった今まとめ終わったところ。
map_0774#187	\PNはPULSE解析データ09を手に入れた!
map_0774#188	イヴ: でも、このデータ……
map_0774#189	つい最近出てきたばかりなんだけど、機械が過負荷になったか暴走したみたいなの。
map_0774#190	何が起きてるのかわからないけど、下は危険かもしれない。
map_0774#191	イヴ: こんなの、今まで見たことない……
map_0774#192	イヴ: \PN!
map_0774#193	遅くなってごめんね、あれのデータ、やっとまとめ終わったから。
map_0774#194	イヴ: ……これは、わたしの失敗と弱さの集大成だった、
map_0774#195	わたしにできる精一杯のことは、あなたに知識を持たせてあげることだけ。
map_0774#196	ごめんなさい。
map_0774#197	どうか、あれに安らぎを与えてあげて。
map_0774#198	コンソールに数字のキーパッドが表示されている。
map_0774#199	コードを入力する?
map_0774#200	何かがカチッと開いた!
map_0774#201	何も起こらなかった……
map_0774#202	中にモンスターボールが入っている!
map_0774#203	はい
map_0774#204	いいえ
map_0775#0	『LCCC L-C ロック解除。』
map_0775#1	コンピューターは反応しないようだ。正面に小さなポートが露出している。
map_0775#2	データチップを差し込む?
map_0775#3	\PNはポートにデータチップを差し込んだ……
map_0775#4	『PULSE-09』
map_0775#5	ンムムムムムムムム???
map_0775#7	フローラ: \PN。
map_0775#8	ここ、下は臭いわね。
map_0775#9	その、下水の臭いとかそういうんじゃなくて。
map_0775#10	腐敗臭の話をしてるの。
map_0775#11	フローラ: ああ、なるほど。
map_0775#12	このPULSEの中に死体があるわ。
map_0775#13	腐敗してる。
map_0775#14	これは興味深いわね。
map_0775#15	PULSEの機械にはポケモンしか入れられないと思ってたんだけど。
map_0775#16	まあ、この人の状態を見る限り、PULSEに入れられた結果は……
map_0775#17	有益だった、とは思えないわね?
map_0775#18	どうしてPULSEの機械は、中身を傷つけなきゃいけないのかしら。
map_0775#19	ヒルダ: ふん。
map_0775#20	まあ、このPULSEには付属品がないわね。
map_0775#21	……厳密には。
map_0775#22	でも、死体なんかで手を汚したくないんだけど。
map_0775#23	あんたたち、死体の片付け方も知らないわけ? それとも何?
map_0775#24	フローラ: 何を怖がってるの? 死体?
map_0775#25	もう、あなた、フローリンを思い出させるわ。
map_0775#26	ちなみに私の兄なんだけど、まあそれはどうでもいいわ。
map_0775#27	もちろん死体なんか怖くないわよ。
map_0775#28	ただの腐ったゴミの塊じゃない。
map_0775#29	フローラ: 違う。
map_0775#30	フローラ: 私の死体でもないし、これが誰だったのかも知らない。
map_0775#31	今はただの腐ったゴミの塊よ。
map_0775#32	当局に任せるか、そのまま朽ち果てるに任せればいいわ。
map_0775#33	フローラ: あ、ええと……その……
map_0775#34	怖いですぅ!! てへ……へへ!
map_0775#35	てへ……へへ……
map_0775#36	退屈だわ。
map_0775#37	そもそも、この地方であの可愛子ぶった仮面をうまく保てていなかったし。
map_0775#38	故郷ならもっと楽なのよ、何もかもが明るくて陽気で、それが頭にまで染み込んでくるから。
map_0775#39	でもここじゃ? 笑顔を保つのに、ちょっと苦労するわね。
map_0775#40	特に、頼んだ最初のことがいきなり死体案内だった、なんてことがあった後じゃね。
map_0775#41	わかってもらえるはずよ。
map_0775#42	もう一度やり直しましょう。
map_0775#43	私の名前はフローラ・グレヴィレア。
map_0775#44	アクシス大学の学生で、ここに来たのはPULSEの機械の作り方を学びたいから。
map_0775#45	でも、罪のない人を傷つける機械を作るつもりはないわ。
map_0775#46	故郷には、弱い者を踏みにじる連中がいるの。
map_0775#47	『下』の身分の者たち、ってやつね。
map_0775#48	権力を持つ者が弱者を痛めつけるのを、ただ座って見てるのにはもう飽きた。
map_0775#49	私が変化を起こしてみせる。
map_0775#50	ねえ、ここはもう十分。そろそろ行っていい?
map_0775#51	はい
map_0775#52	いいえ
map_0775#53	怖くないの?
map_0775#54	だったら、あんたが片付けなさいよ。
map_0776#0	シャルロット: こっちも何もなし。
map_0776#1	シャルロット: あら、あんたも出てきたのね。
map_0776#2	ずいぶん時間かかったじゃない。
map_0776#3	キャル: え?
map_0776#4	フロリニア: 望む結果を得るためには、適切な手順を急ぐことはできない。
map_0776#5	サファイラ: どのみち、次はあんたが来ると思っていた。
map_0776#6	シャルロット: まあ、あの子たちは可愛かったけど、正直言うと、
map_0776#7	最初から勝てるわけなかったのよ。
map_0776#8	サファイラ: それより、試合の後、彼女たちに何かあった?
map_0776#9	ハーディ: オイ!
map_0776#10	ハーディ: お前ら、何が起きたか見たか?!
map_0776#11	お前らのときも同じだったんだろ?!
map_0776#12	シャルロット: チカチカしたと思ったら消えた、みたいな?
map_0776#13	ハーディ: そうだ!
map_0776#14	何かできることねえのか?!
map_0776#15	シャルロット: できることなんてないわ。
map_0776#16	S%@l!&のところに直接飛び込んでみたけど。
map_0776#17	反応なし、何もなし。
map_0776#18	ちょっとビリッときたけどね。
map_0776#19	それが比喩なのか、文字通りなのかは、あんたの解釈に任せるわ。
map_0776#20	サファイラ: ラドマスは?
map_0776#21	ハーディ: あいつは残って#$e+と話してるぜ。
map_0776#22	あんまり長くならねえよう約束させたから、そこは心配いらねえ。
map_0776#23	キャル: 今ここで心配すべきことって、それが一番じゃない気がするけど。
map_0776#24	フロリニア: 前述の考えは、社交的には好ましいが、現在の優先事項とは無関係だ。
map_0776#25	サファイラ: もう一つの懸念:この区画にも出口がない。
map_0776#26	シャルロット: あんたたちがのんびりしてる間に、もう確認済みよ。
map_0776#27	サファイラ: それに、敗者全員に同じことが起きているとしたら……
map_0776#28	ハーディ: この状況、最初思ってたよりずっとヤバいんじゃねえか?
map_0776#29	くそ、あのガキとS#*r)にあんなに詰め寄っちまって、悪いことしたな。
map_0776#30	引き分けにしとくべきだったか?
map_0776#31	キャル: テラが言ってたよ、本気で戦わなかったらどのみち何かされるって。
map_0776#32	たぶん、敗者たちの結末とそう変わらなかったんじゃないかな。
map_0776#33	フロリニア: 監督者は以前、相応の努力を示さなかった参加者は、いずれにせよ処置されると述べていた。
map_0776#34	仮説:その結末は、敗北した対象と同一になる。
map_0776#35	ハーディ: じゃあ、オレたちはどうすりゃいいんだよ?!
map_0776#36	サファイラ: まず、バカな質問をするのをやめることね。
map_0776#37	この状況に、『どうすりゃいい』という正解はない。
map_0776#38	これがあらかじめ書かれた台本通りの、結末が保証されたシナリオだとでも思ってるかのように振る舞うのはやめて。
map_0776#39	自分が何をしたいか決めて、それをやる。
map_0776#40	それだけのことよ。
map_0776#41	ハーディ: オレは、もう何がしたいかわかってる。
map_0776#42	アヤを助けてえんだ!
map_0776#43	サファイラ: それで、具体的にどうやってそれをするつもり?
map_0776#44	ハーディ: メテオ団の連中を全員ぶちのめしてやる!
map_0776#45	シャルロット: それは結構だけど、あのイカレたアナウンサー女のところに辿り着けもしないんだから、今ここにメテオ団の生き残りなんて一人もいないわよ。
map_0776#46	つまり、ここを出て大事なお姫様を助けるためだけに、あたしたち全員をなぎ倒すってわけ?
map_0776#47	その子、あたしたち全員よりそんなに価値があるわけ?
map_0776#48	ちょっと傷つくんだけど。
map_0776#49	ハーディ: おい、そういうことじゃねえよ。
map_0776#50	オレは彼女を助けるって約束したんだ、何があってもそれを貫くぜ!
map_0776#51	もっといい方法があるってんなら、聞かせてみろよ!
map_0776#52	シャルロット: は?
map_0776#53	もっといい方法?
map_0776#54	ええ、あるわよ、もっといい方法が。
map_0776#55	あたしと妹があんたたち全員をぶちのめして、それで先に進む、っていうのはどう?
map_0776#56	あたしたちが一緒にいる限り、あんたたちに勝ち目なんかないわ。
map_0776#57	それに正直、あんたたちがどうなろうと、あたしたちの知ったことじゃない。
map_0776#58	サファイラなら、メテオ団を一人でも十分叩き潰せるし。
map_0776#59	あたしはただ、それを見届けられればいいの。
map_0776#60	ハーディ: 自分で乗った台座から、落っこちねえよう気をつけろよ?
map_0776#61	シャルロット: あんたが落としてくれるなら、ね。
map_0776#62	ハーディ: なんなんだよ、お前?
map_0776#63	サファイラ: これが私たちにとっての普通。
map_0776#64	世界を相手に孤立無援っていうのには慣れてる。
map_0776#65	私たちの強さは、世界が私たちに背を向けたときに、互いの背中を守り合えることだった。
map_0776#66	そして、世界は常に背を向け続けるものだから。
map_0776#67	キャル: この話に入る前に、少し落ち着いたほうがいいんじゃないかな?
