map_0889#79	ノエル: あなたは、そこにいるだけでよかったのです。
map_0889#340	家族とは大切にされるべきものだが、その方法を本当に分かっている者など、誰もいない。
map_0889#341	ノエル: あなたが自分なりに頑張ってきたこと、きっと父さんも分かってくれてると思います。
map_0889#342	ラドマス: ……確かに。
map_0889#343	親も子も同じように、互いを一番大切にする方法を、学び理解する努力をしなければならない。
map_0889#344	その責任は、君一人にあるわけではない。
map_0889#345	エクリプス: あの、二人が今何言ってるのか、正直よく分かんないけど、たぶん、ありがとう？
map_0889#346	ラドマス: 下まで、手を貸そう。
map_0889#347	経験上、なかなか長い道のりでな。
map_0889#348	君さえよければ、だが？
map_0889#349	ノエル: どうぞ、行ってください。
map_0889#350	僕はここに残ります。
map_0889#351	……でも、話してくれてありがとうございました。
map_0889#352	たまに、ナイトクラブにも顔を出しますから、
map_0889#353	でも、この子だけじゃなく、もっと見つけられる気がします。
map_0889#354	ラドマス: ……アンナのことか？
map_0889#355	彼女を見つけられるのか？
map_0889#356	ノエル: たぶん。
map_0889#357	分かりません。
map_0889#358	やってみます。
map_0889#359	ラドマス: ……何か必要なことがあれば、知らせてくれ。
map_0889#360	とりあえず、行くとしよう。
map_0889#361	ラドマス: つまり、リンのことか？
map_0889#362	エクリプス: ……なんであんた、探して――
map_0889#363	ああもう、いい、なんでもない。知りたくない。
map_0889#364	あたしはもう終わり、抜けたって言ったでしょ。
map_0889#365	ラドマス: 賢明な判断だ。
map_0889#366	行くとしよう。
map_0889#367	下るのは、思っているより時間がかかる。
map_0889#368	\PN、君も一緒に来るかね？
map_0889#369	ラドマス: それなら、道中もより安全になるだろう。
map_0889#370	気をつけてな、ノエル。すぐに戻ってくる。
map_0889#371	ラドマス: では、そのようにしよう。
map_0889#372	ファーン: 面白い場所だな。
map_0889#373	オレがここで何やってるのか、正直よく分かってないけど、できる限り力になるつもりだ。
map_0889#374	オレたちならやれる！
map_0889#375	……うわ、ハーディみたいなこと言ってるな、オレ。
map_0889#376	いや、なし。紫のプールにでも飛び込んでくる。
map_0889#377	こういうポジティブなこと言うの、どうやったらバカっぽく聞こえずに済むんだよ？
map_0889#378	ファーン: 必要なもの、言ってくれ。
map_0889#379	ファーン: 一緒に中に行けないの、正直残念だけど、
map_0889#380	でもオレは、100パーセントお前の味方だからな、\PN。
map_0889#381	せめて、チームを回復させてやる。ほら。
map_0889#382	ファーン: これも持っていけよ？
map_0889#383	ナイトクラブでこつこつ集めてたやつだ、ついていこうと思って……
map_0889#384	でも、オレよりお前の方が、これを必要としてる気がするんだ。
map_0889#385	ファーン: 中に入って、やるべきことをやってこい。
map_0889#386	ノエル: いい試合でした。
map_0889#387	トレーナー: ってか、なんでピクシー使えるんだよ！？
map_0889#388	お前、ノーマルタイプのリーダーじゃなかったのかよ！？
map_0889#389	ノエル: 以前の分類の時点で登録されていたので、例外扱いになっています。
map_0889#390	そもそも、多くのリーグでワイルドカードは認められていますし。
map_0889#391	トレーナー: むぐぐぐ……
map_0889#392	ノエル: それに、ピクシーはあなたに対して使えるワイルドカードの中では、そこまでひどい方でもありません。
map_0889#393	残念ですが、また今度挑戦してください。
map_0889#394	それまでの間、ポケモンをケアしてあげた方がいいと思います。
map_0889#395	トレーナー: 明日の同じ時間にまた来て、お前を月まで蹴っ飛ばしてやるからな！
map_0889#396	ノエル: では、明日に。
map_0889#397	ノエル: 審判、ありがとうございました。
map_0889#398	ここでバトルするの、好きなんです。
map_0889#399	孤児院の下にあった、あの何もない部屋よりずっといいです。
map_0889#400	他のどこで戦ったときとも違います。
map_0889#401	自分らしいって感じがするんです。
map_0889#402	ノエル: 他の人には、たぶん違って見えるんでしょうね。
map_0889#403	でも、それってAIのテストみたいなものかもしれません。
map_0889#404	本物の人間かどうか、他の人が見分けられなければ、そのAIは合格ということになります。
map_0889#405	他の人は、ここで違う色を見ていても、それを同じものと呼ぶのかもしれません。
map_0889#406	そもそも、僕たちが色として見ているものだって、それ自体の不在にすぎないんです。
map_0889#407	でも、それは関係ありません、
map_0889#408	同じように感じさせてくれるなら。
map_0889#409	もしそうなら、それが本物だと分かります。
map_0889#410	顔料から僕たちの絆まで、目に見えなくても、すべてそこに存在しています。
map_0889#411	きっと、そういうものは他にもたくさんあるんでしょう。
map_0889#412	いつか、それを見つけたいです。
map_0889#413	それを使って、絵を描いてみたいとも思います。
map_0889#414	ノエル: 終わったらタピオカティーを飲みに行こうって、ルミに言ったんです。
map_0889#415	また。
map_0889#416	はい
map_0889#417	いいえ
map_0890#0	白と黒が、非同期な連続の中で歪んでいく……
map_0890#1	リン: えっとね、告白すると、ここ実はあたしの家じゃないんだ。
map_0890#2	まあ、あんたがただあたしに会いたかっただけかもしれないけど ;)
map_0890#3	なんてね、あたしはただ親友のティナのために、留守番してるだけ！
map_0890#4	ティナ、インテリアデザインの才能があるんだよね。
map_0890#5	あとポケットディメンションも！
map_0890#6	ってか、あの中で喋るのマジで大変なんだけど。
map_0890#7	だから、あたしたちの会話、ちゃんとありがたく思ってよね！！！！！
map_0890#8	わぁ　たくさんの　それは　力が……
map_0890#9	あたしは　存在を　リン　感じられる……
map_0890#10	あたしたち　彼女を　見つけた　ついに～
map_0890#11	リン: てかさ、これなんかだんだん嫌な感じになってきたんだけど。
map_0890#12	ちょっと言わせてほしいんだけど。
map_0890#13	良好なコミュニケーションって、メンタルヘルスにすごく大事だからね！
map_0890#14	あんたの友達って、あたしに対して不公平な気がするんだよね。
