map_0766#50	-ユーザー名とパスワードが必要です-
map_0768#140	いわば試作品みたいなもんだったってわけ――\tts[you could say it was a prototototype of sorts--]
map_0768#141	でもその「罰」とかいうガアたわ言、何なわけ？？
map_0768#142	ここをどこの痛々しいデッドマンズなんちゃら王国だと思ってんの！？！？！？\tts[WHAT KINDA EDGY DeadMan's WhatNotLand YOU TAKE THIS FOR?!??!]
map_0768#143	人間の動機は複雑かもしんないけどさ、あんた、アタシらはここで人を拷問なんてしてないっつーの！
map_0768#144	ヴィクトリア: じゃあ負けた人はどうなるんですか？
map_0768#145	答えてもらえます？
map_0768#146	テラ: いいや\tts[TERRA: no]
map_0768#147	問題ないよ、喜んで答えてあげる！
map_0768#148	じゃあスポンサーからの一言のあとでね：
map_0768#149	毎日同じ調味料に飽き飽きしてない？
map_0768#150	舌が日々の暮らしにつきまとう不満で嘆き続けてるのにうんざりしてない？
map_0768#151	だったらトーラケチャップを試してみて！
map_0768#152	トーラケチャップはあなたの心に炎を吹き込み、魂に闘志を宿すことを保証するよ！
map_0768#153	覚えといて、トーラケチャップ、彼女を膝から崩れ落とす唯一無二のブランド！
map_0768#154	さあああああて、みんなが待ってたガアンサーの時間だよ：
map_0768#155	何も起きない。
map_0768#156	ヴィクトリア: 何も？
map_0768#157	テラ: 何も。\tts[TERRA: nothing.]
map_0768#158	ヴィクトリア: 「何も」ってどういうことですか？
map_0768#159	彼らには何も起きないってこと！
map_0768#160	ヴィクトリア: じゃあただ帰してくれるってことですか？
map_0768#161	テラ: いいや。\tts[TERRA: nope.]
map_0768#162	それだと「何か」が起きたことになっちゃう。
map_0768#163	アタシらが求めてるのは「何も起きない」ことだから。
map_0768#164	細かい違いだけどね、チャンプ。
map_0768#165	ヴィクトリア: つまりずっとそこに閉じ込められるってことですか？
map_0768#166	テラ: あーもう、そんな難しい質問ばっかしなきゃダメなわけ！？？？\tts[TERRA: GEEZ, DO YOU REALLY GOTTA ASK ALL THESE DIFFICULT QUESTIONS!!???]
map_0768#167	アタシ勉強してないんだって、ママ、放っておいてよおおおお！\tts[I DIDN'T STUDY, MOM, SO LAY OFFFFFFF!]
map_0768#168	さて、始める前に他に質問ある人？
map_0768#169	ルミ: あの！
map_0768#170	テラ: ない？よし！\tts[TERRA: no? GREAT!]
map_0768#171	ルミ: でも――
map_0768#172	テラ: じゃあペアを発表して始めるよおおおお！！！！！\tts[TERRA: THEN LET'S ANNOUNCE THE PAIRINGS AND GET STARTED!!!!!]
map_0768#173	どうかご注目くだサイ、上のスクリーンに\tts[Pleeze die rekt ur a ten shun to the skreen uh buv]
map_0768#174	テラ: あんたら16人全員、盛大なトーナメントに参加してもらうよおおおお！！！！\tts[TERRA: ALL 16 Y'ALL GONNA BE TAKIN' PART IN A GRAAAAAND TOURNAMENT!!!!]
map_0768#175	戦いたくない人がいたら、\tts[IF ANYONE DOESN'T WANNA BATTLE,]
map_0768#176	まあ別に戦わなくてもいいけど、笑
map_0768#177	でもそうなったら誰も戦えなくなる。
map_0768#178	そして誰も戦わなければ、誰も出られない。
map_0768#179	だからガアアアアッ！！！！！
map_0768#180	つまりあんたらレミングどもは全員並んで行進しなきゃいけないってこと！\tts[THAT MEANS ERRY SINGLE ONE OF YOU LEMMINGS GOTTA LINE UP AND MARCH!]
map_0768#181	わかった？それともわかりすぎた？！\tts[AM I UNDERSTOOD OR AM I OVERSTOOD?!]
map_0768#182	イヴ: でも私の勘違いでなければ、ここには17人いるはずよ。
map_0768#183	その場合、一人だけ休むことは許されるの？
map_0768#184	テラ: うける、賢ぶってるけど数も数えられないんだ、うける\tts[TERRA: lel she tryna act smart but she can't even count lel]
map_0768#185	あんたらは16人だから
map_0768#186	だってゼロは数に入んないもん
map_0768#187	わかる？ウケケケケケケケケケケケケケケ
map_0768#188	ゼロ: あの……
map_0768#189	テラ: そいつは何があっても置いてかれるってこと。\tts[TERRA: HE JUST GOTTA STAY BEHIND NO MATTER WHAT.]
map_0768#190	自分の名前に忠実に生きてるツケってやつ\tts[das what he gets for livin' up to his name]
map_0768#191	爆笑、こんがり焼けた\tts[lmao roasted]
map_0768#192	セラ: つまり先に進みたいなら戦うしかないってわけね……
map_0768#193	テラ: セイカーイ！\tts[TERRA: CORRECTAMAKANGO!]
map_0768#194	出口を探したいだけ探しなよ、ないんだから
map_0768#195	だってアタシが食べちゃったもん、笑
map_0768#196	まあ、削除して食べたってやつ。
map_0768#197	で、待ってる時間一秒ごとに
map_0768#198	あんたから遠ざかっていくアタシがいるわけ :/
map_0768#199	それにチームメテオもどんどん逃げてっちゃう
map_0768#200	でも同じことね。
map_0768#201	もうおしゃべりはたくさん、バンバン！
map_0768#202	前置きはこのへんにして、ペア発表――
map_0768#203	いや、カップリングって言うべき？ ;)
map_0768#204	あーそうそう、あんたら最高の二次創作書かれちゃうよ
map_0768#205	レモンだらけでメレンゲパイ焼けちゃいそう
map_0768#206	サファイラ: さっさと進めなさい。
map_0768#207	時間の無駄にはうんざりなの。
map_0768#208	テラ: うわぁ、あんたスロー展開の良さってやつを学ばなきゃね :////\tts[TERRA: yikes lady, you gotta learn to appreciate slow burns :////]
map_0768#209	いつもいきなり本番に飛べるわけじゃないんだから
map_0768#210	でもゲイ展開には一足飛びできるよ、アアアアアアイ
map_0768#211	じゃあいくよ。
map_0768#212	トーナメント表はガアアアアッ――
map_0768#213	シェリー: ダブルバトルなんですか？
map_0768#214	テラ: そう、ダブルバトルだよ。\tts[TERRA: YEAH it's IN DOUBLES.]
map_0768#215	これはダブルスのトーナメントなんだよ、おバカさん。\tts[THIS IS A DOUBLES TOURNAMENT YOU DingleBundle.]
map_0768#216	バトルも2倍、楽しさも2倍！
map_0768#217	みんな一度は四人プレイってやつ試してみたかったっしょ？
map_0768#218	キャル: だから、子供もいるんだって……
map_0768#219	イヴ: じゃあルミと私はまた一緒ね。
map_0768#220	ルミ: うん！
map_0768#221	セラ: あの子かぁ……
map_0768#222	ヴィクトリア: 本気ですか？私を彼と組ませるんですか？
map_0768#223	テラ: 相棒に文句言うのは禁止だよガアアッ！\tts[TERRA: NO COMPLAINING ABOUT YA RAWWWRTNERS!]
map_0768#224	まあ文句言ってもどうでもいいけど
map_0768#225	何も変わんないから。
map_0768#226	てゆーか、何をガアガア言ってんの
map_0768#227	このバトルの後、半分は先に進める権利をゲットできるんだよ、ポン！
map_0768#228	他の誰と組んだって、それ以上は望めないっしょ ;))))))))))
map_0768#229	さあ、行きな。
map_0768#230	ヴィクトリア: ねえ……本当にこれをやるつもりですか？
map_0768#231	サファイラ: これ以上の選択肢はない。
map_0768#232	後ろに戻れないなら、前に進むだけ。
map_0768#233	シグムンドをあたしから奪ったこと、リンには代償を払わせる。
map_0768#234	それがあたしに残された唯一の道よ。
map_0768#235	ヴィクトリア: 本気ですか！？
map_0768#236	彼らの言うことなんて何一つ信用できると思ってるんですか？
map_0768#237	チャンスさえあれば私たちに何をしてくるかわからないのに！
map_0768#238	今まで何もためらってこなかったのに――今さらためらうわけがないでしょう？
map_0768#239	イヴ: 理想的ではないという点には同意するけど、少なくとも半分は先に進めるなら、この戦いをやり抜くのが最善の手かもしれない。
map_0768#240	それに、向こう側には確かな出口があるかもしれないし。
map_0768#241	苦労して他の方法を探しても、その間にチームメテオの残りに逃げる時間を与えるだけになりそうだわ。
map_0768#242	ルミ: じゃあ、やりたいってこと？
map_0768#243	イヴ: 「やりたい」は少し強すぎる言葉かもしれないけど、これ以上の選択肢は見当たらないの。
map_0768#244	シェリー: みんながそれが最善だと思うなら、私も参加します！
map_0768#245	セラ: さあ、始まるわね……
map_0768#246	キャル: なら、みんな無事でいてくれよ。
map_0768#247	戦わなきゃいけないからって、全力を出し尽くす必要はない。
map_0768#248	できるだけダメージを抑えるように頑張ろう。
map_0768#249	シェリー: そうですね！私たちならできます。
map_0768#250	ですよね？
map_0768#251	ヴィクトリア: これは気に入らない……
map_0768#252	ルミ: できることをやって、うまくいくよう願おう！
map_0768#253	キャル: 時計はまだ動き続けてる。
map_0768#254	セラ: それなら、それぞれの場所に着くしかないわね……
map_0768#255	イヴ: みんな、幸運を祈るわ。
map_0768#256	生き残った者が、すべてに決着をつけてくれますように。
map_0768#257	ラドマス: なんとも奇妙で、それでいて愛らしい場所だ。
map_0768#258	どうやら我々はそれぞれ、進むべき扉と道しか見えないようだな。
map_0768#259	私の位置から判断するに、スコアボードと正確に一致している。
map_0768#260	下段は右側、上段はこちらだ。
map_0768#261	さて……この先に何が待っているか、見届けるとしよう。
map_0768#262	\PN、幸運を祈る、
map_0768#263	もっとも、そんなものは君には不要だろうがな。
map_0768#264	ティタニア: やっぱりあいつか。
map_0768#265	インターホンのあの女、あたしたちをおもちゃにしてるだけ。
map_0768#266	けど、あたしをアミーと当てさせるなんて、どこまで知ってんのよ。
map_0768#267	そもそもあいつがここに来なけりゃ、何の問題もなかったのに――
map_0768#268	まあ、それを責める気にはなれないけど。
map_0768#269	人を放っておけない人間ってのがいるものよ。
map_0768#270	もしあたしを二度と見つけられなかったら、最後に一度叫んでそのまま塵になるんじゃないかしら。
map_0768#271	で、長いこと、あたしはあいつを招き入れてた。
map_0768#272	もう今となっては、みんな消えてほしいだけ。
map_0768#273	一人にさせて。
map_0768#274	要求のないやり取りなんて存在しない。
map_0768#275	あんたも今、あたしの気を引こうとしてるだけじゃない。
map_0768#276	他に集中すべきことがあるでしょ？
map_0768#277	お互いのために、さっさとあいつらのところに行きなさい。
map_0768#278	ティタニア: 今なんて言ったか聞いてた？
map_0768#279	あんたに割く元気なんてないの。
map_0768#280	あたしの言うことを本当に気にかけてるなら、ちゃんと聞きなさいよ。
map_0768#290	「アメの自動販売機だ！ \G」
map_0768#291	\Gふつうのアメが出てきた！
map_0768#292	\Gボーナス！もう一つふつうのアメが出てきた。
map_0768#293	タカ: それでも僕はまだ、みんな全員と戦わなきゃいけないんだ……
map_0768#294	もうあいつらの側にいないのに。
map_0768#295	なんか……間違ってる気がする。
map_0768#296	この戦いに、僕の居場所なんてそもそもないんだよ。
map_0768#297	勝ち抜けたとして、僕は何をすればいいんだろう？
map_0768#298	リンと戦うのか？
map_0768#299	シリウスから僕の目を取り戻そうとするのか？
map_0768#300	父さんに言うべきことはもう言った。
map_0768#301	だから今の僕は、ただの……捨て駒だ。
map_0768#302	誰かの踏み台になるだけ。
map_0768#303	昔とおんなじように。
map_0768#304	タカ: でも……
map_0768#305	少なくとも今回は、自分で選んだんだ。
map_0768#306	だから、それだけでもいいのかもしれない。
map_0768#307	これが終わったら……
map_0768#308	全部片づいたらってことだけど――
map_0768#309	自分のために生きるってどういうことか、知りたい。
map_0768#310	まあ、ぐずぐずしてても仕方ない。
map_0768#311	タカの等身大パネルのようだ。
map_0768#312	ノエル: 父さんと戦わなきゃいけない。
map_0768#313	一緒に戦うのとは違う。
map_0768#314	うまく言葉にできない。
map_0768#315	言葉になってない気持ちってたくさんある。
map_0768#316	においみたいに。
map_0768#317	よくあるにおいもあるけど、みんな気にするのは良いか悪いかだけだ。
map_0768#318	今これをやらなきゃいけないのは、良い気分じゃない。
map_0768#319	でも悪い気分でもない。
map_0768#320	これって、どんなにおいなんだろう。
map_0768#321	ノエル: いつか、まだ言葉になってないもの全部に、言葉を作ってあげたい。
map_0768#322	ヴィクトリア: \PN、私のこと、わかってくれますよね？
map_0768#323	デヴォニクスであんなことがあったあとで、これを平気だなんて思ってないですよね？
map_0768#324	これって間違ってると思いませんか！？
map_0768#325	ヴィクトリア: やっぱりわかってくれると思ってました！
map_0768#326	あそこで何が起きたか見たのは、私たちだけです！
map_0768#327	チームメテオが負けた者に何をするか、本当にわかってるのは私たちだけなんです！
map_0768#328	でも他のみんなはもう頭から突っ込んでいっちゃった――
map_0768#329	一人でも棄権すれば、誰も戦わなくていいんですよね？
map_0768#330	みんなここに取り残されることになる――
map_0768#331	でもそのほうがいいのかも……
map_0768#332	……でも、そうなったらチームメテオがやりたい放題になるのも事実ですよね。
map_0768#333	ヴィクトリア: 本気ですか……？
map_0768#334	あなたもあそこにいたんだから、わかってくれるとしたらあなたしかいないと思ったのに……
map_0768#335	どうしてそんなこと言えるんですか！？
map_0768#336	あそこで私たちにされたこと、忘れたんですか？
map_0768#337	それとも、自分は無事だったからどうでもいいんですか？
map_0768#338	ごめんなさい。
map_0768#339	あなたにも理由があるんでしょうけど……
map_0768#340	これが唯一の前進する道だから、なんですよね？
map_0768#341	本当にそう信じてるんですよね？
map_0768#342	でも、私にとってはどうでもいい話。
map_0768#343	こんな風に続けていく理由なんて、もうないんです。
map_0768#344	リボーンがどうなるかは気にしてるけど、ソラリスとの機会はもう終わったし。
map_0768#345	できれば……キャルの言うことが正しければいい。
map_0768#346	これがキキの望んでたことなんでしょう。
map_0768#347	今、あの人だったら何て言うかな。
map_0768#348	アカデミーを継いだっていうのに――
map_0768#349	ごめんなさい、先生――
map_0768#350	私、何をすればいいのか全然わからない……
map_0768#351	まあ、他のみんながそうすると決めたなら……
map_0768#352	止めません。
map_0768#353	みんなが望むから、私も戦います。
