map_0000#1921	えっと、
map_0010#11	その手を離せ、駄犬が。
map_0010#12	フン!
map_0010#13	ああ、来たか。もう一度決着をつけよう!
map_0010#14	ほら、これで終わりだ。
map_0010#15	もう二度と会いたくないもんだね。
map_0010#16	そこで待て――俺は並のやつとは格が違うんでね。
map_0010#17	ふん。まあ、次はね?
map_0010#18	次は、八つ裂きにしてやるから。
map_0010#19	工場アトリウム ロック1 解除
map_0010#20	正面ゲート――ロック解除
map_0010#21	ゲート開放中
map_0010#22	施錠されている。
map_0012#1	パルス図鑑が更新された!
map_0012#3	押してみる?
map_0012#4	押さない理由がある?
map_0012#5	やめておこう……
map_0012#7	はい
map_0012#8	いいえ
map_0014#5	はい
map_0014#6	いいえ
map_0016#0	そのニヤけ面、蹴り飛ばしてやる!
map_0016#1	もう、トレーニングに戻るとするか。
map_0016#2	自分の負けん気と攻撃性を、抑える術を学ばなくちゃな。
map_0016#3	光栄に思えよ、初心者!
map_0016#4	いやー、見事にケツを蹴っ飛ばされたわ――ケツを。
map_0016#5	よし、あんたの戦いを見て、これだけは言わせて。マジ、あんたイケてるわ。
map_0016#6	あんたが動く前から、次の一手が分かるんだよ。
map_0016#7	くらえ――やあああっ!
map_0016#8	俺の意志の力の方が上だ! ハアアッ!
map_0016#9	こいつらを見ろよ! 俺もこんなふうに強くなれるかもな。まずはお前からだ!
map_0016#10	はは、夢は短かったな。
map_0016#11	うーむ。俺はやっぱり、疲れた山道と戦うのが性に合ってるみたいだ。
map_0016#12	思い出せ、思い出すんだ……
map_0016#13	あの講義、何て言ってたっけ?
map_0016#14	「石を打つとき、岩を砕くのはこぶしの力ではなく、意志の力である」
map_0016#15	こんな感じだったよな?
map_0016#16	「強さとは、周囲との比較ではない。それは己の内にある絶対的な力であり、人生を突き動かすものである」
map_0016#17	それってどういう意味なんだ? いまだによく分からん。
map_0016#18	キキ: ようこそ。
map_0016#19	新しい生徒さんですか?
map_0016#20	なるほど。ようこそ。
map_0016#21	どうぞ、お座りください。
map_0016#22	キキ: では、今日の講義に入ります。
map_0016#23	このカリキュラム最後の教え、「無の術」を復習しましょう。
map_0016#24	無とは、知り得ぬものを認めることです。
map_0016#25	あらゆる考えは、それ自体が誤りうるという理解でもあります。
map_0016#26	それゆえ、この教えは教えることができません。ただ、考えることしかできないのです。
map_0016#27	多くの人は、あるものは「正しく」「正解」で、あるものはそうでないと信じています。
map_0016#28	しかし、それは世界の法則ではありません。
map_0016#29	「善」や「悪」といった概念に、存在の余地を与えてはなりません。それは真の無ではないからです。
map_0016#30	存在するものを知覚することによって、存在しないものを知覚することを学びなさい。
map_0016#31	あらゆるものは、この教え自体も含めて、疑われなければなりません。
map_0016#33	では、見学だけですか?
map_0016#34	キキ: またお会いしましたね。
map_0016#35	あらためて、アポフィルアカデミーの生徒として、あなたを正式に迎え入れさせてください。
map_0016#36	あなたの信頼を得られたこと、光栄に思います。これからの日々、あなたの努力と成長を見守れることを楽しみにしています。
map_0016#37	アカデミーに戻り次第、寮と予定表を割り当てますね。
map_0016#38	それとも、何か私にご用でしたか?
map_0016#39	……あら?
map_0016#40	アポフィルに脅威が迫っているのですか?
map_0016#41	それは、かなり深刻なようですね。
map_0016#42	それに、かいりきマシンも……
map_0016#43	ええ、こちらにあるはずです。
map_0016#44	でも、話すべきことが多そうですね。
map_0016#45	すべては、しかるべき時に。
map_0016#46	今は、アカデミーの私の部屋で会いましょう。そこで正式に入学の手続きをします。
map_0016#47	正面玄関から見て、一番奥の部屋です。
map_0016#48	講義を終えたら、アカデミーの私の部屋でじっくり話しましょう。
map_0016#49	できることを考えましょう。
map_0016#50	前はオニキストレーナー学校に通ってたんだけど、授業がめちゃくちゃ退くつだったの!
map_0016#51	キキ先生の講義は全然退くつじゃないよ。短くて、分かりやすくて、実用的なんだ。
map_0016#52	だって、三角関数なんて誰が必要とするわけ?
map_0016#53	しー、聞こえなくなっちゃう!
map_0016#54	その知識で、僕を照らしてください! 僕は言葉の力になります!
map_0016#55	ちょっと、前かがんでよ、見えないんだけど!
map_0016#56	釣りをしに来てるだけだけど、キキ先生の講義は絶対に見逃さないんだ。
map_0016#57	長い散歩と、長いおしゃべり。
map_0016#58	それが俺の生き方さ。
map_0016#59	あら、新しい生徒さん?
map_0016#60	さあさあ、座って。
map_0016#61	キキ先生は知恵の宝庫だよ!
map_0016#62	いつか先生みたいに賢くなるんだ!
map_0016#63	うーむ。座って、よく聞くといい。
map_0016#64	先生の話、いつも分かるわけじゃないけど……なんか深いんだよね。
map_0016#65	はい
map_0016#66	いいえ
map_0017#0	みんなが街でこの湖に何をしたか見ると、本当に悲しくなる。
map_0017#1	昔は、いろんなかわいいポケモンがこの湖に住んでたって聞いたよ。
map_0017#2	ラブカスを見たことある?
map_0017#3	昔はアズリンのあちこちを泳いでたのに、今じゃ全然見かけない。
map_0017#4	ねえ、もしラブカスを見つけたら、交換してくれない?
map_0017#5	昔のこの場所の形見みたいなものが、あったらすごくうれしいんだ。
map_0017#6	お礼に、このダルマッカをあげられるよ。
map_0017#7	あら? 持ってなさそうだね。
map_0017#8	それだ! よし、交換しよう!
map_0017#9	\PNはラブカスをダルマッカと交換した!
map_0017#10	ありがとう、トレーナーさん。
map_0017#11	これは、少なくとも僕にとっては、物事を受け入れるための大事な一歩な気がするよ。
map_0017#12	それでいいんだ。
map_0017#13	いつか、自分でも見つけられるかもしれないし。
map_0017#14	すっごくかわいい!
map_0017#15	やあああっ!
map_0017#16	はぁ――はぁ……もう限界!
map_0017#17	もっと鍛えないと!
map_0017#18	アポフィルアカデミー――\nTRAIN 心と体を共に鍛えよ!
map_0017#19	やっぱり、いい組手には敵わないな! おっす!
map_0017#20	俺が疲れてたから助かったな!
map_0017#21	ここアポフィルアカデミーでは、心を鍛えるのと同じくらい、体も鍛えます。もちろん、その逆もね!
map_0017#22	キキ先生は素晴らしいセンセイだよ! いつだってみんなを助けてくれるし、絶対に取り乱さないんだ!
map_0017#23	だからって、私が一番の生徒ってわけじゃないけどね!
map_0017#24	うっ、いつか先生みたいにすごくなってやる!
map_0017#25	ラウンド1、ファイト!
map_0017#26	勝利!
map_0017#27	忘れちゃいけない。敗北から学ぶことは、どんな結果よりも大きな勝利だってこと。
map_0017#28	アポフィルアカデミーへようこそ!
map_0017#29	新しい生徒さんも、見学の方も、大歓迎です!
map_0017#30	え?
map_0017#31	ヴィクトリアと、紫の網タイツの男の人が、たった今すごい勢いで飛び出していったよ……
map_0017#32	何かあったのかな?
map_0017#33	えっと、アポフィルアカデミーへ、ようこそ、なのかな……
map_0017#34	一応、まだ営業中だよ……
map_0017#35	……たぶん。
map_0017#36	だと思う?
map_0017#38	……
map_0017#39	………
map_0017#40	うう、全然集中できない!
map_0017#41	めい想って、すごく難しい!
map_0017#42	めい想って、すごく難しい……
map_0017#43	特に、いろいろあった後だと!
map_0017#44	ヴィクトリア: 新入生のあなたに、いろいろ教えてあげる役目みたいですね?
map_0017#45	はは~
map_0017#46	入学に興味を持ってくれて嬉しいですが、目の前の問題が片づくまでは、それは後回しにしましょう。
map_0017#47	ヴィクトリア: レティにも状況を伝えたところなので……
map_0017#48	今頃は、ここからウノーバまで、みんなが状況を知っているでしょうね。
map_0017#49	キキ先生のことが、少し心配です……
map_0017#50	こういうことでも、無理をしすぎるのは先生のためになりません。
map_0017#51	最近、先生は……
map_0017#52	いえ、今それは重要じゃありませんね。
map_0017#53	私と戦ってみますか?
map_0017#54	ヴィクトリア: いいでしょう、でもこのアカデミー筆頭門下生としての誇りにかけて、手加減はしませんよ!
map_0017#55	全力でかかってきてください!
map_0017#57	ヴィクトリア: 見事な戦いぶりでした!
map_0017#58	悔いはありません。
map_0017#59	あなたが先へ進んでいいと、キキ先生に伝えておきます。
map_0017#60	ヴィクトリア: ああ、キャルの方で運試しをしたいんですね?
map_0017#61	パイロス山は、西に少し歩いたところです。
map_0017#62	溶岩が邪魔をすることもありますが、そのときは下の階に行って、つながっている部分をひと押ししてください。
map_0017#63	彼が前はどんな感じだったか知っていますが、本当に早く丸くなりましたよ!
map_0017#64	実は、私自身がそれを個人的に手伝えた気がしていて。
map_0017#65	なんというか……良い経験でした?
map_0017#66	とにかく、あなたなら大丈夫です!
map_0017#67	闇の中でも、集中を切らさない。
map_0017#68	うーん、今週はどの講義を取ろうかな?
map_0017#69	「ポケモンと一体になる」か、「戦闘における静と動の理解」か?
map_0017#70	みんな強くならなきゃ……キキ先生のためにも、ね?
map_0017#71	毎日、僕はより良く、より強い自分になっている。
map_0017#72	一歩踏み出すごとに、この世界での本当の目的に近づいていく。
map_0017#73	あなたも悟りの道を歩んでいるようですね。きっと多くを学んだのでしょう。
map_0017#74	こちらをどうぞ。
map_0017#75	あなたたち、互いに励まし合って、努力と繁栄と平和の道を歩んでください。
map_0017#76	あなたも、同じようにしなければなりません。
map_0017#77	学び、知り、成長しなさい。
map_0017#78	禅の境地に達したら、また訪れなさい。きっと報われるでしょう。
map_0017#79	個々の強さとは、自分自身の過去とだけ比べるべきもの。
map_0017#80	心を鍛えれば、体もきっと強くなる!
map_0017#81	あなたは心も体も強いですね。私はまだまだ学ぶことが多い。
map_0017#82	私の強さは、キキ先生のおかげです。先生から多くを学びましたし、これからも何があろうと学び続けます!
map_0017#83	ここから街が見える!
map_0017#84	うわ、汚いなあ。
map_0017#85	すごいけど、汚い。
map_0017#86	キキ先生が試合を? 誰が卒業試験を受けるの?
map_0017#87	キキ先生はなかなかの相手だよ。戦う羽目になった人には同情するね。
map_0017#88	頑張れキキ先生!
map_0017#89	よし! この機会に先生の技術を研究しよう!
map_0017#90	卒業試合? そりゃもちろん見るに決まってる!
map_0017#91	頑張れキキ先生、最高だよ!
map_0017#92	挑戦者に試練を!
map_0017#93	ここに住んでるもう一つの特典、タダの娯楽だ。
map_0017#94	生の戦いは、テレビより絶対おもしろい!
map_0017#95	ヴィクトリア: 戦うのは、先生には負担が大きすぎます。
map_0017#96	でも先生は、理屈に反してでも、これをやると決めたんです。
map_0017#97	だから、勝つつもりなら、一度目で必ず決めてください。
map_0017#98	応援しています。
map_0017#99	キキ: 準備ができたら、所定の位置についてください。
map_0017#100	キキ: \PN、あなたの鍛錬がどれほどのものか、見せてもらいましょう。
map_0017#101	ヴィクトリア: ……挑戦者\PNが、卒業をかけてセンセイと6対6のシングルバトルを行います。
map_0017#102	キキ: 再びようこそ。
map_0017#103	わたしもまた、完全なる不動をもって、魂に宿すすべての怒りとともに、打ち込みましょう。
map_0017#104	ヴィクトリア: ……挑戦者\PNが、卒業をかけて再びセンセイと6対6のシングルバトルを行います。
map_0017#105	どちらの選手も、交代は自由です。
map_0017#106	どちらかのトレーナーのポケモン6体すべてが、戦闘不能になった時点で終了します。
map_0017#107	……始め。
map_0017#108	……そして、すべては静寂に包まれた。
map_0017#109	キキ: 真の集中の中で、あなたの気迫が輝いています。
map_0017#110	あなた自身の努力は、紛れもないものです。
map_0017#111	この学び舎の創設師範として、わたしは……とても……
map_0017#112	……
map_0017#113	キキ: ……失礼、わたしは――
map_0017#114	ヴィクトリア: キキ先生!
map_0017#115	運命の魚をご覧あれ!
map_0017#116	魚さーん!!!
map_0017#117	なんで俺にこんなことするんだよ!?
map_0017#118	はい
map_0017#119	いいえ
map_0018#0	今日もベトベター、明日もベトベター、そんでもって、あさってもまたベトベターだよ!
map_0018#1	ヘドロは、すべてを見つけ出す。
map_0018#2	そして、濁った水の中で、それらを縛りつける。
map_0018#3	コイ!
map_0018#4	まだまだ甘いね!
map_0018#5	コイキング・アトラクション、乗せてやるぜ!
map_0018#6	火山の灰が砂の上に降り注ぐ、まるで暗く長い指が岸辺に伸びてくるように……
map_0018#8	まるで水そのものをひっかくように……いや、これじゃ意味のない詩だ! くそっ!
map_0018#9	あ、こんにちは! あなたもアポフィルアカデミーで学びに来たの?
map_0018#10	うーん、まあ、私はどっちかというと、勉強より景色目当てで来てるんだけどね……
map_0018#11	街から逃れたいだけでアカデミーに来る人も多いよ。
map_0018#12	アポフィルビーチは、パイロス山からの風と灰で黒く染まった砂で知られている。
map_0018#13	黒い浜辺でのバトル! なんてロマンチックなの!
map_0018#14	もちろん、水がこんなに気持ち悪くなかったら、もっときれいなんだろうけどね。
map_0018#15	あんまり賢くはなさそうだけど、かわいいのは確かだよね?
map_0018#16	汚染された湖から逃れるために、浜辺に上がってきてるのかな?
map_0018#17	どこかに、こいつらの集落まるごとがあったりするのかな。
map_0018#18	ねえ、それでもし、一匹のナマコブシが彼ら全員の上に君臨してたら!
map_0018#19	忠実なナマコブシの護衛たちを従えて、その名は……
map_0018#20	ナマコブシ大王、ナマコブシたちの王!
map_0018#21	ふふっ、面白くない?
map_0019#0	少なくとも街に比べれば、きれいな景色だよね。ここで戦ってみない?
map_0019#1	負けたって、それでも気持ちいいものだよ。
map_0019#2	ただアポフィルに立ち寄っただけのつもりが、もう何か月も「立ち寄っただけ」を続けてる。いつか出ていく日は来るのかな。
map_0019#3	パイロス山の灰が、全部この砂の上に吹きつけてくる。
map_0019#4	火山のふもとにいるのって、ちょっとワクワクするけど、ちょっと怖くもあるよね!
map_0021#0	ハアハア……登るのって大変……
map_0021#1	でも、登った甲斐はきっとあるはずだ!
map_0021#2	パイロス山、リボーンでも指折りの高さ……絶対やってやる!
map_0021#3	誰も通すなって、厳命されてるんでな。
map_0021#4	誰もだ!
map_0021#5	つまり、勝負して通してやるってのもナシだ。
map_0021#6	俺は人間バリケードだ!
map_0021#7	「パイロス山
map_0021#8	危険: 溶岩の噴出にご注意ください」
map_0021#9	カイン: つまり、本当にどかないってこと?
map_0021#10	したっぱ: はい。それが命令なんで。
map_0021#11	立ち入り禁止。
map_0021#12	勝負もナシ。
map_0021#13	カイン: ということは、ポケモンも出さないってことだよねぇ。
map_0021#14	ただそこに立ってるだけ?
map_0021#15	したっぱ: はい。そしてあんたも通さない。
map_0021#16	それが、俺がここにいる理由なんでね!
map_0021#17	ヴィクトリア: もう、こんなことしてる時間はありません!
map_0021#18	ガオガエン!
map_0021#19	カイン: ……はいはい。
map_0021#20	ヴィクトリア: 急ぎましょう!
map_0021#21	今の唯一の望みは、キャルが十分な時間、連中を食い止めてくれることです!
map_0022#1	テレビを盗む?
map_0022#2	女の子: ちょっと! 何してるつもり?
map_0022#3	それ、みんなのテレビだよ。勝手に持っていっちゃダメ!
map_0022#4	そんなこと、させないから!
map_0022#5	いやーっ!!! 私の大事なテレビが……
map_0022#6	女の子: やだーっ! テレビ持っていかれたら、これからどうすればいいの?
map_0022#7	仕事しろってこと!?
map_0022#8	なんで私にこんなことするの!?
map_0022#9	え? 別の女の子が、自分の寮のために持ってきてほしいって頼んだの?
map_0022#10	それ、なんだかうちのルームメイトみたいな子……
map_0022#11	……ってことは、そのテレビ、結局私の寮に来るってことじゃない。
map_0022#12	女の子: あなたのことは、見なかったことにする。
map_0022#13	私たち、戦ってなんかいない。
