22f_bt_speeches#480	自由だー!
22f_bt_speeches#532	なんにせよ、年の功というものを教えてやろう。
22f_bt_speeches#533	きみとポケモンの間の信頼が一瞬でも揺らげば、わたしに勝つことはできない。
22f_bt_speeches#534	何より好きなものといえば、気持ちのいい勝利さ!
22f_bt_speeches#535	勝つつもりがなければ、負けてもたいして痛くはない。
22f_bt_speeches#536	バスケがしたくなったら、いつでも言ってくれ!
22f_bt_speeches#537	彼女を見かけたら、探してるって伝えてくれ!
22f_bt_speeches#538	自分が特別だと思うなら、それを証明する覚悟をしておけよ!
22f_bt_speeches#539	なかなかやるな、ふむ。
22f_bt_speeches#540	バトルでも何ごとでも、規律が大切だ。
22f_bt_speeches#541	興味深い... 人は敗北から何を学ぶのか。この経験から学べ。きみの物語はまだ続くのだからな!
22f_bt_speeches#542	おどしても効かなかったか。
22f_bt_speeches#543	それが本当に精一杯か? ばかばかしい!
22f_bt_speeches#544	ゴーストポケモンにつきまとわれてるのかな? だから眠れないのかも...
22f_bt_speeches#545	こうしてバトルするのって楽しくない?
22f_bt_speeches#546	すてきでしょう?
22f_bt_speeches#547	この施設、すばらしいと思わない?
22f_bt_speeches#548	われこそはロズレイドマスク!
22f_bt_speeches#549	われこそは偉大なる騎士フランカ!
22f_bt_speeches#550	すごくいい感じ!
22f_bt_speeches#551	それが大地を作った! そしてオレを強くしたんだ!
22f_bt_speeches#552	もう少し何か足りないわね。新しい帽子とか?
22f_bt_speeches#553	きみを見くびっていたようだ!
22f_bt_speeches#554	まだ準備ができていなかったようだ。
22f_bt_speeches#555	ただの仕事だったってことさ。
22f_bt_speeches#556	頂点への道は長い。
22f_bt_speeches#557	どんな電池でも超高速で充電できるんだ!
22f_bt_speeches#558	言ったとおりでしょう。私の予言は外れないの。
22f_bt_speeches#559	寒いのがどうしても苦手なんだ。
22f_bt_speeches#560	オレたちがリボーンシティ最強だからさ!
22f_bt_speeches#561	長い勤務だった。バトルでクールダウンといくか!
22f_bt_speeches#562	想像したことが現実になるって、うれしいものよね?
22f_bt_speeches#563	いいんだ。気にしないで。
22f_bt_speeches#564	やっぱりね。これからはファーストアルバムに集中するよ。
22f_bt_speeches#565	まるで防音壁みたいだな!
22f_bt_speeches#566	オレさまだ、最高のトレーナーにして最高の戦い手!
22f_bt_speeches#567	ぶっ飛ぶくらいすごい!
22f_bt_speeches#568	誕生日なのにお金をわたさなきゃいけないなんて...
22f_bt_speeches#569	今日はわたしの誕生日なの!
22f_bt_speeches#570	きみを倒すのがぼくの務めだ!
22f_bt_speeches#571	異なる考えを拒むのではなく、受け入れることでこそ、世界は化学反応を起こす。それこそが世界を変える方程式だ。
22f_bt_speeches#572	いいんだ。ぼくもいつも話したい気分ってわけじゃないから。
22f_bt_speeches#573	かなり過激だけど、ポケモンが守ってくれるんだ!
22f_bt_speeches#574	かなり過激だぞ。きみのポケモンに耐えられるとは思えないな。
22f_bt_speeches#575	本当は木の上の秘密基地なんだけどね...
22f_bt_speeches#576	すごく寒い! 誰か冷房を強くしてるの?
22f_bt_speeches#577	街がまたきれいになって、バトルするのも気持ちいいね。
22f_bt_speeches#578	いい天気だと思わない?
22f_bt_speeches#579	この会場をぶち上げる時間だ!
22f_bt_speeches#580	何ごともないふりをしててくれ、いいな? ところで、マーヴという名のカルト信者に会わなかったか?
22f_bt_speeches#581	わたしのポケモンには気をつけて。とても大切な子たちなの!
22f_bt_speeches#582	いつもどおりだ。
22f_bt_speeches#583	かかってこい! 大自然にきたえられた身体だ!
22f_bt_speeches#584	まさに求めていたものだ!
22f_bt_speeches#585	『ふしぎなアメ』には近づくなよ!
22f_bt_speeches#586	鍛練を続けろ。聞いた話じゃ、ここにはそれが必要らしい。
22f_bt_speeches#587	クソかっけえバトルをやろうぜ!
22f_bt_speeches#588	休憩前の最後のバトルだ!
22f_bt_speeches#589	このバトルで幸せを見つけさせて!
22f_bt_speeches#590	わたしのバトルスタイルをきみの記憶に刻みつけてやろう。
22f_bt_speeches#591	この乗り物から降ろしてくれ!
22f_bt_speeches#592	オレが書いたこの曲を聴かせてやるよ!
22f_bt_speeches#593	あなたのオーラを読ませて...
22f_bt_speeches#594	大自然に教わったものを見せてやろう。
22f_bt_speeches#595	さあ、ダンスの始まりよ!
22f_bt_speeches#596	このバトルで未来を決めよう!
22f_bt_speeches#597	おたがい本気で全力を出そう!
22f_bt_speeches#598	楽しいバトルにしようじゃないか。
22f_bt_speeches#599	あの方の仕事には本当に感謝してるって伝えてくれ。ここがやっと、また我が家のように思えるよ。
