map_0036#354	この子は、こんなにたくさんつけてるんですね……
map_0036#447	いったい、どこで見つけたんですか?
map_0036#448	本物を見たのは初めてです、絵画や物語の中でしか見たことがなくて……
map_0036#449	でも、花はちゃんとありますね? これなら使えそうです。
map_0036#450	桃のような香りが、とても強くしますね?
map_0036#451	でも、朝露のような香りも、はっきりと感じられます……
map_0036#452	面は悲しげですけど、顔はとてもかわいいですね。
map_0036#453	でも、燻したような香りも、はっきりと感じられます……
map_0036#454	面は猛々しいですけど、顔はとてもかわいいですね。
map_0036#455	でも、土のような香りも、はっきりと感じられます……
map_0036#456	面はいかついですけど、顔はとてもかわいいですね。
map_0036#457	でも、花のような香りも、はっきりと感じられます……
map_0036#458	面は鋭いですけど、顔はとてもかわいいですね。
map_0036#459	この子が、いつも他の子から隠れなければと感じるほど、大変な思いをしていなければいいんですけど。
map_0036#460	ローラ: あら、こんにちは、あなた!
map_0036#461	\PN、ご存じでしたか? そうは見えないかもしれませんが、サボネアは頭の上に、誰にでも見える黄色い花を咲かせているんです。
map_0036#462	子どもの頃は、それを王冠だと思ってました――姉妹みんなで、うちの植木鉢の上に乗っているのを見たことがあって。
map_0036#463	シャルロットが、ふざけてその王冠を自分のものにしようとしたんですけど――駄目でした!
map_0036#464	サボネアが花を咲かせることは滅多にないので――満開の花を見られるのは、貴重なご褒美です。
map_0036#465	花は、降ったばかりの雨のような香りがします――体に蓄えている水と、何か関係があるのかもしれません。
map_0036#466	とても心地良いヘッドノートになりそうだと思いませんか?
map_0036#467	ローラ: あら、この子があなたを困らせすぎていなければいいんですけど!
map_0036#468	カプサイジは、けっこうな問題児になることがあるって聞きます。
map_0036#469	その歯のために育てる人が多いのは知っていますけど、花も香水にはとても役立つんです――他のどのポケモンも、こんなにスパイシーな香りはしません。
map_0036#470	きっと、ここでも素晴らしい効果を発揮しますよ!
map_0036#471	ローラ: あら、\PN、あなたは目が良いですね!
map_0036#472	ラランテスを育てたことのないトレーナーは、あの姿自体が、形を変え姿を隠した花そのものだと、ほとんど気づかないものです。
map_0036#473	とても素敵な子たちですけど、自分が必死に隠しているものについて一番だと言われるなんて、きっとひどくつらいことでしょうね……
map_0036#474	これで終わりです! 香りのセットを仕上げるのに、十分な粉が集まりました。
map_0036#475	少しだけ時間をください、仕上げの作業をしますので……
map_0036#476	ローラ: さあ、できました! どんな目的にもぴったりの、贅沢な8色パレットの香水です~
map_0036#477	ローラ: それから、サファイラの分もひとつ。
map_0036#478	この小さな計画を実らせる手伝いをしてくれて、ありがとうございました!
map_0036#479	見ず知らずの相手のために、そこまでしてくれる必要はなかったのに。
map_0036#480	よろしければ、お礼にもうひとつ贈り物があります。
map_0036#481	小さなチュリネです――若くて、世界を探検したくてたまらないんです。連れて行ってあげてもらえませんか?
map_0036#482	ローラ: わたしの代わりに、大切にしてくれると信じています。
map_0036#483	ローラ: 分かりました! こういうのは、誰にでも合うものではありませんもんね。
map_0036#484	とはいえ、そろそろ行かなくてはいけません。またわたしが捕まったんじゃないかとサファイラが心配して、飛んで行く先を探し出したりしたら大変ですから。
map_0036#485	東のクリソリア地方に向かいます。ご存じですか?
map_0036#486	うちの家族が、そこに隠れ家の小屋を持っているんです。
map_0036#487	姉が、その小屋を建て直したことを手紙で知らせてくれました。また見られると思うと、とても楽しみです!
map_0036#488	もしその辺りに来ることがあったら、ぜひ訪ねてきてくださいね。
map_0036#489	お元気で、\PN。
map_0036#490	この虹色の香りが、あなたの冒険を、もっと心地良いものにしてくれますように。
map_0036#491	ローラ: これでひとつ。あと二つ残っています。良ければ、ここで作業を続けさせてくださいね。
map_0036#492	ここはただの、ささやかな公園かもしれませんけど……
map_0036#493	土には、栄養も深さも足りていないかもしれませんけど……
map_0036#494	……それに、きれいな水も、たっぷりの水も、切実に必要としているのかもしれませんけど……
map_0036#495	……それでも、誰かに楽しんでもらうことが必要だと思うんです。
map_0036#496	それに、外の空気をゆっくり楽しむ贅沢からも、ずいぶんと遠ざかっていましたから。
map_0036#497	ローラ: あとひとつです。もう少しですね。
map_0036#498	これが終わったら、この街を出ます。
map_0036#499	正直に言うと、こんなに長く留まるつもりはなかったんですけど、衝動に駆られて、最後までやり通さずにはいられませんでした。
map_0036#500	最初は、帰り道の間、都会のむっとした匂いを隠すための香水を作りたかっただけなんです。でも、そのうちに考え始めてしまって……
map_0036#501	わたしには姉妹がいるんです、ご存じでしたか? 実は、二人。
map_0036#502	一人は、ずっと辛抱強く……いえ、もしかしたら、じれったそうに、わたしが帰るのを待っていてくれています。
map_0036#503	それで、帰った時にはあの子への贈り物で、帰郷を祝えたらいいなと思ったんです。
map_0036#504	自分の誕生日のすぐあとに贈り物なんてって、たしなめられるかもしれませんけど……
map_0036#505	でも、これはわたしの人生を祝うことですし、何かをもらうよりも、大切にしてくれた人たちに贈るほうが、わたしらしいと思うんです。
map_0036#506	ありがとう、\PN。この祝い事の一部になってくれて~
map_0036#507	巨大な亀裂が走ってると、オブシディアのメインストリートも本当に別物だな。
map_0036#508	十分注意して進んでください。
map_0036#509	まるで植物たちが自ら立ち上がって、人間に反撃しているみたいだ。
map_0036#510	俺たちがやってきたことを思えば、当然の報いかもな。
map_0036#511	育て屋の夫婦が、ポケモンを返してくれないの!
map_0036#512	ポケモンの具合が悪いから来週また来てって、ずっと言われてて! もう最悪!
map_0036#513	もう! このツタ、邪魔すぎる!
map_0036#514	早くどっか行ってよ! 家に帰らないといけないのに!
map_0036#515	シルフ社、最近すごい勢いだよね。デパートの上の階、見た?!
map_0036#516	シルフ社の最新技術、リンクストーンにご期待ください!
map_0036#517	リンクストーンがあれば、通常は交換が必要な進化も、可能になります!
map_0036#518	近日発売!
map_0036#519	<- サフラン通り\n^v - 11番通り
map_0036#520	中間試験なんて、この世で一番の悪だよ! もう!
map_0036#521	あーあ、デパートの上の階に行きたいのに、会員しか入れないんだよな。
map_0036#522	植物のせいで家がめちゃくちゃになっちまった。どうしたらいいんだ?
map_0036#523	家を失って、このひどい嵐の中、行くあてもない年寄りに、小銭を恵んでもらえないか?
map_0036#524	家を失って、この惨めな暑さの中、行くあてもない年寄りに、小銭を恵んでもらえないか?
map_0036#525	家を失って、雨風をしのぐ場所もない年寄りに、小銭を恵んでもらえないか?
map_0036#526	この区域を通行する際は、十分注意してください。
map_0036#527	すべて大丈夫だから。
map_0036#528	パニックになる必要はない、
map_0036#529	たぶんな。
map_0036#530	これじゃ、オニキスワードにどうやって戻ればいいんだよ?
map_0036#531	くっせえ植物どもが、歩道をめちゃくちゃにしやがって! 引きちぎってやる!
map_0036#532	……いや、そもそも初めてか!
map_0036#533	<- メインストリート\n^v - 11番通り
map_0036#534	街を破壊しそうになってなければ、いい公園なんだけどな。
map_0036#535	フロリニア: 報告を。
map_0036#536	アマリア: 残念ながら、ボレアリスは見つからなかった。
map_0036#537	特徴が一致する人物がスラムに入るのを目撃されてたけど、そこから先は何も分からなかった。
map_0036#538	コーラルワードまで足を伸ばして確認したけど、何もなし。
map_0036#539	もしあの辺りにいたとしても、もう手遅れだと思う。
map_0036#540	フロリニア: 了解した。
map_0036#541	現状を鑑みるに、最も効率的な調査方法は、依然として被害区域への直接的な踏み込みである。
map_0036#542	現在の4名の陣容であれば、安全性は十分に確保できるはずだ。
map_0036#543	アマリア: つまり、まっすぐ突っ込んで、様子を見ようってこと!
map_0036#544	あたしは大賛成。
map_0036#545	あんたの号令待ちだよ、リニ!
map_0036#546	アマリア: 中では何が起きても、対応できるようにしとかないとね!
map_0036#547	個人的には、植物を応援してるけど。
map_0036#548	育て育て、たくさん育て!
map_0036#549	興味深いとは思うんだけど、恐怖で体が固まっちゃって動けない……
map_0036#550	あのツタの残骸を何としても見つけて、生化学的に調べなければ。
map_0036#551	「スイートキス」\nリボーンのお菓子なら何でも揃う店!
map_0036#552	ただの植物が、なんでこんなことできるんだよ?!
map_0036#553	あの騒ぎが起きた時、この亀裂も突然できたんだ!
map_0036#554	<>- メインストリート\nv - 10番通り
map_0036#555	とにかく公園から離れてください。
map_0036#556	皆さん、落ち着いてください。事態は制御下にあります!
map_0036#557	まあ、一応はな……
map_0036#558	「ユレユ本部」
map_0036#559	この先には、あんまり行きたくないと思うぜ。
map_0036#560	あっちには、スラムしかない。ろくなことにならないぜ。
map_0036#561	時間の無駄だと思うぜ、相棒。
map_0036#562	はい
map_0036#563	いいえ
map_0037#0	???: ……ィ!
map_0037#1	……ィ、大丈夫?!
map_0037#2	起きて!
map_0037#3	アメ: よかった、無事だったのね!
map_0037#4	アメ: あの電車、駅に到着した瞬間に\n爆発したのよ。
map_0037#5	わたしは――
map_0037#6	間に合ってわたしたちを助け出せたのは良かったけど、他のみんなは――
map_0037#7	まあ……今それを考えても仕方ないわ。
map_0037#8	どうして、こんなことに……?
map_0037#9	いったい誰が――
map_0037#10	???: ヒヒ!
map_0037#11	アメ: ……ジュリア。
map_0037#12	アメ: ジュリア、何をしたの?
map_0037#13	ジュリア: なにそれー? アタシ、何もしてないってば!
map_0037#14	ジムジムにいたら、いきなりドッカーンって鳴って、それで走ってきたの!
map_0037#15	だってさ、何か爆発するなら、絶対現場に居合わせなきゃでしょ!!!
map_0037#16	アメ: そう。
map_0037#17	このタイミングだと、これは\n意図的な攻撃だったに違いないわ。
map_0037#18	誰かが電車に細工して、\nグランドビュー駅を破壊しようとしたのね。
map_0037#19	それとも、もしかして……
map_0037#20	ジュリア: 本気で壊すつもりなら、もっと頑張ればよかったのに!
map_0037#21	だって、建物まだ立ってるじゃん!
map_0037#22	どういうことよ!
map_0037#23	これじゃせいぜい10点満点中6点ってとこよ!
map_0037#24	アメ: ……
map_0037#25	とにかく、
map_0037#26	犯人は、まだ近くから様子を見てるかもしれない。
map_0037#27	周辺を封鎖させるわ。まだ捕まえられるかもしれない。
map_0037#28	アメ: わたしは先に行くわね、\PN。
map_0037#29	あなたと同じタイミングで登録する予定だった、もう一人のトレーナーがいるの。彼女を見つけたら、わたしのところに来てちょうだい。
map_0037#30	大ホールにいるから。この道をまっすぐ行けば分かるわ。
map_0037#31	それと、これについては心配しなくていいから。
map_0037#32	きっちり片づけておくわ。
map_0037#33	ジュリア: あんたが\PN?
map_0037#34	アタシはジュリア、元気と応援と、キラキラ明るいもの全部の隊長よ!
map_0037#35	あ、抜き打ちクイズ!\nリボーンリーグに挑戦するつもり?
map_0037#36	正解!
map_0037#37	それじゃあ、すぐに会うことになるね、だってアタシ、でんきタイプのジムリーダーでもあるから!
map_0037#38	えぇー? つまんない! 絶対やらなきゃだめだよ!
map_0037#39	とにかく挑戦してみてよね!
map_0037#40	だってアタシ、でんきタイプのジムリーダーなんだから!
map_0037#41	って、あれ、アメがさっき、あんたのこと登録したって言ってなかった?
map_0037#42	なるほどね、それってウールー使ってアタシの目を欺こうとしてるやつでしょ!
map_0037#43	すっごーく、ずる賢いね、\PN。
map_0037#44	アタシ、お見通しだから!
map_0037#45	あんたの挑戦、楽しみにしてるから! ほら、さっさと大ホールに行きなよ!
map_0037#46	ジュリア: 東にちょっと歩くだけだよ!
map_0037#47	ほら、さっさと行った行った!
map_0037#48	外観は持ちこたえてるけど、中は完全にめちゃくちゃだ……
map_0037#49	出発便はまだ何とか動かせそうだけど、到着路線の修理には時間がかかりそうだ。
map_0037#50	装置は遠隔で起爆された。
map_0037#51	電波の記録からすると、起爆装置は半径15メートル以内にあったはずだ。
map_0037#52	だとすれば、犯人は間違いなくこの辺りにいるはずだが……
map_0037#53	???: また事故の被害者か?
map_0037#54	めそめそするのはやめて、他の者と同じように列の後ろに並べ。
map_0037#55	割り込む者は治療しない、
map_0037#56	だが待つ者には、できる限りの助けを与えよう。
map_0037#57	どんな痛みであれ、それはお前が受けるべきものではなかったと知れ。
map_0037#58	???: 震えを止められるか?
map_0037#59	患者: う、うん、ごめん。
map_0037#60	ただ、痛くて。
map_0037#61	それに、電車事故に丸ごと巻き込まれたあとだから、ちょっとパニックになってて……
map_0037#62	???: 理解できる不安だ。
map_0037#63	動くな、2種類の薬を与える。
map_0037#64	ひとつは痛みを鎮める。
map_0037#65	もうひとつは、神経を落ち着かせる。
map_0037#66	患者: それ、本当に安全なの?
map_0037#67	???: 安全だ。
map_0037#68	私自身が両方とも調合したのだから、分かっている。
map_0037#69	どちらも長期の使用には向かないが、必要とあれば、私自身や娘に使うことも、私はためらわない。
map_0037#70	市もまた、ここに来て使用するよう私に求めるだけの有益性があると、正式に認めている。
map_0037#71	これで、お前の懸念は解消されたか?
map_0037#72	患者: う、うん……
map_0037#73	ごめん、なんかその、怖い雰囲気があるからさ。
map_0037#74	???: そう言われるのは、今回が初めてではない。
map_0037#75	そして、最後でもないだろう。
map_0037#76	私はずっと昔に、朗らかな表情を作る力を失った。
map_0037#77	それは、私から奪われたものだ。
map_0037#78	まだ微笑むことができる者は、それを大切にするといい、
map_0037#79	それが妄想でない限りは。
map_0037#80	患者: あの。
map_0037#81	???: 鎮痛薬の在庫が、少なくなってきたようだ。
map_0037#82	構わない、この最後の一本で、残りの患者には十分足りるだろう。
map_0037#83	ホットショット: 待てよ、それが最後の一本かよ?
map_0037#84	くそ、そんなの使われるまで待ってらんねえ。どけ!
map_0037#85	患者: い、痛っ、ちょっと!
map_0037#86	ホットショット: これ、もらっとくぜ、じいさん。悪いな!
map_0037#87	???: さらに怪我をしたか?
map_0037#88	患者: かなり乱暴に突き飛ばされたけど、大したことは――痛っ!
map_0037#89	???: 来い。まだ治療はできる。
map_0037#90	???: トレーナー、私はこの患者から離れるわけにはいかない。
map_0037#91	お前にわずかでも善意があるなら、あの盗人を見つけ出し、私の医療品を取り戻してきてほしい。
map_0037#92	時間が肝要だ。急がねば手遅れになる。
map_0037#93	奴は北へ逃げた。手がかりとしては、そこから始めるのが良いだろう。
map_0037#94	???: あの犯人は、結局盗んだ品を手放したか。
map_0037#95	お前の働きだと聞いている。
map_0037#96	十分によくやった。
map_0037#97	私からの感謝と、最後に残った患者からの感謝、両方を受け取るがいい。
map_0037#98	それに加えて、自己紹介をしよう。
map_0037#99	コーリーと呼んでくれて構わない。
map_0037#100	コーリー: 遺憾なことだ――我々がここに集まり、負傷者を治療せねばならなかったこの状況は。
map_0037#101	流入を減らしつつ、退去は許す……
map_0037#102	必要な補給路を断つ……
map_0037#103	この街を支える要を取り除く……
map_0037#104	これほど多くの命を奪った悲劇を正当化するために、いったいいくつの言い訳が用いられるのだろうか。
map_0037#106	ちなみに、お前もあの電車に乗っていたのではないか?
map_0037#107	それでいて、こうして治療する側に立っている。
map_0037#108	これからも、自らを敬意をもって律するように。
map_0037#109	これから先、決断力と強い意志が求められる場面が、数多くあるだろう。
map_0037#110	これを、お前の目的の助けとして持っていくといい。
map_0037#111	コーリー: また会う日まで。
map_0037#112	少年: い、痛っ! うう、しみる!
map_0037#113	???: 一時的なものだ。
map_0037#114	包帯を巻く前に、傷は消毒しておかねばならない。
map_0037#115	しみるだろうが、この問題を無視して放置し、化膿させてしまえば、はるかにひどく痛むことになる。
map_0037#116	それが望みなら、やめてもいいが。
map_0037#117	少年: い、いや、お願いします……
map_0037#118	???: 短期的な痛みを長期的な治癒と引き換えにするという取引は、若者には理解しがたいものだ。
map_0037#119	動くな。
map_0037#120	お前には、なぜ世界がお前を傷つけるのかを知るだけの経験が、まだない。
map_0037#121	お前は、自分の周りの大人たちを信じねばならない。
map_0037#122	もっとも、その大人たちが、その信頼にふさわしくあれることは、あまりに少ないのだが。
map_0037#123	これは、あらゆる世代の間に横たわる悲劇だ。
map_0037#124	さて。難しい部分は終わった。
map_0037#125	これから、待っている間の痛みを和らげるため、麻酔薬を塗ろう。
map_0037#126	もう、いくらか楽になったのではないか?
map_0037#127	少年: はい……
map_0037#128	???: 待つ価値はあったか?
map_0037#129	少年: はい。
map_0037#130	???: よろしい。
map_0037#131	包帯を巻く間、もう少しだけ待て。それで終わりだ。
map_0037#132	少年: ありがとうございます。
map_0037#133	お願い、衝撃を受けてからずっと、肩が死ぬほど痛いの……
map_0037#134	ああ、今日はなんてついてないんだ?!
map_0037#135	早くあの鎮痛薬を見つけてくれたら、あなたは二人目の英雄だよ!
map_0037#136	警察が、電車事故の生存者を治療するために、この仮設の救護所を設けたらしい。
map_0037#137	でも、あの人、どう見ても普通の警官には見えないよな?
map_0037#138	……何か文句でも?
map_0037#139	私にも、ここにいる権利がある。
map_0037#140	私だって、他の誰とも変わらない事故の被害者だ。
