map_0858#177	サンディ: あたし、呪われてる？
map_0858#308	今すぐ犯人を見つけて、盗まれた品を取り戻さなければ！
map_0858#309	直ちに捜査を開始します！
map_0858#310	全員に話を聞いて、わかることは全部調べて、終わったら私に報告してください！
map_0858#311	クラウドバリー: な、何が望みなの？！
map_0858#312	クラウドバリー: 動機ですって？
map_0858#313	私に一体どんな動機があるっていうの――
map_0858#314	ああ、この列車に乗ってる他のウジ虫どもの動機のことね！
map_0858#315	じゃああのサンディって娘はどうなの？
map_0858#316	あの飢えた獣が私の事務所を丸ごと水浸しにしたのよ！
map_0858#317	自分が引き起こす無意味な被害なんてお構いなしに、欲しいものを手に入れるためなら極端なことをするって聞いてるわ！
map_0858#318	いっつも環境がどうの環境がどうの言い続けてて――あごの外れたグラエナだってあの子よりはマシに吠えると思うわ！
map_0858#319	あの薄汚い野良犬みたいな子なら、青の秘宝を汚い手で手に入れるためなら何にでも飛びつくに決まってる！
map_0858#320	あんなものであの子がやらかすテロまがいの活動を想像してみなさいな！
map_0858#321	どれだけの統計を捏造できることか！
map_0858#322	そんな力を得て何になるっていうの？！
map_0858#323	くだらない神話のためだけに。
map_0858#324	バカバカしい。
map_0858#325	クラウドバリー: アリバイですって？
map_0858#326	アリバイ？！
map_0858#327	よくもこの私を疑ったわね？！
map_0858#328	言っておくけど、汚らわしい子、私はこの惨めったらしい地域社会の立派な一員であって、あんたのようなドブのゴミとは違って、こそ泥のような下劣な行いになんて絶対に手を出さないの。あんたたちみたいなのは、路上に嘔吐して、それを自分ですすってから、公共の利益や私のような正義の砦のことをちらとでも考えるような人種でしょうけど、私は市の代表として、あんたみたいなクソ染みが、あんたの言う「存在」とやらが放つ悪臭で汚した風の中で、屁のように消し飛ばされるようにする使命があるのよ。そうすることで、あんたの惨めなクズ野郎の父親と、あんたが母親と呼ぶだらしない腰巻きが、あんたたち全員そっくりのぬめったゴキブリみたいに交尾しようと最初に決めて、この腐った街にクソをまき散らすより前から生きてきた私のような立派な指導者全員の墓の上にクソをかけるようなものなの。それによって、もともとわずかしかなかった進歩の芽を、腐りかけた傷口に腐食性の酸をぶちまけるみたいに体系的に堕落させ、まだ残るわずかに焼けただれた肉を治そうと必死にのたうつ血液の中で、最後の胆汁のかけらを吐き出したことすら忘れた、辛辣な虫けらに唾を吐きかけられるだけなんだから！
map_0858#329	クソ野郎。
map_0858#330	クラウドバリー: 他の人たちですって？
map_0858#331	フンッ。
map_0858#332	このガタガタうるさいブリキ缶みたいな列車に乗ってから、あんたとお節介な警官たち以外、まともに人の姿なんてほとんど見てないわ。
map_0858#333	誰もこの年寄りのクラウドバリーに話しかけに来ようともしない――
map_0858#334	年長者への敬意ってものがないのね！
map_0858#335	軽食車両にいるときでさえ、誰も来ないなんて！
map_0858#336	何、私が食べ物を汚染するとでも思ってるの？！
map_0858#337	ただ近くに立ってるだけで？！
map_0858#338	あんたと同じだとでも思ってるわけ？
map_0858#339	そしてわざわざ来た唯一の人間が、よりによって停電の真っ最中に来た、あの胸だけが取り柄の脳みそすっからかんのジムリーダーだったのよ！
map_0858#340	あの子、一番おとなしいときですら会話の相手にすらならないんだから！
map_0858#341	フンーーーーーーーーッ。
map_0858#342	クラウドバリー: だからさっさとどこかへ消えなさい、汚らわしい！
map_0858#343	ユースタス: 失礼、何だって？ ジュースの話か？
map_0858#344	ユースタス: まだズボンにも慣れきっていない子供の私が、値がつけられないほど強力な秘宝を、それも二つも盗み出すという危険極まりない仕事に、一体どんな動機を持ちうるというのか？
map_0858#345	そんな考えはあまりにも馬鹿げている。
map_0858#346	私がこの列車に乗っているのは、世界一周の旅の第一段階だからだ。
map_0858#347	言っておくが、私は奨学金を得ているのだ。これは私の教育と見聞を広めるためのものだ。
map_0858#348	もっとも、その奨学金を出した団体は、自分たちがそうしたことを認識していないのだが、
map_0858#349	せっかくの申し分ない教育の機会を無駄にするような愚かなまねを、私がするはずがない。
map_0858#350	ましてや赤と青の秘宝などという退屈なもののためになど、なおさらだ！
map_0858#351	たとえそれが……ろくに警備されていなかったとしても……
map_0858#352	何千もの価値があるとしても……
map_0858#353	そして計り知れない力を持っているとしても……
map_0858#354	……私は絶対にやらない。
map_0858#355	ユースタス: そうそう、アリバイが欲しいなら、あの扉のそばに立っている脳みそ空っぽの道化を見るといい。
map_0858#356	マッギョのほうがまだ知的な深みがあるくらいだ。
map_0858#357	あの間抜けは、列車が完全に停止した後も、何時間もかと思うほど私を降ろそうとしなかった。
map_0858#358	砂嵐がどうの、境界線がどうのと！
map_0858#359	明かりが消えている間でさえ、あいつはずっとうるさく私に絡んできていた！
map_0858#360	もちろん、私がなぜ列車を降りたかったのかを尋ねる必要はない……
map_0858#361	断じて暗闇が怖いからではない……
map_0858#362	暗闇を怖がるのは赤ん坊だけだ……
map_0858#363	……そして私は、もちろん、紳士なのだからな。
map_0858#364	ユースタス: ああ、まっとうな質問だな。
map_0858#365	そうだ、私にはこの列車の少なくとも一人を有罪に問うだけの証拠がある、
map_0858#366	もっとも、一、二時間もらえれば、乗客全員を有罪にするだけの証拠を集めて仕込むこともできるだろうがな。
map_0858#367	とにかく、今のところは、あの黒いローブの男に注目してもらいたい――ジョン、といったか。
map_0858#368	明かりが消えたとき、あいつは娼館を駆け抜ける梅毒のようにこの場所を走り回っていた。
map_0858#369	母には、そんな表現は使うなと言われたが、私は言語というのは感情の強度を高めていく自己参照的な論法の構造なのだと母に言い返し、もし止めようとするならもっと強烈な表現を用意していると伝えておいた。
map_0858#370	とにかく、あの間抜けは私につまずきかけた。
map_0858#371	もごもごと謝りながらも、走るのを止めようとはしなかった。
map_0858#372	あいつの優先順位がどこにあるか、よくわかるというものだ！
map_0858#373	きっとまっすぐ後方の秘宝を狙って逃げようとしていたに違いない。
map_0858#374	まずあいつを逮捕するといい。礼は後で構わない。
map_0858#375	ユースタス: それだけなら、私はもうジュースをいただくとしよう、失礼。
map_0858#376	ジュリア: どうも！ あたし、逮捕されるわけじゃないよね？
map_0858#377	刑務所に行くにはあたし若すぎるし、元気すぎるもん！
map_0858#378	ジュリア: 秘宝を盗む理由なんてないもん！
map_0858#379	本当だよ！
map_0858#380	わかってる、あなたが何を考えてるか――爆発が起きたから、あたしのせいに違いないって、でしょ？
map_0858#381	それはそうだよね！
map_0858#382	誰もあなたを責められない、筋の通った考え方だと思う！
map_0858#383	でもさすがにあたしだって、自分たちが乗ってる列車を本気で爆破するほどバカじゃないよ！
map_0858#384	もし連鎖反応が起きて、映画みたいに全部の車両が次々爆発して、大事故になってみんな死んじゃったらどうするの！？
map_0858#385	あたしは放火魔であって、大量殺人犯じゃないんだから！
map_0858#386	ジュリア: よし、これ、ひどく聞こえるだろうけど、ちゃんと説明できるから――
map_0858#387	停電の間……
map_0858#388	あたし……
map_0858#389	……テーブルの下に隠れてたの。
map_0858#390	怖かったからじゃないよ！ 誓う！
map_0858#391	ただ――あんなに長く電気が消えるとは思わなくて、ちょっとしたチカチカだと思ってたの――
map_0858#392	だから、電気が消えたときにテーブルの下に潜って――それでまた電気がついて、
map_0858#393	デート相手が「あれ？ どこ行った？」って言って、
map_0858#394	そこであたしが「わっ！」って飛び出すの、絶対ウケると思ってさ！
map_0858#395	でも電気が全然戻らなくて、これ結構長引きそうって思ったけど、もうやると決めちゃったし、
map_0858#396	だから、まあしばらくこのままかもしれないから、戻るまでの間におやつでも取りに行こうって思って、
map_0858#397	だから這い出て、戻ってきたら電気がついてて、今こうして逮捕されそうになってるってわけ。助けて、あたしはただ「わっ！」ってやりたかっただけなの！！！
map_0858#398	ジュリア: 犯人はボールルームでクラウドバリーさんが燭台で！！！
map_0858#399	ううん、実際に知ってるわけじゃないよ。
map_0858#400	でもそれ面白いよね。
map_0858#401	そもそもこの列車にボールルームなんてないと思うし。
map_0858#402	燭台もね。
map_0858#403	とにかく、よし、これ本当にひどく聞こえるだろうけど、あの人からじゃなくてあたしから聞いたほうがいいと思う。
map_0858#404	あたしとあの男、この列車を襲う方法について本気で話してたの。
map_0858#405	あくまで仮定の話としてね！
map_0858#406	完全に仮定の話！
map_0858#407	あたしが運転士の気をそらして――機関部を爆破するんじゃなくて――電気を消せるかもって話してて、その間に彼が後ろにこっそり忍び込んで秘宝を盗む、みたいな感じ。
map_0858#408	でもそれはただの楽しい会話だったの！
map_0858#409	実際にやるつもりなんて全然なかったんだから！
map_0858#410	それに念のため言っておくけど、言い出したのは彼のほうで、あたしじゃないから！
map_0858#411	ジュリア: ……せめて刑務所に面会には来てくれる？
map_0858#412	チーフ: これは実に嘆かわしい事態です……
map_0858#413	これだけの準備をしたというのに、それでも秘宝を守り切れないとは……？
map_0858#414	チーフ: まったく理解できません……
map_0858#415	秘宝はこのケースの中に保管されていて、鍵を持っているのは私だけです。
map_0858#416	私から鍵を奪った者はいないのに、ケースには損傷の痕跡すらありません……
map_0858#417	一体どうやって消え失せたというのでしょう？
map_0858#418	そして今どこにあるのでしょうか？
map_0858#419	チーフ: 確かに、停電に至るまでの間、乗客たちには目を光らせていました。
map_0858#420	これといって何も起きませんでしたが、私が気づいたことは全てお話しします。
map_0858#421	あの子供、ユースタスは、あらゆることに大騒ぎしているようでした――些細なことで私の部下たちをあちこち呼びつけて！
map_0858#422	何かのために部下たちの気を引こうとしていたのではと思いましたが――結局のところ、ただの子供ですからね……
map_0858#423	クラウドバリーさんも似たような騒ぎを起こしていました。
map_0858#424	何度も中央の車両に歩いていっては、私を見るなり食べ物が最悪だと何かわめいて、引き返していきましたね。
map_0858#425	食堂車を行き来する何人かの姿も見ました……
map_0858#426	ですが考えてみると、サンディやジョンのような何人かは、出発した側とは反対側に着いていたような気もします……
map_0858#427	ジュリアとあのギャングのリーダーが親しげにしているのも見ました――あちこちで少し囁き合っていましたよ。
map_0858#428	何を話しているかまでは聞こえませんでしたが、もっと証拠がない限りはデートに割って入らないほうがいいと思いまして。
map_0858#429	しばらくして、明かりが消えました。
map_0858#430	念のため部下たちを前方に向かわせ、私自身はすぐに機関室を確認しに行きました。
map_0858#431	それ以降は、あなたのご存知の通りです。
map_0858#432	チーフ: 最初の捜査で、六人の容疑者が浮上しました。
map_0858#433	まず、クラウドバリーさん。
map_0858#434	抜け目のない狸で、過去に違法な闇取引に手を染めていたことがわかっています。
map_0858#435	次に、地面タイプの補欠ジムリーダー、サンディ。
map_0858#436	リーグのメンバーを疑うのは心苦しいのですが、彼女には、動機は善意だったとはいえ法を破ることを厭わなかった過去があります。
map_0858#437	三番目、元アクア団リーダー、アーチャー。
map_0858#438	三番目、元マグマ団リーダー、マクスウェル。
map_0858#439	彼の一味は解散していますが、強盗の前歴は豊富で、秘宝が彼にとって特に意味を持つ可能性は否定しがたいものがあります……
map_0858#440	四番目、元オーダリーでTeam Meteorの工作員だったジョン。
map_0858#441	アゲートシティでの襲撃で捕らえられた後、保釈されています――一体どうやって保釈金を用意したのか、神のみぞ知る……
map_0858#442	Meteorから抜けたと本人は主張していますが、それでも信用しがたいものがあります。
map_0858#443	五番目、電気タイプのリボーンジムリーダー、ジュリア。
map_0858#444	彼女の地位と影響力のおかげでいろいろ大目に見てきましたが、二度考えるどころか、彼女が何かを爆破する前に一度でも考えていてくれたら幸運というものです。
map_0858#445	機関室の状況は、残念ながら彼女を最有力容疑者にしています。
map_0858#446	最後に、ラピスワード出身の子供、ユースタス。
map_0858#447	ユースタスには記録上の前科はありませんが、特に……問題を抱えた……子供であると同時に、頭も切れるようです。
map_0858#448	危険な組み合わせです――そしてそれは、いくつもの法をすでにすり抜けてきた、まったくの倫理観の欠如という形で表れています。
map_0858#449	どの事件でも、法律上の抜け穴で完全に無罪放免になっています。正直なところ、あの子供は本気を出すと恐ろしいものがあります。
map_0858#450	以上です――残念ながら、愚か者ぞろいのフルハウスですね。
map_0858#451	他にも関わっている者がいる可能性は常にありますが、我々の調査では、この六人が最も疑わしいと言えるでしょう。
map_0858#452	チーフ: もう捜査は終わったのですか？
map_0858#453	本当に確かですか？
map_0858#454	チーフ: 徹底的に調べるのが一番です！
map_0858#455	一つも見落としのないように！
map_0858#456	もっとも、この船内にそう石なんて多くあるとは思いませんが……
map_0858#457	チーフ: やるべきことがたくさんありますよ！
map_0858#458	チーフ！ 赤の秘宝が見つかりました！
map_0858#459	チーフ: 本当ですか！？
map_0858#460	素晴らしい知らせです！ すぐに集合しましょう！
map_0858#461	秘宝と、主要な容疑者全員を食堂車へ連れてきてください！
map_0858#462	私もすぐに向かいます！
map_0858#463	え？ あなた、もしかしてチャンピオン？
map_0858#464	うわぁ……
map_0858#465	一体何が起きたの……？
map_0858#466	何か盗まれて、それを調べてるの？
map_0858#467	私、この場所からずっと動いてないから、あまり役に立つことは言えないと思うけど……
map_0858#468	あ！ でも、あの別の車両にいるうるさいおばあさん、知ってる？
map_0858#469	あの人、ここを何度も行ったり来たりしてたけど、あんまり遠くには行かなかった――
map_0858#470	でも気づいたのは、一番いらついてるときでさえ、あの人の体はすごく重そうで――そんなに速く動けなさそうだったってこと。
map_0858#471	もしあれが本当に最速だとしたら、電気が消えてた時間で貯蔵車まで行けるとは思えない……
map_0858#472	これ、役に立った？
map_0858#473	どうしてあの可愛いジムリーダーの子じゃなくて、私のところに来てくれなかったんだろう？
map_0858#474	なんであの男なの？
map_0858#475	ねえ、何かあったんでしょ？
map_0858#476	あたしの向かいに座ってたカップルを調べてみたら？
map_0858#477	あの二人、控えめってものを知らないみたいでさ――
map_0858#478	電気が消える前、この列車で何か企んでるみたいに大声で話してたよ。
map_0858#479	あたしに言わせりゃ、容疑者は一番と二番だね。
map_0858#480	むかつく。
map_0858#481	あそこにいたカップル、絶対にこの列車で強盗をやらかそうって話してた。
map_0858#482	電気が消えたとき、絶対やるつもりだって確信したよ――それにあの男、旅の間中ずっとうざかったし。
map_0858#483	あいつが貯蔵車に向かって歩き出した瞬間、暗闇の中で足を出して転ばせてやろうと思ってたのに！
map_0858#484	でも結局あいつはそうしなかった。
map_0858#485	他にも何人か行き来してたけど、あいつは本当にずっとそこにいたんだよ……
map_0858#486	あいつが顔からすっ転ぶところ、見たかったなぁ……
map_0858#487	チャンピオン\PN、
map_0858#488	あなたのリーグの仲間が機関部を爆破した犯人だと断言できる証拠は持っていませんが、
map_0858#489	ただ、彼女がやってなかったら逆に驚くだろうな、とは思いますね。
map_0858#490	事件の時、あたしはこの後方で見張りをしてました！
map_0858#491	最初に、サンディが貯蔵室に駆け込もうとしているのを捕まえました。
map_0858#492	それから、他の誰かが横を走り抜けていったんですが、捕まえられませんでした！
map_0858#493	大きな物音、低い叫び声が聞こえて、それきり静かになりました。
map_0858#494	注目すべきは、貯蔵車の裏口が開く音は聞かなかったということです……
map_0858#495	でも二両ほど先で悲鳴のような声がしていたので、それにかき消されただけかもしれないと思っています……
map_0858#496	サンディ: あたしじゃない！ 信じて！
map_0858#497	チーフ: サンディが犯人ですか？
map_0858#498	サンディ: 待って、違う、\PN！
map_0858#499	あんた間違ってる！
map_0858#500	こんなことにならなくてよかったのに――でもまだ時間はある！ あんたの考え、絶対変えてみせるから！
map_0858#501	あたしがずっと望んでたのは地球を守ることだけなのに、それすらできなかった！！！
map_0858#502	チーフ: なるほど。続けて。
map_0858#503	サンディ: あんたのバッグから出てる水……
map_0858#504	それ、純粋なものだと思う？
map_0858#505	もしかして、天然のミネラルウォーターとか？
map_0858#506	クラウドバリー: ンンンンンンンンンンンンンンンンンンン。
map_0858#507	チーフ: クラウドバリーが犯人ですか？
map_0858#508	クラウドバリー: よくもこの惨めな――
map_0858#509	このボロボロの――
map_0858#510	あんた――
map_0858#511	ラアアアグッッハッフダフナクサドッスル！！！！
map_0858#512	ヤァァァグッハーブフォグルルルグッグッグ！
map_0858#513	クラウドバリー: 私の若い頃は、あんたたちの気取ったプラスチックボトルの水なんてなかったのよ！
map_0858#514	自分の水筒を持っていなければ、自分のわきの下から出る汗を飲むしかなかったんだから！
map_0858#515	フンーーーーーーーーッ。
map_0858#516	ジョン: 頼むぞ、\PN。
map_0858#517	何なら無実の男を疑うがいい。
map_0858#518	たとえこのつまずきがあろうと、Team Meteorの復活は止まらない。
map_0858#519	チーフ: ジョンが犯人ですか？
map_0858#520	ジョン: いかにも見え透いた選択だ――だが愚かで見当違いなものでもある。
map_0858#521	それでも、俺はMeteorの栄光のために戦う！
map_0858#522	また貴様の好戦的な反抗か……
map_0858#523	ジョン: ふむ、どうやら我々より先に出し抜かれたようだな……
map_0858#524	ユースタス: 私には手出しできんぞ。
map_0858#525	試みるだけ無駄だ。
map_0858#526	チーフ: ユースタスが犯人ですか？
