map_0183#8	ついに……
map_0191#25	ECTは、不安が急性のピークに達した際の補助治療として、また慢性的な感情の不均衡を是正するために検討されている。」
map_0191#26	「サファイラ・ベルローズ」
map_0191#27	入所時年齢: 15歳
map_0191#28	診断名: 反抗挑発症
map_0191#29	所見: 患者は入所以来、引きこもりがちな様子と攻撃的な様子を交互に見せている。
map_0191#30	患者は、兄弟姉妹に対して執着に近いレベルの独占欲を示している。
map_0191#31	患者はほぼすべての場合において権威者を悪者扱いし、対峙すると攻撃的、暴力的に反応することがある。
map_0191#32	患者は、特に生活環境に適応し始めた当初、複数の暴力的な衝突を起こしている。
map_0191#33	患者の記憶には乱れが見られ、特に本記録者に関して、辻褄の合わない、あるいはあり得ない出来事を語ることがある。
map_0191#34	患者は本記録者に対し、次第に非現実的かつ暴力的な認識を抱くようになっており、虚偽の状況や告発をでっち上げるまでに至っている。
map_0191#35	患者は両親を失った喪失感を、自ら過保護な親を演じることで埋め合わせているようだ。
map_0191#36	母親役を担うことで、いない父親像との間に不協和を生み出しているようだ。
map_0191#37	この不協和と、自覚されない嫉妬心により、男性の権威者に関する不適切な妄想や告発が生じている。
map_0191#38	治療方針: 両親の喪失が権威者との関係にどう影響しているかを探る、精神分析的対話療法。
map_0191#39	妄想や暴力的な発作への感情調整のため、ECTがたびたび必要とされている。
map_0191#40	その他所見: 元患者は、兄弟姉妹の後見権を繰り返し申請している。
map_0191#41	本記録者の見解では、そのような後見は、最終的に彼らの精神的健康と安定を損なうものである。
map_0191#42	権威にも現実にも希薄な関係しか築けないサファイラ・ベルローズには、適切な家庭環境を提供することはできない。
map_0191#43	さらに、抑圧されたトラウマにこれほど不健全な形で対処し続けている人物のそばで暮らすことは、兄弟姉妹自身の葛藤を悪化させるだけだろう。
map_0191#44	これまでの後見申請はすべて却下されており、今後の申請も検討しないことをここに正式に定める。」
map_0191#45	「シャルロット・ベルローズ」
map_0191#46	入所時年齢: 6歳
map_0191#47	診断名: 反社会性パーソナリティ障害
map_0191#48	所見: 患者は自身の感情を認識し処理することに困難を抱えている。
map_0191#49	患者は他者への共感の欠如を示している。
map_0191#50	患者は支配関係への執着を見せることが多く、しばしば自らの衝動のままに他者を操るために用いている。
map_0191#51	患者は、自らの主体性を確認する手段として、周期的に権力争いを引き起こす傾向がある。
map_0191#52	患者は、それ自体が目的であるかのように、施設内への禁制品の密輸や、取るに足らない事柄についての虚偽など、二枚舌の行動をとる。
map_0191#53	患者は両親の死について自分に責任があると信じ込んでおり、この罪悪感を完全に内面化している。
map_0191#54	この件に対する無関心な感情表現と、その後の情緒的な距離の置き方は、トラウマに耐えるための対処機制であると考えられる。
map_0191#55	治療方針: 抑圧された感情や心情、そして弱さを見せることへの抵抗感を探る、精神分析的対話療法。
map_0191#56	ECTは、他では感じられない感情との再接続と処理を助ける手段として検討されている。
map_0191#57	「ヘザー・_____」
map_0191#58	この用紙はまだ記入されていない。
map_0191#59	「アンナ・ドウ」
map_0191#60	診断名: 幻聴および幻視
map_0191#61	所見: 匿名の人物により提供された情報。
map_0191#62	患者は現実との乖離が悪化する様子を示している。
map_0191#63	患者は、他人の周りに存在しない火傷や擦り傷、湿り気が見えるといった幻視を訴えている。
map_0191#64	患者は、空想上の友人や正体不明の何かから聞こえる声を訴えている。
map_0191#65	患者は成長するにつれ、これらの「友人」をより具体的に信じるようになっているようだ。
map_0191#66	症状は9歳頃に初めて現れた。
map_0191#67	患者は現時点で統合失調症の早期診断基準を満たしていないが、今後も経過を観察していく。
map_0191#68	これらの幻覚は、注意を引くための虚偽的な行動パターンである可能性もある。
map_0191#69	これにより、正当な感情的つながりが不足する中で、自らの重要性を高めた感覚を作り出しているのかもしれない。
map_0191#70	職員は、欺瞞的な行動を助長しないよう、存在しない刺激についての訴えはすべて無視することが望ましい。
map_0191#71	治療方針: 抑圧された孤独感と孤立感を直接認めることを目的とした、精神分析的対話療法。
map_0191#72	ECTは、報告されている幻覚への効果を試すために使用されている。
map_0191#73	数回にわたり、施術後に該当の刺激が聞こえなくなったと患者は報告しているが、この効果は一貫していない。
map_0191#74	「ノエル・ドウ」
map_0191#75	診断名: 自閉スペクトラム症
map_0191#76	患者は感情や経験について言葉で伝えることはできるが、感情表現が自然に出ることはない。
map_0191#77	患者は会話中の暗黙の意味を誤解することがあり、他者の感情を直感的に察することに苦労している。
map_0191#78	職員は、指示を出す際は文字通り直接的な言い方を心がけることが望ましい。
map_0191#79	患者は普段は従順で行儀がよいが、日々の環境内の対立から継続的なストレスを受けていると訴えている。
map_0191#80	また、疎外感を覚える場面では特に落ち込む様子を見せており、これは放置されることへの敏感さを示している。
map_0191#81	施設に来ることになった経緯を自覚していることが、劣等感の一因になっていると考えられる。
map_0191#82	治療方針: 抑圧された見捨てられ感と放置された感覚を直接認めることを目的とした、精神分析的対話療法。
map_0191#83	ECTは、認知処理への影響を探るために使用されている。
map_0191#84	はい
map_0191#85	いいえ
map_0192#0	カイン: やっほ~
map_0192#1	シャルロットは見つけたんだけど、オレ、今ちょっと手が離せなくて。
map_0192#2	代わりに面倒見てくれる?
map_0192#3	カイン: 勘弁してよ、オレずっと二対一でやってたんだよ!
map_0192#4	まあ、そういうのも嫌いじゃないけど、こういう形はちょっとねぇ。
map_0192#5	ニドキングは戦いに集中している!
map_0192#6	なんでぼくを外に出したの?
map_0192#7	ぼくは悪い子だから。外に出しちゃいけないんだ。
map_0192#8	シェリー: え、えっと……あちゃー?
map_0192#9	ぼくは悪い子、悪い子、博士がいつもそう言うんだ……
map_0192#10	シェリー: あの……わ、私、専門家とかじゃないけど、あの博士って、なんていうか……
map_0192#11	まあ、いやなやつ。
map_0192#12	だから……博士の言うこと、聞かなくてもいいんじゃないかな?
map_0192#13	それに……あなた自身は、自分のこと悪い子だと思う?
map_0192#14	こども: みんながそう言うから。
map_0192#15	それに、ぼくはここ、サーキットにいるし……
map_0192#16	だから、きっとそうなんだよね?
map_0192#17	シェリー: う、うーん……わからないな。
map_0192#18	私が読んだ本だと、悪者ってヒーローをくじけさせるために、よく嘘をつくんだよ。
map_0192#19	もしそうなら、強い心を持ち続けることが大事だよね?
map_0192#20	こども: へえ……
map_0192#21	じゃあ、ぼくはヒーローってこと?
map_0192#22	シェリー: なれるよ!
map_0192#23	えっと、本気でがんばれば、なりたいものになれると思う!
map_0192#24	あ……まあ、常識の範囲内で……たぶん?
map_0192#25	こども: それ、ちょっといいかも……
map_0192#26	よし、助けてくれたお礼に、これ二人にあげる!
map_0192#27	もともと盗んだものだけど、あげちゃえば帳消しになるよね?
map_0192#28	こども: これから絶対ヒーローになる!
map_0192#29	シャルロット: ちょっと、あたしを出す気あんの? それともただ見物に来ただけ?
map_0192#30	シャルロット: 別にいいけど。出してほしいとか思ってないし。
map_0192#31	そのままじーっと見てなさいよ。
map_0192#32	そう。そんな感じ。
map_0192#33	よくやった。
map_0192#34	シャルロット: あんたたち、本当にやり遂げたんだ。
map_0192#35	カイン: 当然でしょ~
map_0192#36	オレたちのこと、疑ってたわけ?
map_0192#37	シャルロット: それ、答えないほうがいいと思うけど。
map_0192#38	カイン: いや、オレたちすごいから!
map_0192#39	~ オレと仲間はちゃんとやり遂げる、戦いから逃げるとこなんて見せないよ ~
map_0192#40	シャルロット: こんな時に歌ってんの?
map_0192#41	カイン: そうだよ!
map_0192#42	シャルロット: あんた、まるで魔法のプリンセスね。
map_0192#43	カイン: いつか王子様が迎えに来て、さらっていってくれるんだよねぇ!
map_0192#44	シャルロット、ねえ、オレの王子様になってよ?!
map_0192#45	シャルロット: はいはい、ありえない。
map_0192#46	かんごにん: こいつ、やるな……
map_0192#47	カイン: まだ半分もわかってないと思うけど、オレにも一応こだわりはあるからね。
map_0192#48	とっとと出ていきな!
map_0192#49	カイン: ふう。よくやった、ニドキング。
map_0192#50	かえれ~
map_0192#51	オレ、ちょっと休憩するね。
map_0192#52	シャルロット: まあ、それはそれとして、あたしのタバコがまだ必要なんだけど。
map_0192#53	シャルロット: 保管室はあっちのほうにある。
map_0192#54	押し入るしかないわね。
map_0192#55	カイン: ドラッグのため? ここの子供たちにとって、本当にいい影響だよねぇ。
map_0192#56	シャルロット: 生意気言わないで、プリンセス。
map_0192#57	あれは冗談。
map_0192#58	あたしたちのポケモンが、そこに保管されてるのよ。
map_0192#59	シェリー: あ、そ、それは大事だね!
map_0192#60	よし、やろう、\PN!
map_0192#61	シャルロット: あたしたちのポケモンは、あっちの保管室に置かれてるの。
map_0192#62	シェリー: 絶対取り返そう!
map_0192#63	あの女っぽい男、意外と強いな……
map_0192#64	一体何が起きてるんだ……
map_0192#65	このエリアは、権限のない者は立ち入り禁止だ!
map_0192#66	それでも権限はないままよ。
map_0192#67	別に止められるわけじゃないけど。
map_0192#68	シャルロット: いいから保管室を開けなさい、じゃないと\PNにズタズタにしてもらうわよ。
map_0192#69	かんごにん: は、はい、わかりました……
map_0192#70	ポケモンが四組並んでいる――
map_0192#71	シャルロット、アンナ、ノエル、それから――
map_0192#72	あ、ヘザーのも。
map_0192#73	これはもらっておく。
map_0192#74	それと、その色っぽいタバコの箱も。
map_0192#75	やあ、セクシー。
map_0192#76	それから、最後に……
map_0192#77	予備のIDカードが一枚。よし。
map_0192#78	よし、これでオーケー。
map_0192#79	あの子を連れて、出よう。
map_0192#80	最上階のドアを開けて、双子に荷物を返しておく。
map_0192#81	準備ができたら、上で合流しよう。
map_0192#82	かんごにん: ……は、はい、わかりました。
map_0192#83	シャルロット: ずいぶん寛大なこと。
map_0192#84	そのポケモンは返してもらえないぞ!
map_0192#85	いや、返ってくるかもな。
map_0192#86	職員が全員、まさかあんたたち三人にやられたっていうの?
map_0193#0	このエリアに部外者は立ち入れない。
map_0193#1	参考までに言うと、あたしは博士のやり方が好きじゃないの。
map_0193#2	それで、あの子たちに十分な時間が稼げるといいけど。
map_0193#3	ただちに退去してください。
map_0193#4	彼がどうなろうと、あなたには関係ない。
map_0193#5	あの少年はもう閉じ込められているはずよ。
map_0193#6	電源が入っていないようだ。
map_0193#7	上は子供たちの居住区だ。
map_0193#8	部外者は立ち入れない。
map_0193#9	博士の計画に干渉しないことをお勧めする。
map_0193#10	ああ。ふむ。
map_0193#11	気にしていない、と。なるほどね。
map_0193#12	かんごにん: ……こいつはまずいな。
map_0193#13	ゲートを閉じて締め出してやる!
map_0193#14	かんごにん: おい、なんで閉まらないんだ?!
map_0193#15	下の階のロック、もう解除されてたのか?!
map_0193#16	うぐぅ――
map_0193#17	かんごにん: ほら、これを突破してみろ!
map_0193#18	シェリー: どうしよう……これじゃノエルのところに行けないよ?!
map_0193#19	アンナなら知ってるかも?
map_0193#20	聞きに行こう!
map_0193#21	やってはみたんだけどな。
map_0193#22	正直に言うと、あんたたちを止めたい気分じゃないんだよ。
map_0193#23	ここで行われてることの中には……
map_0193#24	賛同できないものもあるからな。
map_0193#25	こんにちは、誰?
map_0193#26	ここ、初めて?
map_0193#27	シェリー: あ、私、シェリーだよ!
map_0193#28	こっちは\PN。
map_0193#29	私たちは、その、えっと……
map_0193#30	通りすがり、みたいな?
map_0193#31	なんで職員たちに怒られてるの?
map_0193#32	シェリー: えっと……
map_0193#33	あの、その……何人か、ちょっと痛い目に遭わせちゃったというか……
map_0193#34	あ、その――私の真似はしないでね!
map_0193#35	学校はちゃんと行って、暴力はだめだよ!!
map_0193#36	ブレイク: おいおいおいおい、待てって――
map_0193#37	あああ……
map_0193#38	ジャッキー: ゲームセット!!!
map_0193#39	ジャッキー: もらった!! だからあたしのほうが上だって言ったじゃん!!!
map_0193#40	ブレイク: いや、は?
map_0193#41	おいおい、マジかよ。ピチューが強すぎんだって。
map_0193#42	てか、あの判定何なんだよ?
map_0193#43	グレイ: でも、ゲッコウガに負けたときも「強すぎ」って言ってたよね。
map_0193#44	ブレイク: いや、まあ、そうだけど、ゲッコウガはそもそも俺のメインじゃねえし。
map_0193#45	ジャッキー: 言い訳やめなよ! 正々堂々負けたんでしょ!
map_0193#46	ブレイク: うわ、正々堂々ときたか。
map_0193#47	わかったわかった、お前の勝ちでいいよ。
map_0193#48	ラケル: もう一回やろうよ?
map_0193#49	ブレイク: おう、いいぜ。
map_0193#50	誰も止めるやつなんていねえしな。
map_0193#51	でも今度はお前らボコボコにしてやるからな、覚悟しとけよ?
map_0193#52	グレイ: 前もそう言ってたよ。
map_0193#53	ブレイク: いや、でも今度こそマジだから。
map_0193#54	ラケル: それってさ――それってさ、負け続けて恥ずかしいだけじゃないの!
map_0193#55	ジャッキー: そう、しかも子供相手に。
map_0193#56	ブレイク: はぁ? 恥ずかしいって?
map_0193#57	おい……
map_0193#58	ないない。
map_0193#59	ラケル: でも、恥ずかしいんでしょ。
map_0193#60	認めちゃえば?
map_0193#61	ブレイク: あーもう、わかったわかった。
map_0193#62	ああ、今のは俺の一番かっこいい瞬間じゃなかったよ、
map_0193#63	でも、言い訳させてもらうと?
map_0193#64	お前らちびっこ、たまにマジでゲーム上手いんだよ。
map_0193#65	本物は本物がわかるってやつだな。
map_0193#66	まあ、これが『コール・オブ・シューティング』だったら、話は全然別だけどな。
map_0193#67	ジャッキー: 「コール・オブ・シューティング」って何?
map_0193#68	ブレイク: ああ、あれは最高だぜ。
map_0193#69	ジャッキー、絶対気に入るって。
map_0193#70	よし、今度持ってきてやるよ。そんときに言ってくれたら、「ティーバッグ」ってやつを教えてやる。
map_0193#71	ヘザー: 何を教えるって?
map_0193#72	ブレイク: お、おう、ヘザー、いつからそこに……
map_0193#73	ヘザー: そうでしょうね。
map_0193#74	それで、汚い言葉についてなんて言ったか覚えてる?
map_0193#75	ブレイク: いや、俺、汚い言葉なんて使ったか?
map_0193#76	ジャッキー、俺、なんか言った?
map_0193#77	グレイ: 「s」の単語言ってたよ。
map_0193#78	ブレイク: うわ、マジかよ?
map_0193#79	いや――しまった――
map_0193#80	このやろ――
map_0193#81	うぐ。
map_0193#82	ヘザー: ……
map_0193#83	\PN、こいつのこと見張ってて。
map_0193#84	ブレイク: はいはい、わかってるって。保護者付き添いってやつだろ。
map_0193#85	ラケル: でも、大人なんじゃないの?
map_0193#86	ブレイク: 残念ながら、そうだよ。
map_0193#87	でもまあ、昔ちょっとやばい判断をいくつかしちゃっててな。
map_0193#88	ヘザー: やばいとかじゃなくて、最悪でバカだったのよ。
map_0193#89	ブレイク: ああ、うん、最悪でバカだったな。
map_0193#90	ラケル: じゃあ、なんでやったの?
map_0193#91	ブレイク: ……まあ、その。
map_0193#92	たぶん、ただ怖かったんだと思う。
map_0193#93	あらためて、悪かったな。
map_0193#94	やり直すチャンスをくれて、感謝してる。
map_0193#95	まあとにかく、この二人はまた俺が変な選択しないか見張るためについてきてるんだ。
map_0193#96	ピチューを選ぶとかな。
map_0193#97	ジャッキー: 悔しがってなよ!
map_0193#98	ブレイク: それは冷てえよ……
map_0193#99	ヘザー: ブレイク、機嫌悪そうね。
map_0193#100	おやつタイムが必要?
map_0193#101	ブレイク: ああ、かもな……
map_0193#102	ヘザー: よし、みんな、おやつタイムにしましょ。
map_0193#103	ブレイク: なあ。あのフルーツグミ、まだあったっけ?
map_0193#104	あれ最高だったんだよ!
map_0193#105	ヘザー: ……見てくる。
