map_0897#237	リン: まあ……
map_0898#111	流れ星としての最後の瞬間に、もたらした喜びの中で、触れた心の中で、呼び起こした笑顔の中で。
map_0898#112	だから、そのほんのちっちゃな最後の命でさえ、
map_0898#113	自分のしたことを、一度たりとも後悔なんてしなかったの。
map_0898#114	だから、あなたもあたしの分まで、ちゃんと笑ってね、いい?
map_0898#115	ママがいなくなっても……
map_0898#116	ママが行かなきゃいけない理由、わかるよね?
map_0898#117	きっと……
map_0898#118	わかってくれるよね、あたしの小さな隕石ちゃん……
map_0898#119	許してね……
map_0898#120	ミスター・シャドウ: たった一つの犠牲?
map_0898#121	世界全体を救うために?
map_0898#122	それとも、もう一度チャンスを与える――まあ、何でもいいけど。
map_0898#123	論点がずれてる。
map_0898#124	お前が理想にしがみついていられる時間は、あの少年が窒息するよりずっと前に終わっていたんだ。
map_0898#125	俺たちは自分を欺くのに忙しすぎて、それに気づかなかった。
map_0898#126	同じ過ちを二度繰り返すのはやめよう。
map_0898#127	みんなの命 対 一人の命?
map_0898#128	感情を抜きにすれば、考えるまでもないことだ。
map_0898#129	……いいか。
map_0898#130	俺を使え――自分から志願してるんだ。
map_0898#131	この体、そもそも好きじゃないって知ってるだろ。
map_0898#132	その点では、お前は俺に恩を売ることになる。
map_0898#133	それでもまだ足りないか?
map_0898#135	わかった、その罪悪感、俺が肩代わりしてやる。
map_0898#136	この手すりを一歩越えれば、どのみち俺は落ちて死ぬ。
map_0898#137	俺はやるぞ。
map_0898#138	戦いが終わる前に手を投げ出して諦めた世界になんて、いたくない。
map_0898#139	だから、このまま起こるに任せるか、それとも何かするための厳しい選択をするか、どっちかだ。
map_0898#140	俺の命を使え。
map_0898#141	それが論理的な決断だ。
map_0898#142	何が起きようと、リンを止めろ。
map_0898#143	サード: 彼女に行動させるな、さもなくば失敗する。
map_0898#144	お前の駒は昇格させねばならぬ、さもなくば失敗する。
map_0898#145	\PNを支援せねばならぬ、さもなくば失敗する。
map_0898#146	この行動には結果が伴う。
map_0898#147	この結末は変えられない。
map_0898#148	この結末は偶然に委ねられている。
map_0898#149	この結末は予見できない。
map_0898#150	彼女を止めねばならぬ、さもなくば失敗する。
map_0898#151	\PNの成功を確実にせねばならぬ、さもなくば失敗する。
map_0898#152	時間軸を正さねばならぬ、さもなくば失敗する。
map_0898#153	この結末は、他者によってのみ決まる。
map_0898#154	\PNに話しかけてはならぬ、さもなくば失敗する。
map_0898#155	残された選択肢のいずれも、望ましい結末には至らない。
map_0898#156	ノエル: アンナ、ここにいたら見つかっちゃうよ……
map_0898#157	アンナ: 静かにしてれば大丈夫!
map_0898#158	製氷機の下、見てみて! そこにあるかも。
map_0898#159	ノエル: これは……フローズンヨーグルトのチューブだよ。
map_0898#160	アンナ: 違う、アイスキャンディーのはずなの! ジェリーが、喉の痛みを和らげるのはそれしかないって言ってたから!
map_0898#161	ノエル: アンナ、ここにはアイスキャンディーなんてないよ。
map_0898#162	アンナ: ここ、見せて……
map_0898#163	ノエル: 戻った方がいいよ。
map_0898#164	アンナ: ジェリーに、絶対持っていくって約束したの。諦めない!
map_0898#165	ノエル: 看護助手たちが、もうすぐ来るよ。
map_0898#166	ミスター・シャドウ: ラムジーがちょうど二本目のタバコに火をつけたところだ。
map_0898#167	あと少なくとも五分はある。
map_0898#168	ノエル: もう行こうよ。
map_0898#169	アンナ: 聞いてなかったの?! ノモスが、まだ時間あるって言ったばっかりじゃん!
map_0898#170	ノエル: ノモスは……戻った方がいいとも言ってるよ。
map_0898#171	ノモスが心配しはじめてる。
map_0898#172	ミスター・シャドウ: あいつがこれやるの、本当に嫌なんだよな。
map_0898#173	待て、チャリティが見回りに来てる。
map_0898#174	通り過ぎるまで、静かにしてろ。
map_0898#175	ノエル: わかった、自分で勝手に叱られてよ。
map_0898#176	僕はベッドに戻る。
map_0898#177	アンナ: 待って、今はだめ、誰か来る!
map_0898#178	ノエル: 誰も聞こえないけど。
map_0898#179	アンナ: ノモ――えっと、ノストラが、今誰か来てるって言ってる! 静かにして!
map_0898#180	ノエル: 行くよ。
map_0898#181	看護助手: 何の音だ?
map_0898#182	お前、ノエルか!
map_0898#183	アンナもか?
map_0898#184	一体全体、お前たち何やってるんだ?!
map_0898#185	リン: よし、じゃあ、あんたのこと信じるとするよ。
map_0898#186	なんか知らないけど、あたしはいつも魔法みたいにびしょ濡れなわけ。
map_0898#187	だよね?
map_0898#188	ってことは、あたしがどこ行っても、他の全部も濡れちゃうはずだよね?
map_0898#189	じゃあ、ゲームしよっか。
map_0898#190	もう知ってるでしょ――
map_0898#191	かくれんぼ、あんたが鬼ね。
map_0898#192	もし本当にあたしがびしょ濡れなら、隠れようとするたびに、気持ち悪くてびちゃびちゃした濡れた跡を、そこら中に残すはずだよね?
map_0898#193	だから、すぐ見つかるはずでしょ?
map_0898#194	まあ、そうはならないと思ってたけど。
map_0898#195	もう、嘘つきだって認めなよ。
map_0898#196	アルセウス: アルカァァ!
map_0898#197	気を失っている……
map_0898#198	アンナ: \PN……?
map_0898#199	あなた……
map_0898#200	もう、光ってない……
map_0898#201	アンナ: アルセウスがいなくなった……
map_0898#202	それに、あなたも光ってない……
map_0898#203	本当に、あなたなんだよね?
map_0898#204	リンじゃなくて、
map_0898#205	あなたなんだよね?
map_0898#206	アンナ: あたし――
map_0898#207	とんでもない間違いを犯しちゃった……
map_0898#208	思ってた――あなたのことを、その――
map_0898#209	あいつだと思って――
map_0898#210	……ずっと、あなただったんだね。
map_0898#211	リンは本当に、もういないんだよね?
map_0898#212	でも、あたしはあんなに必死に戦った――あなた相手に――
map_0898#213	負けたと思ってた――もう望みはないって――
map_0898#214	結局……
map_0898#215	事態を悪化させただけ――
map_0898#216	あいつよりも、もっと悪く……
map_0898#217	アンナ: ねえ、\PN……
map_0898#218	こういう言葉、聞いたことある?
map_0898#219	「無能で十分説明がつくことに、悪意を見出すな」って。
map_0898#220	なんか、無能なだけなら大したことないみたいに聞こえるけど……
map_0898#221	でも今、思うの……
map_0898#222	それって、本当にマシなことなのかな?
map_0898#223	誰かが悪いことをするとして、悪意からするのと、無能からするのと、どっちがマシなんだろう?
map_0898#224	アンナ: あなたの言う通りだと思う。
map_0898#225	だって、そうすれば単純だから。
map_0898#226	誰かがそいつを止めればよかっただけ。
map_0898#227	悪にならないって選ぶだけでよかった。
map_0898#228	簡単。
map_0898#229	……だから結局、あたしは事態を悪化させただけ。
map_0898#230	リンを止めようと、あんなに必死になるべきじゃなかった。
map_0898#231	ノエルや、パパと一緒に時間を過ごせばよかった。
map_0898#232	まだそこにいて、気にかけてくれてた人たちと――
map_0898#233	それなのに、あたしは一番憎んでた相手に自分を捧げちゃった。
map_0898#234	正しいことをしてるつもりだったのに、結局あいつみたいになっちゃった。
map_0898#235	アンナ: ……それは違うと思う。
map_0898#236	だって、それなら一体みんな、どうすればいいの?
map_0898#237	世界にはもう、精一杯頑張ってる人たちで溢れてるのに……
map_0898#238	たぶん、あたしみたいな人がもっと増えるだけ――
map_0898#239	すごく、すごく、すごく頑張ったのに、それでも事態を悪化させただけの人たちが。
map_0898#240	もしそうなら、一体みんな何をすればいいの?
map_0898#241	あたしたちは人間として、ずっと自分自身と周りのみんなに問題を引き起こし続ける運命なの?
map_0898#242	もっとよくなろうとせずにはいられないから?
map_0898#243	でも、そう言ってくれるのは優しいね。
map_0898#244	本当にそう思ってくれてるなら、
map_0898#245	精一杯、信じてみる。
map_0898#246	アンナ: \PN?
map_0898#248	本当に、本当にごめんなさい――
map_0898#249	アンナ: あたし、思うんだけど、
map_0898#250	あんたのこと、許せる気がする。
map_0898#251	案外簡単にできる気さえする。
map_0898#252	わかるよ。
map_0898#253	あんたは傷ついてて、怖がってて、
map_0898#254	この世界に一人きりで放っておかれて、面倒を見るはずだった人たちだって、まともにやるだけの見返りも与えられなかった。
map_0898#255	あたしも同じだったんだよ、知ってた?
map_0898#256	そもそも、あたしたちには共通点がたくさんあった。
map_0898#257	だから、時々あんたと遊ぶのも、そんなに嫌じゃなかったんだよね。
map_0898#258	……でも、あんたはいつもやりすぎるの。
map_0898#259	毎回、必ず。
map_0898#260	で、その中で一番の例が何だったか、わかる?
map_0898#261	アンナ: あいつ。
map_0898#262	十分な数の時間軸を通り抜け続けたら、いずれ全部似たり寄ったりになっていく。
map_0898#263	チェスで、同じ手を何度も繰り返すとステイルメイトになるのと同じ。
map_0898#264	誰もそんなの望んでない。
map_0898#265	関わった全員を、宇宙規模で頭おかしくさせるだけ。
map_0898#266	で、ノストラが説明してくれたところによると、それに対するフェイルセーフがあるんだって。
map_0898#267	元に戻すためには、何かを犠牲にしなきゃいけない。
map_0898#268	誰かを。
map_0898#269	新しい時間軸を変えるための何かを。
map_0898#270	同じことが二度と同じようには起きないように。
map_0898#271	あたしにこれをやらせたのは、あんただった。
map_0898#272	あんたが、あたしにあいつへこれをやらせたんだ。
map_0898#273	あれ以来、それを気にせず一日でも自分を許して生きてこられたと思う??
map_0898#274	なんであいつがまだここにいると思う?
map_0898#275	もういないはずなのに。
map_0898#276	でも、まだここにいる。
map_0898#277	ずっと頭から離れない。
map_0898#278	ずっとのしかかってくる。
map_0898#279	あたしの失敗の影――
map_0898#280	自分では覚えてもいない失敗、ただ「起きた」って言われてるだけの。
map_0898#281	何度も、何度も、何度も。
map_0898#282	で、それはあんたのせい。
map_0898#283	あんたが壊した。
map_0898#284	今度はあんたが買い取る番。
map_0898#285	アンナ: まだ気にもしてないんだね。
map_0898#286	だろうね。
map_0898#287	アンナ: じゃあ、やっぱりあたしがやるしかないみたい。
map_0898#288	いつもそうだったみたいに。
map_0898#289	他の誰にも、明らかにあんたは止められない。
map_0898#290	唯一チャンスがあると思ってた人でさえ――
map_0898#291	結局、ずっとあたしをバカにして遊んでただけだったんだね。
map_0898#292	でも、もうここまで来たんだから……
map_0898#293	100――200――ううん、1000パーセントの力で、あんたを止めるしかない!
map_0898#294	ミスター・シャドウとノストラとアルセウス、全員一緒なら――絶対に突破できない壁を作れる!
map_0898#295	今までも汚い手を使ってると思ってた?
map_0898#296	今度は全く別のレベルに持っていく時だから!
map_0898#297	文字通りにね!
map_0898#298	最大出力――レベル999!
map_0898#299	あんたにどんな勝ち目があるっていうの?!
map_0898#300	この見捨てられた宇宙にある正義の一粒一粒が、今にもあんたの顔面に星の光を叩き込もうとしてるんだから!
map_0898#301	だって、あんたがあたしに望むことを許してくれたのは、たった一つだけ――
map_0898#302	あたしの願い、それはあんたの破滅!
map_0898#304	アンナ: ……あ。
map_0898#305	自分が何を望んでたか、思い出した……
map_0898#306	あたしはただ……みんなが無事でいてほしかっただけ……
map_0898#307	望んでたのは……
map_0898#308	人生で一度でいいから、
map_0898#309	安心を感じたかった……
map_0898#310	アルセウス: アルカァァ~
map_0898#311	カラァ~
map_0898#312	アルセウス: アルルカァァ!!!
map_0898#315	悪意
map_0898#316	無能
map_0899#0	a
map_0899#1	l
map_0900#0	シェリー: また会えたね、\PN!
map_0900#1	パーティー、楽しんでもらえてるといいな!
map_0900#2	自分の時代に戻りたい?
map_0900#3	シェリー: まだみんなに挨拶し終わってないと思うんだけど、
map_0900#4	自分の時代に戻ったら、もうそのチャンスはないよ。
map_0900#5	本当に、今出発していいの?
map_0900#6	シェリー: わかった、ちょっとおしゃべりしてから、ちゃんと自分の時代に戻れるようにしてあげる。
map_0900#7	シェリー: よし!
map_0900#8	準備ができたら、また戻ってきてね。
map_0900#9	シェリー: あ、ただの挨拶?
map_0900#10	じゃあ、どうも!
map_0900#11	出発したくなったら、ここで待ってるから。
map_0900#12	シェリー: よし、レリックストーンがあるはずの、街の地下に案内するね。
map_0900#13	それからセレビィが、二人と石を正しい時と場所に連れ戻してくれるはず。
map_0900#14	でもその前に……
map_0900#15	パーティー、楽しんでくれた?
map_0900#16	タカ: 最高だったよ!
map_0900#17	てか、みんな本当にうまくやってるみたいで……
map_0900#18	みんなと話して、近況を知れたのが嬉しかった。
map_0900#19	……僕たちの未来も、こんなに素敵だといいな。
map_0900#20	シェリー: 二人がいれば、きっともっと素敵になるよ。
map_0900#21	それに、\PNがまだそばにいてくれるなら、あたしももっと頑張って、もっと早く強くなれるかも。
