map_0813#24	ファーン: ああもう、笑いが止まらない!
map_0814#129	レックウザは、他の地方の話で読んだのとはちょっと違う癖があるみたいだ。
map_0814#130	ハーディ: よし。じゃあ基本から:
map_0814#131	レックウザはどこかその辺をうろついてる。
map_0814#132	たいてい目的地なんて決めずに動いてるから、お前が移動するたびに近くの場所にランダムに移動するか、まったく動かないかのどっちかだ。
map_0814#133	屋内に飛び込むことはねえと思うから、気にするのは主要な屋外の場所だけでいい。
map_0814#134	マップアプリで居場所を確認して、そこに向かえ。
map_0814#135	近づけば、レックウザの風の流れでわかるはずだ。
map_0814#136	近くまで行ったら、むしよけスプレーも役に立つぞ。
map_0814#137	問題は、見つけてもまた逃げられる可能性が高いってことだ。
map_0814#138	腹立つ奴だぜ。
map_0814#139	くろいまなざしは他の地方じゃ定番の戦法だけど、ここじゃ必要ない。
map_0814#140	見つけるたびに、あいつはどんどん疲れていく。
map_0814#141	気絶させない限り、ダメージなんかは遭遇の合間もそのまま残る。
map_0814#142	気絶させちまったら、たぶんはねやすめで自己回復するだけだろうな。
map_0814#143	だいたいそんなもんだ、あともう一つあるけど。
map_0814#144	アノマリーの中じゃそう見えなかったかもしれないけど、まあアノマリーだしな、それでも色違いの可能性はある。
map_0814#145	言うまでもないかもしれないけど、色違いなら最初からそうだ。逃げてる途中で色が変わったりはしない。
map_0814#146	それを覚えとけば、完璧にやってのけられるはずだ!
map_0814#147	ハーディ: 好きにしろよ。
map_0814#148	お前ならできる!
map_0814#149	はい
map_0814#150	いいえ
map_0815#0	フローラ: 遅かったわね。
map_0815#1	本当にあんたがチャンピオン?
map_0815#2	もう少し頼りになる人だと思ってたけど。
map_0815#3	とにかく、もうリーグのマネージャーだかなんだかに連絡して話したんだけど。
map_0815#4	『挑戦の神聖さを守る』とかなんとか、ふわっとしたたわ言をさんざん並べられたけど、
map_0815#5	あんたの名前を出した途端、態度が一変したのよね。
map_0815#6	しかもそれから、あのPULSEがチャンピオンルームを完全に乗っ取ってるとか言われて???
map_0815#7	近づいた奴を片っ端からテレポートで弾き出すんだって。
map_0815#8	マジで、あんたのリーグって一体どうやって機能してるわけ。
map_0815#9	どうやら、見に行った奴が全員正規のルートじゃなく四天王を飛ばして入ったのが原因らしくて、
map_0815#10	それって、あたしからすればめちゃくちゃたわ言に聞こえるんだけど。
map_0815#11	でも、まあいいか。
map_0815#12	とにかく、地方の未来のために正しい判断をするチャンピオンとしてあんたを信頼するとかなんとか、他にも楽観的なくだらない話がぐだぐだと――
map_0815#13	要するに、一緒に戦えばあたしも通してもらえて、あの馬鹿なPULSEも言うこと聞くんじゃないかってこと???
map_0815#14	(うれしいこと…)
map_0815#15	つまり、お互い3匹ずつしか使えなくて、仲良くやることを学ばなきゃいけないってこと。
map_0815#16	最初の出会いは最高とは言えなかったけど、今はもうここまで来たんだから!
map_0815#17	全部水に流して、チームとして全力を尽くさない!?
map_0815#18	フローラ: わーい、チームワーク、協力、その他吐き気を催すような陳腐なバズワードたち~!
map_0815#19	でも、この明るい仮面をずっと保てる可能性は0%ね。
map_0815#20	言っとくけど。
map_0815#21	フローラ: 別に信用しなくていい。
map_0815#22	邪魔さえしなければいいから。
map_0815#23	フローラ: 何、ここまで来て何も言うことないの?
map_0815#24	それならそれでいいけど。
map_0815#25	黙ってついてきなさい。
map_0815#26	それだけでいい。
map_0815#27	先に行くから。
map_0815#28	これ以上あたしの我慢を試すのはやめてよね。
map_0815#29	いいね
map_0815#30	信用できない
map_0816#0	はぁ?
map_0816#1	誰?
map_0816#2	まさかリーグに挑戦しに来たとか言わないでよね。
map_0816#3	…ちょっと、マジで?
map_0816#4	今どき実際に突破する奴がいるわけ?
map_0816#5	はぁ、死ぬか行方不明になるかその両方かで、ここに挑戦者が来ることなんて絶対ないだろうと思ってたのに。
map_0816#6	言っとくけど、ここに誰も来ないと思ったからこの仕事を選んだんだからね!
map_0816#7	何もしなくても給料もらえると思ってたのに、そうはいかなかった。
map_0816#8	誰かさんが来て台無しにしてくれたわけ。
map_0816#9	これで四天王戦の説明をしなきゃいけないってわけね?
map_0816#10	まあ…
map_0816#11	やりたくないし、あんたに強制もできないし。
map_0816#12	だからね。
map_0816#13	はいはい、教えてあげるわよ!
map_0816#14	どうせ全部くだらない話。ジムリーダー全員倒してるなら、必要なことはもうほとんど知ってるでしょ。
map_0816#15	唯一重要なことって何かわかる?
map_0816#16	四天王は1タイプじゃなくて2タイプ使うってこと。
map_0816#17	それだけ。
map_0816#18	本当にそれだけ!
map_0816#19	あたしはこの机に座って、通りかかる誰でもないような奴らにそれだけ伝えるために、高い給料をもらってるってわけ。
map_0816#20	まあ、一応挑戦の技術的な話も全部説明することになってるんだけど…
map_0816#21	決まった順番で一人ずつ戦うとか、間に誰も回復してくれないとか、そういうの。でも…
map_0816#22	ねえ、ここまで来てそれを知らない奴なんている?
map_0816#23	あんたは知ってるでしょ?
map_0816#24	だと思った。
map_0816#25	挑戦中は思い出しアプリも技教え屋アプリも使えない。
map_0816#26	なぜかは知らないけど、わざマシンは使っていい。
map_0816#27	四天王戦は常にレベル100固定。あたしたちは赤ちゃんじゃないからね。
map_0816#28	でも今さらそんなの、どうでもよくない?
map_0816#29	放っといて。眠りたいの。
map_0816#30	あたしに何を求めてるわけ。
map_0816#31	タイプ: 2つ。
map_0816#32	順番: 固定。
map_0816#33	レベル: 100。
map_0816#34	わざマシン: 可。
map_0816#35	思い出し: 不可。
map_0816#36	技教え: 不可。
map_0816#37	じゃあね。
map_0817#0	エレナ: 普段は挑戦者と対峙する前に、夜空を舞う鳥の美しさについて独り言を語るんだけどね。
map_0817#1	でも、たぶんもう聞いたことあるだろうから、言うことはこれだけ…
map_0817#2	覚悟しなさい、あんまり叩きのめされて、お友達もあたしのゴーストタイプと見分けがつかなくなるくらいにね!
map_0817#3	あなたなら当然だと思ってたわ。
map_0817#4	エレナ: ふう。疲れたわ。
map_0817#5	あなたがチャンピオンなのも納得。
map_0817#6	まあ、勝てないってわかってたけど。
map_0817#7	未来でチャンピオンだってことは、前のチャンピオンを倒したってことよね。
map_0817#8	何も言わなくていいわ、それが誰だったか、二人ともよくわかってると思うし。
map_0817#9	だって、ズバットを捕まえてバトルの仕方を教えたのなんてほんの一週間前なのに、もうジムリーダーの仕事を打診されてるって話してるのよ!
map_0817#10	生まれつきバトルの才能がある人って、まるで魚が水を得るみたいにすんなり馴染むのよね。
map_0817#11	あなたも明らかにそのタイプだけど、うちの夫もそうなの。
map_0817#12	それに、彼はすごい情熱と興奮を持ってバトルに取り組んでるの。
map_0817#13	ゴルバットを進化させた時なんて、結婚式の日以来一番嬉しそうな顔してたわよ!
map_0817#14	こんなに確信を持ったことは人生で他になくて――
map_0817#15	そう遠くないうちに、コーリーがチャンピオンになるはず。
map_0817#16	って、いつまで喋ってるのよ、あたし。
map_0817#17	後ろのポケモン、元気いっぱいで跳ね回ってるわね――そろそろ帰る時間ってことなんでしょう。
map_0817#18	気をつけて! 背後にも気をつけて!
map_0817#19	きっと夫が、あっという間にあなたからチャンピオンの座を取り戻しに来るわ。
map_0817#20	エレナ: 15年後に会いましょう。
map_0817#21	あなたに気づいたふうを装って、意味深なことを言ってみせるから!
map_0817#22	ずっとやってみたかったのよね、それ。
map_0817#23	タカ: すごく生き生きしてるな…
map_0817#24	それなのに、あっという間に…
map_0817#25	5年も経たないうちに…
map_0817#26	イライアス: 私は常々、彼女と私は友人ではないと主張してきました。
map_0817#27	ですが…もしかしたら、そうだったのかもしれません。
map_0817#28	確かなことは言えませんが。
map_0817#29	…彼女がまだいてくれたら、そうなれたのかもしれないと思うと。
map_0817#30	タカ: コーリー…
map_0817#31	イライアス: 彼女の話を聞くと、コーリーがまるで…
map_0817#32	夕食の誘いを受けておくべきだったのかもしれません。
map_0817#33	彼のことをもっと知っていれば…
map_0817#34	彼女が亡くなった後、彼に友人がいたなら…
map_0817#36	セレビィはあなたのバトルを見て興奮しているようだ!
map_0817#37	セレビィは元気いっぱいで、準備万端のようだ!
map_0817#38	もう一度時を渡る?
map_0817#39	セレビィがあなたを時の中へ運び、再び周囲の景色が薄れていくのを感じる!
map_0817#40	セレビィは少しじれったそうだが、待ってくれそうだ。
map_0817#41	タカ: フェニックス…
map_0817#42	それが父さんの名前だったんだ。
map_0817#43	つまり、父さんの。
map_0817#44	ソラリスは、メテオ絡みのただのコードネームで…
map_0817#45	タカ: ちょ、待って、すごい高さだ! ここ一体どこだよ!?
map_0817#46	タカ: あ、そうか。セレビィは時間しか渡れなくて、空間は渡れないんだった。
map_0817#47	リーグが建てられた後だとしたら、ここは四天王の部屋の一つってことか?
map_0817#48	…たぶんヘザーの部屋だな。
map_0817#49	彼女、いると思う?
map_0817#50	ヘザー?: ちょ、くそ、今日挑戦者が来るなんて誰も教えてくれなかったんだけど!
map_0817#51	劇的な登場を準備する時間すらなかったのに…
map_0817#52	まあいいや、これで何とかなるでしょ。
map_0817#53	ヘザーじゃない: …あら、まさか本当に飛び移れるとはね。
map_0817#54	普段は落下死する前に慌ててポケモンを出して受け止めてもらわなきゃいけないのに。
map_0817#56	私はエレナ・モリナー、並外れた四天王よ! そして――
map_0817#57	エレナ: …待って、その変な玉ねぎが7匹目のポケモンだっていうなら、それは認められないわよ。
map_0817#58	それに、見物人だって絶対に認めない。
map_0817#59	誰があんたたち二人をここに入れたわけ?
map_0817#60	タカ: …あ。
map_0817#61	まだ過去にいるんだ。これは…
map_0817#62	エレナ: もっと大きな声で、何言ってるか全然聞こえない!
map_0817#63	ここ、ものすごい風でね――まるであたしのバトルスタイルの重要な要素だとでも言うみたいに!
map_0817#64	タカ: あ、うん、その、えっと…
map_0817#65	タカ: あの、こんにちは、モリナーさん。
map_0817#66	こちらは\PN、俺の名前はタカです。
map_0817#67	その、『変な玉ねぎ』は、その…時を渡ることができるポケモンなんです。
map_0817#68	俺たちは未来から来ました――でも、一気に戻るほどの力はまだなくて。
map_0817#69	だから、俺たちを連れ帰れるだけのエネルギーが回復するまで、少し待つ必要があるんです。
map_0817#70	こっちで大人しくしてますから、邪魔しないようにします?
map_0817#71	エレナ: …その玉ねぎが何かの時渡りポケモンだって、あたしに信じろって言うの?
map_0817#72	そんなことができるみずタイプなんて聞いたことないわ。
map_0817#73	タカ: え、あの、たぶんみずタイプじゃないと思います。
map_0817#74	エレナ: だってびしょ濡れじゃない。
map_0817#75	それがみずタイプか、誰かがボトル2、3本分の水をかけたかのどっちかね。
map_0817#76	タカ: …
map_0817#77	エレナ: …
map_0817#78	\PN: …
map_0817#79	セレビィ: ビィー~
map_0817#80	エレナ: わかった、いいわ、本当に未来から来たっていうなら、どれくらい先?
map_0817#81	タカ: えっと、だいたい15年くらい、前後するかもですけど?
map_0817#82	エレナ: いいわ、いいわ。未来から来たっていうなら、教えて…
map_0817#83	あ!
map_0817#84	ビクスビジョンワードってどんな感じ?
map_0817#85	ちょうどあのエリアを市に編入する計画が立てられたところなの。
map_0817#86	超高級なマンションとか、そういうのを作りたいらしいわよ。
map_0817#87	結局どうなったの?
map_0817#88	タカ: あの、その、言っていいものか――
map_0817#89	エレナ: あ、そうだ、わかった! トルマリン線はどう?
map_0817#90	24時間365日、常に時間通りっていう評判は、まだ健在?
map_0817#91	タカ: 本当に、それは――
map_0817#92	エレナ: あ、カルセノンとラブラドラのジムリーダーは誰?
map_0817#93	キャロラインとモンティが娘に後を継がせたがってるのは知ってるけど、あの二人のことだから、
map_0817#94	娘のどっちかが実際に自分を倒せるようになるまで、しがみついて肩書きを離さないでしょうね!
map_0817#95	タカ: あ、えっと、実は――
map_0817#96	エレナ: よし、最後の質問。チャンピオンは誰?
map_0817#97	タカ: あ、えっと、それはその…
map_0817#98	実は、\PNなんです。
