map_0764#189	さっさと外に出て、新しいタマゴを持ってきなさいよ!
map_0764#263	代わりに、外に戻って新しいタマゴを見つけてきてちょうだい。
map_0764#264	それは見たことのないタマゴね。
map_0764#265	ニャビーだと思っておくわ? いいわね。
map_0764#266	ちょっと待って。
map_0764#267	このタマゴで、3個セットが完成したみたいね。
map_0764#268	つまり、あたしはこの部屋を出るのに一歩近づいたし、あんたも報酬をもらえるってことね。
map_0764#269	はい、これ。
map_0764#270	どうぞ。
map_0764#271	ちょっと待って。
map_0764#272	このタマゴが何を意味するか分かる?
map_0764#273	分かってないと思うけど。
map_0764#274	これで、新人に配る御三家が補充されるだけじゃなくて……
map_0764#275	これが必要だった最後のタマゴだってこと。
map_0764#276	だから、あたしもようやく別の仕事に回してもらえるだけじゃなくて……
map_0764#277	あんたも最後の報酬をもらえるってわけ。
map_0764#278	本当に、\PN、アメを手伝う手伝いをしてくれてありがとう。
map_0764#279	あの子がもうここにいないとしても……
map_0764#280	これを受け取って。がっかりはさせないから。
map_0764#281	あんたに会えて……よかったわ。
map_0764#282	いい仕事するじゃない。
map_0764#283	いつかまた会えるかもね。
map_0764#284	ちゃんと処理して、いい飼い主のところへ届けるわ。
map_0764#285	しばらくしたら、また更新されたリストを見に来て。
map_0764#286	それと、本当に……その……ありがとう。
map_0764#287	は? まだいたの?
map_0764#289	ちょっと片付けものをしてるだけよ。
map_0764#290	誰か他の人を助けるとか、世界を救うとか、そういうのしてなくていいわけ?
map_0764#291	数ページにわたって、絵だけが描かれている。
map_0764#292	ノートには、カナヤがタマゴを必要としているポケモンのリストが書かれている。
map_0764#293	いくつかの区分がある。
map_0764#294	フシギダネ // 提出済み
map_0764#295	フシギダネ
map_0764#296	チコリータ // 提出済み
map_0764#297	チコリータ
map_0764#298	キモリ // 提出済み
map_0764#299	キモリ
map_0764#300	ナエトル // 提出済み
map_0764#301	ナエトル
map_0764#302	ツタージャ // 提出済み
map_0764#303	ツタージャ
map_0764#304	ハリマロン // 提出済み
map_0764#305	ハリマロン
map_0764#306	モクロー // 提出済み
map_0764#307	モクロー
map_0764#308	ゼニガメ // 提出済み
map_0764#309	ゼニガメ
map_0764#310	ワニノコ // 提出済み
map_0764#311	ワニノコ
map_0764#312	ミズゴロウ // 提出済み
map_0764#313	ミズゴロウ
map_0764#314	ポッチャマ // 提出済み
map_0764#315	ポッチャマ
map_0764#316	ミジュマル // 提出済み
map_0764#317	ミジュマル
map_0764#318	ケロマツ // 提出済み
map_0764#319	ケロマツ
map_0764#320	アシマリ // 提出済み
map_0764#321	アシマリ
map_0764#322	ヒトカゲ // 提出済み
map_0764#323	ヒトカゲ
map_0764#324	ヒノアラシ // 提出済み
map_0764#325	ヒノアラシ
map_0764#326	アチャモ // 提出済み
map_0764#327	アチャモ
map_0764#328	ヒコザル // 提出済み
map_0764#329	ヒコザル
map_0764#330	ポカブ // 提出済み
map_0764#331	ポカブ
map_0764#332	フォッコ // 提出済み
map_0764#333	フォッコ
map_0764#334	ニャビー // 提出済み
map_0764#335	ニャビー
map_0764#336	サンディ: よし、来たね!
map_0764#337	あたしは輸送用の木箱に隠れて通り抜けたんだけど……そっちは?
map_0764#338	え、普通に入れてもらえたの?
map_0764#339	ふーん……まあ、木箱に隠れるのも結構楽しかったから、別に怒ってないけど!
map_0764#340	さて、何ができるか見てみましょ……
map_0764#341	サンディ: ここにあるのはただの法律関係の書類ばっかり……
map_0764#342	サンディ: 取引記録……
map_0764#343	サンディ: この書類、全部「イグノシア・クラウドベリー」の署名か宛名になってる……
map_0764#344	それが例の企業大使ってやつかしら?
map_0764#345	まあ……
map_0764#346	サンディ: ま、いっか。
map_0764#347	サンディ: ふふふふふ~
map_0764#348	音からすると、このパイプの中は水が流れてるみたいね……
map_0764#349	ちょうどいいじゃない!
map_0764#350	ぶっ壊して、オフィスを水浸しにして、ここの書類を全部ダメにしちゃいましょ!
map_0764#351	そうすれば、街も企業の言いなりじゃなくて、正しいことができるようになるはず!
map_0764#352	これって最高のアイデアじゃない、それとも最高のアイデアじゃない?
map_0764#353	サンディ: よし!
map_0764#354	ワン・フォー・ザ・マネー!
map_0764#355	ツー・フォー・ポケモン!
map_0764#356	スリー・トゥ・ゲット・レディ!
map_0764#357	フォー・トゥ・ゲット・ゴーン!
map_0764#358	サンディ: よし、これで片付いたわね!
map_0764#359	これで街は、企業の圧政から解放されて、ポケモンと環境を守れるようになるはず!
map_0764#360	誰かに気づかれる前に、ここを出ましょ!
map_0764#361	アドリエンヌ: ……
map_0764#362	サンディ: ……
map_0764#363	アドリエンヌ: ……
map_0764#364	サンディ: ……
map_0764#365	アドリエンヌ: ………
map_0764#366	サンディ: ………
map_0764#367	アドリエンヌ: それで……あくまで仮の話だが……
map_0764#368	サンディ: 企業の書類、全部なくなっちゃったね!
map_0764#369	それは仮の話じゃないけど。
map_0764#370	サンディ: お礼は後でいいよ。
map_0764#371	アドリエンヌ: 出て行ってくれ。
map_0764#372	サンディ: はいはい、了解。
map_0764#373	サンディ: 手伝ってくれてありがとな、\PN!
map_0764#374	おかげで、物事を実現する自信がついたよ!
map_0764#375	本当に逮捕される前に、しばらくおとなしくしといたほうがよさそうだけど、これ受け取ってよ。
map_0764#376	サンディ: あたし、じめんタイプばっかり使ってるのに、これを持ってるのかってよく聞かれるんだけど……
map_0764#377	だから、あんたのほうが似合うと思うんだ!
map_0764#378	またな、\PN!
map_0764#379	はぁ、検査官さん、また長いこと出かけっぱなしね。
map_0764#380	ほんと、2ヶ月ごとに3ヶ月姿を消すんだから。
map_0764#381	ヴィクトリア: それで、これで全部だと思います……
map_0764#382	実行に必要な資源が揃うまでにはまだ時間がかかりますが、計画と調整はもう始められます。
map_0764#383	正直、これが片付いてくれるとほっとします。
map_0764#384	新しいプロジェクトマネージャーが、もうすぐ来るはずなんですけど……
map_0764#385	カロスへ短い旅行に出ていたので、きっと戻ってきてからも忙しいはずです。
map_0764#386	……でも、個人的には、彼が戻ってきてくれただけで嬉しいです。
map_0764#387	少しの間、不安だったので。
map_0764#388	別の打ち合わせに急がなくてはいけませんが、長くはかからないはずです。
map_0764#389	カイン: よー、遅刻はしてねーよな?
map_0764#390	カロスは最高だったぜ――
map_0764#391	父さんと見てきたもの、あとで全部話してやるよ。
map_0764#392	カイン: ……あ、めっちゃ遅刻してるじゃん。
map_0764#393	ま、いっか。
map_0764#394	カイン: で、お前がオレのかわいい秘書ちゃんってわけ~?
map_0764#395	チャンピオンの仕事があるのは知ってるけど、オレのために辞めたって言うなら分かるぜ。
map_0764#396	だって、オレの下で働きたくないやついないだろ~?
map_0764#397	カイン: なあ、オレ、まさかオフィスで働くことになるとは思ってなかったよ。
map_0764#398	20歳とかになったら、もう人生終わりだって、ずっとそんな気がしてたんだ。
map_0764#399	気づいたら65歳になってて、その間ずっと嫌々過ごしてたって、そんな感じでさ。
map_0764#400	9時5時の仕事なんて、懲役みたいなもんだと思ってたんだ。
map_0764#401	でもまあ、ちょっと大げさすぎたかもって、今は思うけどな。
map_0764#402	何ヶ月も何年も、自分の手の届かないところで過ぎていくって考えに、飲み込まれるのは簡単なんだよな。
map_0764#403	それが実際に起きるまでは、その瞬間にしか存在しない考えでしかないから。
map_0764#404	でも実際には、一歩一歩、これが本当に歩みたい道なのか、問い直せる瞬間はずっとあるんだよな。
map_0764#405	いつでも引き返せるって気づくと、次の一歩を踏み出すのがずっと楽になる。
map_0764#406	……まあ、少なくとも、オレはそう思ってきたんだ。
map_0764#407	やりがいのある仕事なら、オレはやっていけると思う。
map_0764#408	それに、こういうプロジェクトって……
map_0764#409	ビクスビジョンワード再生計画……
map_0764#410	まあ、けっこう大事なことに思えるんだよな。
map_0764#411	「地元」って呼ぶのは、まだちょっとしっくりこないけど、
map_0764#412	でもそれは多分、あそこから逃げ出したくて必死だったからなんだろうな。
map_0764#413	どこかを地元だって呼んで、それを実感するのがどんな感じか、オレには分からない。
map_0764#414	でも、こうやって知っていくのかもしれない。
map_0764#415	そこに、地元ってやつを作ろうとすることでさ。
map_0764#416	カイン: ……で、まず最初の仕事だ!
map_0764#417	ハグを死ぬほど欲しがってる、知能持ちの巨大ダストダスがいるんだけど、あいにくダストダスでできてる。
map_0764#418	だからオレが考えてるのは――まあ聞けって――
map_0764#419	ハグ用スーツ。
map_0764#420	は?
map_0764#421	ええー?
map_0764#422	ロコンが、メモの上に立っている……
map_0764#423	「vulpixplease」
map_0764#424	別のセーブデータで、御三家タマゴ集めの達成が検出されました。
map_0764#425	このファイルでは御三家タマゴ集めをスキップしますか? 報酬はすぐに受け取れます。
map_0764#426	次の報酬は、また後で受け取ってください。
map_0764#427	カナヤが御三家ポケモンを集めるのを手伝ってくれたって聞いたよ。
map_0764#428	それはありがとう。新人トレーナーたちの文句に、正直こたえてたところだったんだ。
map_0764#429	まあ、それでも感謝しない方法を見つけるやつはいるけどな。伝説のポケモンでも期待してたみたいな態度でさ。
map_0764#430	でも、もしそういうのが欲しくなったら、何とか手配できると思うぜ。
map_0764#431	次にパスワードを聞いてくる相手に「freestarter」って伝えれば、選択肢がかなり広がってるのに気づくはずだ。
map_0764#432	この地方のために頑張ってくれたことへの、お礼だと思ってくれ。
map_0764#433	はい
map_0764#434	いいえ
map_0765#0	シューターは、はるか上へと続いているようだ。
map_0765#1	飛び込みますか?
map_0765#2	-ルール-
map_0765#3	数字を各画面の間で動かせ。
map_0765#4	どちらの3×3のマスも、中央を通るすべての列の合計を15にせよ。
map_0765#5	列は縦・横・斜めのすべてを数える。
map_0765#6	中央を除き、同じ位置に同じ数字を両側に置くことはできない。
map_0765#7	職員名簿: 第2巻 \nよみますか?
map_0765#8	「ブレイク・ウィテカー――キャニス・メジャー
map_0765#9	キャル・ウィテカー――キャニス・マイナー
map_0765#10	コーリー・モリナー――ボレアリス
map_0765#11	エース――ナシラ
map_0765#12	ポール・クラーク――シリウス
map_0765#13	トゥオマス・ヴァンハネン――アンドロメダ
map_0765#14	リン――アブソリュート」
map_0765#15	ページの間に、メモが挟まっている:
map_0765#16	「追加の挑戦を楽しんでもらえるかもしれない。
map_0765#17	気晴らしだと思ってくれ。」
map_0765#18	エース: 時間を無駄にはすまい。
map_0765#19	ソラリス様はまもなくお戻りになるはず。これ以上の決断を下される前に、この手紙が届くのがよろしかろう。
map_0765#20	エース: 「親愛なる友、そして星々の指揮官へ、
map_0765#21	本題に入る前に、あなた様のご判断に異を唱えることが、私の分をわきまえぬ行いであると、重々承知していることを申し上げておきたい。
map_0765#22	実に、この長き年月にわたり、一家に対する私の揺るぎなき忠実な奉仕を、どうか思い起こしていただければ幸いです。
map_0765#23	ゆえに、これまでの忠義を胸に、ここに記す言葉を、あなた様のご判断への侮りとしてではなく、相応の敬意に基づく警告として受け止めていただきたく存じます。
map_0765#24	このまま放置すれば、リンはわれらがたゆまず守り続けてきた一家を、破壊してしまうでしょう。
map_0765#25	あの者は、己の確実な成果が免罪符になると信じており、私はそれがやがて正しくなってしまうのではと危惧しております。
map_0765#26	あの者はすでにしばらくの間、幕の裏で我々に対する少なからぬ動きを見せております。
map_0765#27	時が経つにつれ、あの者はますます大胆になっており、最近ではついに、あなた様のご子息の命さえ脅かすに至りました。
map_0765#28	あの者は、小さな王子――あなた様の後継者であり、われらのより大いなる未来への希望であるお方――に、何の敬意も抱いておりません。
map_0765#29	実のところ、あの方を排除することは、あの者にとって都合がよいのではとさえ思われます。
map_0765#30	一家とその歴史こそが、われらのチームの核なのです。
map_0765#31	もし血筋が絶えれば、遺産の影を超えて、あなた様に完全な統率と権利を与えるものが、いったい何が残るというのでしょうか。
map_0765#32	かつての同志のうち、今なお忠実な者がどれほど残っているでしょうか。
map_0765#33	ただ己の利己的な目的のために、われらのそばにいるだけの者がどれほどいるでしょうか。
map_0765#34	どうか行動を起こし、これ以上組織が汚される前に、リンを組織から排除していただきたく懇願いたします。
map_0765#35	切なる願いと希望を込めて、
map_0765#36	～あなた様に永遠に忠実な愚か者、ナシラより」
map_0765#37	エース: そして、これにて――
map_0765#38	エース: 送信、と~
map_0765#39	エース: ……ん?
map_0765#40	エース: な、何だ――
map_0765#41	このファイルでは、二重魔方陣パズルをスキップしますか? 報酬はすぐに受け取れます。
map_0765#42	別のセーブデータで、二重魔方陣の達成が検出されました。
map_0765#43	このファイルでは、二重魔方陣をスキップしますか? 報酬はすぐに受け取れます。
map_0765#46	行1
map_0765#47	行2
map_0765#48	行3
map_0765#49	ルール
map_0765#50	左
map_0765#51	右
map_0765#52	戻る
map_0765#53	列1
map_0765#54	列2
map_0765#55	列3
map_0765#56	上
map_0765#57	下
map_0766#0	ムルミナ: ま、また あなた!?
map_0766#1	どうやって、あたしを見つけたの!?
map_0766#2	ここは、キャロラインの秘密の場所のはずなのに!
map_0766#3	ここへの入り方は、一番仲のいい友達しか知らないはずよ!
map_0766#4	ま、待って……あなた、キャロラインの友達なの?
map_0766#5	い、いいえ! そんなわけない!
map_0766#6	それとも、あのメテオのクズどもの仲間!?
map_0766#7	もし本当にキャロラインの知り合いなら……その時は……
map_0766#8	証明してみせて! 彼女の持ち物を見せて!
map_0766#9	彼女がくれたものとか、何か形見になるものを!
map_0766#10	それが分かれば信じるから!
map_0766#11	ムルミナ: それは……その写真……キャロラインの――
map_0766#12	それを、渡して……お願い。
map_0766#13	\PNは かぞくのしゃしん を手渡した。
map_0766#14	ムルミナ: ありがとう……
map_0766#15	これ、どこで手に入れたの?
map_0766#16	あたしたち、昔は仲のいい友達だったの……
map_0766#17	シャルロットが自分を責めてたの、知ってる……キャロラインに起きたことで。
map_0766#18	でも、あたしはあれが彼女のせいだなんて、一度も思わなかった……
map_0766#19	あの二人を見てる男がいたの――
map_0766#20	つけ回してた――
map_0766#21	二人に警告しようとしたの……
map_0766#22	あの男を止めようとした――
map_0766#23	でも結局――そ、その先は知ってるでしょ……
map_0766#24	それから、思ったの――次はあたしの番かもしれないって。
map_0766#25	それ以来、毎日ずっと頭の片隅にあって――
map_0766#26	目を覚まして、チームメテオがアゲートに這いずり回ってるって分かった時、あたしはできる限り速く逃げ出したの。
map_0766#27	それで――後は分かるでしょ。
map_0766#28	迷惑かけて、ごめんなさい……
map_0766#29	この部屋は、昔あたしとキャロラインが……
map_0766#30	……その、何もかもから逃げるための場所だったの。
map_0766#31	ここには、彼女が自分専用のPCボックスも作ってて……
map_0766#32	アクセスできるのは、あたしくらいのもので――
map_0766#33	というか、あの、ちょっと外してもらえる?
map_0766#34	はい……これは、彼女の昔の繁殖計画の一つだったものよ。
map_0766#35	振り回してしまったお詫びだと思って。
map_0766#36	どうか大事にしてあげて……
map_0766#37	\PNは タマゴ を手に入れた!
map_0766#38	それじゃ……しばらく一人にしてもらえる?
map_0766#39	今は一人になりたいの……
map_0766#40	ムルミナ: なら出て行って!
map_0766#41	そんなふうにあたしをからかわないで――もう十分苦しんだじゃない!?
map_0766#42	出て行って!
map_0766#43	ムルミナ: もし本当にキャロラインの知り合いなら……その時は……
map_0766#44	ムルミナ: あ……ねえ……少し距離を置いてもらえる?
map_0766#45	ありがとう……
map_0766#46	ムルミナ: どうも……しばらく一人にしてもらえる?
map_0766#48	ムルミナ: 会えて嬉しいわ……
map_0766#49	でも、少し一人の時間が欲しいの……
