map_0693#46	もう　女房の　エウロパには　会ったか?
map_0693#181	パーシー: ああ　今どき　上を　治めてる神様やら　その一族やら　誰でもいいから　感謝するわ。
map_0693#182	水を　汲みに　わざわざ　遠出しなくて　いいのね!
map_0693#183	バッフロンビル: もう　スポンジ入浴とも　おさらばだ!
map_0693#184	アルドス: おれは　スポンジ入浴にも　ちょっと　慣れてきてたんだがな。
map_0693#185	エウロパ: スポンジ入浴は　もう　なし　これは　命令だよ。
map_0693#186	アルドス: はい　奥様。
map_0693#187	エウロパ: アマリアさん　改めて　ありがとうな　こんなことまで　してくれて。
map_0693#188	アマリア: 全然　大したことないよ!
map_0693#189	アマリア: ま　それは　ウソだけどね。
map_0693#190	あの岩を　全部　削るの　本当に　大変だったし\PNの　手伝いが　なかったら　絶対　無理だったよ。
map_0693#191	でも!
map_0693#192	やる価値は　あったね。
map_0693#193	パーシー: さて　お祝いに　一杯　いきたい人は?!
map_0693#194	バッフロンビル: 酒のことなら　もちろん　乗るぜ!
map_0693#195	パーシー: もちろん　酒に　決まってるでしょ!
map_0693#196	他に　何を　飲むって言うのよ　みんなが　自由に使える　このきれいな水?!
map_0693#198	とことん　飲んで　あんたを　酔いつぶして　やるんだから!
map_0693#199	バッフロンビル: はっ! ちっこいねえちゃんが　大きく出たな。
map_0693#200	パーシー: アルドス! ボトル　持ってきて!
map_0693#201	アルドス: わかった　わかった　落ち着けって……
map_0693#202	エウロパ: さてと　誰か　みんなが　ちゃんと　服を　着てるか　見張っといたほうが　いいね。
map_0693#203	改めて　本当に　感謝してるよ　これ全部。
map_0693#204	アマリアさん　いつでも　ここに　来ていいからね。
map_0693#205	アマリア: お願い　エイミーで　いいよ。
map_0693#206	ステフォスコープ: 蒸発を　防ぐための　覆いを　早急に　設置すべきですね……
map_0693#207	アマリア: ねえ。
map_0693#208	あなたも　お祝いに　行くべきだよ。
map_0693#209	頑張ったんだから。
map_0693#210	ステフォスコープ: ああ……　でも　まだ　やることが　たくさん　あって。
map_0693#211	アマリア: そうだね
map_0693#212	でも　今じゃ　なかったら　いつやるの?
map_0693#213	小さなことにも　ちゃんと　目を　向けるのって　大事だよ。
map_0693#214	ステフォスコープ: ……
map_0693#215	……少しの間だけなら。
map_0693#216	アマリア: 改めて　ありがとう。
map_0693#217	あのね　あたしも　時々　すごく　落ち込むことが　あるけど
map_0693#218	誰かのために　何かすることって　結局　自分の助けにも　なるんだよね。
map_0693#219	それって　自分勝手なのかも　しれないけど……
map_0693#220	それで　何か　いいことが　生まれるなら
map_0693#221	それで　いいのかも。
map_0693#222	あたしも　これで　いいのかも。
map_0693#223	それに　家を　出るのは　絶対　いい気分転換に　なるし!
map_0693#224	特に　今　メインルームに　水漏れの跡が　出てきてるし……
map_0693#225	もっと　早く　考えとくべきだったんだろうけど……
map_0693#226	たぶん　何も　変えなかったと　思う。
map_0693#227	結局　この家を　売って　旅にでも　出ようかな。
map_0693#228	自分の目で　いろんなものを　見てみる。
map_0693#229	自分のことばかり　考えすぎないで　済むような瞬間を　探しに行く。
map_0693#230	アマリア: 一緒に　来る?
map_0694#0	タカ: 本当は　来てほしくなかったんです。
map_0694#1	タカ: \PN　僕は……
map_0694#2	タカ: すみません。
map_0694#3	僕は――　ここで　あなたを　止めなきゃ　いけません。
map_0694#4	そうしないと……
map_0694#5	僕が　ここに　いる意味なんて　ないって　言われちゃいますよね?
map_0694#6	エースは　水処理センター以来　行方不明です。
map_0694#7	他のみんなも　きっと　もう――
map_0694#8	それとも　彼女は　もう……
map_0694#9	……どこかから　僕らを　見てるのかも。
map_0694#10	タカ: 僕には――　もう　選択肢が　ないんです。
map_0694#11	そもそも　あったこと　なんて　なかったのかも。
map_0694#13	タカ: ……彼らに　逆らうんじゃなくて。
map_0694#14	だから　これで　終わりです。
map_0694#15	タカ: たぶん　これが　最後に　僕の相手を　することに　なると思います。
map_0694#16	タカ: すみません。
map_0694#17	タカ: ……でも　あなたには　できます。
map_0694#18	あなたは　ずっと　僕らに　立ち向かってきました。
map_0694#19	そして　いつも　勝ってきました。
map_0694#20	これからも　そう　し続けるんですよね?
map_0694#21	タカ: ええ。あなたは　いつも　そうですね。
map_0694#22	他のことを　考えたことなんて　あったんですか?
map_0694#23	僕には　なかったと　思います。
map_0694#24	何も　変わらないと　思ってたのに　あなたは　ここに　いる。
map_0694#25	あなたが　船を　揺らして　僕は　そこから　落っこちちゃったんです。
map_0694#26	ザブン。
map_0694#27	タカ: それって　謙遜ですか?　それとも　ただの　冗談?
map_0694#28	だんだん　僕みたいな　言い方に　なってきてますよ。
map_0694#29	僕らって　案外　そんなに　違わないのかも。
map_0694#30	もしかしたら……
map_0694#31	もしかしたら　僕も　あなたみたいに　なれるかも。
map_0694#32	でも　それで　僕は　どうなるんでしょう?
map_0694#33	また　失敗して　戻ったら　次の　チャンスは　ないでしょうね。
map_0694#34	それに　あなたは……
map_0694#35	……これからも　戦い続けるんでしょうね。
map_0694#36	タカ: 一緒に　行っても　いいですか?
map_0694#37	タカ: 本当に?
map_0694#38	タカ: わかりました　計画は　こうです:
map_0694#39	僕には　まったく　見当も　つきません。
map_0694#40	だから　とりあえず　あなたに　ついていきます　いいですか?
map_0694#41	邪魔に　ならないように　気をつけます。
map_0694#42	それと　その　ここに　送られる前に　基地から　回復アイテムを　いくつか　くすねてきたんです……
map_0694#43	だから　必要なときは　いつでも　ポケモンを　回復させますね　いいですか?
map_0694#44	どこか　安全な隠れ場所が　見つかったら　しばらく　そこで　息を　潜めてようと思います。
map_0694#45	あの女の人の　目に　留まらなくなるくらいの間は。
map_0694#46	その後は……　一緒に　メテオ団を　倒しましょう。
map_0694#47	\PNに　ついていきます。
map_0694#48	タカ: ですよね　僕は　ただの　邪魔に　なりますよね。
map_0694#49	わかってます。
map_0694#50	じゃあ　これで　お別れですね。
map_0694#51	またね\PN。
map_0694#52	タカ: ようこそ　我が家へ。
map_0694#53	どうにか　灼熱の砂だまりに　溶けずに　済みました　正直　これまでで　一番の　勝利かも　しれません。
map_0694#54	さて　どこへでも　行きましょうか。
map_0694#55	コリン・ルージュ: あはは……
map_0694#56	こんな場所まで　私に　追いついてきたのか。
map_0694#57	我が麗しの淑女よ　この疲れた心が　振り絞れる限りの　誠意を　込めて　君に　謝らなければ　ならない。
map_0694#58	私は　君のような　美しい女性の願いに　これほど　鈍いと　知られては　いないのだが
map_0694#59	それでも　今なお　これほど　遠くまで　私を　追いかけてくるとは……
map_0694#60	ダーリン　頼んでくれさえすれば　私自身が　君を　さらっていったのに。
map_0694#61	ああ　だが　それが　この駆け引きと　いうものだろう?
map_0694#62	ダンスは　一方向にだけ　動くものではない　心もまた　そうであるべきだ。
map_0694#63	私もまた　この黄金の乾いた景色に　息を　奪われているわけではなく
map_0694#64	君の情熱の熱に　息を　奪われているのだ　この灼けつくような光景など　星に対する蝋燭の炎に　過ぎない。
map_0694#65	よろしい　我が甘き超新星よ――
map_0694#66	もう　君を　拒みはしない。
map_0694#67	この私の　すべてを　君に　あげよう　私の宝についても　同じことが　言えるが……
map_0694#68	ああ　だが　それは　不可能なんだ
map_0694#69	私の一番の宝物は――　君　自身　なのだから。
map_0694#70	とはいえ!
map_0694#71	こんな場所では　私たちの最も劇的な出会いには　ふさわしくない!
map_0694#72	君の粘り強さには　得点を　あげよう
map_0694#73	だが　残念ながら　私から　得られるのは　それだけだ。
map_0694#74	私が　盗んだものを　返すことは　できない――
map_0694#75	あまりにも　重要すぎるのでね。
map_0694#76	その理由が　知りたいなら
map_0694#77	列車よりも　なお　壊れているものと言えば　私たちの人生くらいしか　ない場所で　会おう。
map_0694#78	今度は　トリックなしだ。
map_0694#79	逃げも　しない。
map_0694#80	君に　見せたいものが　あるんだ。
map_0694#81	私に　できる唯一の方法で　君を　待つとしよう:
map_0694#82	息を　潜めて――　心は　辛抱強く。
map_0694#83	それでは　また。
map_0694#84	タカ: えっと。
map_0694#85	何です?
map_0694#86	タカ: 新しいテレビドラマを　見始めたと思ったら　うっかり　最終回から　見ちゃった気分です。
map_0694#87	つまり　その　あの人のこと　知ってるんですか?
map_0694#88	看板には　到着時刻の一覧が　印刷されている。
map_0694#89	街へ　戻る乗り物を　待ちますか?
map_0694#90	タカ: あの　今　街に　向かうのは　あんまり　いい考えじゃ　ないと思います。
map_0694#91	他のメテオ団の連中に　狙われてるなら　むしろ　ここで　運を　試したほうが　ましです。
map_0694#92	本当に　行くんですか?
map_0694#93	タカ: わかりました。やるべきことを　やってきてください。
map_0694#94	僕は　ここで　精一杯　砂丘の物真似でも　してますね。
map_0694#95	タカ: これって　誰かが　うっかり　全部　ここに　落としてったとか　そんな感じですか?
map_0694#96	タカ: え?　あそこの砂の下にも　一つ　埋まってたんですか?
map_0694#97	タカ: これって　ベリルワードの上から　誰かが　落としたんでしょうか?
map_0694#98	着けてみたい　ところですけど　もう　自分のスカーフが　あるので。
map_0694#99	ちなみに　自分のために　言っときますけど　砂漠では　絶対　スカーフを　着けない方が　いいですよ。
map_0694#100	タカ: つまり　見つけた　がらくたは　何でも　拾っちゃうんですか?
map_0694#101	まあ　僕も　その一つとして　ここに　いるんでしょうけど　ははは。
map_0694#102	タカ: そもそも　なんで　ポケモンって　こういうディスクから　わざを　覚えられるんでしょうね?
map_0694#103	それより　大事なのは　僕にも　できるのかってことですけど。
map_0694#104	あ、でも　このわざは　やめときます。エネルギー　使いすぎです。
map_0694#105	タカ: このポケモンたちが　かわいそうです。
map_0694#106	きっと　そのうち　砂が　ちゃんと　埋めてくれるんでしょうね。
map_0694#107	たぶん　僕にも　それくらいしか　望めないんでしょう。
map_0694#108	タカ: これって　岩の一部だったんですか?　それとも　たまたま　ここに　あっただけですか?
map_0694#109	タカ: え、ちょっと待って　何ですか?
map_0694#110	えっと　あれって　ただの　蜃気楼だったんですか?
map_0694#111	そうだとしたら　あんなに　近づいて　触れるはず　ないですよね?
map_0694#112	僕……　混乱してます。
map_0694#113	タカ: これには　慣れられそうに　ないです。
map_0694#114	タカ: 正直　それって　僕の人生そのものの比喩ですね。
map_0694#115	やあ。砂丘の海から　ちょっと　寄り道して　いかない?
map_0694#116	アディソン: よかった! 本当に　よかった!
map_0694#117	もし　迷ったら　線路を　探してください。時々　砂に　埋もれてますが　どちらかの方向を　示してくれます。
map_0694#118	柱に　書かれた文字は　薄れすぎて　読めない。
map_0694#119	タカ: わかります。
map_0694#120	はい
map_0694#121	いいえ
map_0695#0	タカ: この場所　一体　何なんですか?
map_0695#1	この水って　たぶん　飲めもしないですよね……
map_0695#2	まあ　いざとなったら　試すかもしれませんけど。
map_0695#3	タカ: さっきのことについて　聞きたいこと　いっぱい　あります。
map_0695#4	ほとんどが「なんで」ですけど。
map_0695#5	タカ: これじゃ　僕の疑問　一つも　解決してません。
map_0695#6	というか　むしろ　増えました。
map_0695#8	タカ: つまり……　こんな場所で　一人で　レモネードを　売ってるんですか?
map_0695#9	マルチェロ: そうだよ。
map_0695#10	タカ: それって　あんまり　もうかる商売じゃ　ないんじゃ。
map_0695#11	マルチェロ: 君が　やってることより　もうかってるけどね。
map_0695#12	タカ: ……
map_0695#13	ええ　まあ　それは　もっともです。二つ　もらいます。
map_0695#14	はい\PN。これは　僕のおごりです。
map_0695#15	ジャン: 私のレモネードスタンドに　なった >:(
map_0695#16	リーフィア: リーフィア!
map_0695#17	リーフィアを　なでますか?
map_0695#18	リーフィア: リフィ!
map_0695#19	なでてもらえて　うれしそうだ。あなたの手　松の木の　においが　する!
map_0695#20	リーフィア: ……リフ?
map_0695#21	リーフィアは　また　日なたぼっこに　戻った。
map_0695#22	リーフィアは　あなたを　覚えている!
map_0695#23	リーフィア: リフ〜
map_0695#24	頭の上の　小枝を　あなたの手に　巻きつけてきた!
map_0695#25	リーフィア: リフ?
map_0695#26	リーフィアは　不思議そうに　あなたを　見ている。
map_0695#27	はい
map_0695#28	いいえ
map_0698#0	歴史も　文学も　幼い少女を　森の境界の　向こうへ　迷い込ませてしまう　いやな癖が　ある。
map_0698#1	その先に　待つ　数え切れぬ魔法に　のみこまれるために。
map_0698#2	オオカミ　魔女　ウサギの穴――
map_0698#3	世界は　無防備で　どこまでも　純真な子どもたちに　飛びかかり　捕らえようと　待ち構える　無数の危険を　隠している。
map_0698#5	リン: ようこそ\PN。
map_0698#6	あの少年を　ここへ　案内してくれるとは　ずいぶん　親切なことですね。
map_0698#7	そのことについては　感謝していますよ。
map_0698#8	彼が　結局　私に　教えてくれましたから。
map_0698#9	彼は　救いようのないほど　無能ですが　被害者を　演じる腕前は　なかなかのものです。
map_0698#10	誰もが　いとも簡単に　嘘泣きに　絆されるものですが
map_0698#11	獣の牙が　迫ると　途端に　驚いたふりを　するのですから。
map_0698#12	滑稽なことですね。
map_0698#13	さあ　始めましょうか。
map_0698#14	油断なさらないことです。
map_0698#15	これから　もっと　顔を　合わせることに　なるでしょうね。
map_0698#16	私たちは　同じ目的を　持っているのですから。
map_0698#17	あとは　彼女から　それを　手に入れるだけです。
