map_0753#297	リボーンシティで前の物件管理人が事故に遭ったあと、この仕事を引き継いだの。
map_0755#17	それじゃ、たねポケモンのフシギダネがほしいのね?
map_0755#18	それじゃ、はっぱポケモンのチコリータがほしいのね?
map_0755#19	それじゃ、きポケモンのキモリがほしいのね?
map_0755#20	それじゃ、わかばポケモンのナエトルがほしいのね?
map_0755#21	それじゃ、くさへびポケモンのツタージャがほしいのね?
map_0755#22	それじゃ、とかげポケモンのヒトカゲがほしいのね?
map_0755#23	それじゃ、ひねずみポケモンのヒノアラシがほしいのね?
map_0755#24	それじゃ、ひよこポケモンのアチャモがほしいのね?
map_0755#25	それじゃ、こざるポケモンのヒコザルがほしいのね?
map_0755#26	それじゃ、こぶたポケモンのポカブがほしいのね?
map_0755#27	それじゃ、かめのこポケモンのゼニガメがほしいのね?
map_0755#28	それじゃ、おおあごポケモンのワニノコがほしいのね?
map_0755#29	それじゃ、ペンギンポケモンのポッチャマがほしいのね?
map_0755#30	それじゃ、みずうおポケモンのミズゴロウがほしいのね?
map_0755#31	それじゃ、うみうそポケモンのミジュマルがほしいのね?
map_0755#32	それじゃ、とげのみポケモンのハリマロンがほしいのね?
map_0755#33	それじゃ、きつねポケモンのフォッコがほしいのね?
map_0755#34	それじゃ、あわがえるポケモンのケロマツがほしいのね?
map_0755#35	それじゃ、くさばねポケモンのモクローがほしいのね?
map_0755#36	それじゃ、ほのおねこポケモンのニャビーがほしいのね?
map_0755#37	それじゃ、あしかポケモンのアシマリがほしいのね?
map_0755#38	それは進化ポケモンのイーブイね!
map_0755#39	それはきつねポケモンのロコンね!
map_0755#40	それはかそうポケモンのポリゴンね!
map_0756#0	ジュリア: はろー、\PN!
map_0756#1	ようこそ、スーパーデュパー・ウルトラハイパー・エレクトロ・キラキラハッピー・ドッカンタイム応援ハウスへ!
map_0756#2	ダサいリアルな話は全部無視してね。
map_0756#3	もっと横断幕! もっと紙テープ! それと……うーん……
map_0756#4	……人生の一番いい時期はもう終わって、これからはひたすら下り坂だっていう、消えない事実を隠す方法とかね!!!
map_0756#5	あ、それって危険じゃない?
map_0756#6	まあ、どうでもいっか!?
map_0756#7	とにかく、あんたが「あの人」に選ばれたからって、アタシが手加減すると思わないでよね!
map_0756#8	元チアリーダー部長として、オニキストレーナーズスクールの名誉はアタシにかかってるって、自分に言い聞かせなきゃ!
map_0756#9	OTS代表! パンチは効かせて手加減なし!
map_0756#10	よし、よし、よし! テンションMAXだし、いくよ――
map_0756#11	カイン: よぉ、かわいいね。
map_0756#12	ここらへんによく来るの?
map_0756#14	あはは、冗談だよ~
map_0756#15	いやー\PN、会えて超うれしいよ。
map_0756#16	目がキラキラしてると思ったら、お前だったんだねぇ~
map_0756#17	でも本当、しばらくここをうろうろしてて、ちょっと心配になってきてたんだよね。
map_0756#18	どうやってここに来たのか、何が起きてるのかもさっぱり分かんないけど、
map_0756#19	状況がつかめるまで、一緒に行動しない?
map_0756#20	まあ、道は一本しかないから、難しくはなさそうだけどね。
map_0756#21	ほら、行こ~
map_0756#26	オレの考えはこうだよ、\PN。
map_0756#29	オレでさえ、十分じゃなかったんだ。
map_0756#30	なんでオレがこんなことしてるのか、\PNには分かんないかもね。
map_0756#31	プライドの問題ってわけじゃないんだ。
map_0756#32	でもお前にはその資格がある。
map_0756#33	オレには、一度もなかったけど。
map_0757#0	フロリニア: ……
map_0757#2	……気づいてくれ……
map_0757#3	ヘザー: 何してんのよ、キモいやつ!?
map_0757#4	さっさと離しなさいよ!
map_0757#5	シグムンド: 被験体は言語的・身体的な攻撃性を示し、指示にも道理にも耳を貸そうとしない。
map_0757#6	初期治療は100ボルトから始めるとしよう。
map_0757#7	アンナ: あ、やっぱりあんただったんだ!
map_0757#8	あんたの光は、暗闇の中でこそ一番輝くんだね!
map_0757#9	だから、何があっても絶対絶対輝くのをやめないでね~
map_0757#10	ちょっと順番が逆だけど、それでも頑張ってね、いい?
map_0757#11	あの子が、あんたのために道を開いてくれるはずだから……
map_0757#13	ねえ、\PN?
map_0757#14	もし二つの星が、夜にすれ違う船みたいに流れ落ちたら、お互いに願いをかけると思う?
map_0757#15	もしそうなったら、どっちの願いが叶うのかな?
map_0757#16	それを知るには、地平線まで追いかけるしかないのかもね!
map_0757#17	カイン: あー、よかった、いた。
map_0757#18	今度は本物のお前だよな?
map_0757#19	前にはぐれちゃって、ここでずっと変なものを見てたんだ……
map_0757#20	さっき、お前のバージョン違いみたいなのを見たんだけど……あれ、過去のお前だったのかな?
map_0757#21	オレのことなんて、全然見えてない感じだった。
map_0757#22	けっこう寂しかったよ。
map_0757#23	でも、一緒にいようって言ったじゃんか、あはは……
map_0757#24	なあ……何かがずっとオレのすぐ後ろにいる気がするんだ。
map_0757#25	だから本当に……今度はそばにいてくれよ、な?
map_0757#26	ゆっくり一緒に行こう。
map_0757#27	キキ: ようこそ、また会いましたね。
map_0757#28	わたしもまた戻ってきました。完全な静止の中で、この魂に宿るあらゆる怒りを込めて。
map_0757#29	それが、わたしにできることの全てだから。
map_0757#30	「内なる混沌を打ち破る?」
map_0757#31	心の禅について語っているだけだと、そう思ってました?
map_0757#32	どれだけ心を完全に無にしたって、結局わたしは――
map_0757#33	アヤ: 戦うのやめて!
map_0757#34	帰ってきて……
map_0757#35	部屋も片付けるし、もう文句も言わないから――
map_0757#36	何でもするから、だから……お願い……
map_0757#37	また、お互い好きになれない?
map_0757#38	アヤ: とうとうあんたも出ていくんだ。
map_0757#39	チッ。
map_0757#40	あたしが最低な女なのは分かってるけど、せめて「じゃあね」くらい言ってよ。
map_0757#41	ま、それがあたしにお似合いってことか。
map_0757#42	カイン: あ……本当にお前だけなんだな……
map_0757#43	この場所、ちょっとオレをすり減らしてきてるよ……
map_0757#44	それも、いい意味じゃなくてさ。
map_0757#45	オレがお前に関することをずっと見せられてるなら、たぶんお前もオレに関する何かを見てるんだろうな。
map_0757#46	正直、そういうのはほとんど忘れたいけどな。
map_0757#47	まあ、だからこそ逃げてきたわけだけど、あはっ……
map_0757#48	でも結局、逃げてもぐるぐる同じところを回ってただけだった。
map_0757#49	どこに行けばいいか分かんないと、他に何もできないもんだよな。
map_0757#50	お前は、これからどうしたいか分かってる?
map_0757#51	ほら、全部終わったあとにさ?
map_0757#52	カイン: そう~? あんまり驚かないな。
map_0757#53	カイン: それじゃ、やっぱりオレたちお似合いってことか~
map_0757#54	みんな、やりたいことがはっきり決まってるみたいに見えるけど、オレは一度もそうじゃなかったな。
map_0757#55	あはは、恋人一人決めるのだって一苦労だし。
map_0757#56	あんなに冗談言ったり口説いたりしてるくせにさ、
map_0757#57	あれって結局、本気になることとガッカリすることから自分を守る手段なんだよな、
map_0757#58	まあ、その二つに違いがあるならの話だけど。
map_0757#59	さあね~
map_0757#60	いつか、本当に居場所だって思える場所が見つかるのかもな。
map_0757#61	場所でも、人でも――どっちでもいいよ。
map_0757#62	でも色々経験して分かったんだ、問題があるのは相手じゃなくてオレの方だって。
map_0757#63	相手が何も悪いことしてなくても、留まれる気がしないんだ。
map_0757#64	でもまあ、誰だってちょっとは壊れてるもんだろ?
map_0757#65	パズルのピースがはまらないことだってあるさ。
map_0757#66	どれだけローション使ったって……
map_0757#67	まあ、なんでもない!
map_0757#68	今回はお前が先に行けよ。
map_0757#69	どうせ一緒にいたってうまくいかないしな。
map_0757#70	それに、今回だけは、逃げるのをやめてみるよ。
map_0757#71	カイン: ちょっと考えることがありそうだな……
map_0757#72	でも、あとで気軽に連絡してよな~
map_0757#73	シグムンド: また会ったな。
map_0757#74	前回会った時と同じ慈悲を、お前にかけるつもりはない。
map_0757#75	私は奪われたものを取り戻しに来た。
map_0757#76	リジー、リジー……
map_0757#77	お前のために、なすべきことをなすまでだ。
map_0757#78	シグムンド: リジー、リジー……
map_0757#79	シリウス: あの野蛮な女め!
map_0757#80	その夫にはさらに二倍の呪いを。
map_0757#81	歴史は、救いようのないロマンチシズムなど気にも留めない。
map_0757#82	奴は、かつての私と同じく浅はかだ。
map_0757#83	歴史は、自らへの探求すら気にかけないのだからな。
map_0757#84	私はただ、自ら刻んだ傷跡を取り戻せばよかった。新たに自分の傷を負う必要などなかったのだ。
map_0757#85	だが、今は分かる。
map_0757#86	現実は、全身全霊の献身と犠牲以外、何も受け入れはしない。
map_0757#87	その道を選ぼうとしない者には、代わりにその道が選ばれる。
map_0757#88	ならば、歩むべき道は一つしか残っていない。
map_0757#89	皮肉なものだ。
map_0757#90	この敗北こそが、道を照らすために必要だったものなのかもしれない。
map_0757#91	シリウス: 歴史とは、勝者によって書かれるものだ。
map_0757#92	そして私は、すでに書きすぎた。
map_0757#93	ならば、残る選択肢は一つだけだ。
map_0757#94	リン: おかしなものね。
map_0757#95	みんなでいれば強いと思っていたのね。
map_0757#96	それで今、あなたはここにいる。
map_0757#97	これを教訓にするといいわ。
map_0757#98	数は助けにならない。
map_0757#99	友も助けにならない。
map_0757#100	何一つ助けにならない。
map_0757#101	誰も助けにならない。
map_0757#102	誰も誰も誰も誰も誰も誰も誰も誰も助けになんてならない。
map_0757#103	???: 昔々、ひとつの流星群が宇宙を駆け抜けていました。
map_0757#104	でもある日、その中の小さな流れ星が一つ、誰よりも遠くへ行きたいと思ったのです。
map_0757#105	だから彼女は尾を蹴り上げ、宇宙のちりを吹かして、飛び出していきました。
map_0757#106	銀河を越えて、遠く遠くまで飛んでいって、
map_0757#107	どの親友よりも遠くへ、
map_0757#108	どの愛する家族よりも遠くへ、
map_0757#109	どんな流れ星も行けるとは知らなかったほど、遠くへ。
map_0757#110	そして、そんなに遠くまで飛んでとても疲れた頃、彼女は気に入った小さな惑星を見つけて、ようやく休めると思いました。
map_0757#111	そうして、小さな流れ星は惑星の地表へと降り始めました。
map_0757#112	でもその惑星の大気は、とても熱くて、とても濃くて、
map_0757#113	それに小さな流れ星は、宇宙で何百万、何百万もの月日を飛び続けてすっかり疲れ果てていました……
map_0757#114	……だから彼女は、空でそのまま燃え尽きてしまったのです!
map_0757#115	それで、何が起きたと思います?
map_0757#116	その惑星の人々はみんな空を見上げて、こう言いました。
map_0757#117	「見て!
map_0757#118	流れ星だ!
map_0757#119	願い事をしよう!」
map_0757#120	そうして、その小さな惑星のみんなは、
map_0757#121	生まれてこの方、そんな星をほとんど見たことがなかったから、
map_0757#122	願いました、
map_0757#123	願って、願って、力の限り願いました、
map_0757#124	そしてみんな微笑んで、これまで知らなかったような希望を知って、幸せを感じたのです。
map_0757#125	そして地表に届く頃には、小さな流れ星は、もう何も残っていませんでした……
map_0757#126	すっかり――ぽん!――消えてしまったのです!
map_0757#127	そうして世界から永遠に消えてしまったけれど、その小さな流れ星が何をしたか、分かりますか?
map_0757#128	彼女は、いつまでも幸せに暮らしました、
map_0757#129	流れ星としての最後の瞬間にもたらした喜びの中で、触れた心の中で、生んだ微笑みの中で。
map_0757#130	だから、命のほんのちっちゃな最後のかけらでさえ、
map_0757#131	彼女は自分のしたことを、一度たりとも後悔しませんでした。
map_0757#132	だから、わたしの分も、ちゃんと笑っててね?
map_0757#133	ヘザー: こんなことして、無事で済むと思ってんの、このエロジジイ!?
map_0757#134	シグムンド: ああ――引っかかれたな。
map_0757#135	拘束しろ。
map_0757#136	それと、110ボルトに変更だ。
map_0757#137	シグムンド: さあヘザー、じっとしていろ。
map_0757#138	少し、ビリッとするかもしれないが……
map_0757#139	キキ: なんで、いなくならなきゃいけなかったのがわたしなの、それのどこがフェアなわけ!?
map_0757#140	なんで、自分の体が自分を殺していかなきゃいけなかったの、それのどこがフェアなの?!
map_0757#141	こんなの頼んでない。
map_0757#142	わたしが満足してたとでも思う?
map_0757#143	わたしに夢がなかったとでも思う?!
map_0757#144	わたしが「冷静でいる」なんてこと、ちょっとでも分かってたとでも思う?!
map_0757#145	内なる混沌を打ち破る?
map_0757#146	わたし自身が混沌でできてるのに!
map_0757#147	それについて、わたしにできることなんて何もないのに!
map_0757#148	髪型が気に入らないのが一番の悩みみたいな、あの泣き言ばかりの自己中な子供たちとは違って。
map_0757#149	あの子たちは、ある日突然、自分の人生でずっと追い求めてきた全てにもかかわらず、
map_0757#150	ずっと他人のために自分を捧げ続けてきたにもかかわらず、
map_0757#151	ドラッグと暴力でしか会話しないような「家族」を生き延びたにもかかわらず、
map_0757#152	この狂った世界の中で、たったひとつの安らぎのオアシスを作るためだけに、人生のクソみたいなことを全部乗り越えてきたにもかかわらず、
map_0757#153	手に入る報酬が「死」だけだなんて、知る由もないのよ。
map_0757#154	わたしの腹を引き裂きなさい。
map_0757#155	腸を引きずり出しなさい。
map_0757#156	土に擦り込みなさい。
map_0757#157	どうせわたしの体は、勝手にそれを全部やってのけるでしょうけど。
