map_0150#408	何か面白いことが起きないかなぁ!
map_0152#12	サイモン: 湖から遺体を引き上げることはできなかったが、せめて思い出くらいは残してやりたいと思ってな。
map_0152#13	姓すら、突き止められなかった。
map_0152#14	家族がいたのか、友人がいたのかすら、わからない……
map_0152#15	それらすべてが、今は湖の底に沈んでいる。
map_0152#16	サイモン: あの女に仕返しをすると誓った。
map_0152#17	だが、もう一つ死を重ねたところで、何になる?
map_0152#18	どこかで誰かが、あの女に対して、俺がタラに――そしてリッサに抱いたのと同じ思いを抱いているはずだ。
map_0152#19	二度目だ。
map_0152#20	二度、愛した女を失った。
map_0152#21	妻が死んだとき、彼女を取り戻すことしか考えられなかった。
map_0152#22	そこへ、シリウス司令官が現れた。
map_0152#23	メテオ団が世界を作り直したとき、妻を取り戻せると言われた。
map_0152#24	喜んで受け入れたよ。
map_0152#25	だが、タラと組むことになって、彼女はいつも元気で、誠実で……
map_0152#26	代わりに、彼女に恋してしまった。
map_0152#27	彼女は、俺の世界の光だった。
map_0152#28	そして今、また闇の中に取り残されている。
map_0152#29	世界が生まれ変わったら、二人にまた会えると思うか?
map_0152#30	サイモン: お前の言う通りなんだろうな。
map_0152#31	だが、それでどうなる? リッサに、一体どう説明すればいい?
map_0152#32	たとえ救われたとしても、待っているのは罪悪感だけだ。
map_0152#33	サイモン: ……もちろん、違うな。
map_0152#34	そもそも、ただの夢物語にすぎなかったんだ。
map_0152#35	この世界から逃げることは、俺の罪悪感からの逃避にすぎなかった。
map_0152#36	妻を失った罪悪感……
map_0152#37	タラの代わりに死ねなかった罪悪感……
map_0152#38	リッサに命を誓ったあとに、タラに心を寄せてしまった罪悪感……
map_0152#39	たとえ再び会えたとしても、二人に顔向けなどできない。
map_0152#40	メテオ団を辞める。
map_0152#41	過去にとらわれすぎていた。
map_0152#42	もう、これ以上は耐えられない。
map_0152#43	すでに失ったものを、作り直そうとすることに意味はない。
map_0152#44	俺に用があるなら、ペリドットワード西側の家にいる。
map_0152#45	「リッサ・コッパーマン」
map_0152#46	ヴィクトリア: あら、\PN。他に誰か来るとは思っていなかったわ……
map_0152#47	あなたも、お参りに来てくれたの?
map_0152#48	ヴィクトリア: すべてを片づけるのに、ずいぶん時間がかかったの、
map_0152#49	山ほどの書類仕事と、くだらない法律上の手続きにね。
map_0152#50	理由があって定められたものだとはわかっているけれど、法律や手続きって、世界を泥で埋め尽くすだけのものよね。
map_0152#51	心が傷ついたままの普通の人が、一体どこからそれを乗り越える気力を見つけろって言うのかしら?
map_0152#52	これが、大人の世界の精神統一の修行なのかしら?
map_0152#53	心を空にして、何にも意識を向けず、
map_0152#54	ただ、三枚複写の三枚目にチェックを入れるペンの、規則正しいトントンという音だけに集中する。
map_0152#55	きっと、心が休まるはずよ。
map_0152#56	普段でさえ、一体どうやってあれに対処すればいいのかわからないのに、
map_0152#57	悲しみの中でなんて、なおさらだわ。
map_0152#58	もしこれが、わたし自身の母のことだったら?
map_0152#59	キキは、厳密にはわたしの家族じゃない。
map_0152#60	父とはまあまあうまくやってるけど、母とはもうずっと話していないの。
map_0152#61	キキは、実の母よりもずっと、わたしにとって母のような人だった。
map_0152#62	それに、彼女には娘がいなかった。
map_0152#63	数か月前に遺言を残していて、すべてを――
map_0152#64	何もかもを――
map_0152#65	わたしに遺してくれたの。
map_0152#66	てっきり、いとこか誰かがいるんだと思ってた――
map_0152#67	きょうだいとか――
map_0152#68	誰か……
map_0152#69	でも、いなかったみたい。
map_0152#70	家族のことなんて、一度も聞かなかった。
map_0152#71	誰か外に話す相手がいるのか、誰かを残してきたのかも、聞いたことがなかった――
map_0152#72	わたしには関係のないことだと思ってた。
map_0152#73	彼女は、どれだけ孤独だったんだろう?
map_0152#74	自分は彼女とは距離があるんだと思い込んで、どれだけ彼女を孤独にさせてしまったんだろう――
map_0152#75	ううん、わたし――
map_0152#76	そんなつもりはなかったのに、彼女を遠ざけてしまっていたの。
map_0152#77	職業上の一線とか、礼儀とか、そういうものはあったけど……
map_0152#78	今となっては、それが何になるって言うの?!
map_0152#79	ただの師弟という以上に、
map_0152#80	わたしたち、家族になれたかもしれないのに――
map_0152#81	なれたかもしれないのに……
map_0152#82	「ジェイコブ・S・クロウリー巡査――殉職」
map_0152#83	はい
map_0152#84	いいえ
map_0153#0	ああ、自由だ!
map_0153#1	うかつにも落とし穴にはまってしまって、もうここで一生忘れられるものだと思っていたよ。
map_0153#2	本当にありがとう! すぐに署に戻るよ!
map_0153#3	目に見えない何かが立ちふさがっている。
map_0153#4	\PNはシルボンスコープを使った。
map_0153#5	驚いたポケモンが攻撃してきた!
map_0153#6	ケーック……
map_0153#7	……レーーオン!!!
map_0153#8	むらさきのカクレオン: ……けく。
map_0153#9	いじわるなポケモンが攻撃してきた!
map_0153#10	ケック――!
map_0153#11	むらさきのカクレオン: ……
map_0153#13	……クレオン……
map_0153#14	キモリ: キモ――!
map_0153#15	キモリはとまどっているようだ。
map_0153#16	キモリを連れていきますか?
map_0153#17	コノハナ: コノ! ハナ、ハナ!
map_0153#18	コノハナ: ラ・ハナ!
map_0153#19	カギがクリスタルに反応した!
map_0153#20	取りますか?
map_0153#21	タマゴは、結局置き去りにされていたわけではないようだ。
map_0153#22	ゴアアアアアウワアアア!!
map_0153#23	タマゴが置き去りにされているようだ。
map_0153#24	タマゴを持っていきますか?
map_0153#25	\PNはタマゴを手に入れた!
map_0153#26	クズモーがぼんやりと水の向こうを見つめている。
map_0153#27	何か見覚えがあるようだ。
map_0153#28	クズモーがぎんのゆびわに気づいた!
map_0153#29	クズモーはおとなしくなっているようだ。連れていきますか?
map_0153#30	何をしても、反応がないようだ。
map_0153#31	ハブネークが水たまりの水をなめている。
map_0153#32	ハブネークが\PNのポケスナックに気づいた!
map_0153#33	ハブネーク: シュー?
map_0153#34	ハブネークがポケスナックに飛びついた!
map_0153#35	それ以外のことには、まるで反応しない。
map_0153#36	シェリー: わ、わからない……?
map_0153#37	ここから逃げていくポケモンを見かけて、たどってきたら、ここに行き着いたの……
map_0153#38	それで、見ての通りなんだけど――
map_0153#39	根っこの周りに変なセルがたくさんあるんだけど、どうしてか全然わからなくて。
map_0153#40	どうして、ここにあるの?
map_0153#41	一体、どういうことなの?
map_0153#42	シェリー: \PN、ちょうどよかった!
map_0153#43	100%フォルムのジガルデ、手に入れられた?!
map_0153#44	シェリー: 本当に手に入れたんだね!
map_0153#45	よし、それじゃ聞いて。
map_0153#46	シェリー: 最初は、どうしてここにZセルがたくさん現れたのか、よくわからなくて……
map_0153#47	あれ、木のバリアと同じ形をしてるの。根っこを伝って移動してきたって考えれば、筋が通るかもしれない。
map_0153#48	それで思ったんだけど、上にはイベルタルがいるはずでしょ?
map_0153#49	同じ場所につながりのある伝説のポケモンが現れるのって、絶対関係があるはずで――
map_0153#50	もしかして、あのバリアは、うまく形にならなかったジガルデの一部なんじゃないかな?
map_0153#51	それで、そのジガルデの一部が、伝説の通りにここの根元に現れてるなら……
map_0153#52	わかるでしょ?
map_0153#53	ここなら――根っこを使って、木全体に攻撃を伝えて、バリアを一気に消し去れるはずよ!
map_0153#54	ここでジガルデを出して、試してみましょう!
map_0153#55	シェリー: よし、ジガルデ――根っこを通して、力を集中させて!
map_0153#56	全力で、いくよ!
map_0153#57	シェリー: よし、ジガルデが木の不安定なエネルギーを吸収してくれたと思う、これでもう大丈夫なはず!
map_0153#58	シェリー: な、なに?
map_0153#59	このメタモン、どこから出てきたの?
map_0153#60	ええと、何がどうなってるのかわからないけど、あなたのポケモンから出てきたから、多分あなたが引き取った方がいいと思う……
map_0153#61	シェリー: とにかく、ジガルデが木の不安定なエネルギーを吸収してくれたと思うから、これでもう大丈夫なはず!
map_0153#62	シェリー: もう一つ二つ、ここで確認したいことがあるけど、それが終わったらしっかりサポートするから!
map_0153#63	もう決着をつけて、ノエルを助けよう!
map_0153#64	シェリー: 突破できるだけの力があるのは、100%フォルムのジガルデだけ!
map_0153#65	少なくとも……多分そのはず……
map_0153#66	でも、もう手に入れられるはずだよ。
map_0153#67	できるよ、\PN!
map_0153#68	ここまで来たんだもの、こんなことで止まったりしないはずよ!
map_0153#69	あんな攻撃を木全体に通しちゃって、木が傷ついてないか、念のため確認しておきたいの……
map_0153#72	頑丈すぎて、壊したり動かしたりできそうにない……
map_0153#73	この岩の土台には、まだ何か貴重なものが眠っているかもしれない。
map_0153#74	ばくはつのこなで開けますか?
map_0153#75	はい
map_0153#76	いいえ
map_0155#0	ふん、こそこそ嗅ぎ回るちんけな害虫がいるのか?
map_0155#1	まったく、害虫だな。
map_0155#2	まあ、せいぜい害虫らしく好きにやるがいい。
map_0159#0	ついこの間まで、ここはただの静かな住宅ワードだったのに――
map_0159#1	でも、あの一帯の森、知ってる?
map_0159#2	みんな「ジャングル」って呼ぶようになったんだけど――
map_0159#3	あんな風になったのは、つい最近のことなんだ。
map_0159#4	ロドクライン公園は、あたし達の世界をまるごと飲み込む前は、ただの平和な市民公園だったのよ……
map_0159#5	ペリドットの家族のところに戻りたいけど、ジャスパーでポケモンがうじゃうじゃ群がってるところを抜けるのはなぁ……
map_0159#6	どうしたもんかな。
map_0159#7	ねえ、聞いた?
map_0159#8	砂漠の奥に、特定の人にしか見えない塔があるんだって!
map_0159#9	すごくない?!
map_0159#10	誰が見えるかって、何で決まるんだろう……
map_0159#11	もしかして、砂の動き方で決まったりして?!
map_0159#12	はぁ……
map_0159#13	なんつーか……
map_0159#14	木を切ったり……
map_0159#15	岩を砕いたり……
map_0159#16	水の上を波乗りしたり……
map_0159#17	みんな面倒くさいよな?
map_0159#18	ほんと、めんどいだけ……
map_0159#19	そういうの、一切やりたくないんだよ……
map_0159#20	だからやらない。
map_0159#21	あんたもやらなくていいんだぜ?
map_0159#22	今度誰かに合言葉を聞かれたら、「easyhms」って答えるといいぜ……
map_0159#23	まあ、聞かれるまで待つのもめんどいけどよ……
map_0159#24	でもそうすりゃ、ポケモンにフィールド技を覚えさせる手間が省けるんだ。
map_0159#25	ただ、めんどくさがらずに済むってわけ……
map_0159#26	だろ?
map_0160#0	うわっ、ここでスーパーボールって手に入らないもんかね? 頼むよ?
map_0160#1	とりあえず、クリティカルキャプチャーの特製ボールで間に合わせるしかないか。
map_0160#2	砂漠にジムを構えたジムリーダーがいるらしいぜ。
map_0160#3	ひどい道のりだな。
map_0160#4	もしあっちに向かうなら、物資はたっぷり持っていくんだぞ。
map_0160#5	ふん! 新たな挑戦の時だ!
map_0160#6	山もいいが、砂漠のハイキングとはまるで勝手が違うな。
map_0160#7	山なら、登る道を見つけるだけの話だ。
map_0160#8	砂漠じゃ、砂の合間にある数少ない目印を頼りに、広大なエリアを進む術を身につけなきゃならん。
map_0160#9	その覚悟はできてるぞ!
map_0160#10	この地方のしんかのきせきには、特別な性質があるらしいな。
map_0160#11	どうやら、かわらずのいしのようにも働くらしくてな――持たせておけば、レベルアップでは進化しなくなるんだと。
map_0161#0	あたしたちの家のほとんどは、あの植物にやられちまった。
map_0161#1	幸い、この建物の持ち主は混乱の中でいなくなっちまってな、誰もあたしたちを追い出したりしないのさ。
map_0161#2	外にあるでかい木、知ってるかい?
map_0161#3	昔からあったわけじゃないんだよ。
map_0161#4	いや、木自体はあったけどよ、あんなにでかくはなかった。
map_0161#5	少なくとも、あそこまでは。
map_0161#6	こんなこと、一体どうやって起きるんだ?
map_0161#7	やれやれ、たまげたもんだよ。
map_0161#8	事態がやばくなってベリルから避難してよ、戻ってきたらここ、ろくでなしどもだらけになってたんだ!
map_0161#9	追い出すのに、えらい苦労したよ……
map_0161#10	家賃はタダじゃないんだぞ!
map_0161#11	払うか、出てけ!
map_0162#0	アメ: \PN?
map_0162#1	やっほー! ジムに着いたみたいね。
map_0162#2	この通信システムは大ホールに直接つながってるから、どこにいても、ジムに着いたらいつでもアドバイスをもらえるのよ!
map_0162#3	それはそうと……
map_0162#4	待って、そこってコーリーのジム?
map_0162#5	……彼、もうリーダーですらないのに。
map_0162#6	何やってるの?
map_0162#7	まあ、何か理由があって彼に挑むつもりなら、前のメモがまだこの辺に残ってると思うけど……
map_0162#8	コーリーは時々、「腐食霧フィールド」っていうのを使うのよ。
map_0162#9	この怖い戦法は、毎ターン、場に出ているポケモンをできる限り毒状態にしていくの!
map_0162#10	恐ろしく聞こえるかもしれないけど、はっきりした弱点があるわ。
map_0162#11	毒は霧に結びついてるから、空気を利用して彼に対抗できるの!
map_0162#12	有毒ガスは可燃性だから、ほのおタイプのポケモンなら一気に食い破れるわ。
map_0162#13	でも、火を使いすぎないように気をつけて!
map_0162#14	それか、空気を晴らせるポケモンを連れていけば、あとは普通に彼のパーティーを力押しするだけよ。
map_0162#15	息をつける余裕さえあれば、大丈夫なはずよ!
map_0162#16	コーリーの腐食フィールドは、特にどくタイプに弱いポケモンにとって、かなりのダメージになり得るわ。
map_0162#17	それに加えて、毒に関するほとんどの効果を強化して、「ベノムショック」や「ベノムトラップ」みたいなわざも発動させるの……
map_0162#18	でも! それってつまり、ひとつのかごに卵を入れすぎてるってことよ!
map_0162#19	あなたがどくタイプ、あるいははがねタイプを連れていれば、彼の選択肢はすごく限られるわ!
map_0162#20	あなたの毒対策を崩せそうな相手を仕留めるために、攻撃的なポケモンは温存しておいて。
map_0162#21	あとは、態勢を整えて彼を倒すだけよ!
map_0162#22	何をしてるのか知らないけど……頑張ってね。
map_0162#23	大ホールの方、誰も出ないみたいね……
map_0162#24	署長: 状況は悪化の一途だ!
map_0162#25	コーリーを追ってここまで来たが、消えてしまった!
map_0162#26	それから、あの光る反応炉が何かのガスを噴き出して、部下たちは完全に正気を失ってしまってな。
map_0162#27	見ての通りだ――みんな、混乱して我を失っている。
map_0162#28	これに対して、我々に何ができる?
map_0162#29	何かするつもりなら、これが役に立つかもしれん。
map_0162#30	\PNはフィールド効果解析データ11を手に入れた!
map_0162#31	腐食霧フィールドの情報が閲覧可能になった!
map_0162#32	署長: この建物の反応炉は、精神を狂わせる物質に加えて、この環境を作り出す能力があると考える理由がある。
map_0162#33	どうか、慎重に進んでくれ。
map_0162#34	署長: コーリーを倒したのか?
map_0162#35	それは良かった、だが今度は奴を捕まえなければ。
map_0162#36	先に行ってくれ。警察隊は可能な限り後から続く。
map_0162#37	したがえ……
map_0162#38	あぎゃっ! ……え?
