22f_bt_speeches#720	誰にもオレは止められない!
22f_bt_speeches#817	お前がわたしを倒せると噂の相手か? いいだろう、全力で来い。
22f_bt_speeches#818	誰かがうちのクソ玄関ポーチを盗みやがった。ドアを開けたら落ちたわ。
22f_bt_speeches#819	どちらかは負けるものですが、楽しんでいただけたなら何よりです!
22f_bt_speeches#820	このあたり、何かにおうな。
22f_bt_speeches#821	たまに、お姫様だったらなって思うの…
22f_bt_speeches#822	いい一手が一つあれば、流れは変わるものさ。
22f_bt_speeches#823	勝つには石頭も必要なのさ!
22f_bt_speeches#824	悪いけど、あなたはタイプじゃないの!
22f_bt_speeches#825	タマザラシ、モクロー、プリン…みんな大好き!
22f_bt_speeches#826	下がっていろ、石よ。
22f_bt_speeches#827	統計的に言えば、ここでのバトルは全体の82.6%の場所より安全です。
22f_bt_speeches#828	これ以上、オレの心をドラゴンずり回さないでくれ!
22f_bt_speeches#829	この話、聞いたことあったら止めてくれよ。
22f_bt_speeches#830	石のように強く、揺るがない!
22f_bt_speeches#831	相変わらず強いな…
22f_bt_speeches#832	イッシュの力にひれ伏せ!
22f_bt_speeches#833	優れた技術と、優れた腕前だ!
22f_bt_speeches#834	優れた者が最高に君臨する! ん、これって意味が重複してる?
22f_bt_speeches#835	まあ、たしかにありきたりなリフだけどさ。それでもイケてるだろ!
22f_bt_speeches#836	もっとよく見てごらん!
22f_bt_speeches#837	あたしのかわいいポケモンを見て!
22f_bt_speeches#838	技術はわたしの仕事! そして自然はわたしの情熱!
22f_bt_speeches#839	ふふっ、今ペイジが、すごくおかしな冗談を言ってくれたの!
