map_0872#6	キャル: どうせほのめかしてるんだろうけど、見逃してあげるよ。
map_0874#2	約束通り、お前に先手をやるためにここに置いといてやったんだ。
map_0874#3	でも失敗したら、二回目のチャンスなんて期待するなよ！
map_0874#4	ミュウ！
map_0874#5	ミュウ: ミュウ！
map_0874#6	ファーン: なんだよ、それ？
map_0874#7	ただの変身したミュウだったのか！？
map_0874#8	うわああああ。
map_0874#9	ファーン: あのガラクタの山のどっかに隠れたみたいだな……
map_0874#10	……あいつのことだから、また何かに変身して隠れたんだろうな。
map_0874#11	先に見つけた方が、次の一手を取れるぞ！
map_0874#12	ハンデなしだ――行くぞ！
map_0874#13	……ただのぬいぐるみか。
map_0874#14	ファーン: これ全体、一体何なんだよ？
map_0874#15	ミュウツーがここにいるのか？
map_0874#17	まるで4歳児がズガドーンの上に吐いたみたいな眺めだな。
map_0874#18	それでも、控えめに言ってるつもりだ。
map_0874#19	必要以上にぐずぐずするのはよそう。
map_0874#21	ミュウがまたどこかに隠れた！
map_0874#22	ファーン: チッ。
map_0874#23	そこにいたのか……
map_0874#24	でも、また逃げられたわけか？
map_0874#25	よし、3本勝負で2勝先取だ！
map_0874#26	今度こそオレが見つけてやるからな！
map_0874#27	ファーン: 今度こそ本当に捕まえたぞ！
map_0874#28	うわあああ、またただのバカみたいなぬいぐるみポケモンかよ！
map_0874#29	こんな場所、大嫌いだ！
map_0874#30	ファーン: あのバカな奴、絶対オレが先に見つけてやる！
map_0874#31	間違いない。
map_0874#32	だから、お前がここから逃げ出してオレに勝ちを譲りたいって言うなら、それも責めやしないぜ。
map_0874#33	オレがお前の立場で、これがどうしようもないって分かってたら、こんなゴミだめに居座りたくなんかないからな。
map_0874#34	あとは、今度あいつが何に化けたか突き止めるだけだ……
map_0874#35	ファーン: オレがミュウなら、どこに隠れるか……
map_0874#36	一番隠れやすい場所と言えば……
map_0874#37	はっ！ 声に出して、お前に真似させてやるわけないだろ。
map_0874#38	いい手だったな、\PN。
map_0874#39	ファーン: ……よし……
map_0874#40	5本勝負で3勝先取だ！
map_0874#41	でも、今度は本気出すからな！
map_0874#42	お前に勝ち目なんてなくなるぞ！
map_0874#43	ファーン: これまでの変身と、それぞれの位置を照らし合わせて考えると……
map_0874#44	……一番怪しいのは……
map_0874#45	へっ、あっという間に絞り込んでやったぜ。
map_0874#46	チャンスが欲しいなら、さっさと動いた方がいいぞ、\PN。
map_0874#48	7本勝負で4勝先取か？
map_0874#50	お前とあのミュウ、オレに対してぐるになってるだろ？
map_0874#51	それしか筋の通る結論がない。
map_0874#52	だって、何度も見つけてるくせに、まだ一度も捕まえてないじゃないか。
map_0874#53	どうせ隙を見て、戦った場所までこっそり戻って、一緒に逃げるつもりなんだろ！
map_0874#54	お前の魂胆はお見通しだぞ！
map_0874#55	お前ら二人とも、オレを苦しめたくて、この吐き気がするようなピンク色の異次元パレードに閉じ込めたいんだろ！？
map_0874#56	でも、そうはさせないぞ！
map_0874#57	何があろうと、お前らの裏をかいて、その悪だくみを打ち砕いてやる！
map_0874#58	それがオレって人間だからな！
map_0874#59	忘れるなよ！
map_0874#60	ファーン: 話しかけるな。
map_0874#61	心理戦なんてやめて、ちゃんとミュウをオレに渡す気になるまではな。
map_0874#62	ミュウがポータルの中へ飛んでいった！
map_0874#63	リン: うわあ、ここひどすぎ。
map_0874#64	ここ、まさか誰も住んでないよね、お願いだから言って。
map_0874#65	インテリアデザイナー呼んだ方がいいけど、多分ここ見た瞬間、目玉が飛び出して逃げてくと思う。
map_0874#66	4歳児の誕生日パーティーの後のゴミ箱みたいだし、
map_0874#67	ゲロまでセットでね。
map_0874#68	このゴミの星座、一体誰が作ったわけ？？
map_0874#69	まあ、あたしなんだろうけどさ
map_0874#70	マジで何なのこれ？
map_0874#71	アンナ: この場所を作った覚えは全然ないけど、作っといて本当によかった！
map_0874#72	ねえ、キャンディーってまだある！？
map_0874#73	ヘザー: いっぱいあるよ〜 わーい〜 その宝箱の中！
map_0874#74	シェリー: あれ、文字通り底なしなんじゃないかな？
map_0874#75	ノエル: 食べすぎて、お腹痛くなってきた。
map_0874#76	ルミ: はい、お姉ちゃんが余分に水のボトル持たせてくれたの。一本いる？
map_0874#77	アンナ: これ、すっごく美味しい！
map_0874#78	ねえ、このニューワールドの魔法の宇宙キャンディー、たくさん食べたら、あたしたちの中身が超新星になったりするのかな！？
map_0874#79	ルミ: それだと、水がいくらあっても足りない気がする……
map_0874#80	アンナ: ううん、大丈夫だよ、だって――お腹の中に超新星があっても、別に痛くないんだから！
map_0874#81	ただ中身がきれいで宇宙っぽくなって、腎臓病の予防にもなるかもだし？
map_0874#82	それに、みんな元々は大昔の星屑からできてるって言うでしょ？
map_0874#83	シェリー: えっと、まあそうだけど！
map_0874#84	それは厳密には正しいけど、それって他のものも全部星屑からできてるってことでもあるんだよね。
map_0874#85	ルミ: カビとか、昼間のテレビ番組みたいな気持ち悪いものも？
map_0874#86	アンナ: 「それで、今バックステージに誰が来てると思う――」
map_0874#87	「あなたが10代の頃に出て行った、あの赤色わい星なんです！」
map_0874#88	シェリー: その昔話、あたしの記憶とはちょっと違う気がするけど……
map_0874#89	ヘザー: なんで大人って、わーい〜、あんなの見るの？
map_0874#90	だって、自分の人生だけでも十分ドラマチックなんじゃないの？
map_0874#91	アンナ: たぶん、気晴らしみたいなものなんじゃないかな？
map_0874#92	ほら、他の人が面白く痛い目に遭うのを笑うのは簡単だけど、自分がバナナの皮で滑るのは誰も嫌でしょ。
map_0874#93	ヘザー: まあ、そうかもね。
map_0874#94	アンナ: それに、大人って思われてるほど子供と変わらないと思うんだ。
map_0874#95	ほら、体が大きくなって、
map_0874#96	「大きく見せる」やり方を学ぶ時間が長かっただけで、
map_0874#97	それ以外に、本当は何が違うんだろう？
map_0874#98	ノエル: 周りから期待されること、かな。
map_0874#99	アンナ: そう、それ！
map_0874#100	大人にも、子供に向けるのと同じ優しさを向けてあげたら、色々な問題が解決すると思うんだ。
map_0874#101	数年の違いなんて、そんなに大したことじゃないよね？
map_0874#102	みんな、いつも精一杯やってて、いつも失敗もしてる。
map_0874#103	それで傷が消えるわけじゃないけど、少なくとも気持ちだけは間違ってなかったって、分かってるから。
map_0874#104	それに、あたしたちはもう、人としてこんなに前に進んできたんだよ！
map_0874#105	少しずつでも成長しようとし続ければ、いつかきっとたどり着けるよ！
map_0874#106	ノエル: それがもっと早く進めばいいのにね。
map_0874#107	アンナ: うん、分かってる……
map_0874#108	だから、あたしはこのニューワールドに残るの。
map_0874#109	あたしはもう十分やったから。
map_0874#110	でも、みんながこんなに会いに来てくれて、本当に嬉しい〜
map_0874#111	また近いうちに来てくれるよね？
map_0874#112	\PNは宝箱を開けた……
map_0875#0	ファーン: そうはさせるかよ！
map_0875#1	ファーン: お前ら二人とも、そう簡単には逃がさないからな！
map_0875#2	たとえただのバカなミュウだろうと、こんなロリポップ天国みたいな地獄で時間を無駄にしといて、手ぶらで帰るつもりなんかないからな！
map_0875#3	どけ、そいつはオレが捕まえる！
map_0875#4	せめて、お前に渡さないためだけにでもな！
map_0876#0	アドリエンヌ: あら、お気に入りのチャンピオンじゃない！
map_0876#1	いつだって嬉しいものね。
map_0876#2	ここの景色は、他にない美しさがあるわ。
map_0876#3	ちょうど、めったにない静けさのひとときを楽しんでいたところなの。
map_0876#4	アノマリーの封じ込めに、少しでも力になろうと思って来たのだけれど……
map_0876#5	街の運営に追われて、みんなと一緒に行動する時間がなかなか取れなくてね。
map_0876#6	この機会はありがたかったのだけど、
map_0876#7	ここに来てみたら……
map_0876#8	まあ、見ての通りよ。
map_0876#9	ほとんど揺らめきもしない、きらめく星明かりの水たまり、
map_0876#10	水面の下でわずかに揺れる影、
map_0876#11	それくらいで、他には何も。
map_0876#12	封じ込めが必要なものなんて、ほとんどないわ。
map_0876#13	いつか何かが現れることもあるかもしれないけれど、
map_0876#14	今のところは、これだけね。
map_0876#15	一息つける時間。
map_0876#16	最近は、そういう時間がほとんどなかったの。
map_0876#17	まばたきをするたびに、世界にまた置いていかれているような気がするわ。
map_0876#18	いつも色々なことが起きていて、その場にいたいと思っているのだけれど、
map_0876#19	こういう静けさの瞬間も、渇望してしまうの、
map_0876#20	まるで自分の一部が、まだ時間の中で凍りついているみたいに。
map_0876#21	あたしの一部は、まだそこにいたいと思っているのかもしれない。
map_0876#22	最初は、あんなに多くの年月を失ったという考えが、憎らしくて仕方なかった、
map_0876#23	もちろん、今でもそう思っているけれど。
map_0876#24	それでも……
map_0876#25	きっと、もう一度同じことをするでしょうね。
map_0876#26	未来へ一歩を踏み出し、世界がまだ正しい道を歩んでいることを確かめられるという、そのチャンスのためになら……
map_0876#27	ストレスの多い経験ではあったけれど、忘れがたい、崇高な体験だったわ。
map_0876#28	やりたいことも、助けたい人も、数えきれないくらいあるの。
map_0876#29	できることなら、一人一人と向き合って、それぞれの悩みに耳を傾けたい。
map_0876#30	出会う人みんなのために、世界を動かしてあげたいの。
map_0876#31	でも、それはできない。
map_0876#32	あたしには、永遠という贅沢は許されていないから。
map_0876#33	きっと誰もが同じことを望んでいるはずだし、あたしが特別なわけでもないわ。
map_0876#34	自分を戒めて、限界を受け入れて、野心を抑え込まないといけない、
map_0876#35	そして、息をつくの。
map_0876#37	みんな一体どうやってこなしているのか、分からないわ。
map_0876#38	今だって、あと二つも会議が待っているし。
map_0876#39	そろそろ行かなくちゃ。
map_0876#40	話を聞いてくれてありがとう、
map_0876#41	あなたの尽力にも、他の全てにも、感謝しているわ。
map_0876#42	次にまばたきをするときには、また会えるといいわね。
map_0876#43	ハーディ: だから言った通り、俺たち時々ここに来てるんだ。
map_0876#44	二人だけでさ、なかなかいいもんだよ。
map_0876#45	あいつをこの水たまりに入らせるのに、ちょっと説得が要ったけど、実際完全に安全だって分かったんだ。
map_0876#46	それでこの前、あいつがこう言ってさ、
map_0876#47	「この滝の一つに飛び込んだら、どんな感じなんだろうね？」って。
map_0876#48	それ以来、ずっとそのことを考えてるんだ。
map_0876#49	最初は、ひこうタイプが何匹かいるし、さっと急降下してキャッチすりゃいいだろって思ってたんだけど。
map_0876#50	でも、そのリスクを取りたいかっていうと、分かんなくてさ。
map_0876#51	あいつが相手じゃ、なおさらな。
map_0876#52	それに、ここの底なんて全然見えないし。
map_0876#53	何かあったら、俺自分を許せなくなると思うんだよな、分かるだろ？
map_0876#54	だから、もっといい方法をずっと考えてたんだ。
map_0876#55	で、何か掴めたかもしれない。
map_0876#56	聞いてくれよ――
map_0876#57	ハーディ: フーパだよな？
map_0876#58	ハーディ: こっちだ、姉貴！
map_0876#59	ティタニア: あんたたち二人、一体何やってるのよ？
map_0876#60	ハーディ: ここから飛び降りる方法、考えてるとこ！
map_0876#61	ティタニア: ……
map_0876#62	こっちに来なさい、今すぐ。
map_0876#63	ハーディ: おっと、言い方悪かったよな、分かってる――
map_0876#64	でも、安全のための話なんだって。
map_0876#65	フーパを見つけられれば、ポータルか何か作ってもらって、水たまりに戻れるようにできるんじゃないかって話してただけなんだ！
map_0876#66	ティタニア: それは、あんたにしては最悪じゃない案かもね。
map_0876#67	ハーディ: 姉貴にそう言われたら、最高の褒め言葉だ！
map_0876#68	ティタニア: 調子に乗らないの。
map_0876#69	そもそも、なんであたしをここに呼んだのよ？
map_0876#70	ハーディ: あ、そうだった！ バトルしようぜ！
map_0876#71	審判やってくれるか？
map_0876#72	ティタニア: あんた、もうリーグ順位であたしより上なんでしょ。
map_0876#73	このちっちゃな意地の張り合い、いつまで続けるつもり？
map_0876#74	ハーディ: いや、意地とかじゃねえよ――そんなのはもう卒業したさ。
map_0876#75	ただ一緒に遊びたいだけなんだって！
map_0876#76	他にやりたいことがあるなら別だけど、これが一番だと思ったんだよ。
map_0876#77	いいわよ。
map_0876#78	でも、マジでこっちに来なさい――二人とも。
map_0876#82	あの岩が放つエネルギーが、空気中に漂っているようだ。
map_0876#83	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0876#84	はい
map_0876#85	いいえ
map_0877#0	アヤ: それで……
map_0877#1	あなたにも、ここが見えてるのよね？
map_0877#2	あたし、ただの妄想じゃないわよね？
map_0877#4	それはいつだって、ありがたいものね。
map_0877#5	アヤ: ちょっと、あの――何！？
map_0877#6	クルズズSCT
map_0877#7	クルクスクスZCT
map_0877#8	アヤ: ……今の、一体何？
map_0877#9	アヤ: ……まあ、進む道は一つしかないみたいね。
map_0877#10	みんなも、どこかにここにいてくれるといいけど……
map_0877#11	アヤ: ここって、ニューワールドよね？
map_0877#12	できたばかりの、まっさらな存在のはず？
map_0877#13	それなのに、どうしてこんな機械があるわけ？
map_0877#14	考えられる説明は、こっちの世界に影響されてるってことくらいね……
map_0877#15	……まあ、どうでもいいわ。
map_0877#16	おかげで、このコンピューターも扱いやすくはなってるし。
map_0877#17	ここにスイッチがある……
map_0877#18	どうなるか、見てみましょう。
map_0877#19	アヤ: このスイッチ、いくつかのドアと連動してるみたいね。
map_0877#20	他のパネルも同じかもしれない。
map_0877#21	とりあえず、この先に何かあるか見てみるわ。
map_0877#22	アヤ: これで三回連続だけど――
map_0877#23	一体何なのよ！？
map_0877#24	誰か、ここで何が起きてるのか教えてくれない！？
map_0877#25	どうせ誰も教えてくれないんでしょうね、もういいわ――
map_0877#26	誰かが抑えておかないと、こいつら際限なく溢れ出てくるだけだから……
map_0877#27	だから、いつも通りそれと付き合っていくしかないわね。
map_0877#28	あたしがこいつらを食い止めてる間に、あなたは他のみんなを探すか、こいつらを止める方法を探すか――
map_0877#29	とにかく、何でもいいから。
map_0877#30	あなたを頼りにしてるんだから、急いでる「っぽい」ことでもしてよね！
map_0877#31	ドラミドロ、ルガルガン！
map_0877#32	アヤ: ここは長丁場になりそうね……
map_0877#33	だから、どっかのバカな男の子の言葉を借りるなら……
map_0877#34	準備はいいか、暴れるわよ！
map_0877#35	アヤ: 一人で全部倒せるとは思ってないけど……
map_0877#36	あなたが何とかするまで、こいつらの気を引きつけておければ、それで十分でしょ？
map_0877#37	あたしはここに残って、いつも通り耐えるから。
map_0877#38	アヤ: つまり、みんなここに閉じ込められてるってわけね？
map_0877#39	長丁場になりそうね。
map_0877#40	なんとか持ちこたえてるけど、いつまで持つか分からないわ……
