map_0877#41	アヤ: \PN、今この部屋の温度変えた……？ あなたなの？
map_0877#83	イナズマカセットをスロットに挿入した。
map_0877#84	「システム、通電」
map_0877#85	「ショックレセプター――稼働中」
map_0877#86	イナズマカセットがシステムに挿入されている。
map_0877#87	イナズマカセットを取り外しますか？
map_0877#88	イナズマカセットを取り外した。
map_0877#89	「システム、バックアップ電源オンライン」
map_0877#90	「エリア、封鎖中――電力不足」
map_0877#91	「チルレセプター――停止中」
map_0877#92	フリーズカセットを挿入しますか？
map_0877#93	フリーズカセットをスロットに挿入した。
map_0877#94	「システム冷却、オンライン」
map_0877#95	「チルレセプター――稼働中」
map_0877#96	フリーズカセットがシステムに挿入されている。
map_0877#97	フリーズカセットを取り外しますか？
map_0877#98	フリーズカセットを取り外した。
map_0877#99	「システム冷却、オフライン」
map_0877#100	カイン: よぉ、\PN、相変わらずいいタイミングだな！
map_0877#101	こいつら二匹、突然現れてさ、ちょっとオレの好みじゃないくらい手荒になってきたところだ。
map_0877#102	一緒に相手してくれるか？
map_0877#103	カイン: それで……これって、なんだ、その……
map_0877#104	4回目……いや5回目の「助けられた」ってやつか？
map_0877#105	一応言っとくけど、別に「か弱い姫」を気取ってるわけじゃないぜ、
map_0877#106	ただ生まれつき、そういうのが得意なだけでさ〜
map_0877#107	カイン: それと、お土産を置いてったな。
map_0877#108	カイン: これはオレの命の恩人へのご褒美ってことで〜
map_0877#109	カイン: この先に、オレの母さんが見えたんだ。
map_0877#110	あの人が……オレが家を出た大きな理由の一つでさ。
map_0877#111	それでも、ここに置き去りにするわけにはいかない。
map_0877#112	どれだけ理不尽な人だったとしても、助けに行ってくるよ。
map_0877#113	もしかしたら、その途中でオレをまともな人間として扱う方法くらい、見つけてくれるかもな。
map_0877#114	またすぐ会おう！ じゃあな！
map_0877#115	「バーンレセプター――停止中」
map_0877#116	ブレイズカセットを挿入しますか？
map_0877#117	ブレイズカセットをスロットに挿入した。
map_0877#118	「セントラルヒーティング、稼働中」
map_0877#119	「バーンレセプター――稼働中」
map_0877#120	ブレイズカセットがシステムに挿入されている。
map_0877#121	ブレイズカセットを取り外しますか？
map_0877#122	ブレイズカセットを取り外した。
map_0877#123	「セントラルヒーティング、停止中」
map_0877#124	「ダウズレセプター――停止中」
map_0877#125	アクアカセットを挿入しますか？
map_0877#126	アクアカセットをスロットに挿入した。
map_0877#127	「スプリンクラーシステム、稼働中」
map_0877#128	「ダウズレセプター――稼働中」
map_0877#129	アクアカセットがシステムに挿入されている。
map_0877#130	アクアカセットを取り外しますか？
map_0877#131	アクアカセットを取り外した。
map_0877#132	「スプリンクラーシステム、停止中」
map_0877#133	「エリア、封鎖中――システム過熱」
map_0877#134	「燃焼発電機。
map_0877#135	システム、通電。
map_0877#136	サーマルシステム、稼働中。
map_0877#137	燃焼発電を起動しますか？」
map_0877#138	サーマルシステム、停止中。
map_0877#139	熱量不足。」
map_0877#140	電力不足。」
map_0877#141	「燃焼システム、枯渇」
map_0877#142	ティタニア: ここで何が起きてるか、もう分かってるんでしょうね。
map_0877#143	戦うのが先、話すのは後よ。
map_0877#144	ティタニア: ハーディには、これで無限に借りを作らせてやるわ。
map_0877#145	ティタニア: これは全部あんたのものよ。
map_0877#146	ティタニア: この空間に引きずり込まれたとき、テズが隔離されてる場所をちらっと見たの。
map_0877#147	気が進まないけど、他のみんなにあいつを助ける重荷を背負わせるのは、あたしがやめさせるわ。
map_0877#148	みんながやるくらいなら、あたしがやった方がマシだし、
map_0877#149	あいつに言ってやりたいことも、まだいくつか残ってるしね。
map_0877#150	その調子でね。
map_0877#151	「この先、火災発生中。
map_0877#152	ユーザーの安全のため、システムを封鎖」
map_0877#153	アヤ: 誰に何と言われようと、今のは最高にイカしてたわ。
map_0877#154	ねっぷう一発で、ゲノセクトの軍勢が丸焦げよ！
map_0877#155	でも、炎が収まるまでは、あそこには近づかない方がいいと思うけど。
map_0877#156	……なんで今日やったことの中で、あれが一番楽な部類だったのかしら？
map_0877#157	アヤ: 心配して様子を見に来てくれて、ありがとう。
map_0877#158	グループの他のみんなよりも、気にかけてくれてる気がするわ。
map_0877#159	でも、いつもいつも飛んできて「助けよう」としなくていいのよ。
map_0877#160	メテオの一件では、あたし、ほとんど何もできなかったのは分かってるけど、それがあたしの望む自分の姿じゃないから。
map_0877#161	ハーディ: 了解！ でも、俺がついてるってことは忘れんなよ？
map_0877#162	つーか、他のみんなはどこにいるんだ？
map_0877#163	アヤ: カインがママを連れて出て行くのを見たわ。すぐ戻るって合図してたけど。
map_0877#164	……全然すぐじゃないから、どうなってるのか分からない。
map_0877#165	他のみんなは見てないわ。
map_0877#166	\PNが助け出してくれたなら、大丈夫なはずよ。
map_0877#167	それはそうと、炎が消えたら上のエリアを確認しに行ってくれない？
map_0877#168	たぶん大丈夫だとは思うけど、ゲノセクトが全滅する前にスプリンクラーが作動しちゃった可能性もゼロじゃないから。
map_0877#169	すぐにここを出るから。
map_0877#170	ハーディ: よぉ、お前の顔を見られて嬉しいぜ！
map_0877#171	ここに閉じ込められてる間、こいつら二匹とはギリギリ距離を保ってきたところなんだ。
map_0877#172	二人で一発、決めてやらないか？
map_0877#173	ハーディ: これでショー終了だ！
map_0877#174	ハーディ: 客が置き土産を残してってくれたみたいだな。
map_0877#175	ハーディ: お前ならこれの使い道、分かるんじゃないか。
map_0877#176	ハーディ: アヤを探しに行ってくる！
map_0877#177	あいつが今一番必要としてなかったことが、まさにこれだったろうしな。
map_0877#178	ちゃんと守ってやるから、心配すんな！
map_0877#179	ちょっと待て、無事ってどういうことだ？
map_0877#180	あいつがあいつら大量にやっつけたのか？
map_0877#181	さすが俺の妹だ！
map_0877#182	それでも、探しに行くからな！
map_0877#183	んじゃな！
map_0877#184	ハーディ: なあ、お前マジで大丈夫か？
map_0877#185	アヤ: 大丈夫？
map_0877#186	世界最悪のリハーサルを、あの毒親の継父に邪魔されたと思ったら、
map_0877#187	外に飛び出して、あいつも他のみんなも塵になって消えてるのを見つけて、
map_0877#188	そのあとを追ったら、現実世界と重なった秘密の暗い工場に、凶暴な改造サイボーグ虫がわんさかいるのを見つけて、
map_0877#189	それを何十匹も相手に戦って、全部丸焦げにしてやったところよ。
map_0877#190	あたしは「大丈夫」なんかじゃないわ。
map_0877#191	最高に絶好調ってやつよ。
map_0877#192	あんたこそ、あたしがここで助けてやれてラッキーだったわね！
map_0877#193	ハーディ: 俺は――
map_0877#194	ああ、俺は――
map_0877#195	……最高だぜ、お前。
map_0877#196	ゲノセクト: グルズズZCT！
map_0877#197	リン: 分かるでしょ、この問題
map_0877#198	まあ確かに、今回はうまくいったし、あの子は友情パワーだかなんだか、吐きそうになるアニメあるあるの力で自分の足で立ち直ったんだろうけど、
map_0877#199	でも、他の大人はみんなあんな感じじゃん
map_0877#200	怒鳴って命令ばっかりして、自分の支配欲のはけ口に子供を使うだけ。
map_0877#201	「大人（笑）」ってだけで、なんか神様から与えられた権利とか優越感みたいなの持ってるつもりでさ
map_0877#202	それ全部なくしちゃった方がよくない？？？
map_0877#203	あたしがずっとやってきたのって、それだけなんだけど。
map_0877#204	だから、あたしが何か悪いことしてるみたいに、みんなに責められるのって不公平じゃない？？？
map_0877#205	どっちかっていうと、あたしを手伝うべきでしょ。
map_0877#206	まずはあんたから！
map_0877#207	あたしのチームに来なよ。
map_0877#208	赤ちゃんアルセウスと遊ばせてあげてもいいし〜
map_0877#209	リン: ……まあいいや、ただちょっと話したかっただけだから。
map_0877#210	行っていいよ。
map_0877#211	ホントに行きたいなら、だけど。
map_0877#212	まあ、いいけど。
map_0877#213	ほら、ついでに無料で送ってあげる。
map_0877#214	「水力発電機。
map_0877#215	貯水池、満水。
map_0877#216	水力発電を起動しますか？」
map_0877#217	貯水池、空。
map_0877#218	水分不足。」
map_0877#219	「水力発電システム、稼働中」
map_0877#220	機械のスイッチで、ケースが開く。
map_0877#221	押しますか？
map_0877#222	押さない理由なんてある？
map_0877#223	やめておいた方が……
map_0877#224	「超冷却システム。
map_0877#225	セントラルクーリング、稼働中。
map_0877#226	水冷、有効。
map_0877#227	超冷却システムを起動しますか？」
map_0877#228	水冷、無効。
map_0877#229	セントラルクーリング、停止中。
map_0877#230	冷却不能。」
map_0877#231	コア温度、超過。
map_0877#232	コアシステム、過熱。」
map_0877#233	「超冷却システム、稼働中」
map_0877#234	「蒸気動力システム。
map_0877#235	セントラルヒーティング、稼働中。
map_0877#236	蒸気動力システムを起動しますか？」
map_0877#237	セントラルヒーティング、停止中。
map_0877#238	必要熱量を生成できません。
map_0877#239	コア温度冷却、有効。
map_0877#240	システム、凍結。」
map_0877#241	「蒸気動力システム、稼働中」
map_0877#242	はい
map_0877#243	いいえ
map_0878#0	シェイミ: ミーミーミーミー？
map_0878#1	シェイミは中央へ逃げた！
map_0878#2	シェイミ: ミミ？
map_0878#3	シェイミ: ミ！
map_0878#4	ミ！
map_0878#5	ミ！！！
map_0878#6	イヴ: 相変わらず、完璧なタイミングね、\PN。
map_0878#7	ルミ: お願い、何とかして！
map_0878#8	何かがお姉ちゃんに取り憑いちゃったみたいで、全然言うこと聞いてくれないの！
map_0878#9	もう一度こんなことを試すなんて、すごく、すごく、すごく良くない考えだと思うの！
map_0878#10	前に何が起きたか、お姉ちゃんも分かってるでしょ！
map_0878#11	なんで聞いてくれないのか、分からない！
map_0878#12	イヴ: それに、あなたも何が懸かってるか分かってるでしょう。
map_0878#13	新しい手があるの。あのフローラって子の話には、ちゃんと根拠があった。
map_0878#14	あたしの邪魔をしないで。
map_0878#15	ルミ: \PN、本当にお姉ちゃんにこんなことさせるつもり！？
map_0878#16	イヴ: 信頼してくれて嬉しいわ。
map_0878#17	ルミ: お願い、これがいい考えだなんて、本気で思ってないよね！
map_0878#18	また同じことが起きたらどうするの！？
map_0878#19	イヴ: 怖いのは分かるけど、あなたの信頼と協力も必要なの。
map_0878#20	全部大丈夫だから。
map_0878#21	ルミ: そんなの分からないじゃない！
map_0878#22	前のときだって、うまくいくと思ってたんでしょ！
map_0878#23	イヴ: 今はあのときと違って、経験も、視点も、データも十分にある。
map_0878#24	ルミ: 三人目がここにいるだけでも、あたしは不安なのに！
map_0878#25	あの人と閉じ込められて、お姉ちゃんがどれだけ傷ついたか、あたしは知ってるんだから！
map_0878#26	あたしのために、そんな危険を冒してほしくない！
map_0878#27	あたしはもう、昔みたいな怖がりな子供じゃない。
map_0878#28	何が起きても、今も、この先も、ちゃんと受け止められる！
map_0878#29	イヴ: そんな必要はないわ。
map_0878#30	あたしにやらせて。
map_0878#31	ルミ: いや！
map_0878#32	イヴ: ……\PN。
map_0878#33	こんなお願いはしたくないけど、あの子を何とかしてもらえる？
map_0878#34	これを終わらせるのに、もう少しだけ時間が必要なの。
map_0878#35	ルミ: あ――あたし、こんなことしたくない……
map_0878#36	でも、本当にこうなるっていうなら……
map_0878#37	あたしも、お姉ちゃんの幸せを守るために戦うから。
map_0878#38	必要なら、世界中を相手にだって戦ってやる！
map_0878#39	お、お願い、これはお姉ちゃんの人生でもあるんだから……
map_0878#40	ルミ: もうこれ以上、自分を犠牲にしてほしくない！
map_0878#41	あたしのためになんて――
map_0878#42	そんな価値、ないから……
map_0878#43	あたしなんて――
map_0878#44	ルミ: あ、ありがとう……
map_0878#45	イヴ: あなたの心配は理解できるわ。
map_0878#46	でも、
map_0878#47	ルミ、あなたにあたしを止めさせるわけにはいかないの。
map_0878#48	ルミ: それを決めるのは、あたしの権利じゃないの！？
map_0878#49	あたしに発言権はないの！？
map_0878#50	イヴ: ……もちろん「ない」なんて言えないけど、だからといって、何もしないでいるわけにもいかない。
map_0878#51	あたしは引かない。
map_0878#52	何が邪魔をしようとも……
map_0878#53	あなたでも、あたしの妹でも、時間や自然の力そのものだとしても……
map_0878#54	あの子を手放したりしない。
map_0878#55	できるものなら、あたしからあの子を奪ってみなさい。
map_0878#56	世界はいつだって、そうしようとしてきたんだから。
map_0878#57	……チッ。一体何を優先してるつもりなの？
map_0878#58	ルミ: お願い、もうこれ以上あたしのために犠牲にならないで！
map_0878#59	イヴ: それで、あたしにどうしろって言うの？
map_0878#60	ここに座って、これまで研究してきたこと、この目的のために学んできたこと全部忘れて、あなたまで失えって？
map_0878#61	それで、あたしが自分を許せると思う？
map_0878#62	ルミ: ご、ごめんなさい……
map_0878#63	あたし、その……
map_0878#64	イヴ: あ、待って――
map_0878#65	イヴ: ……うっ。
map_0878#66	イヴ: やることはもう山ほどあるのに、今度はあの子とも話しに行かないと。
map_0878#67	\PN、こんなことがあった後でも、また助けをお願いしていいかしら？
map_0878#68	このニューワールドの環境は、いくつもの理由から、まさにあたしが待ち望んでいたものなの。
map_0878#69	一つ目の理由は、ここに複数のシェイミが生息しているのを確認したこと。
map_0878#70	残りは後で説明するけど、あなたには何匹か集めてきてほしいの。
map_0878#71	全部で5匹くらいでいいと思うわ。
map_0878#72	ここに連れて帰ってきてくれれば、それで十分よ。
map_0878#73	あたしは……あの子と話してくる。
map_0878#74	ちゃんと分かり合えるから、心配しないで。
map_0878#75	すぐ戻るわ――
map_0878#76	シェイミ5匹！ お願いします！
map_0878#77	イヴ: 5匹全部見つけてきてくれたのね。
map_0878#78	あなたの助けはいつも本当にかけがえがないわ、ありがとう。
map_0878#79	ルミのことなら、大丈夫よ。
map_0878#80	協力することには同意してくれたけど、念のための妥協案として、必要になる瞬間まで別の場所で待っててもらうことにしたの。
map_0878#81	とりあえず、続けましょう。
map_0878#82	次の段階は、このシェイミたちの周りにある異常なエネルギーを取り除くこと。
map_0878#83	あたしの見立てでは、このエネルギーは、これらの世界とそこに住むポケモンが生成される過程で出る、いわば残りかすのようなものだと思う。
map_0878#84	まるで惑星の軌道に落ちてくる残骸みたいに、これらの世界で最も力を持つ存在の周りに集まるみたいね。
map_0878#85	残留物の量によって、きちんとしたオーラの形を取ることもあれば、そうでないこともある。でも、そうでない場合でも――
map_0878#86	イヴ: ……そこに存在しないってわけじゃないの。
map_0878#87	それで、この5匹のシェイミのエネルギーを互いに連結させて、異常エネルギーを増幅させ、実体のある形にしてみたの。
map_0878#88	こうすれば、いつも通りのやり方で直接対処できるようになる。
map_0878#89	つまり、脳筋な暴力ってやつでね。
map_0878#90	あらかじめオーラを浄化しておけば、予期しない干渉を防げるはずよ。
map_0878#91	賭けはしたくないから、よろしくね。
map_0878#92	それで、暴力はあなたの得意分野だと思うから、もう一度、その役目をお願いしたいの。
map_0878#93	さっきのお詫びに、パーティーを回復させてあげる……
map_0878#94	イヴ: ……これでよし。
map_0878#95	準備ができたら、話しかけて。
map_0878#96	イヴ: 準備はいい？
map_0878#97	イヴ: よかった。
map_0878#98	あたしもできる限り手伝うから。
map_0878#99	イヴ: 始めましょう。
map_0878#100	ミーィ〜
map_0878#101	シャミ？
map_0878#102	イヴ: ……いいわ。
map_0878#103	イヴ: さっきの戦いでほとんど起きかけたけど……
map_0878#104	イヴ: さあ、次の段階よ……
map_0878#105	これをちゃんとやるには、このエリア全体を作り変える必要があるの。
map_0878#106	5匹同時のシードフレア攻撃を組んで、この空間全体を浄化するわ。
map_0878#107	そうすれば、必要なものが手に入る。
map_0878#108	イヴ: よし、シェイミたち。ここで失敗しないでね。
map_0878#109	シードフレア！
map_0878#110	イヴ: ゆっくりでいいわ。
map_0878#111	やる価値があることは、ちゃんとやる価値がある。
map_0878#112	別のセーブデータで、シェイミのクエストクリアが検出されました。
map_0878#113	このファイルでは、シェイミ探しをスキップしますか？
map_0878#114	はい
map_0878#115	いいえ
map_0879#0	シェイミ: シャ！
map_0879#1	シェイミ: シャ！？
map_0879#2	シェイミ: シャ。
map_0879#3	シェイミ: シャ！！！
map_0879#4	シェイミ: シャ……？
map_0879#5	イヴ: ……
map_0879#6	これは、見込みがありそうね。
map_0879#7	でも、次の段階まで確実なことは分からない。
map_0879#8	次はグラシデアのはなが5本必要になるわ。
map_0879#9	あたしの研究が正しければ、まさにこういう環境に咲くはずよ。
map_0879#10	……ああ、違うわね。
map_0879#11	4本ってことにしましょう。
map_0879#12	イヴ: まさにこういう環境にね。
map_0879#13	この花はシェイミと繋がりがあるだろうから、シェイミが最初に現れた場所の近くで見つかるかもしれない。
map_0879#14	イヴ: じゃあ、グラシデアのはなをあと4本ね。
map_0879#15	探しに行ってもらえる？
map_0879#16	あたしは作業を続けながら、ここでシェイミたちを見ておくから。
map_0879#17	何か助けが必要なら、聞いてくれてもいいわよ。
map_0879#18	イヴ: 見つけてきてくれたの？
map_0879#19	\PNはグラシデアのはなを渡した。
map_0879#20	イヴ: ……完璧よ。
map_0879#21	このサンプルを使えば、人工的に交配させて、この環境にきちんとした庭園を丸ごと作り出すのに十分な材料が揃うはず。
map_0879#22	普段ならしばらく時間がかかるけど、ルミの状態が安定している限り、急ぐ必要はないわ。
map_0879#23	必要な化合物がきちんと生成されるように、じっくり時間をかけましょう。
map_0879#24	……それに、あの子はきっと大丈夫だから。
map_0879#25	？？？: これは一体全体、どういうことなのよおおおお！？
map_0879#26	イヴ: ……失礼、何ですって？
map_0879#27	クラウドバリー: このゴミみたいな植物どもは、一体全体何をしてるわけ！？
map_0879#28	イヴ: あの……
map_0879#29	ここで育ったんですけど？
map_0879#30	すみません、あなたは？
