map_0666#133	名前は　バッフロンビルだ。
map_0669#3	タカ: あの　もう　ここから出ても　いいですか?
map_0669#6	頑丈すぎて　壊したり　動かしたり　できないようだ……
map_0669#7	この岩の土台には　まだ　お宝が　眠っているかもしれない。
map_0669#8	ばくはつのこなで　開けますか?
map_0669#9	タカ: この場所　好きじゃ　ないです……
map_0669#10	……でも　あなたが　一緒なら　大丈夫だと思います。
map_0669#11	はい
map_0669#12	いいえ
map_0670#0	砕けたガラスが\PNを　傷つけた!
map_0670#1	タカ: ここに　来たことが　あるかどうかは　別として　この建築様式は　シタデルと　同じです……
map_0670#2	ということは　この場所も　僕の先祖が　作ったに　違いありません。
map_0671#0	砕けたガラスが\PNを　傷つけた!
map_0671#1	タカ: ええと……
map_0671#2	道を　間違えましたか?
map_0672#0	砕けたガラスが\PNを　傷つけた!
map_0673#0	砕けたガラスが\PNを　傷つけた!
map_0673#1	タカ: そして……　戻ってきましたね。
map_0673#2	こんなの　目が　回ってきます。
map_0674#0	タカ: あれは　もう　動かないと思います。
map_0674#1	砕けたガラスが\PNを　傷つけた!
map_0674#2	タカ: あれ　今　フロアを　丸ごと　飛ばしませんでした?
map_0674#3	タカ: これ　子どもの頃　行けなかった　鏡の館みたいです。
map_0674#4	タカ: ……あ。
map_0675#0	タカ: つまずかないように……
map_0675#1	どうやって　これを　作ったんでしょう?
map_0675#2	僕の先祖に　本当に　こんなことが　できたんでしょうか?
map_0675#3	タカ: え　何ですか?!
map_0675#4	なんで　また　外に　戻ってるんです?
map_0675#5	いったい　何の意味が　あったんです?
map_0675#6	どこかで　道を　間違えましたか?
map_0677#0	砕けたガラスが\PNを　傷つけた!
map_0677#1	台座に　剣が　収められている。
map_0677#2	タカ: 気が　変わったんですか?
map_0677#3	どうぞ。持って行ってください。
map_0677#4	タカ: これは……
map_0677#6	思い出しました。
map_0677#7	父に　ここへ　連れてこられたことが　あります　まだ　幼い頃に。
map_0677#8	父は　僕らの一族の物語を　話してくれました。
map_0677#9	はるか昔　アルセウスは　僕らが知るこの世界を　創造しました。
map_0677#10	そして　自らが　その世界に　到来する方法も　あとから　作り出さなければ　なりませんでした。
map_0677#11	それが　僕らの一族が　その身と文化を　捧げて　守ってきた　いん石です。
map_0677#12	ですが　リボーンには　もう一体　伝説のポケモンが　現れました――
map_0677#13	ギラティナです。
map_0677#14	それは　世界の創造のあと　ここに　現れ　その存在そのものが　アルセウスの聖地を　ゆがめ始めました。
map_0677#15	そうして　その伝説のポケモンは　僕らの先祖の　敵と　なったのです。
map_0677#16	先祖たちは　戦い　勝利し　ギラティナは　この地方を　永遠に　去ったと　されています。
map_0677#17	ですが　今日でさえ　リボーンには　ギラティナのかつての影響による　ものだと　言える　ゆがみが　数多く　残っています。
map_0677#18	この塔は……
map_0677#19	……その一つでは　ありません。
map_0677#20	父が　言っていたのを　覚えています　先祖たちは　ギラティナのゆがみに　耐えられるよう　自らを　鍛えるために　この場所を　作った　のだと。
map_0677#21	あのポケモンを　倒したあと　この塔を　登ることが　伝統に　なりました。
map_0677#22	そして　頂上に　まつられていたのは……
map_0677#23	あれです。
map_0677#24	\PN　どうぞ。持って行ってください。
map_0677#25	引き抜いてみますか?
map_0677#26	タカ: ギラティナを　倒した　もともとの武器は……
map_0677#27	……おそらく　それでは　ないでしょう。
map_0677#28	そんなものが　今も　残っているかどうかすら　わかりません。
map_0677#29	でも　少なくとも　これは　それに　似たものの　はずです。
map_0677#30	僕と同じように　子孫にあたる　武器　なのかもしれません。
map_0677#31	でも……　僕には　これは　ふさわしくありません。
map_0677#32	討伐者の血が　僕にも　流れているのかも　しれませんが　今となっては　水のほうが　まだ　濃いくらいでしょう。
map_0677#33	だから　あなたが　その剣を　ギラティナに　向けるのか　アルセウスに　向けるのか　わかりませんが
map_0677#34	あなたに　持っていて　ほしいんです。
map_0677#35	タカ: さあ　ここから　出ましょう。
map_0677#36	タカ: え　本当に?
map_0677#37	これだけの　ことがあって　それでも　受け取らないんですか?
map_0677#38	タカ: ここの文字は　色あせすぎて　読めません……
map_0677#39	かろうじて「選ばれし者」と「ゆがみ」らしき言葉が　見える気が　します?
map_0677#40	石に　刻まれた銘文は　色あせている……
map_0677#41	読み取れる唯一の言葉は「選ばれし」だ。
map_0677#42	タカ: これで……　終わりですか?
map_0677#43	ここが　頂上　みたいですね。
map_0678#0	ヴィクトリア: \PN　あなたなの?
map_0678#1	もう　アマリアに　挑戦するの?
map_0678#2	まあ　できるなら　しない理由も　ないわよね。
map_0678#3	でも　気をつけて　彼女　ケガしてるって　聞いたから!
map_0678#4	もっとも　うちの職員を　ボコボコにしたところを　見る限り　バトルの実力には　全然　影響　なさそうだったけど……
map_0678#5	ともかく　彼女についての　アドバイス　欲しいんでしょう?
map_0678#6	ええと……　電気わざを……　試してみる?
map_0678#7	あ　待って　まだ　切らないで!
map_0678#8	彼女のチームの　メモを　探してるから……
map_0678#9	あった!
map_0678#10	あ　やっぱり　合ってた。
map_0678#11	彼女は　電気わざが　強くなる　水上フィールドで　戦うわ　水中で　戦う場合は　なおさら　強くなるし。
map_0678#12	でも　水のジムリーダーだけあって　そのあたりは　絶対　対策済みだから　気をつけて!
map_0678#13	水面下に　引きずり込まれたら　できることは　かなり　限られちゃうわね……
map_0678#14	でも　一つ　弱点が　あって―― 水中じゃ　物理わざが　使いにくいから　彼女のチームは　ほとんど　特殊わざに　頼ってるの。
map_0678#15	特殊耐久の高いポケモンが　いれば　彼女相手には　すごく　役に立つかも!
map_0678#16	それと　彼女の水フィールドを　どう攻略するかも　考えておくと　いいわ。
map_0678#17	ダイビングとか　そらをとぶ　みたいなわざが　あれば　水面上に　戻れるから!
map_0678#18	あるいは　水を　凍らせたり　毒にしたり　するのも　手だけど　それも　諸刃の剣に　なりうるわね……
map_0678#19	結局は　タイミング次第　かもしれないわ。
map_0678#20	がんばってね!
map_0678#21	大ホールは　誰も　出ないようだな……
map_0678#22	ジュリア: あんた! その顔した人!
map_0678#23	ジュリア: カルセノンシティから　リニリニ電話が　かかってきたよ!
map_0678#24	どうも　あっちの状況は　あんまり　良くないみたい。
map_0678#25	ほのおジムなのに……
map_0678#26	というか　何も　爆発してないって　言ってたけど―― 信じて　もし爆発してたら　アタシ　もう　そこに　いってるって!
map_0678#27	あの花火　見逃すわけには　いかないもん!
map_0678#28	でもぉ　あっちで　助けを　ありがたく　思ってくれそうって　感じ!
map_0678#29	ターニャに　伝えようとしたんだけど　どこ行ったか　わかんなくて。
map_0678#30	だから　代わりに　あんたに　伝えとくことに　したの!
map_0678#31	それを　ターニャに　言ったら　こんな感じ　だったの……
map_0678#32	ジュリターニャ: フワァ! 呪われしこの剣の腕が　この暗黒の領域から　立ち去ることを　許さぬ!
map_0678#33	ジュリア: ……だから　代わりに　あんたに　伝えとくことに　したの!
map_0678#34	ジュリア: アタシなら　ラブラドラシティ　まるごと　吹っ飛ばしちゃうけどね。
map_0678#35	でも　なぜか　誰も　その案に　乗ってくれないんだよねぇ。
map_0678#36	まあ　どうでもいっか　あっちの負けで　アタシは　お昼寝!
map_0678#37	別のセーブデータで　アマリアの　ジムパズルが　クリアされた記録が　見つかった。
map_0678#38	このセーブデータでも　ジムパズルを　スキップしますか?
map_0678#39	このストーリールートでは　まだ　このジムを　クリアしていません。
map_0678#40	ジムバトルに　スキップすると　一部の物語の要素を　見逃す可能性が　あります。
map_0678#41	続けますか?
map_0678#42	はい
map_0678#43	いいえ
map_0679#0	ティタニア: ここに戻ってきたのは　バカだったな。
map_0679#1	さっき　エイミーと　話してたんだが　いつもみたいに　余計なことを　言っちまって　泳いで　行っちまった。
map_0679#2	\PN　追いかけてくれるか?
map_0679#3	今は　あたしの言うことなんて　何も　聞かないだろうしな。
map_0679#4	そう遠くには　行ってないはずだ。
map_0679#5	このジム全体が　あいつの　水中の遊び場だからな。
map_0679#6	日によっちゃ　あそこで　迷子になることだけが　あいつを　生かしてるんだ。
map_0679#7	何時間も　潜ったままの　こともある。
map_0679#8	あいつが　一人で　水の下で　過ごしてた時間は　あたしにとっても　最高の時間だった……
map_0679#9	あいつが　そばにいると　水面の上でさえ　息が　ろくにできない。
map_0679#10	それを　ロマンチックだなんて　言ったら　水の下に　沈めてやるからな。
map_0679#11	あれだけが　あたしが　自由だった時間だ。
map_0679#12	残りの時間は　全部　あいつを　支え続けるのに　費やしてた。
map_0679#13	で　水を　手で　すくうのが　どれだけ　うまくいくかは　みんな　知ってるよな。
map_0679#14	ああ　また　愚痴っちまったな。
map_0679#15	探してきてくれ。
map_0679#16	あたしは　ここにいる。
map_0679#17	ティタニア: エイミーは　あいつの　水中の遊び場のどこかに　隠れてるはずだ。
map_0679#18	ティタニア: 見つけたか?
map_0679#19	まだ　ここには　戻ってきてないな。何て　言ってた?
map_0679#21	ああ。
map_0679#22	また　あんな調子で　話してるのか。
map_0679#23	はあ。
map_0679#24	引きずってでも　ここに　連れてきてくれ。
map_0679#25	ティタニア: まだ　意地を　張ってるのか?
map_0679#26	なら　なんで　ここに　いるんだ?
map_0679#27	連れてこい。
map_0679#28	アマリア: それで……\PNよね?
map_0679#29	何しに　来たの?
map_0679#30	それで　ターニャは　どこ?
map_0679#31	あんた一人だけ　先に　寄こしたの?
map_0679#32	自分で　来ればいいのに。
map_0679#33	てか　あいつが来るまで　泳いでるから。
map_0679#34	テンシ: バイバイ!
map_0679#35	ティタニア: 話せるか?
map_0679#36	アマリア: まあ　その前に\PNは　結局　ジムバトルが　あるわけだし――
map_0679#37	ティタニア: \PNは　待たせておけ。
map_0679#38	あんたは　危険な状態なんだ。
map_0679#39	アマリア: な　何?
map_0679#40	ティタニア: あんたが　覚えてない間に　いろいろ　あったんだ。
map_0679#41	あんたは　自殺を　図った。メテオ団が　あんたのブレスレットを　見つけた。
map_0679#42	だから　あんたの命のために　今は\PNが　それを　預かってる。
map_0679#43	それと――
map_0679#44	アマリア: あら! じゃあ　そばに　いて　守ってくれるってこと?
map_0679#45	ティタニア: あ　ああ……
map_0679#46	アマリア: ねえ　その顔　何?
map_0679#47	ブレスレットのこと　気にしないで　いいから。
map_0679#48	あんたに　もらってから　ずっと　大事にしてたけど　ただの　ブレスレットだもの。
map_0679#49	あんたが　ここに　いてくれるなら　そんなの　どうでもいい。
map_0679#50	わかるでしょ?
map_0679#51	ティタニア: ああ……
map_0679#52	アマリア: いつも　面倒　見てくれて　ありがと。
map_0679#53	愛してるよ　ターニャ。
map_0679#54	ティタニア: あたしは……
map_0679#55	アマリア: いいよ　言わなくても。
map_0679#56	挑戦者の前で　そんなこと言うの　恥ずかしいよね　わかってるって!
map_0679#57	ティタニア: ああ……
map_0679#58	いつもどおり　そばに　いてやる。
map_0679#59	アマリア: ありがと〜
map_0679#60	さて! バトル　しましょうか?
map_0679#61	ティタニア: 好きにしな。あたしは　外に　出てる。
map_0679#62	アマリア: いつでも　いいよ\PN!
map_0679#63	アマリア: もう一回　やる?
map_0679#64	アマリア: なんで　あんなに　心配してるのか　わかんない。
map_0679#65	もし　誰かが　あたしを　狙ってきても　それは　ちょうど　欲しかった　ラッキーな失敗ってだけ。
map_0679#66	どのみち　あたしなんて　その程度のもの。
map_0679#67	でも　ターニャが　また　一緒に　いてくれるなら　それだけで　十分。
map_0679#68	あたしのこと　軽く見た?
map_0679#69	アマリア: いいよ。わかってる。
map_0679#70	たぶん　それで　正しいんだと思う。
map_0679#71	アマリア: 本当に?
map_0679#72	あたしが　あれだけのこと　言ったり　したりした後じゃ　信じにくいけど。
map_0679#73	あいつが　離れる決心を　するまでは　できる限り　しがみついてる。
map_0679#74	そしたら　やっと　沈んでいけるかも。
map_0679#75	でも　それで　いいの。
map_0679#76	あ\PN　シングルバトルと　ダブルバトル　どっちが　好き?
map_0679#77	普通は　ジムリーダーが　形式を　自分で　決めるんだけど　好みが　ある挑戦者も　多いって　知ってるから。
map_0679#78	あ　それと　一度　決めたら　変更なしだからね!
map_0679#79	それで　どっちに　する?
map_0679#80	アマリア: あはっ　オッケー!
map_0679#81	それなら　断然　多数派だから　その形式でも　慣れてるよ。
map_0679#82	アマリア: わあ　ホントに?
map_0679#83	なかなか　珍しい子　だね?
map_0679#84	でも　それなら　あたしは　準備万端。あんたは?
map_0679#85	アマリア: よし!
map_0679#86	さて　何が　起ころうと　とにかく　楽しんでね　いい?
map_0679#87	それが　一番　大事なことだから。今この瞬間を　生きられれば　もう　勝ったも　同然だよ!
map_0679#88	少なくとも　あたしは　自分に　何度も　言い聞かせてきたことだけどね。
map_0679#89	だから　目の前のことに　集中して　自分のものに　しちゃいな!
map_0679#91	アマリア: それで　決まり! おめでとう!
map_0679#92	げきりゅうバッジを　手に入れたよ。受け取って!
