map_0896#151	ルナが、彼女のジムにも似たようなものがあるって言ってたわ。
map_0897#44	アンナ: あ、こんにちは、リン!
map_0897#45	また別のゲームやりたいの?
map_0897#46	いいけど、どうせまたあたしが勝つに決まってるからね!
map_0897#47	ポーンをもっと使えるはずなのに使ってないから、クイーンに頼りすぎになっちゃうんだよ。
map_0897#48	はい、あなたが先に動いていいよ。
map_0897#49	今回は、もっと一貫した陣形を保つように頑張ってみたら?
map_0897#50	一応言っとくけど――今こう言ってても、始まったら手加減したり助けたりしないからね!
map_0897#51	今度こそ全力でいくから!
map_0897#52	ノエル: 何が欲しいんですか、リン。
map_0897#53	僕に用がないなら、あっちに行ってください。
map_0897#54	あなたのくだらないゲームには、もううんざりです。
map_0897#55	他のみんなもそうです。
map_0897#56	アンナだって、優しすぎて「嫌」って言えないだけです。
map_0897#57	一度くらい、彼女を放っておいてください。
map_0897#58	ローラ: こ、こんにちは、リンちゃん……
map_0897#59	その、あの、本当に――本当にごめんなさい、でも今は一緒に遊べ――えっと、遊べないの……
map_0897#60	怒らないでね!
map_0897#61	ただ、その――妹たちが、何かやりたいことがあって……
map_0897#62	家族三人だけの時間になるはずだったの、わかる?
map_0897#63	ごめんね――次はもっと一緒にお絵描きできるといいね!
map_0897#64	サファイラ: これで最後よ、
map_0897#65	いい加減、離れなさい。
map_0897#66	あの子はあんたと遊びたくないって言ったの、だからもう遊ばないから。
map_0897#67	何回聞いたって、それは変わらないの。
map_0897#68	だから、もう聞くのはやめて。
map_0897#69	あたしたちの誰も、二度とこの話をしたくないのに、あんたは毎日毎日同じことを言いに来るのね。
map_0897#70	わかった? わからなかった?
map_0897#71	じゃあ、一緒に言ってみて。
map_0897#72	あなたはあの子に構わない、
map_0897#73	今も、これから先もずっと。
map_0897#74	ジョン: リン、こんなことをいつまでも続けられないよ。
map_0897#75	あと五分だけ明かりをつけといてあげるけど、それだけだよ。
map_0897#76	これ以上だと、なんで君がいつも僕に見回りをさせたがるのか、ドクターに説明しなきゃいけなくなる。
map_0897#77	二人ともそんなの望んでないだろうから、だから、
map_0897#78	生きてる間に一度くらいは、
map_0897#79	静かに、寝てくれ。
map_0897#80	テラ: ちょ、ちょっと待って、どうしたの?
map_0897#81	あんたの親はどこ?
map_0897#82	ああ、いや、違う、ごめん――泣かないで?
map_0897#83	ねえ、誰かあんたのこと見てくれてる人いないの?
map_0897#84	アタシも、親に外出してたのがバレる前に帰らなきゃなんだけど……
map_0897#85	まあ、雨をしのげる場所が必要なだけなら、一緒に来てもいいけど?
map_0897#86	まだ市内だし、電話して、あんたが行くべき場所を探せばいいよ、いい?
map_0897#87	あ、アタシが持ってるゲームも見せてあげる!
map_0897#88	まあ――そういうの好きならだけど。
map_0897#89	大丈夫だから……心配しないで……
map_0897#90	ねえ、いつか二人とも、怖がって生きるのをやめられるようになるかもね。
map_0897#91	すごいことじゃない?
map_0897#92	ねえ、あなたを責めるつもりなんて全くないんだけど――
map_0897#93	ただ、わからないのよ。
map_0897#94	あなたが来てから、うちの娘の様子がずっとおかしくて、もちろんあなたのせいだなんて思ってないけど……
map_0897#95	少し距離を置いた方が、あの子のためになるんじゃないかって思うのよ。
map_0897#96	きちんと境界線を引く、みたいなことね。
map_0897#97	あなたのために用意した部屋で、一度も寝たことないんじゃない?
map_0897#98	そろそろ、あなたがどこから来たのか、もう少し頑張って調べてみるべき時かもね……
map_0897#99	あら、もちろんうちに泊まっていいのよ!
map_0897#100	少なくとも、あなたの事情がわかるまでは、ね?
map_0897#101	小さな女の子が、嵐の中に一人きりで――ああもう、この街も一体どうなってるのかしら?
map_0897#102	最近は、誰でも平気で冷たいことをするみたいね。
map_0897#103	まあ、あなたは心配しなくていいのよ。
map_0897#104	物置部屋を用意してあげる――ちょっと狭いけど気にしないで! でも、必要な間はずっとあなたのものよ。
map_0897#105	そういえば、タオルが一枚半は必要そうね!
map_0897#106	風邪引く前に、ココアでも飲むといいわ。
map_0897#107	マシュマロは、いる?
map_0897#108	しーっ――しー、しー、し……
map_0897#109	もう、もう泣かないで、あの人はもういなくなったから……
map_0897#110	お父さんは、もう二度とあなたも誰も傷つけない……
map_0897#111	でも、もう遅いのよね?
map_0897#112	ごめんなさい――あなたを守れなかった。
map_0897#113	あなたを、守れなかった……
map_0897#114	これがせめて、してあげられることなの。
map_0897#115	あなたが同じ痛みを抱えて生きなくていいように――これが一番いいのよ――
map_0897#116	いや、あたし、何をしてるの?
map_0897#117	何をしてるの?
map_0897#118	ママは本当にごめんね、あなた……
map_0897#119	本当にごめんなさい……
map_0897#120	ごめんなさい……
map_0897#121	よくやったわね、小さな子。
map_0897#122	あなたはずっと、あたしの小さな天使よ。
map_0897#123	覚えておいて、ママには何も言わないこと――あの子のためにね。
map_0897#124	でもきっといつか、すごく運のいい男の人にとって、あなたは完璧な妻になるわ。
map_0897#125	……軽食、いかが?
map_0897#126	リン: ちょっと、これは絶対ルートビアのはずだったのに、蜂蜜じゃん。
map_0897#127	蜂蜜だけ出して、一体何の意味があるわけ???
map_0897#128	みんなどうすればいいの、飲むの?
map_0897#129	半分くらいの確率で瓶からすら出てこないし。
map_0897#130	ああもう、最悪のパーティーになるところだった。
map_0897#131	誰も来なかったのも当然か。
map_0897#133	……ああ、そうだった。
map_0897#134	誰も来なかったんだった。
map_0897#135	はは。
map_0897#136	一瞬、忘れてた。
map_0897#137	あの世界に戻ろっか。
map_0897#138	マルチェロ: ?????????????????
map_0897#139	何が起きてるのかわからないけど、何か買ってストレス発散に協力してくれ!
map_0897#140	マルチェロ: ああ、また客か?
map_0897#141	案外、悪くない場所なのかもしれんな。
map_0897#142	何か買ってくれ!
map_0897#143	リン: ……ここに引っ張ってきちゃってごめんね。
map_0897#144	あんまり客は来ないと思うけど。
map_0897#145	マルチェロ: 謝る代わりに何か買ってくれ!
map_0897#146	リン: お金持ってないんだよね
map_0897#147	もう神様の力もないし
map_0897#148	たぶん?
map_0897#149	マルチェロ: 金がないなら、どこか他所へ行ってくれ!
map_0897#150	リン: うん、それはよく言われる。
map_0897#151	……マシュマロの袋は、頑丈すぎて実際には開けられない。
map_0897#152	リン: もっとちゃんと計画してたら、もっといいお菓子を魔法で出してたのに。
map_0897#153	マシュマロってまずいし。
map_0897#154	まあ、くれるなら袋ごと食べるけど、それでもまずいものはまずい。
map_0897#155	アルセウス: アルカァァ!
map_0897#156	リン: こうやって終わるんだ……
map_0897#157	てか、全部終わった後、なんかこう、栄光の炎に包まれて散るところを想像してたんだけど。
map_0897#158	正直言うと、
map_0897#159	これ、ちょっとイマイチだった。
map_0897#160	リン: ちょっと、何、なんであんたが――
map_0897#161	リン: あたし――
map_0897#162	でもアルセウス――
map_0897#163	あんた――どうやって……
map_0897#164	もう全然わけわかんない????
map_0897#165	これで終わりのはずだったのに
map_0897#166	なんで終わってないわけ????
map_0897#167	……えっと、なんか気まずいね。
map_0897#168	こういう展開、何も用意してなかったし。
map_0897#169	えーと。
map_0897#170	どうも?
map_0897#171	名前、何ていうの?
map_0897#172	アルセウス: アルルカァァ!!!
map_0897#173	リン: ……うん、この子犬、まだすごい怒った顔であたしを見てる。
map_0897#174	あんた、捕まえたりとかしたいんじゃないの?
map_0897#175	あたしは……ここに座って、自分のしたことについて反省でもしとくよ。
map_0897#176	約束する。
map_0897#177	リン: 何が起きてるのか……わかんない。
map_0897#178	リン: ……
map_0897#179	リン: まあ、その……
map_0897#180	で、これからどうするの?
map_0897#181	まさか、あたしがこのまま……
map_0897#182	あんたについていく、とか?
map_0897#183	リン: ……いいね!
map_0897#184	なんでこんなことになってるのか、全然わかんないけど!
map_0897#185	行こう!!!
map_0897#186	リン: あ
map_0897#187	うん、まあ、それもわかるよ……
map_0897#188	あたしは……その辺にいるから……
map_0897#189	世界って広いもんね……
map_0897#190	最近さらに広くなったって聞くし。
map_0897#191	じゃあ、その、ニューワールドで言うアローラみたいなところにでも行こっかな?
map_0897#192	たぶん?
map_0897#193	今の季節、いいらしいよ
map_0897#194	ピニャコラーダでも飲んで
map_0897#195	日焼けでもして
map_0897#196	みたいな。
map_0897#197	最高だろうね。
map_0897#198	逃したこと、後悔するよ……
map_0897#199	リン: で、何を待ってるわけ。
map_0897#200	あたしにうろつかれたくないんでしょ、明らかに。
map_0897#201	あんたには行くべき場所があって、あたしには夏の楽しみがある。
map_0897#202	行こうよ、ね?
map_0897#203	リン: じゃあいいよ、かかってきなよ……
map_0897#204	でもその前に!
map_0897#205	あたしの悪の軍団を倒してもらわないと!!!!
map_0897#206	まあ、えっと、少なくともこの一体だけでも?
map_0897#207	リン: あーあ、せめてあの子は来てくれるかもって思ってたのに。
map_0897#208	少なくとも、いつもはあたしのそばにいてくれてたのに……
map_0897#209	……まあいいや。
map_0897#210	とにかく、戦うなり何なり。
map_0897#211	リン: ああ、どうしてあたしの手下が倒されちゃうわけ……
map_0897#212	どうしよう……
map_0897#213	:crying_emoji:
map_0897#214	……もうあの子は虚無にでもぶん投げちゃって。
map_0897#215	どうでもいいし。
map_0897#216	どうせまた作れるんだから。
map_0897#217	リン: まあ、これで簡単に済むなんて思ってないよね、
map_0897#218	だって、次の手下と戦う時間だから
map_0897#219	て言うか
map_0897#220	「手下」ならぬ「あたし下」
map_0897#221	だって
map_0897#222	あたしだし
map_0897#223	面白いジョーク
map_0897#224	みんな笑った
map_0897#225	てか、そもそもみんな来てくれた。
map_0897#226	すごく楽しい時間を過ごしてる。
map_0897#227	ため息。
map_0897#229	リン: うわ……
map_0897#230	こんな風に、あたしがあたしに負けるなんて……
map_0897#231	お願いだから、あたしの赤ちゃんは傷つけないで
map_0897#232	あの子だけが、あたしに残された全部なんだから
map_0897#233	……これって、もう冗談でもなくなってきてるよね。
map_0897#234	うわ、もう人形すら楽しくないんだ。
map_0897#235	あたし、一体何をすればいいの?
map_0897#236	あたし、そもそも何のためにやってるの?
