map_0494#14	これから、こうするから。
map_0508#26	起きたんだ!
map_0508#27	アマリア: あれ?
map_0508#28	ここで何があったの……?
map_0508#29	ティタニア: その……模様替え中なの。
map_0508#30	アマリア: そう……?
map_0508#31	アマリア: わあ、いいと思う!
map_0508#32	あ、それでこちらのお客さんは?
map_0508#33	ティタニア: ……\PNのこと?
map_0508#34	アマリア: あ、それじゃ、はじめまして、\PN!
map_0508#35	ようこそ、うちへ!
map_0508#36	ジュリア: えっ、二人ってまだ会ってなかったんだ?
map_0508#37	アマリア: そうだと思う、うん……
map_0508#39	ジュリア: てっきり会ってると思ってた……
map_0508#40	ティタニア: アマリア。
map_0508#41	アマリア: 何?
map_0508#42	ティタニア: あたしが誰か分かる?
map_0508#43	アマリア: 何言ってるの……?
map_0508#44	もちろん分かってるよ。
map_0508#45	あたしの、生涯の恋人じゃない!
map_0508#46	ティタニア: エイミー、目が覚める前に最後に覚えてることって何?
map_0508#47	アマリア: 何でそんな変な質問ばっかり?
map_0508#48	ティタニア: いいから答えて。
map_0508#49	アマリア: えっと……うーん……
map_0508#50	アマリア: あ!
map_0508#51	そうだ、今日はオブシディアに行って、下のほうの植物の件でリニを手伝う予定だったんだ!
map_0508#52	ジュリア: ……ええと……
map_0508#53	ティタニア: どいて。
map_0508#54	アマリア: 何か……変なの?
map_0508#55	ジュリア: あの、エイミー、オブシディアの事件はもうずっと前に解決してるんだよ……
map_0508#56	……それで、その時に\PNとも会ってて……
map_0508#57	アマリア: え、何?
map_0508#58	フロリニア: 外傷後逆行性健忘。
map_0508#59	ジュリア: リニ!!! 大丈夫だったんだ!
map_0508#60	フロリニア: この話者は機能している、その通り。
map_0508#61	先ほどの水準以下のパフォーマンスは無視してもらいたい。
map_0508#62	アマリア: え、待って、あたしが記憶喪失だと思ってるの?
map_0508#63	よく分からない……
map_0508#64	いつも通り、ただ眠っただけだと思ってたのに……
map_0508#65	フロリニア: ティタニアの報告によれば、あなたの身体は負傷したとのことである。
map_0508#66	アマリア: そんなこと、全然覚えてないんだけど……
map_0508#67	頭は割れそうに痛いけど、それって何か関係あるのかな?
map_0508#68	フロリニア: 外傷性脳損傷は、びまん性軸索損傷、および/または逆行性健忘を引き起こす場合がある。
map_0508#69	それが論理的な結論である。
map_0508#70	アマリア: つまり、あたしはただ……いろんなことや、いろんな人を忘れちゃったってこと?
map_0508#71	\PNのことも?
map_0508#72	わ――わたし……疲れちゃった……
map_0508#73	ねえ、みんな……
map_0508#74	ちょっとだけ、眠らないといけない気がする……
map_0508#75	いいかな?
map_0508#76	ごめんね――特に、\PNには。
map_0508#77	ただ、本当に……
map_0508#78	疲れてて、混乱しちゃってて、だから……
map_0508#79	また少ししたら起きるから……
map_0508#80	フロリニア: この話者も、退出しなければならない。
map_0508#81	ジュリア: え? なんで?
map_0508#82	まさか、リニも「ぎゃっこう性のけんぼう」とかなの!
map_0508#83	フロリニア: カルセノンシティへの出席が必要とされている。
map_0508#84	チームメテオはラブラドラで作戦行動を開始した。
map_0508#85	統計的に見て、ファーンが最も出現する可能性が高い場所である。
map_0508#86	彼には矯正が必要である。
map_0508#87	ジュリア: あたしはここに残って、エイミーの様子を見ておいたほうがいいと思うから……
map_0508#88	がんばってね!
map_0508#89	フロリニア: 運とは、統計の幻想的な本質化に過ぎず、願望にかかわらず、本質的に良くも悪くもない。
map_0508#90	それでも、さらばだ。
map_0508#91	ジュリア: みんなのこと、心配だな……
map_0508#92	でも、テンション上げていかないと!
map_0508#93	OTS、この戦い、絶対勝つから! 全部うまくいくって!
map_0508#94	ジュリア: S・U・C・C・E・S・S!
map_0508#95	それが「サクセス」のつづり方だよ!
map_0508#96	あたしたちOTSだから、勝利したんだよ、
map_0508#97	間違いなく、あたしたちが最強だから!
map_0508#98	アマリア: あれ? ここで何があったの……?
map_0508#99	アマリア: あ、それじゃ、はじめまして、\PN! ようこそ、うちへ!
map_0508#100	フロリニア: 会っている。
map_0508#101	アマリア: え、本当に? いつ?
map_0508#102	もちろん、あなたのことは分かってるわ!
map_0508#103	フロリニア: オブシディアワードの危機は、以前あなたの助力によって解決された。
map_0508#104	ジュリア: その時に\PNと会ってるんだよね?
map_0508#105	フロリニア: 外傷後逆行性健忘の症状を確認。
map_0508#106	頭は割れそうに痛いけど、それって何か関係あるのかな?
map_0508#107	フロリニア: この話者も、退出する。
map_0508#108	ジュリア: それ、ちょっと心配……
map_0508#109	でも、全部大丈夫だから!
map_0508#110	ちゃんと、あたしたちの思い通りにしてみせるから!
map_0508#111	とにかく、あたしはエイミーが良くなるまでここで待ってるから、ターニャの様子、見に行ってくれる?
map_0508#112	ジュリア: Zzzz……
map_0508#113	ジュリア: Zzz……
map_0508#114	ジュリア: よっす、\PN!
map_0508#115	みんな、ここにビリビリ集合してきたって感じ?
map_0508#116	ターニャならさっき戻ってきたよ。
map_0508#117	二人は今、奥で話してるはず。
map_0508#118	ところで、エイミーと戦うつもりなら、あたしにしたのと同じくらいボコボコにしてあげてよね!
map_0508#119	あたしたち全員に勝てば、あたしの株も上がるってわけ~
map_0508#120	理論的でしょ!
map_0508#121	ねえ! 彼女を倒すコツ、教えてほしい?
map_0508#122	でんきタイプの攻撃、試してみて!
map_0508#123	あたし、全然ぜーんぜん、えこひいきなんてしてないから~
map_0508#124	お礼は後でいいよ。
map_0508#125	なに、つまんなーい。
map_0508#126	好きにすれば!
map_0508#127	それ以外に何か起きてても、心配しなくていいよ。
map_0508#128	あたし、ちゃーんと警戒してるから。
map_0508#129	ジュリア: お、おかえり!
map_0508#130	って言うか、ドッカーン、おかえりんこ~
map_0508#131	「奥」って言えば、エイミーも奥にいるよ!
map_0508#132	あんまり調子良くなさそうだけど、「ねっとう」のわざマシンがそれを十分補ってくれるから。
map_0508#133	やったね~
map_0508#134	ジュリア: エイミー、時々何時間も水の中にこもってるんだ。奥のジムは全部、彼女の遊び場みたいなもんだよ。
map_0508#135	つまんない遊び場だけどね、まあ「癒やしになる」とかなんとか~
map_0508#136	壊せるものが一個もない遊び場なんて、どんな遊び場よ!?
map_0508#137	とにかく、たぶん自分からは上がってこないよ。
map_0508#138	戦いたいなら、自分で下から引きずり出すしかないから!
map_0508#139	下ではなんかすっごい癒やし系のBGMが流れてるんだけど、彼女が部屋にいない時はスリープモードになるんだよね。
map_0508#140	あたしと一緒だね。
map_0508#141	でもぉ、それを使えば彼女の居場所、追跡できるよ!
map_0508#142	ジュリア: 見つからないんだ?
map_0508#143	よぉーし、絶対彼女を呼び戻せる作戦があるよ!
map_0508#144	延長コードと、予備の配線2本と、あとオーブントースターが必要かな。
map_0508#145	水から引っ張り出すのに、抜群に効果的だって保証するよ!
map_0508#146	なぁーんてね、冗談だよ、たぶんそんなことしないから!
map_0508#147	でも、たぶんしばらく探し続けるしかないと思う。
map_0508#148	とにかく覚えといて――光を追いかけるの!
map_0508#149	ジュリア: ずっと泳いで逃げてっちゃう感じ?
map_0508#150	なら追いかけて泳げばいいじゃん! 少しは追いかけないと、彼女のハートは掴めないよ~
map_0508#151	ま、たまにこういう気分になるんだよね。
map_0508#152	一人になって落ち込むのが、あたしにとっての「爆破」の彼女バージョンってわけ!
map_0508#153	それで気が晴れるんだけど、まあ本当は許されないことなんだろうけどね。
map_0508#154	だから、さっさと捕まえてきなよ!
map_0508#155	もう分かってるよね、光が変わるところを探せばいいって? それが彼女の「お決まり」だから!
map_0508#156	ジュリア: えっと……全部大丈夫?
map_0508#157	なんか大丈夫そうに見えないんだけど。
map_0508#158	……ま、いっか! 何か爆破してほしくなったら起こしてね。
map_0508#159	ジュリア: あたしはエイミーが良くなるまでここにいるから、ターニャの様子見てきてくれる?
map_0508#160	ジュリア: ティタニア、行っちゃったんだ?
map_0508#161	はぁーあ……
map_0508#162	ブレスレットを安全に保管したいなら、たぶん砂漠にある自分のジムに行くと思うよ。
map_0508#163	ちょっと変わったところだけど、楽しい場所でもあるんだ!
map_0508#164	とにかく、砂漠に行きたいなら、たぶんリボーンシティを通らないといけないよ。
map_0508#165	でもぉ、アゲートシティが閉鎖されてるから、それが問題なんだよね……
map_0508#166	だから! パウワウを倒すだけでいいから!
map_0508#167	バッジを手に入れれば、リボーンシティに空を飛んで戻れるようになるよ!
map_0508#168	ほら、何を待ってるの?!
map_0508#169	ジュリア: パウワウを倒すだけでいいから!
map_0508#170	ティタニア: これがあたしの地獄なの。
map_0508#171	出て行きたいのに、出て行けない。
map_0508#172	何もかもがまた、このまがいものの見せかけに戻っていくだけ。それを壊そうとすれば、彼女の血があたしの手につくことになる。
map_0508#173	結局、あたしが何を望んでるかなんて、彼女の命に比べたら大したことじゃないの。
map_0508#175	ふっ、あれだけ偉そうなこと言っておいて、結局あたしも、あのメテオの坊やと変わらないってわけ。
map_0508#176	情けない話よね。
map_0508#177	リンに対処するためのあたしのやり方なんて、明らかに何の役にも立たないの。
map_0508#178	だから今のあたしにできるのは、あんたに頼ることだけ。まるでくそったれの、絶体絶命のお姫様みたいに。
map_0508#179	塔の中のお姫様ってわけ。
map_0508#180	エイミーは、あたしが選んだドラゴンだったのかもね。
map_0508#181	それに、リンならあの子だって仕留めるでしょうね。
map_0508#182	あの女、皮肉が効いた最悪なセンスの持ち主で、それを自分でも分かってるのよ。
map_0508#183	\PN、こんな状況、内臓を全部吐き出したくなるくらいうんざりしてるってこと、分かってちょうだい。
map_0508#184	でも、あたしを自由にしてくれるのは、あんたしかいないの。
map_0508#185	リンを止めて。
map_0508#186	ティタニア: どうやらメテオが、またカルセノンシティで何かしでかしてるみたいね。
map_0508#187	あたしも行きたいけど、リンがエイミーを殺すって脅してる限り、ここから動けないの。
