map_0791#24	ハーディ: 見つけるのが問題じゃねえ、そこに辿り着くのが問題なんだ。
map_0791#71	あなたは昔から近視眼的で頑固だった。
map_0791#72	ハーディ: 家系ってやつだろ。
map_0791#73	ティタニア: だろうね。
map_0791#74	ここで言い争っててもどっちも先に進まない。
map_0791#75	あなたはあなたの道を、あたしたちはあたしたちの道を行く。
map_0791#76	ハーディ: おい待てよ、\PNがお前らと一緒に行くって誰が決めたんだ?!
map_0791#77	ティタニア: 別に文字通りの意味で言ったんじゃないわ。
map_0791#78	とにかく今できるのは、前に進むことだけ。
map_0791#79	実際に選択肢が出てきたら、何をするか言い争う時間もあるでしょ。
map_0791#80	その時間がなかったとしても、大した損失じゃない。
map_0791#81	ハーディ: チッ。
map_0791#82	なあ、姉貴も昔からこうだったわけじゃねえんだ。
map_0791#83	誰が何言おうと、俺が彼女を救うのは止められねえからな。
map_0791#84	もう時間を無駄にするのはよそうぜ!
map_0791#85	古いエリアマップが貼られている。
map_0791#86	長い間、誰も手をつけていないようだ。
map_0791#87	別のセーブファイルでタプクエストのクリアが確認された。
map_0791#88	このファイルでフィールド起動をスキップする?
map_0792#0	ハーディ: よお、じいさんも抜け出せたみたいだな。
map_0792#1	ラドマス: そのようだな。
map_0792#2	念のため言っておくが、私は気持ちの上では、そこらの向こう見ずなトレーナーに負けず若いつもりだ。
map_0792#3	だが、この地形だけで十分、自分の歳を思い知らされる。お前の助けなど要らん。
map_0792#4	恥ずかしながら、ここに突っ立っているのは息切れのせいだ。
map_0792#5	ハーディ: あれ、ポケモンに手伝ってもらってないのか?
map_0792#6	ラドマス: 実のところ、いわのぼりを覚えるエスパータイプはそう多くはなくてね…
map_0792#7	とはいえ、いずれ辿り着くさ。
map_0792#8	ハーディ: いや、俺が手伝ってやるよ。
map_0792#9	腰でも痛めたら大変だからな。
map_0792#10	ラドマス: 一体私を何歳だと思っているんだ…
map_0792#11	ところで、ここがどのあたりか見当はつくかね?
map_0792#12	認めたくないほど下まで滑り落ちてしまってね、方向感覚が少しおかしくなっている。
map_0792#13	ハーディ: さっぱりわかんねえけど、どこだろうと、たぶん奴らの目が届かない場所だ、
map_0792#14	それを逆に利用してやろうぜ!
map_0792#15	ラドマス: メテオがなかなかの陣を張っているのは見えたな。
map_0792#16	ハーディ: 運が良けりゃ、あいつらを狙える場所に出られるかもな!
map_0792#17	ラドマス: ふむ…
map_0792#18	そのことなら、一つ案がある。
map_0792#19	ハーディ: マジか? 聞かせてくれよ!
map_0792#20	ラドマス: あの部屋からだと少々首が痛むが、彼らが陣を張っている場所のかなり上に、大きな鍾乳石が垂れ下がっているのが見える。
map_0792#21	あれを説得して、奴らのところまで会いに行かせることもできるだろう。
map_0792#22	ハーディ: 冗談だろ、相棒! それじゃアヤまで危険にさらすことになる!
map_0792#23	ラドマス: 確かにその通りだ。
map_0792#24	サーナイトがここにいれば、テレポートで彼女を連れ出すだけで済むのだが…
map_0792#25	ハーディ: 他にも方法があるはずだ!
map_0792#27	さて、これを手伝ってくれるのは誰だろうな…
map_0792#28	ハーディ: とりあえず、先に進んで様子を見てみようぜ!
map_0792#29	じいさんも一緒に来いよ。
map_0792#30	ラドマス: …
map_0792#31	反論する余地もなさそうだな。
map_0792#32	ヴィクトリア: ここも行き止まりみたい?
map_0792#33	これからどうしよう…
map_0792#34	ティタニア: それで行き止まり、と。
map_0792#35	当然だけどね。
map_0792#36	ヴィクトリア: あの、\PN、危ない!
map_0792#37	ティタニア: 動いて!
map_0792#38	ヴィクトリア: 大丈夫よね?
map_0792#39	今のは…
map_0792#40	ティタニア: いつも何かしらあるわね。
map_0792#41	サファイラ: 怪我はない?
map_0792#42	ヴィクトリア: 平気です。そちらは?
map_0792#43	サファイラ: 迂闊だった。
map_0792#44	ティタニア: 絶好調よ。
map_0792#45	サファイラ: 私の油断だった。
map_0792#46	シリウスならあんな卑怯な一撃を仕掛けてくることくらい、予想しておくべきだった。
map_0792#47	あれが彼の精一杯だということを証明してみせる。
map_0792#48	ヴィクトリア: えっと…
map_0792#49	これで先に進む道ができたってこと?
map_0792#50	ティタニア: そういう奴に心当たりがあるわ。
map_0792#51	まあ、扉は開いてるみたいね。
map_0792#52	都合がいいこと。
map_0792#53	行きましょう。
map_0792#54	ここまで来られたのは、チームのみんなのおかげだ。
map_0792#55	この先も何とか乗り切れるといいが。
map_0792#56	自分自身に誓ったんだ。
map_0792#57	俺は約束を破ったことなんて一度もない。
map_0793#0	「サイズ:」
map_0793#1	「極小」
map_0793#2	「小」
map_0793#3	「中」
map_0793#4	「大」
map_0793#5	「硬度:」
map_0793#6	「5」
map_0793#7	「6」
map_0793#8	「7」
map_0793#9	「8」
map_0793#10	「純度:」
map_0793#11	「不純」
map_0793#12	「中程度」
map_0793#13	「純粋」
map_0793#14	「完璧」
map_0793#15	「片理:」
map_0793#16	「不明瞭」
map_0793#17	「困難」
map_0793#18	「完全」
map_0793#19	「顕著」
map_0793#20	「光沢:」
map_0793#21	「絹糸状」
map_0793#22	「ガラス状」
map_0793#23	「真珠状」
map_0793#24	「金剛状」
map_0793#25	ヴィクトリア: このコンピュータが出口に繋がってるのかな?
map_0793#26	うーん…
map_0793#27	もういくつか、これと似たようなの見てきたよね?
map_0793#28	任せて大丈夫かな?
map_0793#29	残りをあなたに任せられるなら、コンピュータの方は頑張ってみる。
map_0793#30	ほら、ここに手がかりのリストが見える…
map_0793#31	何か確認したいことがあったら言ってね?
map_0793#32	ヴィクトリア: わたしに何ができる?
map_0793#33	ヴィクトリア: よし、見てみよう!
map_0793#34	ヴィクトリア: うわ、量が多いね。
map_0793#35	もう一回確認したくなったら言ってね?
map_0793#36	ヴィクトリア: 確認する? ああ、わかった。
map_0793#38	ヴィクトリア: うまくいった、のかな?
map_0793#39	手伝ってくれてありがとう! かなり大変だったよ。
map_0793#40	さあ、先に進もう!
map_0793#41	きっとすぐに出口とか見つかるはず!
map_0793#42	ヴィクトリア: うーん…
map_0793#43	違うのかな?
map_0793#44	プログラムはあんまり反応を返してくれないけど、変化がないってことは…
map_0793#45	うーん、こういうのはメモしておくのが大事だよね、きっと。
map_0793#46	表があれば、除外した選択肢に印をつけられそうだけど。
map_0793#47	でも、どうやってやればいいんだろう…
map_0793#48	細かい部分に注目しなきゃいけないのかな?
map_0793#49	たとえば、片理が「困難」の宝石がエメラルドより小さいってわかってれば、それがエメラルドじゃないってこともわかる。
map_0793#50	それで十分絞り込めるのかな?
map_0793#51	これ、ちゃんと解けるんだよね?
map_0793#52	うん…
map_0793#53	ヴィクトリア: あ、説明? わかった!
map_0793#54	つまり基本的には、手がかりを使ってこの4つの結晶の性質を全部突き止めなきゃいけないの。
map_0793#55	それぞれの特徴がわかったら、真ん中にあるブロックを、上の画面に合わせて動かして、どれがどれかを選べるんだって。
map_0793#56	つまり、エメラルドの光沢が「絹糸状」だったら、緑のブロックを「絹糸状」って書かれた画面の前に押すの。
map_0793#57	全部揃ったら、システムが期待してるデータと照合できる。
map_0793#58	そっちはわたしがやるから、教えてね。
map_0793#59	…だいたいこんな感じ。
map_0793#60	これで大丈夫そう?
map_0793#61	ティタニア: はぁ。
map_0793#62	これは――
map_0793#63	これは間違いなく、世界一最悪なデータ管理システムね。
map_0793#64	もうわかってるでしょ?
map_0793#65	誰かが自らこんなシステムを作ろうと決めたという事実だけでも、正直理解に苦しむのに、
map_0793#66	それを作る技術力がありながら、あからさまな欠陥の数々に気づく常識がなかったっていうんだから。
map_0793#67	さっさと片付けましょう。
map_0793#68	ティタニア: 何?
map_0793#69	ティタニア: 「手がかり」なんて、ずいぶん甘い言い方ね。
map_0793#70	でも、これよ。
map_0793#71	ティタニア: …
map_0793#72	どこかの誰かが、これをいい考えだと思ったのよね。
map_0793#73	今もどこかで生きてるかもしれない。
map_0793#74	ティタニア: 祈るしかないわね。
map_0793#75	ティタニア: …やっと。
map_0793#76	行きましょう。この大惨事の周りにこれ以上いたら、原形をとどめてられないかも。
map_0793#77	ティタニア: それでも、これは法もなければ神もない世界。
map_0793#78	あたしたち凡人は、永遠に難解なインターフェースの前で苦しみ続ける運命にあるのよ。
map_0793#79	本当に、死に匹敵する運命ね。
map_0793#80	とにかく、行き詰まったらメモしなさい。
map_0793#81	誰かに読まれるまでは、あたしの助けになるから。
map_0793#82	それと、逆から考えるヒントも探すこと。
map_0793#83	「困難」の宝石がエメラルドより小さいとわかってるなら、それがエメラルドじゃないこともわかる。
map_0793#84	解けるには解けるけど、本当にばかげてる。
map_0793#85	ティタニア: ええ、そうね。
map_0793#86	このシステムはデータセットが壊れていて、分析していた結晶の詳細を突き止めて、正しいデータを入力し直す必要がある。
map_0793#87	それをやるまで道は開かない。雇い主が離職率を下げるためにわざとこうしたんじゃないかって、疑いたくなってきたわ。
map_0793#88	作業のほとんどはデータセットを突き止めることだけど、わかったらシステムに入力しなきゃいけない、
map_0793#89	それが、おそらく人類史上最悪の設計のインターフェースで、あの色付きブロックを画面と揃えることで行われるってわけ。
map_0793#90	アメジストが「小」なら、紫のブロックを「小」と書かれた画面の前に押す。
map_0793#91	マンキーにだってできそうだけど、たぶん倫理的な問題が出てくるでしょうね。
map_0793#92	わかった?
map_0793#93	ヴィクトリア: 進む道はありそうだけど、閉ざされてる…
map_0793#94	何か仕掛けがあるんだよね?
map_0793#95	ティタニア: 先に進む道はまた閉じてる、
map_0793#96	当然だけど。
map_0793#97	ティタニア: いつも何かあるわね。
map_0793#98	「完了」
map_0793#99	このファイルでチャンピオンロードの宝石ロジックをスキップする?
map_0793#100	別のセーブファイルでチャンピオンロードの宝石ロジックのクリアが確認された。
map_0793#101	手がかりを見る
map_0793#102	解答を確認する
map_0793#103	説明を見直す
map_0794#0	ヴィクトリア: やっと見つけた。
map_0794#1	こっちを向いて、わたしと向き合いなさい!
map_0794#2	ソラリス: 用件を言え、吠える子犬よ。
map_0794#3	ヴィクトリア: あなたを終わらせに来た!
map_0794#4	ソラリス: 多くの者が試みたようにな、
map_0794#5	無意味に。
map_0794#6	ヴィクトリア: わたしを見下したこと、後悔させてやる!
map_0794#7	ソラリス: 後悔していることなら山ほどある、小娘よ。
map_0794#8	もう一つ増えたところで、私にとっては大したことではない。
map_0794#9	だが、無意味だと言ったのは、貴様の力量を侮辱するためではない。
map_0794#10	無意味なのは、それが避けられないことだからだ。
map_0794#11	貴様はここに、恩師のために来たのではないか?
map_0794#12	ヴィクトリア: 彼女の名前はキキ。
map_0794#13	あなたは、彼女をどれだけ必要としていたかすら知らないこの世界から、彼女を奪った。
map_0794#14	ソラリス: 遠慮する必要はない。
map_0794#15	彼女を必要としていたのは世界ではない。貴様だ。
map_0794#16	だが、もし貴様がその者のためにここに来たのでなければ――
map_0794#17	キキのためでなければ、
map_0794#18	誰か別の者は妹のために、
map_0794#19	またある女は母のために来ただろう。
map_0794#20	名前も、関係も…
map_0794#21	結末には関係がない。
map_0794#22	私の後悔は数多い。
map_0794#23	ヴィクトリア: 一瞬もためらわずにやったくせに、後悔してるふりなんてしないで!
map_0794#24	ソラリス: やったことを後悔しているわけではない。
map_0794#25	そうせざるを得なかったことを、後悔している。
map_0794#26	ヴィクトリア: あなたの選択はあなた自身のもの。その責任を負うのもあなた一人よ。
map_0794#27	ソラリス: そうかもしれん。
map_0794#28	だが、貴様も同じではないのか?
map_0794#29	ヴィクトリア: そんな言い方でわたしを侮辱しないで。
map_0794#30	ソラリス: 互いに知らぬ仲だが、復讐のために老人を追いかけることが貴様の趣味だとは、まず思えん。
map_0794#31	ヴィクトリア: 趣味じゃない。わたしの責任。
map_0794#32	あなたたち――チームメテオは…
map_0794#33	あなたたち全員が、あまりに多くの人を苦しめてきた!
map_0794#34	あなたを排除することが、世界にとって最善なの!
map_0794#35	ソラリス: それでもまだ、自分の感情を世界のせいにするのか…
map_0794#36	ヴィクトリア: わたしにとっても最善のはず。
map_0794#37	ソラリス: その通りだ。
map_0794#38	夜眠れるようになるなら、何だっていい。
map_0794#39	罪悪感が和らぐなら、何だっていい。
map_0794#40	なぜ私は十分に強くなれなかったのか?
map_0794#41	なぜ私は彼らのそばにいてやれなかったのか?
map_0794#42	なぜこの世界は、人々を引き裂くようにできているのか?
map_0794#43	何一つ公平ではない、
map_0794#44	だが、誰かがそれに手を打つべきではないのか?
map_0794#45	ヴィクトリア: 何を言って…
map_0794#46	ソラリス: 我々はさほど違わぬ、小娘よ。
map_0794#47	私は両親を懐かしく思い出す。
map_0794#48	彼らを失って得た感情を、私は覚えている。
map_0794#49	彼らを奪った者の前に立った時、私が失った感情もまた覚えている、
map_0794#50	あるいは、彼の成れの果ての前で。
map_0794#51	復讐を目的にするような贅沢は、私には許されなかった。
map_0794#52	だが、両親がずっと目指していたような、より良い世界にするために、できることをする責任が私にはあった。
map_0794#53	そしてこの世界が容赦なく殴りかかってくるというなら、なぜ私だけが手加減する必要がある?
map_0794#54	ソラリス: 見ての通り、私は見事に失敗した。
map_0794#55	だから、これは避けられないことだった、
map_0794#56	私によって光を奪われた者の手であれ、私が手を奪われた彼女の手であれ。
map_0794#57	ソラリス: 貴様が本当にこれが進むべき道だと信じるなら、心のままに進むがいい。
map_0794#58	この高さから落ちれば、私は生き延びられまい。
map_0794#59	貴様がそう望むなら、一陣の風でも事足りるだろう。
map_0794#60	ヴィクトリア: …
map_0794#61	ソラリス: 思った通り、貴様にはそんなことをやり遂げる意志はない。
map_0794#62	貴様の悲しみと罪悪感の身代わりに、私をいくらでも仕立てるがいい、
map_0794#63	だが、私を殺したところで、それらから解放されはしない。
map_0794#64	ただ、その感情の入れ物を取り除くだけだ。
map_0794#65	それは、貴様自身すでにわかっているはずだ。
map_0794#66	ヴィクトリア: わたしのことを知ってるふりしないで!
map_0794#67	ソラリス: 私が知っているのは、私自身のことだけだ。
map_0794#68	???: ヴィクトリア!
map_0794#69	ヴィクトリア: 何、キャル。
map_0794#70	あなたもわたしを止めに来たの?
map_0794#71	キャル: いや、助けに来たんだ。
map_0794#72	それがどういう意味であれ。
map_0794#73	ヴィクトリア: それがどういう意味だっていうの、キャル?
map_0794#74	あなたに何ができるっていうの?
map_0794#75	キャル: …
map_0794#76	ヴィクトリア: 誰に何ができるっていうの…
map_0794#77	キャル: 誰かにそれがわかったことなんて、あるのかな?
map_0794#78	ヴィクトリア: キキならわかってたはず…
map_0794#79	キャル: キキならどうしてた?
map_0794#80	ヴィクトリア: わたしにわかるみたいに聞かないで!
map_0794#81	誰かさんのおかげで、もう彼女に聞くことすらできないんだから!
map_0794#82	キャル: でも、アポフィルの指導者は、まだここにいる。
map_0794#83	ヴィクトリア: わたしはキキじゃない。
map_0794#84	わたしが彼女に少しでも近いなんて、思わないで!
map_0794#85	彼女は、この惨めな世界が見た中で最も純粋な魂だった。
map_0794#86	キャル: そして彼女は、君を後継者に選んだ。
map_0794#87	ヴィクトリア: わたしに彼女の後は継げない!
map_0794#88	できるんだったら、わたしが今こんなところにいると思う?!
map_0794#89	キャル: 君がそう言えるのは、ここにいることが間違いだって、もう自分でわかってるからだ。
map_0794#90	彼女ならそう思うのと同じようにね。
map_0794#91	キャル: キキは色んなことが得意だった…
map_0794#92	でも、秘密を守るのは得意じゃなかった。
map_0794#93	彼女が病気と闘ってたって話は聞いてた。
map_0794#94	彼女を失うのは避けられないことだった、
map_0794#95	君がそれを受け入れようと苦しむのもね。
map_0794#96	君たち二人とも、向き合うべき試練があって、学ぶべきことがたくさんあった。
map_0794#97	誰だってそうだし、これからもずっとそうだ。
map_0794#98	でも、彼女は君を選んだ。
map_0794#99	彼女があのアカデミーを設立しようと決めた時に自分自身に見たものと、同じものを君に見たんだ。
map_0794#100	彼女はあの場所を君に託した。
map_0794#101	それが間違いだったと、彼女に言うつもりなのか?
map_0794#102	キャル: それとも、彼女が正しかったと証明するのか?
map_0794#103	ヴィクトリア: も、もういい…
map_0794#104	ヴィクトリア: わたし…
map_0794#105	わかったから。
map_0794#106	キャル: 戻ろう。
map_0794#107	君がここに残る理由はない。
map_0794#108	ソラリス: ふむ。
map_0794#109	あれがキャルか。
map_0794#110	兄が言っていたのとは、まるで違うようだな。
map_0794#111	それはさておき。
map_0794#112	自分の運命くらいは、十分理解している。
map_0794#113	彼女でなくとも、他の誰かがやってくるだろう。
map_0794#114	ソラリス: 自由に行くがいい。
map_0794#115	我々の争いの結末は、アゲートですでに明らかになっている。
map_0794#116	蒸し返す必要はない。
map_0794#117	彼女の慈悲があったとしても、私の時間はいずれにせよ終わりに近いのだろう。
map_0794#118	貴様自身の理想に沿った世界を、作ってくれ。
map_0794#119	そのための苦闘こそ…
map_0794#120	それこそが、人生が与えてくれる唯一の意味なのかもしれん。
map_0794#121	ソラリス: そうだろうと思っていた。
map_0794#122	貴様と戦えるふりをするつもりもない。
map_0794#123	貴様に助けを求めざるを得なくなった時点で、私はすでにすべてを失っていたのだと理解していた。
map_0794#124	エースに何が起きたのかも、私なりに繋ぎ合わせた。
