map_0369#19	デザイナー: なるほどな。
map_0390#30	いや、それにしても変じゃないか?
map_0390#31	カイン: 形も変だし、普通より硬くて分厚くて、割れもしない……
map_0390#32	ああ、何かがおかしい。
map_0390#33	ほのおタイプでもこれは無理だと思うな。
map_0390#34	俺、分厚くて硬いものには詳しいんだ、信じてくれ。
map_0390#35	アヤ: 両耳の鼓膜、引きちぎってやろうかな。
map_0390#36	ハーディ: ギガイアス、戻れ!
map_0390#37	アヤ: あきらめるの?
map_0390#38	ハーディ: まさか。
map_0390#39	別の道を探すんだよ。
map_0390#40	カルセノンで力を借りよう。
map_0390#41	他のリーダーたちがあっちでチームメテオと戦ってるはずだけど、誰か手を貸してくれるかもしれない。
map_0390#42	アヤ: 遠いの?
map_0390#43	こういう登山、あんまり慣れてなくて……
map_0390#44	ハーディ: 全然だぜ!
map_0390#45	実はもうすぐそこなんだ。
map_0390#46	ここを抜けて、助けを得てきて、ライブの最後までには戻ってこられるさ。
map_0390#47	アヤ: はいはい、分かった。
map_0390#48	とにかく行こう。
map_0396#2	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0396#3	この岩の土台には、まだお宝が隠されているかもしれない。
map_0396#4	ばくはつのこなを使って開けますか?
map_0396#5	はい
map_0396#6	いいえ
map_0404#0	アヤ: 二人とも大丈夫?!
map_0404#1	ハーディ: うぐ……
map_0404#2	大丈夫だ。
map_0404#3	頭が割れそうに痛いけどな。
map_0404#4	あの手すり、痛かったぜ。
map_0404#5	無事は無事だけど、ちょっと待っててくれ。
map_0404#6	カイン: まったく、テラの次は手すりに激突かよ?
map_0404#7	本当にボコボコにされてばっかりだな、
map_0404#8	しかも、いい意味じゃなくてさ。
map_0404#9	ハーディ: ボコボコにされるのにいい意味なんてあるのか?
map_0404#10	カイン: いつか教えてやるよ〜
map_0404#11	アヤ: やめてよね!
map_0404#12	カイン: 悪い悪い、姉貴!
map_0404#13	やきもち焼かせるつもりはなかったんだけどな!
map_0404#14	アヤ: やきもちなんて焼いてない!
map_0404#15	あんた――
map_0404#16	うわ!
map_0404#17	次は橋の下敷きになっちゃえばいいのに!
map_0404#18	ハーディ: おいおい、落ち着けって。
map_0404#19	見ろよ、俺たちは無事だ。
map_0404#20	流れ弾のせいで俺たちが渡ってる最中に橋が落ちたけど、みんな五体満足だぜ!
map_0404#21	これくらい乗り越えられる!
map_0404#22	アヤ: 一直線で行けるって話、どうなったのよ……
map_0404#23	ハーディ: 心配すんな、俺たちなら大丈夫だ。
map_0404#24	カイン: でも、チームメテオのせいで、この辺はちょっと危険そうだな……
map_0404#25	ハーディ: だな。かたまって、素早く動こう。
map_0404#26	カイン: \PN、アヤのこと頼めるか?
map_0404#27	アヤ: 自分のことは自分でできるし。
map_0404#28	ハーディ: そりゃそうだろうさ。
map_0404#29	じゃあ、アヤ、
map_0404#30	\PNのこと頼んだぞ。
map_0404#31	俺たちは先に行くから。
map_0404#32	じゃあな!
map_0404#33	カイン: できるだけ早く追いついてこいよ!
map_0404#34	それと、心配すんな――
map_0404#35	お前の彼氏には優しくしてやるからさ〜
map_0404#36	アヤ: 彼氏じゃないから!
map_0404#37	ってか、こいつに何する気なのよ?!
map_0404#38	うう……
map_0404#39	つまり、わたしと一緒ってことね?
map_0404#40	ごめん、意地悪な感じで言うつもりはなかったの。
map_0404#41	その、あんまり邪魔しないようにするから。
map_0404#42	とにかく二人を探しに行こう、いい?
map_0404#43	アヤ: もう一回やり直そう……
map_0404#44	ハーディ: 待てよ、相棒!
map_0404#45	アヤ: ハーディ! カイン!
map_0404#46	アヤ: また、か。
map_0404#47	この橋が落ちたばかりなら、二人は無事に渡り終えてるはずだよね。
map_0404#48	つまり、わたしたちはもっと遅れちゃうってこと。
map_0404#49	最高……
map_0404#50	カルセノンシティには近づかないほうがいいんじゃないか? そのほうがみんなのためだぜ!
map_0404#51	エイブリル: チッ、警告はしたからね〜
map_0404#52	ハイパーランチャーでも食らって死んじゃえばいいのに。
map_0404#53	ふん。PULSEが目当てか?
map_0404#54	スティーブン: 届きやしないさ。どのみち、ここで動いてるのは一台だけだからな。
map_0404#55	あれ、ちょっと待て、それが目当てじゃなかったのか? しまった。
map_0406#0	アヤ: すっかり道を外れちゃって、ハーディとカインの姿もない。
map_0406#1	ここ、一体どこなの?
map_0406#2	エクリプス: ああ、よかった。あんたか。
map_0406#3	アスター: あ?
map_0406#4	おやおや!
map_0406#5	誰が来たかと思えば!
map_0406#6	おい、下っ端!
map_0406#7	応援を呼んでこい!
map_0406#8	ここでいい獲物を捕まえたって伝えろ!
map_0406#9	エクリプス: それ、本当に必要?
map_0406#10	アスター: へっ、言いたいことは分かるぜ、エクリプス。
map_0406#11	こいつらは俺たちでぶちのめしてやろうってんだろ!
map_0406#12	エクリプス: 全然分かってないと思うけど。
map_0406#13	さっさと終わらせましょ。
map_0406#16	エクリプス: もう終わり。
map_0406#17	あんたの勝ちだよ。
map_0406#18	アスター: あきらめるなよ!
map_0406#19	最後まで戦うんだ!
map_0406#20	チームメテオのためにな!
map_0406#21	エクリプス: あきらめてるんじゃない。
map_0406#22	辞めるの。
map_0406#23	アスター: は?!
map_0406#24	エクリプス: ほら、PULSEブロスターの電源だって落としてあげるから。
map_0406#25	はい。
map_0406#26	――PULSE 10-ブロスター:システムオフライン――
map_0406#27	エクリプス: それが目的だったんでしょ?
map_0406#28	だからここに来たんじゃないの。
map_0406#29	アヤ: あー、それなんだけど……
map_0406#30	わたしたち、ただ迷ってここに迷い込んだだけで。
map_0406#31	エクリプス: ……あ、そう。
map_0406#32	まあ、それがわたしの望みだったんだけどね。
map_0406#33	だから、迷い込んできてくれてありがとう。
map_0406#34	アスター: エクリプス、一体何のつもりだよ?
map_0406#35	エクリプス: だから、もう三回くらい言ったよね。
map_0406#36	聞いてなかったの? それとも、本当にそこまで馬鹿なの?
map_0406#37	アスター: 待てよ、エクリプス、なんでだよ?!
map_0406#38	一緒に世界を変えるんじゃなかったのかよ!
map_0406#39	エクリプス: うん、それはもう降りることにした。
map_0406#40	これは、わたしが望んでた変化じゃない。
map_0406#41	加入してからずっと、チームメテオがどんどん多くの人を傷つける手伝いをしてきただけじゃない。
map_0406#42	アスター: でも、最終的には――
map_0406#43	エクリプス: その「最終的」に見合うだけの価値なんてない!
map_0406#44	大切な人がいない新世界なんて、何の意味があるの?
map_0406#45	アスター: 分かんねえよ……
map_0406#46	エクリプス: うん、分かんないよね。
map_0406#47	あんたは家族なんて持ったことないもんね。
map_0406#48	路上で育って、気にかけなきゃいけなかったのは自分自身だけだった。
map_0406#49	それは、みんなが持ってるぜいたくじゃないの。
map_0406#50	アスター: チームメテオが俺に居場所をくれたんだ。
map_0406#51	この命に代えても恩を返す!
map_0406#52	エクリプス: ああ、そう、勝手にすれば。
map_0406#53	どうでもいいから。
map_0406#54	わたしの父さんはカルセノンシティに住んでる。
map_0406#55	ブロスターの攻撃が父さんの家に直撃したら、それで終わり。
map_0406#56	ゲームオーバー。
map_0406#57	そこで終わり。
map_0406#58	この発電施設の警備を任されてたけど、さっきの一撃で父さんがやられたんじゃないかってびくびくしながら座ってるなんて、もう無理。
map_0406#59	アスター: やられたって、何がだよ?
map_0406#60	エクリプス: あと、あんたと組まされたせいで、本気でIQが下がった気がする。
map_0406#61	アヤ: えっと、その、\PN……
map_0406#62	この二人、勝手に言い争わせとけばいいのかな、それとも……?
map_0406#63	エクリプス: 迷惑かけてごめんね。
map_0406#64	ねえ、チームメテオと戦うつもりなら、知っておいたほうがいいことがある。
map_0406#65	チームメテオって、最初からずっと悪だったわけじゃないの。
map_0406#66	ソラリスが率いてた頃、目的はひとつだけ、厳格なものだった:
map_0406#67	街を浄化すること。
map_0406#68	リボーンを再び清らかな街にしたかった、でもそのためには人々に出て行ってもらう必要があった。
map_0406#69	だから、みんなを追い出すためのことを始めたの。
map_0406#70	でも、それから何もかも変わった。
map_0406#71	リンが階級を駆け上がり始めるより前から、シリウスが――
map_0406#72	アスター: エクリプス!
map_0406#73	シリウス: 良い娘というものは、自分の分をわきまえ、そこに留まるものだ、
map_0406#74	さもなくば、それを思い知らされることになる。
map_0406#75	エクリプス: ああっ……ぐぐぐうっ……うぐ……
map_0406#76	アヤ: 彼女に何が起きてるの?!
map_0406#77	エクリプス: うぐぅ……
map_0406#78	シリウス: 知らなかったのか?
map_0406#79	シャンデラの炎は、魂を焼き尽くす。
map_0406#80	魂が永遠に失われた後も、体だけは残るのだ。
map_0406#81	シリウス: これで終わりだ。
map_0406#82	アスター: なんでこんなことしやがるんだよ?!
map_0406#83	シリウス: 石は削らねば、形にならぬ。
map_0406#84	人間も同じことだ。
map_0406#85	そして時に、石が割れてしまったならば、
map_0406#86	ただ捨てるしかない。
map_0406#87	さて、次の標的は……
map_0406#88	\PNだ。
map_0406#89	アヤ: どきなさいよ!
map_0406#90	シリウス: よかろう、ならばお前を連れて行こう!
map_0406#91	アヤ: いたたたた!
map_0406#92	離しなさいよ!
map_0406#93	シリウス: カルセノンに向かった仲間がいるな?
map_0406#94	予定変更だ。
map_0406#95	お前は上等な人質になるだろう。
map_0406#96	行くぞ。
map_0406#97	アスター、出口を破壊しろ。
map_0406#98	アスター: エクリプスを置いてはいかねえ。
map_0406#99	シリウス: 裏切り者は好きにするがいい。
map_0406#100	彼女はもう終わっている。
map_0406#101	チームメテオよ、撤退だ。
map_0407#0	機械のスイッチを押すと、ケースが開く。
map_0407#1	押しますか?
map_0407#2	押さない理由がある?
map_0407#3	やめておこう……
map_0407#4	はい
map_0407#5	いいえ
map_0409#0	テラキオン: ぐるるる……
map_0409#1	アヤ: ねえ、あいつらここで何してるの?
map_0409#2	嫌な予感がする。
map_0409#3	おっ! 本当に誰か来た! 驚いたな!
map_0409#4	ジェフ: 来てほしくなかったんだけどな。
map_0409#5	チッ……ここに来るってどうやって知ったんだ?
map_0409#6	そこまでだ、不正を働く邪悪な者よ!
map_0409#7	オードリー: あーあ、どうしていつも言うこと聞いてくれないのかな?
map_0409#8	あんたたち、ちょっとどこかに行ってくれない?
map_0409#9	捕まえた!
map_0409#10	キーナン: チッ、あんたには勝てないってことか……
map_0409#11	リンゴ: いつかは……
map_0409#12	PULSEを守らなきゃいけないんだ、下がってろ!
map_0409#13	ダイアナ: あたしも敗れるみたいね……
map_0409#14	本当に異端を受け入れる気はないの?
map_0409#17	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0409#18	この岩の土台には、まだお宝が隠されているかもしれない。
map_0409#19	ばくはつのこなを使って開けますか?
map_0409#20	はい
map_0409#21	いいえ
map_0410#2	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0410#3	この岩の土台には、まだお宝が隠されているかもしれない。
map_0410#4	ばくはつのこなを使って開けますか?
map_0410#11	はい
map_0410#12	いいえ
map_0411#2	頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0411#3	この岩の土台には、まだお宝が隠されているかもしれない。
map_0411#4	ばくはつのこなを使って開けますか?
map_0411#5	はい
map_0411#6	いいえ
map_0412#0	< カルセノンシティ
map_0412#1	はぁ〜、参ったね!
map_0412#2	鍛錬のためにここまで登ってきたんだ……
map_0412#3	山の頂上で、体と心と魂を鍛えるためにな!
map_0412#4	でも、実際に来てみたら……
map_0412#5	自然の壮麗さの中で……
map_0412#6	山の岩肌の中で……
map_0412#7	……そして、このひどい寒さの中で……
map_0412#8	あることに気づいたんだ。
map_0412#9	鍛錬なんて馬鹿げてる!
map_0412#10	あらゆる鍛錬が馬鹿げてる!
map_0412#11	耐久力から努力値トレーニングまで――全部やめだ!
map_0412#12	二度と努力値なんて稼ぎたくない!
map_0412#13	今度誰かに合言葉を聞かれたら、「もう鍛えない」って答えてやる!
map_0412#14	そうすりゃ、努力値なんて一つも稼がずに済むはずだ!
map_0412#15	はっ! 完全な自由が手に入るってわけさ!
map_0412#16	世界に一泡吹かせてやる!
map_0412#17	食らえ、山の頂よ!
map_0412#18	アブソル: アオオオン!
map_0412#19	アブソル: アブ……
map_0412#20	はぁ! サーカスからここまで登ってきて、気合十分だぜ!
map_0412#21	オーディン: ……しぼんだ。
map_0412#22	うう……もう降りようかな。
map_0412#23	ここは4番道路のほんの一部にすぎない。本当の試練はあの崖の向こうだ。とりあえず、今は別の挑戦といこう!
map_0412#24	ゴロー: ふむ! まさに挑戦だな!
map_0412#25	岩登りの腕前と同じくらい、バトルの腕も磨かないとな!
map_0412#26	ここ、きれいな場所だと思わない? ちょっと寒いけど……でも、あったまる方法なら知ってるんだ!
map_0412#27	エレン: ずっとマシになったわ!
map_0412#28	でも、本当に……ぶるぶる。
map_0412#29	おい! この寒さについていけないなら、カルセノンに戻ったほうがいいぞ!
map_0412#30	ラッシー: 負けちゃった。初めてかも。
map_0412#31	ねえ、街に戻るのはあたしのほうかもね。
map_0412#32	俺がなぜトップなのか、見せてやるよ!
map_0412#33	ジョージ: GG。
map_0412#34	敗北。
map_0412#35	ハーディ: ノエル! こんなとこにいるのか!?
map_0412#36	おっ、\PN。よう!
map_0412#37	アンナかノエル、見なかったか?
map_0412#38	きついな……
map_0412#39	二人とも完全に行方不明なんだ。
map_0412#40	カルセノンの東口から出てくのを見た奴はいたんだけど、そっからほとんど手がかりがなくてな。
map_0412#41	もしチームメテオに捕まってたら……
