22b_field_notes#635		...when attacker is grounded.
22b_field_notes#723		Boosts Defense by two stages but damages the user with Stealth Rocks.
22b_field_notes#724		Boosts Defense, Special Defense and Speed, but applies Sand Tomb to the user.
22b_field_notes#725		Boosts Defense, but damages the user with Stealth Rocks.
22b_field_notes#726		Boosts Evasion and applies Magic Coat to the user.
22b_field_notes#727		Boosts Special Attack and applies Flash Fire's power boost to the user.
22b_field_notes#728		Boosts Special Attack and applies Laser Focus to the user.
22b_field_notes#729		Boosts Special Attack and applies Magic Coat to the user.
22b_field_notes#730		Boosts Special Attack and applies Wish to the user.
22b_field_notes#731		Boosts Special Attack by two stages, but confuses the user.
22b_field_notes#732		Boosts Special Attack by two stages, but lowers Accuracy.
22b_field_notes#733		Boosts Special Defense and applies Aqua Ring to the user.
22b_field_notes#734		Boosts Special Defense and applies Ingrain to the user, and makes the field grow 1 Stage.
22b_field_notes#735		Boosts Special Defense and applies Magic Coat to the user.
22b_field_notes#736		Boosts Special Defense and applies Magnet Rise to the user.
22b_field_notes#737		Boosts Special Defense and applies Wish to the user.
22b_field_notes#738		Boosts Speed and applies Aqua Ring, but poisons the user.
22b_field_notes#739		Boosts Speed and applies Charge to the user.
22b_field_notes#740		Boosts Speed and applies Soak to the user.
22b_field_notes#741		Boosts Speed by two stages, but damages the user with Spikes.
22b_field_notes#742		Boosts all stats, but makes the user recharge.
22b_field_notes#743		Bright Powder and Lax Incense boost Evasion when switched in.
22b_field_notes#744		Brine, Gunk Shot, Hydro Vortex, Mud Bomb, Mud Shot, Mud-Slap, Muddy Water, Sludge Wave, Smack Down, Surf, Thousand Arrows
22b_field_notes#745		Bubble Beam, Charge Beam, Fleur Cannon, Hyper Beam, Ice Beam, Moongeist Beam, Origin Pulse, Psybeam, Solar Beam and Tri-Attack are boosted when hitting targets with raised evasion.
22b_field_notes#746		Bug-type attacks increase in base power (x1.5,x2) at Stages (2,4).
22b_field_notes#747		Bulldoze, Earthquake, Magnitude
22b_field_notes#748		Bulldoze, Earthquake, Magnitude, Muddy Water, Surf
22b_field_notes#749		Bulldoze, Earthquake, Magnitude, Rock Climb, Strength
22b_field_notes#750		Burn Up, Dig, Heat Wave, Needle Arm, Pin Missile, Sand Tomb, Searing Sunraze Smash, Solar Beam, Solar Blade, Thousand Waves
22b_field_notes#751		Calm Mind, Cosmic Power, Kinesis, Meditate, Nasty Plot
22b_field_notes#752		Calm Mind, Kinesis, Meditate, Sand Attack
22b_field_notes#753		Calm Mind, Nasty Plot
22b_field_notes#754		Camouflage and Mimicry choose one of Fire, Water, Grass or Psychic typings in that repeating pattern.
