map_0901#1197		Fun fact for the class first: 
map_0901#1259		Let's just say I'm glad I never have to fight him again.  My team had Dragon Dance Dragonite as a win condition and it backfired every time.
map_0901#1260		Can't stand Ditto anymore hahaha.
map_0901#1261		I sure gave it to him in the X-League though. Resorted to a Chilan Berry on my Darkrai to survive Arceus and put it to sleep.
map_0901#1262		I got really into everything and it was a blast. I was the second one to win the league!
map_0901#1263		Have you done the spirit hunting quest in Victory Road? If you did, then you saw my team at some point.
map_0901#1264		If you ask me if I regret it, knowing what I know now... Nah, definitely not. I feel like my own character developed as much as any of the leaders' did.
map_0901#1265		Nowadays I'm a lot more relaxed, I think, but there's always a little bit of Titania chilling under the surface for whenever I need her to come out.
map_0901#1266		... Not that it needs to. Much.
map_0901#1267		Anyway, I'd say the League was definitely one of the highlights of my experience. Hopefully you enjoyed the little trip down memory lane.
map_0901#1268		My involvement with the game, huh? Sure.
map_0901#1269		Well, like I said when I introduced myself, I mostly do a lot of small, boring stuff that other people can definitely do themselves.
map_0901#1270		Difference between them and me is I don't know how to do all that much, so the really cool stuff is best left to them.
map_0901#1271		Full transparency, this event is like the only eventing I've done in the entire game. 
map_0901#1272		Uh, well, unless you count scattering hidden items in the new city and the Chrysolia Spring. But that was just copying and pasting events, really.
map_0901#1273		Speaking of the spring, though, I filled in all the walls there once Ame laid down the outline. I did that for a few maps, actually.
map_0901#1274		A couple of the mountains in the desert were my doing too.
map_0901#1275		And let's see... There's also the Tanzan Depths, the maps in the cave in Tanzan Cove.
map_0901#1276		That was also the one time I had a little fun and left something funny that no one will see unless they open up the map in RMXP or something.
map_0901#1277		I think my favorite niche talent is the power to find double spaces in text. When I first joined the dev server, I made my name "melee marth player,"
map_0901#1278		Because my attention to spacing is IMMACULATE.
map_0901#1279		To be clear, when I say "double space" I mean the difference between "this phrase" and "this phrase."
map_0901#1280		I can also tell when Pokemon names have a space before them, when the nicknaming window puts one there automatically for... some reason.
map_0901#1281		Outside of actual work on the game, I also play the game! The wild west versions where maybe everything works and maybe it doesn't!
map_0901#1282		During my testing of E19, my Palkia was named "no." and my Dialga was named "yes!" because I had a 2 hour struggle with Palkia and then Dialga was like,
map_0901#1283		"Okay, I'll get in the frame 1 Quick Ball I guess," and Dialga was the one I wanted more anyway!
map_0901#1284		Hopefully it's easier for you guys.
map_0901#1285		Aside from that, I try to keep reported bugs listed in our Official(tm) Cat(tm) Reporting Spreadsheet so that it's at least organized.
map_0901#1286		Honestly, huge shoutout to everyone else here.
map_0901#1287		The difference in that spreadsheet when everything that's "Done" is hidden compared to how much has been on it...
map_0901#1288		It's like night and day. The bugs- ah, cats, never stop, but looking back on everything that didn't work before that does now is insane.
map_0901#1289		Remember to show your appreciation for everyone, okay?
map_0901#1290		Reflection... Well, I'm no Serra, but I sure do think about this kind of thing a lot.
map_0901#1291		I like music a lot, which isn't particularly unique or anything, but it plays into a lot of my character.
map_0901#1292		In places like your generic "About Me"s and, like, status messages and all that, I quote songs all the time.
map_0901#1293		If we're friends on Final Fantasy XIV, my search info is always a song quote.
map_0901#1294		There's a few lyrical quotes here and there even in this event.
map_0901#1295		The placeholder dialogue Ame left here for my pre- battle message was a joke about that, since it's so ingrained into my personality haha.
map_0901#1296		My biggest inspiration is the Japanese musician Aimer. I really love the celestial themes and late night vibes in her earlier music.
map_0901#1297		It was a tweet from her in 2018 that really motivated me to get up and finish my college registration. 
map_0901#1298		She said "I wonder if some of you started a new life today" among other things, and I read that and thought "yeah, okay." So I did!
map_0901#1299		My college major was always astronomy, but discovering someone like her really solidified my interest.
map_0901#1300		My favorite song is, perhaps unsurprisingly, Polaris. 
map_0901#1301		It's sad, but at the same time, motivational. And it's always- ... well, usually, the melancholy stuff that hits me the hardest.
map_0901#1302		I say "usually," because it's not my FAVORITE song, but LIGHTS's "Timing Is Everything" is, like, my life motto.
map_0901#1303		The chorus of the song says "There I was, none the wiser, both of us, different trajectories,"
map_0901#1304		Who'd have thought we'd be right here, in this spot, timing is everything."
map_0901#1305		And it just makes me think. Despite everything,
map_0901#1306		The hundreds of thousands of years that humans have existed,
map_0901#1307		You and I are here in the same place, at the same time.
map_0901#1308		Uh, well, same "place" and same "time," but don't sweat the details.
map_0901#1309		Everything we are is just a huge combination of wacky coincidences, or, like, such small choices. If I hadn't met Autumn in 2007, I wouldn't be here now.
map_0901#1310		If I hadn't signed up for the League, I wouldn't be here now.
map_0901#1311		If Ame hadn't succumbed to her whims and made a game, none of us would be here now.
map_0901#1312		But we are. Isn't it great?
map_0901#1313		I, for one, am glad you're here and hopefully enjoying yourself. Stick around, won't you?
map_0901#1314		IKARU: Ah. To the death it is, then.
map_0901#1315		... Just kidding!
map_0901#1316		You've been through a lot to get where you are now, haven't you, Champion?
map_0901#1317		Did you get what you wanted out of your adventure?
map_0901#1318		I'm glad to hear it. I hope the same is true of your next journey.
map_0901#1319		Well, there's not always some deeper meaning, and that's okay.
map_0901#1320		Here you stand, at the end of a journey 10 years in the making. You've done well.
map_0901#1321		With your quest said and done, how about a little something with no stakes to wind down?
map_0901#1322		And yet, there's even more out there waiting for you.
map_0901#1323		When we're finished here, make sure you see things all the way through for me, will you?
map_0901#1324		And when that's done, tell me your favorite part!
map_0901#1325		(Bonus points if it's this interaction!)
map_0901#1326		IKARU: Round two, huh?
map_0901#1327		You'll touch the stars in no time.
map_0901#1328		I did my Adrienn impression already, but the sentiment is still there. 
map_0901#1329		Just a little higher...
map_0901#1330	Ikaru	Morning waits on the edge of a dream.
map_0901#1331		IKARU: I expect no less from someone who's come as far as you have.
map_0901#1332		Here's some Battle Points for your troubles.
map_0901#1333		And hey, you know what, there's only two people here that I don't outrank, and they can't tell me what to do.
map_0901#1334		Here's one (1) more, just this once. You've come so far, and frankly, these battles are a little stacked against you, haha.
map_0901#1335		That brings you to... \v[593] points, is it?
map_0901#1336		IKARU: Well, teams of just our favorites weren't really going to stand up to endgame players without some... help.
map_0901#1337		I'll get your squad all fixed up, and if you have any complaints, I'm innocent; Cass did it!
map_0901#1338		IKARU: Alright. 
map_0901#1339		Hey, if you ever get lost, just look up at the sky. 
map_0901#1340		If you can see the stars, they'll show you the way.
map_0901#1341		Your next meeting is just around the corner.
map_0901#1342		MARCELLO: Hi there, I'm Marcello, I work on this game.
map_0901#1343		Do not believe the sprite I have been given for the purposes of bullying me, 
map_0901#1344		I am not, in fact, a child with green hair.
map_0901#1345		So, what's up?
map_0901#1346		MARCELLO: I'm pretty terrible at Pokémon, myself.
map_0901#1347		But turns out, when you can just cheat and make your team utter unfair bullshit?
map_0901#1348		Even I can come up with something pretty good.
map_0901#1349		Bring it on!
map_0901#1350		MARCELLO: Good job, have a BP!
map_0901#1351		...I feel like these dev fights are probably way too difficult to reward just 3 BP, but that's just how things are.
map_0901#1352		You've got \v[593] BP now.
map_0901#1353		MARCELLO: Hey, don't worry, we all lose sometimes.
map_0901#1354		If I can offer some constructive advice.
map_0901#1355		That thing you did in our battle?
map_0901#1356		Where you let all your mons' HP go to zero before my mons' HP?
map_0901#1357		Yeah, don't do that next time.
map_0901#1358		Should help you win.
map_0901#1359		MARCELLO: You want to know more about me?
map_0901#1360		Well sure, if you insist. Ask away!
map_0901#1361		MARCELLO: I'm Marcello!
map_0901#1362		Some random British guy that tripped and fell onto the Dev Team.
map_0901#1363		Once upon a time, I was the newest member of the team, I felt like a kid compared to everyone else.
map_0901#1364		(Speaking of, despite the sprite, I'm not a kid. I'm 25.)
map_0901#1365		(Ame, who is SHORTER THAN ME, liked to tease me about my height once upon a time.)
map_0901#1366		(I have no idea about the exact joke origins, it was forever ago but hey I ended up with a child's sprite, we all have to live with this now.)
map_0901#1367		Anyway, tangent aside.
map_0901#1368		That time I was the 'new kid' on the team?
map_0901#1369		Was seven years ago.
map_0901#1370		I have worked on this game my entire adult life, which is crazy to me.
map_0901#1371		And with any luck, I can continue working to make games with Ame and the team,
map_0901#1372		For the rest of my adult life, too.
map_0901#1373		Did you want to ask me more?
map_0901#1374		All right, see you around.
map_0901#1375		MARCELLO: Oh, well I'm a mathematician.
map_0901#1376		...But I assume you mean with regards to this game, right?
map_0901#1377		Well, when I first started it was as a programmer!
map_0901#1378		I knew nothing about that kind of thing though, but I learnt on the job and fixed a bunch of bugs.
map_0901#1379		And all in all wrote lots and lots of code that Cass or Perry or myself would eventually have to rewrite.
map_0901#1380		Because it sucked real bad.
map_0901#1381		But I like to think I got pretty good over the years.
map_0901#1382		I got the online stuff working!
map_0901#1383		I fixed numerous persistent bugs!
map_0901#1384		When we completely rewrote the AI, I was the one that programmed that (though Ame designed it).
map_0901#1385		All these big things I've done have something in common, though.
map_0901#1386		In the last year or so, Cass or Perry have completely redone my work in these areas and made them much better.
map_0901#1387		And I couldn't be happier!
map_0901#1388		I like to think I provided a good starting point, and seeing some incredibly talented team members improve on that,
map_0901#1389		To make stuff that seems to work pretty damn well!
map_0901#1390		I find that very cool, and I can't help but be proud of myself and even more proud of this amazing team I'm a part of.
map_0901#1391		But programming isn't all I can do!
map_0901#1392		This last year of development, I had to step back for a bit because of illness.
map_0901#1393		(Don't worry, reader, all is well now.)
map_0901#1394		And when I got back I was out of practice, not to mention that Cass and Perry are so cool,
map_0901#1395		There wasn't too much even left to do on the programming side of things.
map_0901#1396		But turns out this nerd quite enjoys writing.
map_0901#1397		And I like to think I'm pretty good at it-- something which Ame agrees with!
map_0901#1398		So for the last segment of development I was writing dialogue instead!
map_0901#1399		My biggest contribution is the Celebi Quest, if you've played that already.
map_0901#1400		That was designed, evented, and written by me!
map_0901#1401		(Lots of thanks to Crim and Ame for the graphical assets ur both great. <3)
map_0901#1402		I even made all the battle teams for it!
map_0901#1403		But I've also done other bits throughout postgame, small bits in other quests, among other things.
map_0901#1404		I'm sure I could tell you more about the other things I worked on specifically, but that would take long enough,
map_0901#1405		We'll just say that's a story for another time.
map_0901#1406		Regardless, writing for the game and seeing the other developers (and hopefully players like you) enjoy my writing,
map_0901#1407		Has given me huge amounts of joy!
map_0901#1408		I'm so excited that everyone can finally play the game and see the work I put into it!
map_0901#1409		I think that pretty much covers my contributions!
map_0901#1410		MARCELLO: I mean, so much.
map_0901#1411		Even before I was a developer, I've met so many cool people in this community.
map_0901#1412		Most of my closest friends are either on this dev team, or were met because of this game.
map_0901#1413		Call me a big nerd if you want, but I also got really into Dungeons and Dragons thanks to this game.
map_0901#1414		At this point I've been DMing a campaign for two years whose players have almost exclusively been people I know from Reborn.
map_0901#1415		Shoutout to Ame and Autumn who are both players in the game and are deeply chaotic in their doing so.
map_0901#1416		And have taken it upon themselves to ensure none of my plans ever come to fruition.
map_0901#1417		But also my other players who aren't on the team, and people who played in the group in the past but don't anymore?
map_0901#1418		Know that I deeply love and appreciate you all, these last two years have been infinitely better because of you all.
map_0901#1419		And I owe that to Reborn.
map_0901#1420		I like to think I owe so very much to it.
map_0901#1421		So many of the people in this room are some of my best friends, and they're all just wonderful!
map_0901#1422		Plus, being in such a supportive community around such great people for the last seven years,
map_0901#1423		I feel like has shaped me into the person I am today.
map_0901#1424		And I like that person!
map_0901#1425		So I couldn't be more grateful to have been a part of all this, and treasure the friendships I've made.
map_0901#1426		Here's to the next seven years of my time knowing and working with Ame being just as rewarding as the last.
map_0901#1427		MARCELLO: I feel deeply unqualified to give advice about anything.
map_0901#1428		But I'll try my best!
map_0901#1429		If you struggle to do the things you want to, don't beat yourself up.
map_0901#1430		I've spent a lot of time on this team going back and forth between incredibly rapid productivity and paralyzing indecision and inaction.
map_0901#1431		But I made it, and things got a lot better when I stopped beating myself up every time I felt like I wasn't doing 'good enough'.
map_0901#1432		I'm sure you'll make it too.
map_0901#1433		But more than anything, my number one piece of advice?
map_0901#1434		Just surround yourself with good people.
map_0901#1435		People you like, people you respect, people you admire, and people you wish to be more like.
map_0901#1436		It was entirely accidental, but that's what I did when I joined the Reborn team.
map_0901#1437		And I think, more than anything, that is what lead me to all the best parts of my life today.
map_0901#1438		I've grown into a person I like, I have wonderful friends, and most importantly of all, I'm happy.
map_0901#1439		And I feel like I owe all of that to the wonderful friends I have.
map_0901#1440		...Yeah, sorry, if you were hoping for like,
map_0901#1441		Fangame dev specific advice or something,
map_0901#1442		Oops.
map_0901#1443		But this is what you get from me, and I hope somebody finds it helpful!
map_0901#1444		A notebook with "Noir a blanc" written on the cover is on the desk. The last written page is bookmarked.
map_0901#1445		Read?
map_0901#1446		"December 18th, 2021
map_0901#1447		It's been a while, hasn't it? Progress has been kind of slow lately, regrettably...
map_0901#1448		But I'm still further along than I would have ever been without your accidental inspiration.
map_0901#1449		When I go outside at night, in total silence,
map_0901#1450		My surroundings lit by nothing more than a few street lights, the moon, and the stars,
map_0901#1451		I think of you and your music, and I remember.
map_0901#1452		You may never know it, but that's okay.
map_0901#1453		As long as it motivates me, it doesn't really matter.  And maybe someday, I might be able to thank you properly."
map_0901#1454		PERRY: Hey, hey!
map_0901#1455		Look who finally showed up.
map_0901#1456		So, what you wanna do?
map_0901#1457		PERRY: I can't decide between singles or doubles. So I'll let you choose
map_0901#1458		Oh, fun fact! I made the function that temporarily sets your Pokémon's levels to 100.
map_0901#1459		But it doesn't set the opponents Pokémon to lvl 100, we just have the teams that way.
map_0901#1460		: )
map_0901#1461	Perry	That's what I expect from our protag!
map_0901#1462		PERRY: Nice one! Here's some BP.
map_0901#1463		That puts you at \v[593].
map_0901#1464		I hope the AI didn't misplay too hard.
map_0901#1465		PERRY: Oof, did the lvl 101 thing mess you up that badly?
map_0901#1466		PERRY: Sure, I'll think up something to talk about.
map_0901#1467		Anything specific you want to talk about? \ch[62,-1,Reborn,Game dev, Me, Ramblings, Nah]
map_0901#1468		PERRY: Man, there's so much to talk about.
map_0901#1469		Starting with my introduction to the game.
map_0901#1470		It started by watching someone play through the game on Youtube, pkmnRob I think their name was.
map_0901#1471		Thought it was neat so decided to check it out myself. 
map_0901#1472		I played a few hacked ROMs before, but this was my first time playing on the computer.
map_0901#1473		And then I got my ass handed to me in true Reborn fashion. The one Pokémon strat didn't work anymore.
map_0901#1474		After that I just kept on playing, basically no-living the game.
map_0901#1475		One of the things I love about the game is just how multidimensional it is.
map_0901#1476		It's not only about the story, or the battling. It has puzzles, beautiful maps, many sidequests and more.
map_0901#1477		And I think the game has made me a bit of a better person. Not that I was bad before.
map_0901#1478		But I think I came out of it a bit more compassionate and understanding.
map_0901#1479		I ended up hanging around and checking up on the game every once in a while, playing the updates that came out.
map_0901#1480		And then Cass made a post about the battle tower.
map_0901#1481		A person in the comments asked if there would also be a battle factory, a gamemode I enjoy myself too.
map_0901#1482		Cass responded that she'd think it cool, but it would be too much effort to make it worthwhile.
map_0901#1483		My ego showed up, and went like: "Bet"
map_0901#1484		It's a miracle, but somehow I actually managed to get it to work.Part of it is the coding language, Ruby. It's pretty easy to pick up, not a lot of foreknowledge required.
map_0901#1485		So when I almost finished the battle factory I showed it off in the patreon server. Was planning to release it as a mod.
map_0901#1486		Cass said she wanted it in the main game, so I polished it up a bit and sent everything needed for it.
map_0901#1487		Helped with a few other things, and a while later she asked me if I actually wanted to help out as a dev.
map_0901#1488		I really have a lot to thank her for.
map_0901#1489		After entering the team I met a lot of awesome people, which are here in this room.
map_0901#1490		And it has been an awesome journey.
map_0901#1491		PERRY: But what is it I did in the game?
map_0901#1492		If you're reading in order you know that Cass asked me on the dev team.
map_0901#1493		That's because all the bugs that had been found after e18 was released had been compiled.
map_0901#1494		And it was a long list. So to help Marchello, and Azery at the time, out I was brought on.
map_0901#1495		Like 10 days later I found a way to test where the code takes longest to run. 2 days after that e18.4 was released and optimization galore was a fact.
map_0901#1496		Cass ran with it way further than I could take it, but I've been making sure things don't crash after she had sledgehammered them. 
map_0901#1497		So most of the work I've done has just been bugfixing and fixin up after Cass.
map_0901#1498		But of course, there are also new things I've added!
map_0901#1499		The battle factory, a lot of AI rewrite, online doubles, new field notes, are just a few of them.
map_0901#1500		It's hard to remember them all, since about 90% of them are just small QoL things. Like the game staying in the same place and speedup persisting when resetting.
map_0901#1501		That's about it, really. Most of the work i do isn't visible, since it's not a new thing but fixing the old thing.
map_0901#1502		PERRY: Hi, I'm Perry or toothpastefairy which isn't really a name I use anymore.
map_0901#1503		Living that good life at the ripe age of 23.
map_0901#1504		And a masters student studying Applied Physics living in the Netherlands.
map_0901#1505		Probably addicted to playing chess, since the amount of times I stopped writing all this dialogue and played a quick game online has hit the double digits.
map_0901#1506		There's a good chance this is the first time you hear of me, I'm not involved in the community a lot.
map_0901#1507		Sometimes I wish I was, but it's just not something that comes naturally to me.
map_0901#1508		Meeting new communities and friend groups is always scary, and if the circumstances are not up for it you won't get many words out of me.
map_0901#1509		I'm sure you have felt like that too a few times, like when going to a new school or maybe a party.
map_0901#1510		Especially starting a conversation. You'll catch me dead before I talk about myself unprovoked. Unless you're counting this.
map_0901#1511		But mostly i don't sweat that stuff too much, it's not who I am to do that and in the end I can accept that.
map_0901#1512		Anyhow, another thing about me is that I love music!
map_0901#1513		High chance that if I'm alone at home, I'm with my headphones on. Not that I have a particularly refined taste in music.
map_0901#1514		I'm pretty sure that it is as close to basic as you can get, but I enjoy it nontheless.
map_0901#1515		Like the e4 and champion battle tracks. Absolute bangers, those two. Deffo give them a listen if you haven't already.
map_0901#1516		Other than that my view of myself seems to oscillate between thinking I'm great and being disappointed in myself.
map_0901#1517		Where on some days I hype myself up and feel great about who I am.
map_0901#1518		And other days I feel helpless in trying to live my life in a healthy way and be a person I'm proud of being.
map_0901#1519		Checking in on my friends, not wasting away a day doing things I won't remember two days later.
map_0901#1520		And I've been getting better at it too!
map_0901#1521		So there, life. I'm getting the hang of it.
map_0901#1522		PERRY: And what a mistake to select this option. So this is just gonna be my random thoughts, a stream of conciousness if you're familiar with the term.
map_0901#1523		I do love this game dearly, having had a huge impact on my life.
map_0901#1524		Helping out on it is an amazing feeling, where for the first time I feel like I'm contributing to something bigger.
map_0901#1525		And the fact that it feels productive working on this too, amazing.
map_0901#1526		I'm just about the last one writing my dialogue, so I have the advantage of knowing what everybody else has said.
map_0901#1527		And Vulpes was really able to nail down how I feel about contributing to Reborn as well.
map_0901#1528		I'm not too good a writer, so I'll gladly point to others when they better express how I feel.
map_0901#1529		And we do have a lot of talented writers in this room here. That should be no surprise to you, most of them contributed to the story of Reborn which we love so much.
map_0901#1530		One of my favorite parts was walking around in the desert with Taka.
map_0901#1531		Did you know that Taka has the most dialogue in the game? Or at least, the text "TAKA:" appears 1.5x more than any other "CHARACTER:" in the game.
map_0901#1532		Azzie wrote a really sweet fic about it as well, go read it!
map_0901#1533		Yeah I'm still in love with the game. But now I appreciate the work the others put in it all the more.
map_0901#1534		It's funny, since I don't even game that much anymore. I think that in the last 5 years I've played a total of 3 games.
map_0901#1535		Got sucked in the world of fanfiction instead I guess. If only at school those counted as books you've read. 
map_0901#1536		But anyway, you're probably holding the X button down to skip this dialogue so I'll end your suffering.
map_0901#1537		Have fun out there!
map_0901#1538		PERRY: Cool, see ya.
map_0901#1539		Talk to the others too, they're very sweet!
map_0901#1540		AZZIE: Hi there!
map_0901#1541		Thanks for stopping by!
map_0901#1542		I hope you've been enjoying Reborn!
map_0901#1543		This game means so much to so many people, I'm really glad you stuck it out to the end.
map_0901#1544		There's some pretty great stuff still ahead of you, I'll tell you that much. 
map_0901#1545		Was there something in particular you'd like to talk about?
map_0901#1546		AZZIE: I do like talking about Reborn!
