map_0071#69	Ringo	...Oh shit.
map_0071#115		Nope, three hours!
map_0071#116		Who knows how long it'll take? 
map_0071#117		So if you could just stay there in place, stand right there-- 
map_0071#118		Yes, just like that, silly expression and all-- for just some time more...
map_0071#119		We'd be much obliged.
map_0071#120		I suspect you won't, though. 
map_0071#121		Grunts!
map_0071#122		What an unfortunate name, by the way. 
map_0071#123		Isn't that disrespectful?
map_0071#124		But if you wanted to be called something else, you should've been better. Anyway--
map_0071#125		Little grunts, please slow our guests down!
map_0071#126		Buy me enough time and I'll buy your wages another day!
map_0071#127		FERN: What the hell is their problem?
map_0071#128		I was expecting some kind of sinister team; not a spring-picked fruits basket.
map_0071#129		Let's just get up there and wipe that stupid smile off their face.
map_0071#130		FERN: Hey, what gives?
map_0071#131		ACE: Sorry, little wannabes!
map_0071#132		I'm afraid the power's been cut on your little hit-and- rescue operation!
map_0071#133		The 'trapped-in-a-box' trick gets them every time!
map_0071#134		Be good little fledglings and stay put there until the show is over and we've dealt with your Gym Leader friends, will you?
map_0071#135		FERN: Like hell we will!
map_0071#136		ACE: Oh-- well, that's awkward, because, you see-- 
map_0071#137		You don't actually have a choice in the matter?
map_0071#138		It was one of those rhetorical questions, you know?
map_0071#139		Don't worry, little one. You'll figure those out eventually.
map_0071#140		Why don't you think on it while you're trapped there?
map_0071#141		Actually, better idea!
map_0071#142		You two are obviously strapping young lads with a sense of justice and urgency.
map_0071#143		You two are obviously strapping young Trainers with a sense of justice and urgency.
map_0071#144		I know you just got here and this offer usually comes closer to the climax, but let's just get it out of the way now!
map_0071#145		Would you consider joining us?
map_0071#146		Our methods might not be popular-- and that's kind of the point, you know?
map_0071#147		But I promise you this, little heroes, we're the ones looking out for this region.
map_0071#148		We come with great insurance and a family plan!
map_0071#149		Give it a think, yeah?
map_0071#150		FERN: Let us out of here and I'll tell you exactly what I think!
map_0071#151		ACE: Mmmmmmmm...
map_0071#152		Nope!
map_0071#153		I'll come back and check on you once we're all cleaned up though, so until then, just stew on it!
map_0071#154		FERN: Ugh, there's Julia--
map_0071#155		GRUNT: Agent, the front wing has been destroyed!
map_0071#156		The Gym Leaders are coming up!
map_0071#157		ACE: Tch, just when we'd gotten a break.
map_0071#158		I suppose I'll deal with this myself!
map_0071#159		Hang tight, you two!
map_0071#160		FLORINIA: Primary security overridden.
map_0071#161		Elevator power restored.
map_0071#162		ACE: Uh, no you just did not! That's MY security station, woman!
map_0071#163	Steven	Drat!
map_0071#164		FERN: I guess Flobot can be good for something occasionally.
map_0071#165		Let's hustle, \PN.
map_0071#166		"ELEVATOR LOCK"
map_0071#167		The console displays a numerical keypad.
map_0071#168		The door unlocked!
map_0071#169		Nothing happened...
map_0071#170		FERN: Figures they're going to have some kind of pathetic security.
map_0071#171		Let's look around the lower floor.
map_0071#172		Bet there are other greenlit consoles we can try and scrounge some data from before they toss it.
map_0071#173		The screen lights up...
map_0071#174		"3XXX"
map_0071#175		"X1XX"
map_0071#176		"XXX9"
map_0071#177		FERN: Looks like there's only two floors.
map_0071#178		Hit it, \PN.
map_0071#179		Ground Floor-- Now arrived.
map_0071#180		FERN: That's the floor we're already on, numbnuts.
map_0071#181		Can't you even figure that out?
map_0071#182		2F-- Now arrived.
map_0071#183		FERN: You know we're already on the second floor, right?
map_0071#184		Like, did you ever learn how floors work?
map_0071#185		Or numbers?
map_0071#186		Counting?
map_0071#187		Maybe you've heard of it?
map_0071#188		FERN: What, now you're not going to actually hit the button?
map_0071#189		Are you deliberately messing with me, or are you just on their side now?
map_0071#190		Stop messing around and hit it already.
map_0071#191		FERN: Come ON already, \PN.
map_0071#192		There's no time for this.
map_0071#193		FLORINIA: A brute-force hacking program has been deployed to the system and is currently attempting to bypass secondary security.
map_0071#194		Meanwhile, this speaker is analyzing the remaining data on the system interface.
map_0071#195		Most data has been deleted, and more still is being cleared by the moment.
map_0071#196		This "Ace" operative is likely still working from an additional terminal within the central station to which they have fled.
map_0071#197		This speaker will report anything of note that is found.
map_0071#198		For instance, an additional security password hint was discovered:
map_0071#199		"XX6X"
map_0071#200		FLORINIA: Secondary security failure observed.
map_0071#201		FERN: If by 'failure' you mean we unlocked it, sure.
map_0071#202		FLORINIA: Affirmative.
map_0071#203		Secondary firewall has been disabled.
map_0071#204		Obtaining access.
map_0071#206		Access granted.
map_0071#207		Let us proceed.
map_0071#208		JULIA: Wait, what do you mean access granted?!
map_0071#209		But we were gonna--
map_0071#210		The boomies!
map_0071#211		What happened to the boomies!?
map_0071#212		Majestic explosions, heart-racing destruction...
map_0071#213		You can't just do this to me, Rini!
map_0071#214		Rini!!!
map_0071#215		Come back here!
map_0071#216		FERN: Hah, leave it to my sister to ruin everyone's fun.
map_0071#217		Whatever, let's get a move on it.
map_0071#218		JULIA: Rini said there's a storage room on the north side, so that's probably where they're keeping the bombs!
map_0071#219		Get in there, grab them, get out, and we'll get blastin'!
map_0071#220		I'd do it myself, buuuuuut I'm tired.
map_0071#221		And someone's gotta watch Rini's back while she's doing whatever it is she's doing in their system!
map_0071#222		Also I'm tired.
map_0071#223		Do you think they have a bed I can borrow?
map_0071#224		FERN: Hey, crazy lady. We got your goods.
map_0071#225		JULIA: Boomies!
map_0071#226		Beautiful, bombastic boomies!
map_0071#227		Ooo, Verdignite!
map_0071#228		This stuff is fun.
map_0071#229		FERN: What, you know the specific type of explosive?
map_0071#230		JULIA: Uhhhhhhh, obviously!
map_0071#231		It's named for its green color, but it's unique cuz the internal chemicals react as they oxidize!
map_0071#232		In other words, all you gotta do to make it shake its stuff is break open the plastic casing!
map_0071#233		FERN: Glad I didn't drop it on the way over here...
map_0071#234		JULIA: Okay, let's do this!
map_0071#235		JULIA: Okay!
map_0071#236		JULIA: Three... 
map_0071#237		Two... 
map_0071#238		Kaaaaaaa...
map_0071#239		...Huh?
map_0071#240		FLORINIA: Secondary firewall overridden in line with secondary security failure.
map_0071#241		JULIA: But the--
map_0071#242		JULIA: ...Well, okay.
map_0071#243		Not that there was nothing to even blow up anymore, buuuuuut I'll take it!
map_0071#244		FLORINIA: Your penchant for wanton destruction remains decidedly superfluous.
map_0071#245		JULIA: You're right, it IS super!
map_0071#246		And now we charge ever-forward!
map_0071#247		Goooooo team!
map_0071#248		JULIA: ...But like, our team. Not Team Meteor.
map_0071#249		....Go!!!
map_0071#250		FLORINIA: ...Indeed.
map_0071#251		FERN: Pretty sure Julia should've been arrested a long time ago.
map_0071#252		ACE: Double drat!
map_0071#253		One, I could take. 
map_0071#254		Two's a fair bout.
map_0071#255		But three's a whole crowd~
map_0071#256		And four is right out!
map_0071#257		Consider this a tactical, if temporary, retreat!
map_0071#258		The commander will have orders, I'm sure.
map_0071#259		TTFTT-- 
map_0071#260		Ta-ta for the time!
map_0071#261		Please feel free to show yourselves out at your own leisure!
map_0071#262		JULIA: Hey, get back here so I can blow your face off!!!
map_0071#263		FERN: Hah! What a coward.
map_0071#264		FLORINIA: Meteor Headquarters confirmed beyond gate.
map_0071#265		JULIA: So then it's just a matter of opening it! 
map_0071#266		I'm sure Electrode could blow this up too, but I'm starting to run out of Revives here...
map_0071#267		FLORINIA: This facility's digital security system appears substandard. 
map_0071#268		The primary firewall has been accessed. Only a secondary one remains.
map_0071#269		A brute force attack should be sufficient. Please hold.
map_0071#270		JULIA: Brute force? Rini, I don't think we're gonna be able to punch through the door! 
map_0071#271		Buuuuuut, they were responsible for blowing up the station and they were planning to hit my Gym too, right?
map_0071#272		I bet they'd let us borrow their boomies if we asked really nicely!
map_0071#273		And maybe punched them in the face!
map_0071#274		And then asked nicely again!
map_0071#275		If we can get those, I can get us past here no problem-o!
map_0071#276		\PN, think you can find where they keep the explosives?
map_0071#277		FLORINIA: A facility map indicates a storage room behind a security lock on the north side of the premises.
map_0071#278		JULIA: There, I bet that's where they are!
map_0071#279		If you can do that, we'll be in easily!
map_0071#280		FLORINIA: Why is combustion your solution to every obstacle?
map_0071#281		JULIA: Cuz it's fun for the whole family!
map_0071#282		FERN: Tch, whatever.
map_0071#283		I, for one, don't care to stand around all day while Flobot plays with computers.
map_0071#284		JULIA: That's the spirit! 
map_0071#285		For once Fern says something I agree with!
map_0071#286		Quick, \PN! To the boom-mobile!
map_0071#287		"Future Project Notes--
map_0071#288		P-06-- Limitless Amplification
map_0071#289		P-07-- Seamless Transportation
map_0071#290		P-08-- Perfect Control"
map_0071#291		The rest seems to have been deleted...
map_0071#292		FERN: I don't like the sound of any of this.
map_0071#293		Let's put a muzzle on these guys before they ever get a chance to make any of this happen.
map_0071#294		"4XXX"
map_0071#295		"SECONDARY SECURITY"
map_0071#296		FERN: I guess we have to find another one.
map_0071#297		Isn't this still a super shoddy system?
map_0071#298		I guess that's all we can expect from these losers.
map_0071#299		FERN: I guess this is it?
map_0071#300		Why is it green.
map_0071#301		Whatever-- if she needs more firepower than this, I think she's going to be under arrest.
map_0071#302		Probably should be anyway.
map_0071#303		I'll take the box. Let's scram.
map_0071#304		"XXX2"
map_0071#305		"Active Project Notes-- P-01
map_0071#306		Mass Reproduction
map_0071#307		ACTIVE"
map_0071#308		FERN: Tch, maybe we could've learned more if you weren't slowing me down.
map_0071#309		"Active Project Notes-- P-02
map_0071#310		Endless Generation
map_0071#311		TERMINATED"
map_0071#312		FERN: Guess it wasn't so endless after all.
map_0071#313		"Active Project Notes-- P-00
map_0071#314		Prototype Build
map_0071#315		PROJECT LOST"
map_0071#316		FERN: Hah! These losers misplaced their own project?
map_0071#317		They really are incompetent.
map_0071#318		Let's wipe the floor with them.
map_0071#319		"Active Project Notes-- P-05C
map_0071#320		Erratic Growth
map_0071#321		Tangrowth-- Grass/Poison"
map_0071#322		FERN: Hah?
map_0071#323		What are these guys talking about?
map_0071#324		Tangrowth isn't even a Poison type.
map_0071#325		Dumbasses.
map_0071#326		It's unresponsive...
map_0071#327		JULIA: You! Are you the one in charge here?
map_0071#328		???: And if I am?
map_0071#329		JULIA: We're gonna blow your face off for what you did to Grandview Station!
map_0071#330		???: Amusing. 
map_0071#331		Tell me, what power do you think you have to do so?
map_0071#332		Two among you are Leaders of the league, sure.
map_0071#333		A considerable obstacle, yet hardly much concern.
map_0071#334		Two others, mere smoke in the wind.
map_0071#335		JULIA: Oh yeah, and just who do you think you are, anyway?!
map_0071#336		???: You know already.
map_0071#337		We are Team Meteor.
map_0071#338		Though few know it, we are keepers of the history.
map_0071#339		Shepherds of the region.
map_0071#340		FERN: Some "shepherds" you are. We kicked your whole base in already!
map_0071#341		???: Pat yourself on the back as much as you'd like,
map_0071#342		But we never had any reason to stop you.
map_0071#343		Like a toddler who will kick, scream and cry themselves to eventual sleep, you've been allowed to do as you pleased.
map_0071#344		Our purpose here was forfeit already.
map_0071#345		Your city has been watched for quite some time.
map_0071#346		ACE: We've got metrics on everything from water quality to Pokémon population and the lives of the people!
map_0071#347		If it exists, we probably knew about it!
map_0071#348		And now just like that, everything is off the system!
map_0071#349		???: We made the mistake of overestimating your little raiding party.
map_0071#350		Time was ample.
map_0071#351		And I grow tired of this dalliance.
map_0071#352		Aster.
map_0071#353		ASTER: Yes, boss!
map_0071#354		???: Eclipse.
map_0071#355		ECLIPSE: Yeah?
map_0071#356		???: Deal with the small fries. 
map_0071#357		ECLIPSE: If you say so.
map_0071#358		???: Ace, you and I will handle the Gym Leaders.
map_0071#359		ACE: Consider the deck stacked!
map_0071#360		ASTER: For Team Meteor!
map_0071#363		???: Tch, you two lost already?
map_0071#364		Can't you incompetent grunts do anything right?
map_0071#365		These two aren't so tough, but the four of you all together...
map_0071#366		Well, it was an amusing diversion.
map_0071#367		Ace.
map_0071#368		ACE: One smokescreen evacuation coming right up, Commander!
map_0071#369		The disappearing act is a staple of any magician~
map_0071#370		Now you see us!
map_0071#371		ACE: Now you don't!
map_0071#372		???: Do not make the mistake of believing you've won.
map_0071#373		You will be remembered,
map_0071#374		Enemies of the region.
map_0071#375		JULIA: ...Are they gone?
map_0071#376		FERN: We sent them packing with their tails between their legs!
map_0071#377		JULIA: Great job, team!
map_0071#378		You too, Electrode! Return~
map_0071#379		JULIA: Now let's see...
map_0071#380		Mhm, mhm...
map_0071#381		Got it!
map_0071#382		Okay! You all should start running now!
map_0071#383		FERN: Huh? What did you do, now?
map_0071#384		JULIA: Kaaaaaaaaaaaaaaaa...
map_0071#385		FERN: Oh, shit! Let's move!
map_0071#386		"XX7X"
map_0071#387		"Active Project Notes-- P-03
map_0071#388		Endless Regeneration
map_0071#389		FERN: It was nice of them to not delete the file names too, but is that really all we can get?
map_0071#390		"Active Project Notes-- P-04
map_0071#391		Systematic Contamination
map_0071#392		FERN: That doesn't sound good.
map_0071#393		"X8XX"
map_0071#394		Ground Floor
map_0071#395		2F
map_0073#0		Main Area Lock Disengaged
map_0073#1		What are you doing here?
map_0073#2	Tara	Ohhh, so that's what you're doing.
map_0073#3		Hm... Something's weird, right?
map_0073#4		We have a goal to achieve. You won't get in our way!
map_0073#5	Simon	Ugh. This just sets me back again.
map_0073#6		Every failure makes it a little longer until...
map_0073#7		FERN: The door's locked. I'm sure there's another system switch. What shoddy security...
map_0073#8		Team Meteor will prevail!
map_0073#9	Demian	Even if we lose here, Team Meteor will still rise above.
map_0073#10		You should stop getting in our way while we're still feeling merciful.
map_0073#11		Got you!
map_0073#12	Antoine	I got nothin'.
map_0073#13		Get outta here.
map_0073#14		Don't take another step.
map_0073#15	Winter	Hmph. They've had enough time anyway.
map_0073#16		You're toast if the boss gets you.
map_0073#17		I spy with my little eye... intruders!
map_0073#18	Michaela	Well, well, you can go on right ahead!
map_0073#19		What are you waiting for, hm?
map_0074#0		FLORINIA: Meteor Headquarters confirmed beyond gate.
map_0074#1		JULIA: Now it's just a matter of opening it! 
map_0074#2		I can easily blow this gate to smithereens, but I used the last of my boomies getting in.
map_0074#3		But if they were planning to do demolitions, they probably have some that they'd let us borrow!
map_0074#4		If we can get those, I can get us past here no problem-o!
map_0074#5		FLORINIA: Regardless...
